,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Daniela Ferreira,https://play-lh.googleusercontent.com/a-/AOh14Gj8ERDnerA4Dt0l1_EgdpTe1PN_c3tl-HI4Pz0Csw,"Ótimo jogo ,, mas tem um problema o jogo de duelo tá de brincadeira com essa de tempo ,, estou conseguindo jogar de dois em dois dias ,, tem como mudar se mudar dou cinco ⭐⭐⭐⭐⭐ tirei estrelas por não me dar atenção ,, e não pararem de sacanagem vou remover o jogo infelizmente",1,53,2.52.15,2020-11-01 08:30:30
1,Anderson Lazaro,https://play-lh.googleusercontent.com/a-/AOh14Gjr6xywCy4GEIdHQSUv2lwCyBJKO8eE5pgcNrbp,"No Torneio Real da muito erro de conexão, mesmo no meu wi-fi que é excelente. Acabo perdendo muitas chances sem ter jogado, deveriam anular ao invés de perder uma chance, já que o errado é o app.",1,46,2.52.15,2020-10-31 12:55:14
2,maria de lourdes da Silva,https://play-lh.googleusercontent.com/a-/AOh14GheAxiYYRBxxG9-r4_wGmAQQ1mh7MhGoEGua5lmYg,"O Jogo é muito bom ,porém demora muito para carregar ,e as vezes desconecta sem meu comando se não fosse isso eu daria 5 estrelas .só tem um jogo que gosto mais que este o Candy Crush saga",2,32,2.52.15,2020-11-02 10:46:05
3,Tairo Junior,https://play-lh.googleusercontent.com/a-/AOh14Gi6IU85yrrnffECMEXUGOtVsEnYB5Al7GDYMHul,"Era a melhor versão do Candy. Ótimo pra jogar,espairecer,quebrar a cabeça com estratégias....até inventarem isso de jogar on line contra outros jogadores. Jogo te obriga a jogar a cada fase q vc passa. Única solução pra quem não quer isso,já q demora a partida e é um saco, é jogar off line. Toda hora tem de desligar a internet pra poder jogar tranquilo. Mas aí vc perde ranking etc. Deixem a opção playerXplayer a parte,pra quem quer jogar. Tá um saco isso!",1,193,2.47.15,2020-08-29 11:18:24
4,Jane Mattos,https://play-lh.googleusercontent.com/-NOOnb6EzRdI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmpI_kUxxR7M3jNH7S_vPmpvX7qYw/photo.jpg,"Estou gostando muitooooo 😍não gosto das barras de ouro, pq não se usa e tbm não posso comprar pra continuar jogando, não trabalho fora pra ter dinheiro.",4,1,2.52.15,2020-11-03 02:06:03
5,Deisiane Reis,https://play-lh.googleusercontent.com/-OhXb9Bxtp68/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnQsyvWnO_OP2_0xrZnsrziUNKejg/photo.jpg,O jogo é muito bom mesmo. Mais na parte jogador vs está deixando a desejar pq minha internet é muito boa mais fica falado sem sinal de internet e acabo perdendo meus prêmios..ai tenho que começa tudo de novo sendo que são só 5 vidas pra joga ...acho que deveria melhorar isso ..pq é chato as vezes você está vencedo a partida e acaba perdendo por isso..fora isso o jogo muito bom e incrível,5,133,2.50.21,2020-09-29 15:02:03
6,Natalia de Melo Bernardi,https://play-lh.googleusercontent.com/-v7R_Wo6_05I/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn1SQN7dIAR-ROYZQUGsrfP-GeRiw/photo.jpg,"O VS fica caindo a conexão toda hora, e a gente perde o progresso, eu nem comecei a partida e deu problema na rede, já perdi meu progresso. Que raivaaaa! 🤯",1,36,2.52.15,2020-10-29 19:30:00
7,Akire Lima,https://play-lh.googleusercontent.com/a-/AOh14GiXylXNtlS5yih6kUBG_LhVKyhT9C2Ou_G9bLc,"O jogo VS com jogadores online está travando muito e a conexão caiu toda hora e faz com que percamos os prêmios já ganhos e vida também. Vcs poderiam melhorar né? Ao invés de relaxar com era antes; agora está estressado muito este jogo devido às perdas de conexão, prêmios e vidas ...",1,158,2.49.38,2020-09-24 10:06:48
8,Ana Paula Rodrigues Da Silva,https://play-lh.googleusercontent.com/a-/AOh14Gg5q_dUTDnKgjoHlB3hBImoWUzJTcimL_VyBNw9OzU,"No começo esse jogo online era muito bom , agora trava ,e com isso perco as jogadas , isso é muito ruim , já que as vidas são poucas e leva muito tempo pra nova vida . Eu acho que vcs deveriam diminui esse tempo pra carregar a próxima vida",2,103,2.50.21,2020-09-29 10:16:48
9,Gisele Vieira,https://play-lh.googleusercontent.com/a-/AOh14Gh8tp1QQCnVMfeiSLF6oKsRawBB0cUPeWI9kkYmgQ,"RESPONDAM OS JOGADORES DÊEM ALGUMA SATISFAÇÃO!!! N sei, se foi algo que fiz ou se foi a última atualização, que n aparece anúncios para assistir e ganhar vidas, booster e +3 jogadas, se e com todo mundo ou só cmg n sei mais, me ajudava de mais, agora desanimei desse jogo, pois adorava. Se n derem um jeito nisso vou desinstalar!!!",1,17,2.50.21,2020-10-10 20:48:46
10,Thais Nobre,https://play-lh.googleusercontent.com/a-/AOh14Gj1zRk0PJ8Mn5QwNfQo33uGVfD6EWzEGSM-3YJH,Muito top Só queria que parece de dar erro de conexao Quando eu vou jogar o Evento CAMPEONATO REAL pois meus jogos estão todos conectados so o app jelly que de vez em quando nao quer se conectar E é todos os dias jogo muito e quando o CAMPEONATO REAL aparece eu entro jogo umas 2 partidas e depois fica dando erro de conexao Poderia mellhor a experiencia desse evento com a wifi e internet,5,39,2.50.21,2020-10-04 15:45:21
11,Jenifer Vieira,https://play-lh.googleusercontent.com/-7w9O22ksyPQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmB4msg1r4Q12WgwyBiSVA4EHTiqg/photo.jpg,"Só uma sugestão. Eu não consigo jogar online do computador. Pede pra virar a tela, mas no computador não dá pra virar então acho que poderiam fazer algo para ser possivel competir online do notebook.",5,4,2.49.38,2020-09-30 13:47:35
12,Luciana Santos,https://play-lh.googleusercontent.com/-ti-2RdbYtjk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckdz3mW2sbjiRrVzT3TcL6Tmnnfsw/photo.jpg,"Amo o jogo! O problema é o torneio que por várias não computa as votórias e me faz perder os progressos. Mesmo se a internet demorar pra carregar e a partida já foi ganha,deveria dsr registrado.",4,2,2.50.21,2020-10-27 07:31:23
13,Lorena Cristina,https://play-lh.googleusercontent.com/-wySQryJXW8U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckmFM0Z1nwXon5GQ12KrGhzSWEXUw/photo.jpg,"O jogo faz você desejar ir para outro nível. Legal. Na disputa on line, recente, parece que determinadas sequências já são feitas para o adversário vencer.",5,4,2.49.38,2020-09-29 16:22:20
14,Maria Eunice Santos,https://play-lh.googleusercontent.com/-Ms5v2EaZ1FQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucljq6lf30cDs3aFv0KCY7e1QPhFfA/photo.jpg,"É um jogo fantástico,mas agente joga mais que jogar,e é como uma ótima terapia . Parabéns 👏 prá vocês 👏.",5,6,2.52.15,2020-11-05 22:32:55
15,Mariana Leal,https://play-lh.googleusercontent.com/a-/AOh14GisMoo86mG9NpAnoC2-Kg-9Ham8kGqgGE7NSACGPA,"O jogo sem vidas extras e boosters ficou muito chato. Se querem tirar esses recursos tem que deixar o jogo acessivel, pq ficar uma semana para passar uma fase desanima",1,15,2.50.21,2020-09-29 00:03:53
16,Fernanda Nascimento,https://play-lh.googleusercontent.com/a-/AOh14GgXeyzTv_hAg8rFxn7gwpf0rbZFPbfb119zZisuF5A,"É até legal, porém trava muito. Mostra que falta conexão toda hora, sendo que minha internet é muito boa. É legal, mas deixa a desejar.",4,69,2.49.33,2020-09-19 22:38:32
17,patrick pereira,https://play-lh.googleusercontent.com/-OvPd0DiuamE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnSMwNgZuqZnS96pIJrOFZPW_s4hQ/photo.jpg,"Jogo bom mais tem muitos problemas,no torneio real eu tenho internet mesmo assim toda hora fica caindo ai eu vo e perco,1 hora pra cada vida e muito tempo,e quando boce ganhace vc tinha que continuar com seu cupom",1,5,2.50.21,2020-10-06 23:20:50
18,Cristielle santos,https://play-lh.googleusercontent.com/a-/AOh14Gg30dciw1npXg8OEIWUlOdsoQYrERGWU4V1kplTzQ,"Eu amo esses jogos do candy sempre reinstalo eles em todo aparelho q eu pego,já tenho eles a 5anos,pra ficar melhor tinha que carregar mais rápido.",4,64,2.46.14,2020-08-24 01:30:15
19,Patrícia Souza,https://play-lh.googleusercontent.com/a-/AOh14GjPgmaqw2a1SjGIBhMR7IM5XQk0lG3XxSzuBK4Obw,"Tem que melhorar essa versao viu? A gente faz a estratégia, vem um bichinho e come sua jogada com a língua. Eu odiei essa versão!! Estou no nível 1599 já tô perdendo a paciência com esse jogo . 5 vidas já nao dão pra nada aí vem essa versão q vc nunca ganha de primeira. #naogostei",1,1,2.50.21,2020-09-30 23:37:24
20,LOIVORES HINOS,https://play-lh.googleusercontent.com/-Cs-1SjG8duA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm4fh32K7JGGYUr7U4sFNRptk_XZw/photo.jpg,"Muito fácil e sem muita emoção, se comparado ao outros jogos da franquia candy. Joguei uns 10 níveis e enjoei.",3,14,2.51.6,2020-10-27 17:24:17
21,Luiz Porto,https://play-lh.googleusercontent.com/a-/AOh14GgqSLViY_bmcoaMYUXOT6pILjDhOm6WRuTwHgMu,Gosto muito do aplicativo. É um jogo muito inteligente e instigante. Parabéns!,5,2,2.50.21,2020-10-25 12:24:07
22,Geovana Santana,https://play-lh.googleusercontent.com/a-/AOh14GjMNIaMm1gsGloLRmuDJ93hPoi9TR_8_LYsoZMDgg,"Depois da última atualização tem dado uns bug, a tela fica preta do nada e fecha o app :/",3,14,2.51.6,2020-10-26 01:09:38
23,Maria aparecida da silva alexndre Alexndre,https://play-lh.googleusercontent.com/a-/AOh14GggN-PSV48K5acKWmQPr2Ex6mzZiC-MxJD-OukvsA,O jogo é muito bom so tem um problema que na segunda feira não tem jogo on-line porque não tem eu quero o jogo on-line na segunda feira e ruim sem o jogo ele distresa a gente,4,2,2.50.21,2020-09-28 09:17:18
24,Roseli Fatima dos Reis David,https://play-lh.googleusercontent.com/-QDGk3GKsytY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucklr8GriOMRkrgKhr528LpRC_xQjg/photo.jpg,Porque que não dá para usar as barras de ouro para comprar??? Está na hora de modi ficar isso. Até dá mas é muito caro.,4,2,2.49.38,2020-10-29 08:09:32
25,Glaci Santos,https://play-lh.googleusercontent.com/-MTHulKbt9YU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl1Ktl2zHVGmzNs0PqYGAJB0bzR4A/photo.jpg,Por enquanto está tudo muito fácil se daqui pra frente for difícil eu simplesmente bloqueio o jogo.,5,19,2.47.15,2020-08-25 20:40:01
