,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Nenen Pereira,https://play-lh.googleusercontent.com/-XMuztGB3mI4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclT62ZHacwpJUzR0QyZEbTEz1-8-Q/photo.jpg,"Tá roubando muito nos nível difícil, por mais que eu combine a jogada, não acontece do jeito que eu quero ,é totalmente manipulado, o jogo até perdeu a graça Edit- o nível 830, é quase impossível, as bombas ficam na parte debaixo e tem que quebrar os blocos pra tentar destruir,e nesse tentar elas explodem, pra passar tive que usar hacker...kkkk",1,39,1.189.0.2,2020-11-08 17:13:38
1,Jerry Antonio,https://play-lh.googleusercontent.com/a-/AOh14GiU6LOh3-Uov8UZb95C0JONUFW8Z6FC9046VFwfoQ,"O jogo é bom, embora existam dificuldades desestimuladoras, pois os doces, simplesmente não vêm para formar a combinação necessária para passar de fase. Nota-se a intenção de não permitir o progresso e não a satisfação do usuário com o divertimento que deveria proporcionar. Outra avaliação negativa se dá sobre a quantidade de propaganda, e sua duração. É insuportável. Da mesma forma que acontece com o YouTube, o excesso de propaganda. O boicote a plataformas que exageram será iminente. Good bay",1,1321,1.187.1.1,2020-10-18 19:27:31
2,Ronaldo Ferreira De Miranda,https://play-lh.googleusercontent.com/-0AolnLHZOac/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnrEsrogYaK3NaQ9eD8i3oTPmXfNA/photo.jpg,"E um jogo bom, mas e muita pilantragem nele, pois eu passei da fase 886 por duas vezes, e já ate joguei a 887, mas o jogo voltou para a fase 886, usei minhas barras de ouro, para passar de novo, consegui, e o jogo está voltando eu para a fase 885, desinstalei por 13 vezes, e instalei pela última vez, eu já estive na fase 2476, desinstalei por causa da covardia dos administradores do jogo, se continuar, eu não irei jogar mais isso. Dizem que é um jogo desistressante, mas não é o que se vê!",3,20,1.189.0.2,2020-11-08 16:03:25
3,Michelle Martins,https://play-lh.googleusercontent.com/a-/AOh14GhTLjm-K1nvd5p7rxPEIWHYAxC7Cl0VUt4Qz-N2EA,"Gosto do jogo, mas já desinstalei uma vez por conta de um nível difícil de passar. E isso é o que mais tem nesse jogo. Às vezes me parece ser bem conveniente que não passemos de nível, nos forçando a usar os boosters e até mesmo dinheiro. Pode me forçar a vontade, pois não gasto um centavo nisso. Estou vendo o pessoal reclamar de propagandas.. bom, no meu nunca apareceu nenhuma. Enfim.. Achei que a intenção fosse pra gente relaxar e não passar raiva. Mas sigo jogando assim mesmo. 😂",3,195,1.189.0.2,2020-11-05 23:42:25
4,Auraci Dias dos Santos,https://play-lh.googleusercontent.com/-pjwsvFEzfCE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmG0o9B5r3tMQhDN3yp5Ul9nvqRNg/photo.jpg,"Jogo ótimo, não é feito para relaxar etc, vi muitas pessoas reclamando de fases impossível de passar e que precisa gastar dinheiro, mas vocês acham que o jogo foi feito para ser fácil man? E as propagandas pode ter muito mas é a forma deles de ganhar dinheiro eles podem exagerar essas coisas mas eles precisam fazer isso para ganhar dinheiro e se não quiser ver os anúncios desliga a internet",5,373,1.188.0.4,2020-10-31 23:01:00
5,Vandeci Lima,https://play-lh.googleusercontent.com/a-/AOh14Gh55ilCn1HIF2HTloa1XiZfkoTgm_QaR7B3ZkpY,Maravilhoso esse jogo. As vezes muito enigmático mas vamos em frente.Lindo designs. Bjs a todos. Estou ficando viciada nos jogos da King.Agora que já adiantei algumas fases está cada vez mais emocionante e viciante. Amo demais esse jogo. Por enquanto é o meu preferido. Vibrante e magnífico os novos níveis. Bjs,5,116,1.189.0.2,2020-11-06 21:38:48
6,Maria Lourdes,https://play-lh.googleusercontent.com/-YMtEx6jRnjc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmBOieXGJ0ep5VHCMZhd4QLnEgHsw/photo.jpg,"Jogo maravilhoso deslumbrante tem fases fases, porém muitas difíceis que nos leva à atenção necessária, para sair outra fase ou então passaremos bastante tempo numa fase que já vem nos dizendo que é superdificil temos oportunidade de passar se tivermos dinheiro para comprar instrumentos que abrem as passagens ou quando encontramos três animais coloridos que não é tão toda hora que damos sorte de encontrá-los também abrem passagem com mais facilidade. Além de ser um jogo de descontração, etc.",5,760,1.189.0.2,2020-11-05 16:51:11
7,Juliana Hauptman,https://play-lh.googleusercontent.com/-wdccbIE7YdM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckrulSFsR01DKTuRuLKkvs1LiXYKw/photo.jpg,Péssimo. uma quantidade absurda de propagandas. Não salva todos os itens ganhos. Sem contar quando a propaganda trava aparece erros gráfico que obrigam a reiniciar o aplicativo e você perde o progresso do jogo. Aparece bugs que quadriculam a tela toda . No travamento perdi umas 65 barras de ouro .Sumiu itens ganhos entrei em contato e nao resolvem. Nao recomendo. mandaram entrar na comunidade e pedir ajuda para os usuarios?? Como assim !Nao tem proteção contra compras acidentais.,1,292,1.187.1.1,2020-10-16 23:40:34
8,Fredson Poeta,https://play-lh.googleusercontent.com/a-/AOh14GhaJ_LcTrKAOY9iE9LNVXej84aa9d06XziKB-4C,"O doce se auto destrói, impossibilitando fazer a jogada que tanto esperei, fala SÉRIO, o hand cap TÁ dominando, deixa eu fazer minhas jogadas, a fase já é dificil , e o jogo desfaz tudo que tento fazer, não depende de inteligência, o sistema que manda, só passa a fase se eles quiserem, tá um lixo",1,11,1.189.0.2,2020-11-08 00:23:39
9,David Bruno de Oliveira,https://play-lh.googleusercontent.com/a-/AOh14Gjfwq0dkmU2c4HSG-lIMtcd4zitMhb_kp6huGnb,"Só querem dinheiro. Dão com uma mão e tiram com a outra. Você não consegue continuar jogando gratuitamente. Demora para carregar a vida. Tem fases que não passa de maneira alguma, sempre faltando apenas 1 ou 2 itens - muito conveniente. Resumindo: não há nada de relaxante nesse jogo; puro aplicativo de stress...",1,109,1.188.0.4,2020-11-01 14:47:31
