,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Nathan_11,https://play-lh.googleusercontent.com/a-/AOh14GifEX6TJQ0ymUNmXDJp_UtDvlEBTzhVXb-P_TiV,"O jogo é ótimo os gráficos são muito bom e é relaxante na maior parte do tempo, só ha um motivo pra eu ter dado 1 estrela, é que quando a gente não consegue uma fase todas as garrafas some ai tem que consegui las tudo de novo, e pq que as garrafas 3 e 4 são melhores que a 5 ?????",1,312,1.180.4,2020-10-29 13:19:49
1,LOIVORES HINOS,https://play-lh.googleusercontent.com/-Cs-1SjG8duA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm4fh32K7JGGYUr7U4sFNRptk_XZw/photo.jpg,"A moral desse jogo é o Peixe Doce. A partir do momento em que os Peixes não vão no objetivo, não adianta comprar booster e pagar por jogadas extras se os movimentos que fazemos são desperdiçados. Teve um nível que paguei por jogada extra e dependia somente de acertar um peixe no local certo pra subir as bolhas com ursinhos, MAS ele foi no gelo, ou seja eu teria que destruir o gelo inteiro pra poder ele focar no objetivo principal que era eliminar o doce de cima pra poder a bolha subir. Horrível.",1,184,1.180.4,2020-11-01 01:03:06
2,Vanessa Simões,https://play-lh.googleusercontent.com/-icD2SDLhU88/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm9suovTE0tF0eiQl-3_5McqmcmRQ/photo.jpg,Gostaria de saber o pq diminui as horas de vida e de poder diario isso foi horrivel Por favor volte E outra pq nao tem mais o fliperama poxa vida tao tirando tudo. Que raiva Volte as coisas pq assim nao tenho vontade de jogar mais E outra perder todas as garrafinhas de uma vez isso é demais ficou horrivel O jogo ao inves de ficar mais emociomante ta perdendo a graça 😪,1,9,1.180.4,2020-11-04 09:21:12
3,Erick Souza,https://play-lh.googleusercontent.com/a-/AOh14GgtSJldzvE7ZnFLaU5ne_Bjaj7BX7TIyTsKbcNQ5nw,"O jogo é bom, mas perde toda graça. Pq o jogo é insistente pra vender e perguntando mil vezes se eu não quero comprar doces, velho já disse que não. Eu não consigo resgatar meus prêmios de pontuação porque quem um pergunta se eu ""não quer ser primium"". Não eu não quero. Jo quero jogar de boa sem ter que responder um questionário antes de entrar em uma partida.",1,45,1.180.4,2020-11-03 20:38:04
4,Luciana Santaelo,https://play-lh.googleusercontent.com/-jFXYfgojeiM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmcy5-4X29mO__Dar0t18Bi8_PsYQ/photo.jpg,"Porque não tem mais colina de chiclete (Coroa))????? Não tem mais bingo social e nem colina de chiclete. Depois das últimas atualizações não aparecem mais e sempre tenho que desinstalar e instalar, pq somem alguns desafios e está ficando chato toda hora desinstalar e instalar☹️. Por favor consertem isso. Aguardo um retorno!",2,163,1.180.4,2020-11-01 00:07:55
5,Alcindo Santos,https://play-lh.googleusercontent.com/a-/AOh14Ghs2eYTrRzN5Om05QvEzPl5_8zJMu122qbcTetk,"havia dado quatro estrelas baixei pq o jogo baixou no meu conceito.Falta de respeito ao consumidor .A King não nos respeita,o jogo é bom mas o que vc conquistar ou comprar para facilitar sua caminhada no soda não vai melhorar sua performance de jogo, vai ser consumido ali sem mais nem menos em um peixinho que desperdiça sua jogada ou em um ""shufling"" que faz vc desperdiçar o seu booster comprado ou não.Jogue de graça enquanto quiser depois faça como desinstale o App que é imeeeenso e pesado.",2,6,1.180.4,2020-11-01 18:04:16
6,Fabio Marques,https://play-lh.googleusercontent.com/-kJNAi5-6MOk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmRD3hp2U6pDtvAI-KfrBj7R7S9bA/photo.jpg,"Simplesmente excelente ...sem mais comentários 👍... só falta colocar a Coroa de volta nos fins de semana ,ficar sem coroa o jogo fica meio chato pois é a melhor forma de adquirir barras de ouro",5,103,1.180.4,2020-10-30 20:20:32
7,Joyce Mattos,https://play-lh.googleusercontent.com/a-/AOh14Gj_gcLK58GrsssOPOhqfZ1h035kGs2kNmm3eZup,"Cara, tá bem ruim. A quantidade de ""roubo"" que esse jogo tem... As vezes vc precida do peixe para quebrar a última peça para vencer e o peixe quebra uma peça nada a ver.",1,3,1.180.4,2020-11-06 08:14:07
8,Shirley Aparecida,https://play-lh.googleusercontent.com/-xBuBR6tFyGA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclDsmO8cCoKZZ4pvLHErLGJTMr2VQ/photo.jpg,"Demora para carregar vidas, deveria ser de pelo menos 1 hora,quando está ficando emocionante, acaba as vidas. Poucos blosters, pirulito só aparece de vez enquando. E até agora não sei pra que serve o selo dourado. Resumindo: o jogo é bom ,porém tem certas coisas que precisam ser ajustadas.... Editado!! Agora que reinstalei o jogo, esta muito legal. Níveis mais fácil de concluir,top",5,449,1.178.2,2020-10-06 02:03:26
9,Tânia sueli Pinheiro da silva souza,https://play-lh.googleusercontent.com/-O9imby3gYVI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmvpELr3LY0aHZYMFQnRWXLPwOL3Q/photo.jpg,"Gosto muito. Só não gosto desse negócio de tempo, ou seja, se errar acaba o tempo. Isso é muito chato! No demais, esse é o melhor jogo. Amo muito!",3,7,1.180.4,2020-10-28 22:19:15
