,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Giu Pedrão,https://play-lh.googleusercontent.com/a-/AOh14GgcyC512G-WR8sz68PnBa0krAMsmuHhyNqrV3Tg,"Gosto do jogo, mas estou na fase super difícil 3147 que está me impedindo de concluí-la porque não manda os blocos para fazer subir o animalzinho. Se tem algum segredo, não estou conseguindo perceber. O que me deixa chateada é que não depende de habilidade, mas de ""boa vontade"" do jogo de mandar as peças necessárias.",4,321,1.254.7,2020-10-18 21:34:28
1,Walter Jorge Sassassa,https://play-lh.googleusercontent.com/a-/AOh14Giurr2tLnu_SZ5QCiQuZ6LsdJYUEjqi5XiQzze4sg,"Eu já venho jogando o Pet Rescue a muito tempo que até perdi a conta. Gosto muito deste jogo, até deixo de fazer muitas coisas e fico atento as minhas jogadas para poder passar os níveis. A unica critica que deixo é sobre o porquinho de ouro que nós enchemos e não nos beneficiamos dele. Não sei o porquê. O meu porquinho esta todo cheinho que deixar cair muitas barras de ouro. Preciso das minhas barras de ouro por favor. Por isso vou dar 4 estrelas. Darei 5 quando me devolverem as minhas barras.",4,140,1.254.7,2020-10-29 18:06:42
2,gaby oliveira,https://play-lh.googleusercontent.com/a-/AOh14GiwZW6haMk9Lj66tt_m9aDSAbKuFyJXXE9Pow2bGQ,"Bom d+! Se vc não quer pagar o cofre ou a oferta do cão deixa pra lá,não pague! Pq se algum de vcs (avaliadores) for adulto(a) se quiser pagar pague. A única coisa é que vc irá se arrepender daí. Antes de mim abaixa-lo fui ver as críticas. Por ela já vi que é maravilhoso! Fui",5,23,1.256.12,2020-11-06 15:42:50
3,Kell Hines,https://play-lh.googleusercontent.com/-1WnZJZHa_ck/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmonMAlEOWv6_93EQh_gKa7NF2vgw/photo.jpg,"Me sinto lesada!!! Comprei um cofrinho com dinheiro real, o q ja acho harbitrario demais, mas o jogo nos força a isso para termos barras de ouro. Ok, comprei mas precisei desistalar por oufros problemas no celular, quando reinstalei kd meu cofre??? Sumiu! Apenas barras de ouro ""presas"" e o anuncio de oferta especial($10,90) para adquirir o novo cofre, qje por sinal eU JA TINHA COMPRADO. E outra coisa: o tal desafio diario de vc é anual?? So pra saber quantas horas os relogios de vcs possuem...",1,234,1.254.7,2020-10-16 06:00:50
4,Janaina Rattes,https://play-lh.googleusercontent.com/a-/AOh14Gjm7fTKKQwxdNvRhY8OmIRW5tnhkPersTKRRSB62A,Fiz uma compra de moedas no jogo Pet Rescue e recebi 50 moedas para gastar no jogo e destas moedas gastei 10 moedas e hoje apareceu que tenho somente duas que são justamente as duas que ganhei ao vencer duas etapas e as outras 40 sumiram quero minhas moedas de volta ou caso contrário reportarei a compra no meu cartão.,1,39,1.254.7,2020-10-26 21:43:15
5,Damiana Waleria,https://play-lh.googleusercontent.com/-1kLqodJvU2A/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckAlwx-2dXXhbLYym3MAxsABdOykw/photo.jpg,Já tem um tempo que joga esse jogo adoro joga ele já concluir os últimos níveis mas estou muito triste decepcionada pois meu celular deu bug e o jogo foi apagado eu tinha vários objetos comprados mas quando fui instalar o jogo de novo sumiu tudo então isso é muito chato você tem suas coisas compradas e quando o jogo desinstala você vai instalar some tudo estou muito chateada com isso Já finalizei o nível estou esperando outras temporadas e até o momento nada gostaria que os objetos voltasse,1,6,1.256.12,2020-10-31 20:43:15
6,Selma Cristo,https://play-lh.googleusercontent.com/-tu5Jgm0Nwyw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclk_hd_9aUCP_etq7JN35PlFwIZfQ/photo.jpg,"Gosto do jogo, mas não aparece mais a opção de assistir um vídeo para ganhar um booster. E nem ganho mais nada qdo passo de fases em sequência. Decepcionada! 😒",3,3,1.256.12,2020-11-06 11:56:58
7,Maria Dinora Canais,https://play-lh.googleusercontent.com/-MKEGebGduMA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnuuCOQjSFXIB_iO6xHvoWvVZUznQ/photo.jpg,Bom jogo com muitos desafios. Pena não ser constante. Tem muitas paragens a meio do jogo chegando por vezes a desligar_se completamente fazendo-nos perder o jogo e as vidas.,4,3,1.256.12,2020-11-02 15:25:28
8,maria aparecida,https://play-lh.googleusercontent.com/a-/AOh14GjZdMt6TyRS1uVGtTqv0U_IJ7n-LdwQyMsY8arx,Sensacional jogava e desputava no Facebook com amigos muitos anos jogando e agora ficou melhor ainda tem jogadas difíceis e boas . ótimo jogo.ultimamente meu jogo diz que tenho que me conectar com a internet mesmo estando conectada jogo vários da King ao mesmo tempo e só esse diz que não tô conectada pessoas desenvolvedoras do mesmo por favor arrumem isto tenho internet no celular e tbm residencial e as duas são ótimas tá devolvo mil estrelas até pq vcs merecem mais consertem essa bagunça aí .,2,102,1.254.7,2020-10-20 01:11:49
9,Eliane Marçal,https://play-lh.googleusercontent.com/-P_4aXPpfwMA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucknj-eKgWxeRxNXPQohdZN-TM654w/photo.jpg,"Na hora que chega na fase 832 eu consigo remover todos os blocos, mais mesmo assim a fase não passa pra frente, diz que ainda tem blocos a ser removidos assim fica difícil né",3,10,1.254.7,2020-10-27 23:02:46
