,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Marck Droid,https://play-lh.googleusercontent.com/a-/AOh14Gjpp-0Mkyyde2yJWqQPYmiTYNvvym6VLXoHvpnOEdA,"Por favor, melhorem os filtros de pesquisa, é muito difícil encontrar um card sem saber o nome, pois não se pode pesquisar pelos seus efeitos como, aumentar pontos de vida, dano perfurante, compra etc. Às vezes alguns toques não funcionam, como invocar ou ativar um card da mão etc. Atualmente estou enfrentando problemas ao tentar me conectar no modo online dentro do jogo.",4,11,121a,2020-10-29 10:37:53
1,Henrique Marcuzo,https://play-lh.googleusercontent.com/-6y5QpbBr6Cg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnwPvYjIsBZjZtz8_F-Khr8pXB97Q/photo.jpg,"Jogo está muito ruim, apresentando erros, tenho que ficar as vezes desinstalando pra que o jogo volte a funcionar, assim, fazendo com que eu perca grande parte do meu avanço no jogo e pontuação. Fica dando erro quando quero jogar no multiplayer, iniciar sessão e trocar avatar, também como pegar a recompensa de login. A internet está boa, pq acesso a Google e outros aplicativos, só aqui nesse jogo que está dando problemas. Arrumem esse bug por favor! Obrigado. Arrumando, dou mais estrelas.",2,14,121a,2020-10-26 05:12:18
2,Jerônimo,https://play-lh.googleusercontent.com/a-/AOh14GjnSTYgwnd2pVYKEfJg3i7Ks2rFVAc5Ip3QiL-UUQ,"É realmente completo, e conforme você ganha duelos e vai comprando pacotes para ficar mais forte, quando você termina uma saga ganha Gifts ao logar online, fora que mais ou menos mensalmente é dado em Gifts por logar online decks e packs muito fortes. Pena que o que o povo realmente quer é um efeitinho lazer, umas pururinas explodindo no ar, realmente uma coisa, de não ter uma animação durante o ataque do monstro torna um tanto chato no modo de ser que em vários jogos anteriores tinham.",4,48,121a,2020-09-19 12:05:44
3,F5 ALONE,https://play-lh.googleusercontent.com/a-/AOh14Gj8g0OK-NUXtLTznszN2V0YE5sp7caYdNkza1zrSQ,"O jogo é muito legal e é um tipo de incentivo para os players, pois acabam por necessitar aprender um pouco de inglês já que o jogo gira em torno de tal idioma (A não ser que você seja preguiçoso de mais). Eu parei de jogar pq eu prefiro o de PPSSPP, mas esse é um ótimo jogo para quem não sabe usar um emulador. Agora se você quer um Yu-Gi-Oh BR msm, só que antigo. Baixa o GBA e o Yu-Gi-Oh The Eternal Duelist PT-BT",3,43,,2020-09-19 13:51:51
4,Chris Félix,https://play-lh.googleusercontent.com/a-/AOh14GgY273b-3Dh2WYqiCm4_VkhVJgvi6xHgpm21ngIWUE,"O Jogo e sua jogabilidade são boas, precisa melhorar a velocidade ,mais pra quem não sabe yu-gi-oh e jogo de cartas e estrategia e nao de corrida que e de veocidade, mas o melhor que que no comeco e lento, mais quando vc vai desbloqueando os players, e ficando maia dificil vai ficando maia rapido as jogadas, pecisa sò atualizar, alguns aspectos .",5,12,,2020-09-16 03:09:31
5,Marco Antônio,https://play-lh.googleusercontent.com/-oRXLcZfgHd0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclN7V0x8gpNg-omYYm2UHf0oQ-WGw/photo.jpg,"O sistema de droop é fraco, mas ajudam no início e balancea um pouco. Porém está bem desatualizado. Soube que vão desativar o jogo... invés disso tentem apenas atualiza-lo e dar o devido valor a ele. É um jogo infinitamente melhor do que o duel links.",5,14,121a,2020-09-18 23:20:54
6,GoshTimeBR,https://play-lh.googleusercontent.com/a-/AOh14GjTiyPxlXgLBydn9aaDxUzEd82Bmc9nOTyzdOi63CA,"Esse jogo tinha potencial, mas é bem mal feito. Além dos gráficos bem simples para o que poderiam ser (parecendo um jogo fanmade, ou de antigamente), a interface, efeitos, e tudo mais, são mal aproveitados. Deck Starter bem mixuruca, e não muitas opções para comprar (pelo menos pelo pouco que joguei). Duel Links mesmo sendo ""capado"", é muito melhor em experiência. Se este jogo fosse parecido com o Duel Links, porém com as regras certinhas, acho que seria muito bom.",3,36,,2020-09-12 13:27:30
7,JapaStyle,https://play-lh.googleusercontent.com/a-/AOh14GjpLRkfJkKVuTwdOncumqTicyHOoXGzYZKoxXgodA,"Era muito bom antes, mas os desenvolvedores parecem ter abandonado o game, sistema de compra e de login ja não funcionam pelo que parece, porém com todo devido respeito, o tag force pra psp e play 2 eu acho melhor kk",3,0,,2020-10-27 00:32:43
8,lucas lins,https://play-lh.googleusercontent.com/-1DvtRAk7oZA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmbBgtH14M_pEjqBJ8-fCNE66w7UQ/photo.jpg,E muito mais fácil para escolher presentes no preto texto as provas de salto alto e bom som que é o texto as pessoas se cagam for ele pode votar em mim postar no Facebook a música é dança da nossa cidade do homem que eu não tenho nenhum passe de saia curta duração da prova objetiva e pra fazer o texto as provas de salto alto e bom som que é o texto as provas de salto alto nível superior em homen nua 98u77u8u8888888 de saia curta duração da prova objetiva de yuyfufyftuffyyttttttttttttftfffffvbki,5,1,,2020-10-14 14:30:54
9,Kevin Barbosa,https://play-lh.googleusercontent.com/--qqTaVL7QIU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmkw04TA7VnthYUKpf2EMhDtvsjyg/photo.jpg,"Voltei a jogar esses dias e tá com um bug insuportável para entrar no jogo e baixar o perfil do Google Play, dizendo que a o problema está na minha conexão e manda eu checar ela, se tiver como resolver é bom, já instalei e desinstalei umas 15x em menos de 20Min",2,1,121a,2020-10-28 13:57:55
10,Rodollf Augusto R. H. Altisonante Borba Assumpcao,https://play-lh.googleusercontent.com/a-/AOh14GhBxdvS4yVsHh3G3zwDMrStRX6iDGOmVVHQW-7n,"Já joguei esse jogo antes, e era muito bom, atualmente parece não ter contato com o servidor, o que impossibilita salvar os dados e resgatá-los.",2,1,121a,2020-10-20 19:48:42
11,Jaci Juniork9,https://play-lh.googleusercontent.com/-0vnq67gaOnI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnzwWTlAAk3hoCalKgpOe57OdVDzg/photo.jpg,"Legal mas dá pra melhorar . vocês poderiam atualizar mais veses, pq faz muito tempo que não atualiza, e tbm poderiam tirar a limitação de cartas proibidas . e poderiam deixar os boosters com mais cartas por favor. Tirando isso o jogo é incrivel 👍",4,31,121a,2020-08-21 09:04:20
12,J Vlad,https://play-lh.googleusercontent.com/a-/AOh14Gj4f9cdfhATTHh9Dk7g4cVbf_Ll7OMenNCYZX-pICs,"Bom. Mas tem que melhorar em certos pontos. Deixaram o jogo de lado. Deveriam colocar uma tradução pra Portugues pra tanto facilitar mais, como também o layout do jogo, a interface. O jogo é tão bom e está sendo esquecido",4,37,,2020-08-16 04:12:07
13,James filho Cunha,https://play-lh.googleusercontent.com/-7xLDKZEggo0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmBJmnK5-ipQkUdcpHfMXdFOLaQQA/photo.jpg,"Mano,manooo esse jogo e da hora ,que negócio e esse de tirar o jogo da linha mano esse jogo barra o link porque? Porque ele e muito fiel au jogo não só isso ele tem cartas mágica armadilha mano a única coisa ruim e que ele precisa da tradução para português né! Cara os monstro são bem fiel todos com as agilidade cara por favor tem muita gente que não quer que esse jogo saia e eu sou uma dessas pessoas mano escuta eu conheço o anime muito bem e como um otako eu digo não tirem o jogo por favor ✌",5,10,,2020-08-14 22:43:23
14,linkus :3,https://play-lh.googleusercontent.com/a-/AOh14GiedJGbd99Tq-dhVhU6rJsai0ADQaQ5ww-UpRUjCQ,"Não da pra usar cards e efeitos do cemitério, isso quebra totalmente muitos decks.... Tirando isso o jogo é divertido é só arrumar esse probleminha que vira um dos melhores de yugioh(na minha opinião). Ps: se possivel traduzir para português '-'",3,2,121a,2020-09-09 13:46:00
15,joão Luiz,https://play-lh.googleusercontent.com/a-/AOh14Gg9zlVBG0h-CqR6cKi_ULb706h7ENOEUmU6899muQ,"Então pessoal esse jogo de yu-gi-oh é muito muito muito bom e vocês tem que instalar ele mas tenho dele está muito difícil de derrotá-lo uma caveira parecendo com esse cara de morcego assim Eduardo com ele dá bem umas 10 vezes e perdi mas é só um tentar de novo comprar cartas cartas tá mais forte e derrotar eu tenho uma carta de 5.000 e não consegui é muito poderoso mas eu vou tentar botar ele até eu conseguir E aí finalmente será um sucesso para zerar o jogo 100, duelistas último👍👍👍👍😎🙌😎",5,45,,2020-08-27 13:33:12
16,João Marcello dos Santos Sousa,https://play-lh.googleusercontent.com/a-/AOh14GjiS97GuXuHhtLZG_YHIfyMpduCBy0p8tjp2_0Y,"Pessoal fica comparando com duel links mas sem motivo, Duel Links ele é feito em um modo diferente chamado Speed Duel e esse Duel Generation é o clássico TCG, então não tem por que ficar comparando um jogo com outro, 2bjs recalques😗👇",5,4,121a,2020-09-08 11:30:00
