,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Ezequias Luiz,https://play-lh.googleusercontent.com/a-/AOh14GiAOqhjuEZL_L6hMzYziXiwNz__J5glBMLsK82NAA,"Classificado como ""um jogador"" mas não dá pra jogar offline 😡😠 Vocês, desenvolvedores devem pensar que todo mundo tem condições de ter wi-fi não é?!?!🤬",1,2,8.5.7,2020-11-08 09:00:54
1,Ops Luna,https://play-lh.googleusercontent.com/-sMG9n3LZ9n8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclQz_xB8cdSJQzG5qFY0sZ9QG4xcg/photo.jpg,"Comecei a jogar essa semana e perdi tudo como se o jogo tivesse ""resetado"" resolvam esse bug",5,0,8.5.7,2020-11-08 11:25:27
2,Carlos Eduardo,https://play-lh.googleusercontent.com/-b2hy0mlCkvM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclBa0C975mAOQR2SfVsA_tCzexiAw/photo.jpg,Sensacional! Embora seja repetido ainda assim a diversão é garantida.,5,60,8.5.5,2020-10-05 20:30:58
3,luiz,https://play-lh.googleusercontent.com/a-/AOh14GhVQ2iDBFl-5y1NqWpP2cQxEYp-WvxNTaR16wScDA,"Mt bom o jogo, achei esse jogo assistindo um canal chamado Felps e esse jogo valeu a pena, sem defeitos.",5,46,8.5.7,2020-10-30 15:43:43
4,David Vidalis,https://play-lh.googleusercontent.com/a-/AOh14GiZ401NZguVNxVWUDDBpGRv0mhwzZKVU2MPNG0A6A,Jogo muito bom poderia dar pra se conectar com o save da steam mais ta suave,5,49,8.5.6,2020-10-18 13:05:05
5,Ana fernanda Antonio,https://play-lh.googleusercontent.com/a-/AOh14Gihton-gd_Ku8vxrHysEKBR5MRXwmn-hZeMxtA6rQ,"Minha esperiencia foi afetada com um bug de tela do jogo, quando deixo o jogo minimizado de fundo, e depois volto uma parte da tela do jogo fica branca fazendo o jogo ficar menor em celulares com botões virtuais, caso consertarem isso, obrigado",4,125,8.5.2,2020-06-23 20:48:25
6,Velho bill,https://play-lh.googleusercontent.com/-Ti425FMKJqM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnPbpxkxCxp27xOM3RFNN7lDJL95Q/photo.jpg,O jogo até que é legal mais depois de um tempo ele começa funcionar mal não consigo entrar pra jogar tentei dinsistalar e instalar denovo e só funciona por um breve período portanto tratem de consertar esse defeito,3,102,8.5.2,2020-07-12 22:10:25
7,Reginaldo Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GhUGXKehFLVLqvWbeEmJDvsvfW3r7pmnbG-h989MA,"Super divertido,gostei muito. É vou jogar.",5,1,8.5.7,2020-10-27 22:01:18
8,Bruno Andrade,https://play-lh.googleusercontent.com/-UAa6LNS7KuA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn8y2Yyr_mNPh1wt8KX4Qg6t5LKDA/photo.jpg,Muito bom eu gostei muito dele e legal tomara que eu ganhei dinheiro mesmo,5,23,8.5.6,2020-10-17 11:20:56
9,Jevil_ Chaos,https://play-lh.googleusercontent.com/a-/AOh14GhQZrnpDMf3KDE9W1Dnt58edUdR5vxCa5Q3XHodrw,É bom mas quando eu jogava no celular da minha vó ele n ia pra lua mas pro evento eu esperei 3 horas e dai fechou o jogo mais agora esta melhor só na primeira vez que voce joga ele demora pra abrir mas esta muito melhor,5,59,8.5.2,2020-07-18 19:10:30
10,alexandre cirino,https://play-lh.googleusercontent.com/a-/AOh14GhgkqdRnIx_M1ZuEXcPlUDqC87yHjW3pKU7Ax8VcQ,So por não ter excessos de propaganda ja vale 5 estrelas. As propagandas são para ganhar recompensas. O jogo prende a sua atenção.,5,31,8.5.2,2020-07-29 13:03:56
11,Mariaeunice gomespereira,https://play-lh.googleusercontent.com/-JLLdpBLtcRc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclCbepaIU5SDjsvdAXGsXbRAcSutQ/photo.jpg,gostei muinto do jogo mais poderiam colocar em português eu não sei se erro meu mas ele esta em inglês e não tem nenhuma barra de configuração bem o jogo é ótimo mas poderia fazer isso,5,6,8.5.2,2020-07-23 07:23:29
12,aksdasma,https://play-lh.googleusercontent.com/a-/AOh14GhNz_4JDObO2NyktIwaBAynN1PX8XBsktDhTCP5Hw,"O jogo é bom mas não consigo entrar, o app meio que trava na tela de loading e não dá pra jogar.",1,6,8.5.2,2020-07-24 18:03:44
13,Matheus legal BR,https://play-lh.googleusercontent.com/a-/AOh14GiDa52p_28zRT4teDNVED-Ba_CUoZ9Q-iJtOnWa,Não me leve a mal o jogo é bom ele tá com bug toda vez que eu tento jogar quando eu vou lá tentar ir para lua não consigo ele sai do jogo,1,13,8.5.2,2020-07-11 11:56:50
14,Márcia Pereira,https://play-lh.googleusercontent.com/-xhRiBG_V_t4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnVBn9dY0ZPiEPwSIU8vPUnjRTh2g/photo.jpg,Não me leve a mal o jogo é bom mas só que agora quando você vai jogar no telefone vocês não consegue rodar a tela como antes,3,4,8.5.2,2020-07-08 16:25:11
15,Pietro Games Lami,https://play-lh.googleusercontent.com/a-/AOh14GhFLmc1KhzWof9FwfqjAfcx0l5K14gcVfMnZzCmkw,E um jogo viciante mas porque nào da para colocar no modo horizontal so tem vertical,4,15,8.5.2,2020-06-24 03:11:11
16,Zvoiks yt,https://play-lh.googleusercontent.com/a-/AOh14Gj1ch-93ij81f2yl7ecTV1G5drUQ8yz-QvXiBFL9g,Polar trás um vídeo aq então vá na Lucky patcher vá no jogo vá em menu petchers cria um arquivo e vá na 4 opção e espera😁,5,1,8.5.2,2020-07-20 13:32:04
17,Brazil User,https://play-lh.googleusercontent.com/a-/AOh14GgwrVLAC0v13qFFC1sdCzluX40QXjnhEPFfWPjvoA,"Melhor jogo só por causa da música(é zueira mas o jogo é realmente bom,só n gostei q n é offline)",5,0,8.5.2,2020-07-12 10:14:32
18,Axel Dornelles,https://play-lh.googleusercontent.com/-iRd71wl5PUw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnn94pf1Z9ltb09IAbJZazdCPawVg/photo.jpg,"Joguei esse jogo tempos atrás na Steam e posso dizer que é exatamente o mesmo que era antes: Mais um jogo idle e clicker sem graça, como tantos outros. Parece que virou moda criar um jogo com o máximo de preguiça possível. Não há enredo, variedade, inovação ou emoção. Tudo que você pode fazer é clicar em atividades monótonas para aumentar um número e, se tudo der certo poder clicar em mais coisas monótonas e aumentar mais o mesmo número. Esse ""jogo"" é quase a caixa de Skinner, mas mais chata.",1,1,8.5.4,2020-09-20 02:22:28
19,Nicolas Dorneles,https://play-lh.googleusercontent.com/a-/AOh14GjWuzMHpHITfkRL67K1ypvts0Hirml6FY2XnRUwlg,"Legal no início, porém enjoa muito rápido.",3,1,8.5.2,2020-06-29 23:34:03
20,Margareth Liz,https://play-lh.googleusercontent.com/-rBvqAJvf6Tc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckI4ch51gM4LQJZ-iQThzUPk3r1bw/photo.jpg,"O jogo é viciante, muito bom, eu comecei faz pouco tempo, mas dá pra jogar de boa, muito bom",5,0,8.5.2,2020-06-16 11:30:59
21,_ fominhagigante52,https://play-lh.googleusercontent.com/-7ckO1CLzMiA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclJN2otAmDYt1YjjHG0XQiwSeLxQQ/photo.jpg,O jogo nao entra pra min toda ves que eu entro no jogo uma piramide bugada aparece e ai fala que o jogo paro,1,4,8.5.2,2020-06-28 00:33:28
22,PatentSleet 7190,https://play-lh.googleusercontent.com/a-/AOh14GjW6ZUKrcZfxgwOfFLvqBne1nEpjrO03t2x8UpY,"Gostei da criatividade, um jogo offline que precisa de internet pra joga",1,3,8.5.2,2020-06-28 11:38:21
23,jao parca,https://play-lh.googleusercontent.com/-S6gys0YxEoc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckPGYPlNtfPl75PJgttPE3cMhFcyw/photo.jpg,"Perdi meu progresso, estava SUPER avançado.",2,1,8.5.2,2020-07-01 23:57:51
24,noximilien,https://play-lh.googleusercontent.com/a-/AOh14GgECcofyl4hFwJK1Z_RBQO9zS3YbMKbusUmyR6Wjw,Jogo bom pra passar o tempo. Platinei quando era de pc agora vou platinar no celular.,5,0,8.5.2,2020-06-23 21:20:51
