,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Rico Milani,https://play-lh.googleusercontent.com/-8wfOveyiVys/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl0queXU1BbJjE531rEbn0E6QxC6A/photo.jpg,"O jogo é simplesmente apaixonante. Depois que você começa não consegue mais parar até conseguir alcançar aquela fase. Ele ajuda muito a trabalhar o raciocínio e sua agilidade, uma excelente terapia e, ainda tem o bônus do relaxamento enquanto se joga ouvindo a um mantra ao fundo.... ou seja... você se diverte, trabalha a mente e relaxa... tudo ao mesmo tempo. Simplesmente GENIAL!!!! Recomendo demais!",5,45,2.5.0,2020-10-02 17:09:24
1,Ronaldo Marques dos Santos Jr,https://play-lh.googleusercontent.com/a-/AOh14GipQ3e_SohKDSY6tcIceJsXOY7C2YwGgrodDlhMiQ,"Um dos jogos mais incríveis pois, além de estimular os dois lados do cérebro, foi construído numa plataforma confortável e com uma for.a dinâmica e intuitiva. Meus parabéns a toda a equipe. Recomendo!!!",5,52,2.5.0,2020-09-22 17:39:26
2,Alessandra Rocha,https://play-lh.googleusercontent.com/a-/AOh14GhGpub0NGEdWzlJtnqz1nyGtssH0uc3-RkFqsP1LQ,Os gráficos são bons e o tempo de resposta é bem rápido. Mahjong é um jogo clássico e atemporal e foi desenvolvido para mobile muito bem,5,10,2.5.0,2020-10-25 14:41:33
3,Sori Lins,https://play-lh.googleusercontent.com/-Z67Kixm88Qc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm7aF206bzydUdfXrajDSx1SJdqNg/photo.jpg,"Excelente, simplesmente maravilhoso, bom de jogar sem dificuldades desnecessária, enquanto joga ouve uma música de fundo relaxante. Parabéns",5,8,2.5.0,2020-11-01 07:01:47
4,a vida e maravilhosa . devemos respeitala,https://play-lh.googleusercontent.com/-nc33mClHMaw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclopPHHbdduHCZe9eMpytmuw1vawA/photo.jpg,O jogo é ótimos com suas peças coloridas simplesmente fácil de identificar e apaixonante .,5,4,2.5.0,2020-10-15 06:50:05
5,Caroline Mello,https://play-lh.googleusercontent.com/-SfdTc60OaGc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckZzSZJrWYsAXAqQu2C_eTjy1uDPQ/photo.jpg,"Sensacional, super rápido, muito bonito e interessante",5,3,2.5.0,2020-10-29 23:58:03
6,Cauã Silva,https://play-lh.googleusercontent.com/a-/AOh14GgB-P2XRwy4v0uNRw9nXQnEQbRBswAIvv7dT7gRsg,"Simplesmente apaixonante, e super viciante, fazia tempo que não jogava Mahjong e o app me entregou muito bem oque eu necessitava.",5,0,2.5.0,2020-11-06 02:48:33
7,Helenice De Leo,https://play-lh.googleusercontent.com/a-/AOh14GiJqUL-hNVBSwHp6GI866e0Ihjai84Bn3gPftA7mQw,"Design bonito, diferente, muito colorido. Estou iniciando e estou gostando.",4,18,2.5.0,2020-09-27 01:59:17
8,Julia Gomes,https://play-lh.googleusercontent.com/a-/AOh14Gjn4jYXnemnD-J0PzmOv6pDwXkMpoRdeh1xwNFpjQ,Um bom jogo! Pra quem gosta de um jogo do tipo memoria e que exercitar a capacidade de atenção! Gostei.,5,4,2.5.0,2020-10-01 23:22:00
9,Guilherme Almeida,https://play-lh.googleusercontent.com/a-/AOh14GiiKgs4EZOc36rWlPKUClh1EbSGvWbcPpxjoNW0,Bom passatempo. Interativo e desenvolve a atenção.,5,3,2.5.0,2020-09-30 20:42:59
