,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Bruna Schimidt,https://play-lh.googleusercontent.com/a-/AOh14GgTSyJc2ypqRT6QJ7EeaXgq1qArUGCFUmp2x7Ro6w,"Horrivel, demora muito pra conseguir moedas e pra ganhar moedas tem que ficar fazrndo ofertas e baixando aplicativos pra completar, e as moedas acabam muito rapido e é super dificil conseguir derrubar moedas, a maioria cai nas laterais e voce nao ganha elas. Odiei. 1 estrela.",1,50,22.0,2020-05-30 01:03:15
1,Eva Maria,https://play-lh.googleusercontent.com/a-/AOh14GiBpxbof3cY2SAgoTTTcJOLWi3-XnmBR6_8bPNpNw,"Bom o jogo em sim é legal mas poderiam recompensar com mais moedas ao ver um video,pra quem está a procura de jogos novos tem varias opções nesse pra você instala_los no seu celular e etc",3,32,22.2,2020-06-19 20:57:03
2,Vincenzo FOX,https://play-lh.googleusercontent.com/a-/AOh14GiO-fRwsCNTGFadnsLkaNrhg4bGv8bFaJPJcz2tYA,Tipo casino mas a cada 10 minutos vem anúncios,5,9,22.0,2020-05-22 22:08:31
3,Gabriel Veiga,https://play-lh.googleusercontent.com/a-/AOh14GhZ48Ml4DhollJkRYCoSDq7e4RU5Yk9QVXZuYRr4g,"Jogo inútil, a única coisa que deixaria o jogo interessante, eles estragam deixando a evolução lenta.",1,0,,2020-10-24 20:13:02
4,André NH,https://play-lh.googleusercontent.com/a-/AOh14Ggza2VutX3ohNHWVEo5rVR4ISG8amkljp1PjIFspD8,"Pouca ficha grátis e muita propaganda. Chega a ser estressante, de tanta propaganda que aparece do nada e para o jogo para ver o comercial. Desinstalando...",2,1,,2020-06-01 13:21:41
5,Jackson Portella,https://play-lh.googleusercontent.com/-DvIhCioypPI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmK8-usc2J0MfMxArbmPYYfuCn1ag/photo.jpg,"NÃO paga as recompensas, para de contar quando vc sai do jogo, sistema de recuperação de moeda muiiiiiiiiiiito lento. Desinstando rapidamente",1,0,22.3,2020-08-04 04:45:10
6,anandafbf,https://play-lh.googleusercontent.com/a-/AOh14Gi-OrMLTXL7FwdbNLiK9HiFKb8sEdSSgnEpXGW44g,"Adoro!! Conheço há muitos anos e adoro esse jogo! É viciante! De fato, tem bastante propaganda, mas já acostumei pq sempre q assistimos o video tem recompensa. Uma pena não da mais pra vender os prizes que antigamente dava. No mais, eu curto muito",5,43,21.8,2020-04-03 17:40:17
7,Rafaela Cavallari,https://play-lh.googleusercontent.com/a-/AOh14GiDUqYRbwIQa8_DyxdajUjjoRSMt_fNb9pgDR4nT7M,"O pior jogo que já vi! É lento e não tem o que fazer, só serve para induzir você a fazer compras dentro do jogo...",1,21,21.9,2020-05-19 13:51:10
8,Denilson,https://play-lh.googleusercontent.com/-10RPetWJ9s8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm4y3vh-jb230kvBIOtOD3buKe5dg/photo.jpg,"Jogo horrível, dinâmica péssima. Passa muito mais tempo vendo propaganda do que jogando.",1,0,22.5,2020-09-09 21:04:29
9,Monique Jardim,https://play-lh.googleusercontent.com/a-/AOh14GgN347rDh251ZoXcqkPHdifH67Wvns8Q-JD7B3-qQ,"Pensa num bagulho ruim e multiplica. Jogo ruim, propaganda toda hora sem opção de sair. Só baixei pra pegar diamantes em outro jogo, se não me derem vou ficar p da vida.",1,26,19.1,2018-10-24 15:46:15
