,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Wagner Germano,https://play-lh.googleusercontent.com/-4HK6iHoRu9s/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclxkJ0Vy3lAFzBkiZExNgwShvc5vA/photo.jpg,Esse jogo e muito legal e muito semelhante a uma vida de um motorista de trem. Mais a unica coisa que eu nao gosto e ter que construir a ponte. Dou cinco estrelas,5,17,3.0.6,2020-04-12 20:19:56
1,PqpTeuzツ,https://play-lh.googleusercontent.com/a-/AOh14GjsQ2arJrasZqMvoXcQ0CQzJK0U09IKEq8vW6bg,"Nem acredito que eu jogava isso em 2013 com meu tablet da multilaser, quando eu tinha uns 7 Anos kkkk, vou baixar para relembrar c:",5,68,3.0.1,2019-07-28 01:19:53
2,DIONIZIO OLIVEIRA,https://play-lh.googleusercontent.com/-Gm-0Op1IOcU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl4VcXF7VxLz-MwgUG81tNaswLDJQ/photo.jpg,Uniu de serviço realizou rondas no período das pessoas medicadas a pouco desço pra ir no Biasi TB ñ vai passar Na TV Globo de boa então é bom dia todo mundo em Ipx e u não depositei de serviço realizou rondas no período das pessoas que r a í e u 3x6 a í 50k ficou muito tb q não cai no setor comercial e bancário por meio do policiamento ostensivo na upa já tá passando a notícia,5,20,,2020-03-20 20:36:41
3,Juliana Bressan,https://play-lh.googleusercontent.com/-nINMeLzJi6U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucllwlDNo2G5rFEzIDLHgM8jrS0D7g/photo.jpg,"Muito bom para criancas a partir de tres anos e nao tem anuncio, parabens quem fez o jogo.",5,443,2.3.0,2019-03-14 21:54:10
4,Pedro Henrique de Souza Coelho Norberto,https://play-lh.googleusercontent.com/-BjsmaCHnuxk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck_vHdOEC9ZMBwIq3bxenRmH56Kbg/photo.jpg,ou se preferir utilize o formulário de pesquisa Google para procurar instantaneamente qualquer mensagem forma de,5,14,,2019-08-15 22:11:12
5,Jessica Filgueiras,https://play-lh.googleusercontent.com/-ck7fuELSohA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnnUmFZwAZtYraMIAkjcBs3-XfFZA/photo.jpg,"Eu não gostei porque o jogo dura só 20 minutos, porém vou dar 5 estelas por a jogabilidade😌🤗",5,12,2.3.0,2019-03-24 11:43:36
6,Goku-Player,https://play-lh.googleusercontent.com/a-/AOh14GjAJSF1eGLJCLmPw9BL7CbmaWkH4FEHUbpwpyQkFA,Já tenho 10 anos e já desitalei muitas vezes e senpre achei muito 🤩 e muito especial para mim tenho soldades 😔 !!!!!!!!!!!!!!!!!!!,5,48,,2019-09-10 15:48:23
7,Débora Monteiro,https://play-lh.googleusercontent.com/a-/AOh14GjNbaIy0Dppm7WtCWlktqbyEqB1U4Q8ypz2rb3qMQ,o jogo bloqueia 90% das vezes que o meu filho joga.. bloqueia sempre que é para abastecer o comboio,1,234,2.3.0,2019-04-01 17:48:58
8,lucca_1629 Roncari,https://play-lh.googleusercontent.com/-NsVIV8k6kt8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmng44S0IxzAf2OUfcGfM7NAXn6aQ/photo.jpg,não sei se é possível fazer não sei se é possível fazer a transferência do valor do frete para o dia todo e qualquer tttgtfd Gmail do do,1,27,,2019-05-01 14:07:14
9,Valadares gamer,https://play-lh.googleusercontent.com/-87ol4S_uFMU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmqAb2Nb40AC_sxdHHQXb-aBRmVLg/photo.jpg,o jogo e muito bom para crianças mais eu to tentando baixar outros jogos duplos mais nao da voceis que ficeram o jogo tentem botar os jogos para baixar ai eu do cinco estrelas,4,11,2.3.0,2019-05-04 19:36:48
10,Cronologia Mascarada,https://play-lh.googleusercontent.com/a-/AOh14GgvDF_YvHl0jZjKRMBHEnAL4CIP0Aoykjy1r7DX,Sempre adorei esse jogo! Des de quando eu tinha 3 anos amo esse e jogo! E olha que eu tenho 11!,5,145,3.0.1,2019-08-29 15:18:21
11,Breno Vlogs,https://play-lh.googleusercontent.com/-_9jcCwilCnY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclKQZ4IQ3Sgmhh8alo76siU5eIhZw/photo.jpg,Esse jogo é muito legal Sabe porque a gente porque pode chegar nem forte para chegar um monte de gente vou pegar os passageiros é legal né eu já joguei mas desinstalei por causa do Roblox gente quem tiver comROBLOX mande mal no Roblox mas não muito mal do bloco só porque a gente por causa que aí vai aí você sabe né gente mas esse jogo também nego é muito legal baixo também,5,1,,2020-02-21 23:35:43
12,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,O jogo é muito relaxante eu tenho 8 anos mas é bom o jogo mas tinha que ter mas opisoaes do trem,5,0,,2020-03-29 21:23:28
13,Dhii Mendes,https://play-lh.googleusercontent.com/a-/AOh14GhV2cX6ITehJKCXMxXFkz4RPxLImMNgCRwZ4ibXfA,"parabéns, jogo muito divertido, meu filho ama, o melhor de tudo que não tem anúncios! parabéns novamente.",5,10,2.3.0,2019-06-15 15:37:48
14,Mariadolivramento Silva,https://play-lh.googleusercontent.com/-LK7lQdOapj8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckGX9Sp0bYNtp_VTd227m9ICKoW0w/photo.jpg,fjgjfj jogo dos thundermans jogo de thunder jogos de Trem das Cores jogo do Santos Man jogos de Trem das Cores,3,2,,2019-07-13 13:43:22
15,Rita Paes,https://play-lh.googleusercontent.com/a-/AOh14GgY2hLoRq7peK2ebuyTQCSjw26BnUZ8m01-fxPpvA,Tô baixando vamos ver se o baby aprova ! Eu gostei e achei super estimulador pra uma criança de três anos !,5,7,,2018-11-09 10:34:26
