,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Maria José Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14GiH31qj5Go1MwY8wr16tv25W7Brz31ZVmDHxkHQLn8,"Meu jogo de eleição! Clássica paciência como desafio diário, sendo que poderia ter outro tipo de solitário como desafio, o que tornaria o jogo muito mais interessante, consequentemente uma app mais apelativa. Deixo a sugestão! Bem hajam!",5,26,4.19.1.20200421,2020-10-28 22:15:51
1,Yasmin Pacheco,https://play-lh.googleusercontent.com/-an6E_TxMdbM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmNAfblhcIoURIIuNoOLely998NCQ/photo.jpg,Émuitoi bom esse app ele não tem quase propaganda e tambem ele nem tranca muito!!!! Parabens para quem fez esse jogo muito legal!!! Vale a pena abaixar por que quando eu vou abaixar um jogo eu sempre vejo os comentarios e dai eu vi que não tinha comenrio ruim e dai abaixei!!! Minha mãe tem um conputador e dai ela tem esse joguinho e bem legal!!!!🌻,5,73,,2020-09-16 14:24:01
2,Vitoria Gomes,https://play-lh.googleusercontent.com/--eCOAWss1rk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckgZtXER7iYwki_WS0ZryAlZvnKjg/photo.jpg,Amei...Esse jogo é demais...Muito bom...Gostei dele de verdade...Não tem tanto anuncio...E pra quem acha q tem tanto anuncio...Simples...Desligue a internet...Agora quem não quer desligar a internet faça o seguinte desinstale o jogo...Não gostou sai fora...,5,225,4.19.1.20200421,2020-09-09 23:05:25
3,Jefferson R. Ferreira,https://play-lh.googleusercontent.com/a-/AOh14GgBY8TDmJDM_pf68bFP-AfLsh2tHEKjzqr0cjRTSC8,"Gostei!!👍😎 Super animado pra jogar!!👏😊 Apesar de estar pesando muito no meu Samsung J3 2016 eu estou super satisfeito com esse joguinho bem animado e com uma ótima jogabilidade, mostrando gráficos excelentes!!! Parabéns aos desenvolvedores! 👍😊",5,37,4.19.1.20200421,2020-11-01 23:16:14
4,Lourdes Reis Sobirai,https://play-lh.googleusercontent.com/a-/AOh14GgzT9Nsqxy4-b7w9P3ATdARuZYSY5TiGIJpU6ysQA,"Amo jogar paciência desde que eu tinha o computador, aí este estragou, e ficou parado em um canto da casa, na época deixamos assim, agora moro em uma casa geriatrica ,sou cadeirante devido há um AVC emorágico que sofri em 2008, desde então meu marido foi o meu herói, cuidou de mim, ano passado vendo que ele estava ficando esgotado de cuidar de mim, da casa ,e trabalhar fora ainda !Tudo que aqui escrevi é verdade ,e continuo adorando jogar .....",5,533,4.19.1.20200421,2020-08-03 14:01:55
5,Beatriz Baptista,https://play-lh.googleusercontent.com/-ITXnPGg2afE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl-bkdSoiDSguWP1H1IQq_PTX6qcw/photo.jpg,"Gostei muito do jogo a única coisa que eu acho que falta é em vez de ter os jogos aleatórios podia ter mais como os diários, desafios, patamares, não sei se estou a explicar bem, mas é algo do género.",4,4,,2020-10-03 19:43:19
6,Tina Pinto,https://play-lh.googleusercontent.com/a-/AOh14GhKCsGZFFfyCGBYzGB3h-B9t64gfaBBSiQdPnQL,É bom adorei as limações que acontece após o término do jogo só tem um problema como todos jogos que eu joguei muita propagandas e muito alto as músicas de fundo pra pessoas que gostam de jogar noite fica muito barulhento.,3,58,4.19.1.20200421,2020-09-13 22:34:48
7,Rosimere Lopes,https://play-lh.googleusercontent.com/a-/AOh14GjCzTwLgeATPgpEb-xJqllmzhPgt8h8lQr1G5tXxA,"Gosto muito!!! É o único que jogo pra descansar a mente, os anúncios não chegam a incomodar, alguns são até interessantes. Grata Rosi 🌷",5,19,4.19.1.20200421,2020-09-21 20:20:29
8,Antonio Carlos Silveira de Moraes,https://play-lh.googleusercontent.com/-KKt1kMybbmg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck9HTYyJ4PlvTuV09qEK-paeIaNkw/photo.jpg,"Muito bom, gosto demais, quando jogo, a vontade e de me superar a cada jogo e claro me obriga a me aplicar mentalmente cada vez mais. Bom demais.",5,14,4.19.1.20200421,2020-09-04 10:41:34
9,Laura Torquato,https://play-lh.googleusercontent.com/a-/AOh14GgP5A-U4b80B7dIwozIwhDx9i8eKFJhhy_qZR0tjg,"Um jogo maravilhoso, passo horas e horas e não me canso. E não tem tanta propaganda como uns outros. Recomendo baixarem!!!",5,11,4.19.1.20200421,2020-09-09 14:04:30
10,isaias arsenio da silva junior,https://play-lh.googleusercontent.com/a-/AOh14GjdhRLJJJM71zwD8DbPobpM74_cVYdQWcGO6ZGE,É bom aguça a mente ao raciocinio daquilo que parece ñ estar visivel aos olhos no entanto é uma questão de ter atenção redobrada. É bom e realmente distrai e desestressa.,5,3,4.19.1.20200421,2020-09-22 22:41:08
