,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Lara Bastos,https://play-lh.googleusercontent.com/-AA7tt1RfEkE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnpN18mYLsthWz1eRcfF0zyXiv3Bw/photo.jpg,Muito bom recomendo eu queria que fosse na vida real eu ia amar vestir elas colocar roupas tambem mas eu ja estou dando spoiler kkkkkkk não sei se ta ceeto mais e muito bom perfeito adimiro muito esse jogo perfeito um aplicativi que e muito bom o nome e: mobizem da para gravar a tela de jogos para o seu canal a tela do seu perfil enfim muito otimi bjns conhecido como beijinhos,5,131,1.2.8,2020-09-07 14:14:34
1,Manuellaa Bernal,https://play-lh.googleusercontent.com/a-/AOh14Ggp8rkNeXV-mkr51eUQ4KqiPWDJ4c-bjMQDWVmx,Super legal passo o tempo todo nesse jogo só que deveria ter algo para tirar o som sem abaixar o celular para mim poder ver a minha série e jogar ao mesmo tempo,5,491,1.2.7,2020-07-20 13:33:22
2,Yasmim Brito,https://play-lh.googleusercontent.com/-agbzqxnBtts/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmXmgbLhZy3pZokm_dAKWPUi9c5bQ/photo.jpg,Esse jogo e muito bom mais quando chegar nu final sai do jogo e. Pronto volta pro início resolvao isso ta,2,77,1.2.8,2020-09-11 12:33:45
3,cristina Narcizo,https://play-lh.googleusercontent.com/-GIYXdEg9un8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnpvMSixjH4DyJs19SyQTMrBXCHYw/photo.jpg,Amei o jogo e divertido e engraçado 😃😃 Só não gostei da parte dos anúncios porque os anúncios deixa o jogo mais difícil porque a gente tem que ficar esperando toda vez que quer comprar alguma coisa então eu não gostei disso nesse jogo fazer um jogo diferente é melhor fazer um jogo que não tenha muitos anúncios.😠😠😠😠,5,657,1.2.6,2020-07-13 12:46:24
4,Erica Santana,https://play-lh.googleusercontent.com/-gQLapgLTIsQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucltJebIms0VU-UaTp57nsiEQKnl7w/photo.jpg,Eu gostei mas demora para instalar demora muito mesmo mas tirando isso e legal então parabéns e melhorem isso e outra coisa os anúncios durram como se fosse para sempre mas tirando isso e muito legal amei bjs tchau,5,1,1.2.9,2020-09-21 17:28:10
5,Karly Dias,https://play-lh.googleusercontent.com/-3RZy7W2lhFM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnAj8lelRRWIluhVFlpaeX4sMU4Gw/photo.jpg,"Esse jogo é muito legal, só que ele tem muitos anúncios, e trava também, mais tirando isso, o jogo é muito legal",5,1,,2020-08-22 08:56:02
6,diana cristina santos,https://play-lh.googleusercontent.com/-y9b5j2OOaNg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmexwlMkRRtRtHIK8Kj31JTkQisCQ/photo.jpg,"Olá,meu nome é Julia Rodrigues tenho 11 anos (conta da minha mamis),e quero falar q esse jogo É bem legal,o probleminha é q tem muita coisa pra assistir anúncio,eles só liberam 2 objetos ou acessórios,queria que melhorasse pelo menos 5 coisas pra não assistir anúncio,fora isso o jogo é incrível,parabéns para os desenvolvedores🎊🎉",4,4,,2020-07-23 22:45:14
7,Maria Oliveira,https://play-lh.googleusercontent.com/-P-ZOlIApEiw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnwKKA97v0vAL0PiDFVjJyVij2gtw/photo.jpg,Muito rui esse jogo eu dei 5 estrela poque você que são dono desse jogo não libera as coisas de faze se e um jogo tei que libera enteu não e falado mau não? Pode crer pacero não gostei e muito ruim eque quize vai da cu vai paputa que pariu ana Júlia você não gostou do que eu falei então vai da teu cù mulher,5,2,,2020-06-05 18:56:22
8,Avelino Sérgio dos santos Neto,https://play-lh.googleusercontent.com/-krVJkvloVkE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmpeiWlg9wl2LGMDiA8tvJQce9ucQ/photo.jpg,"O jogo é muito bom! Tem vários cenários de jogo: meninas unicórnio, princesas, sereias, fadas e inclui várias personagens. Eu recomendo 😃💅",5,465,1.2.6,2020-07-20 07:00:48
9,Jocilene Garcia Rodrigues Garcia Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14GjUQOEYIflT4mR3hTuMJV2hsrPrwCiXSP3oB0_2QA,"É péssimo esse jogo, é tudo bloqueado e tem que ficar vendo videos para desbloquear, mas não adianta nada ver videos para desbloquear, sendo que bloqueia tudo de novo depois, e depois de algum tempo não dá nem pra ver videos para desbloquear, porque ele fica travando o celular, não recomendo!",1,199,,2018-10-20 15:36:55
