,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Douglas Soares,https://play-lh.googleusercontent.com/a-/AOh14GiAp9Hf_naZ4Mx4hUZxjxEibPh4AP4-iiDuIaTP2bs,"O jogo é muito bom, tem uma jogabilidade incrível e os gráficos são muito bonitos. O único problema é que eu não consigo ver alguns heróis na hora da batalha, eles estão lá, mas não aparece a imagem deles! Tirando isso, é tudo muito bem produzido, e eu espero que na próxima atualização esse buge mude!",4,13,1.50.02,2020-11-08 12:03:01
1,Cristhian,https://play-lh.googleusercontent.com/a-/AOh14Ggf-ff6GeEtu4MzT0X-oiMtyXMOCYicFusXPO1bIw,"É um prazer jogar esse jogo, simples de entender e fácil de jogar, muito divertido,e não tem um aspecto p2w Edit: depois de quase um ano jogando, o jogo começou a se tornar p2w, novos personagens que só podem ser adquiridos com dinheiro. O jogo continua muito bom ainda, porém tem esse detalhe.",4,39,1.50.02,2020-11-06 11:55:59
2,Maria Clara,https://play-lh.googleusercontent.com/a-/AOh14GjttEV8E_dlrgy4mxJ5C_0IlsOIAPbNuJ3RftdR,"Eu amei esse jogo, a história é muito boa,os gráficos são incríveis, e o melhor você pode subir de nível e ter heróis épicos ou raros sem gastar dinheiro( so o dinheiro do jogo). Mas única coisa que é ruim é quando você joga bastante o jogo começa a pesar no celular. Mas tirando isso eu amei esse jogo...❤❤❤",5,31,1.49.01,2020-11-06 14:54:35
3,Lix Sky,https://play-lh.googleusercontent.com/a-/AOh14GgWfgGQJ11Pv88eii-xCoJ613Pv7d1dOoIkmtGm,"O jogo é legal e tal mas a cada dia q passa ele fica maior, ta quase 2 GB e os graficos nem sao lá essas coisas(apesar de nao serem ruins). Da pra otimizar o jogo nao? Se continuar assim daqui a pouco meu celular explode quando eu entrar no jogo porque o jogo é ENORME e os gráficos nem sao lá essas coisas",3,27,1.49.01,2020-11-06 07:56:10
4,Carlos Magno Macieira,https://play-lh.googleusercontent.com/a-/AOh14Gj9hKW7iMFcdTgsGxIHLxoYKOyYf029SPky6DRc3w,"Eu nunca gostei de jogos nesse estilo e tals, mas aparecia tanta propaganda na net que tive que experimentar...e cara, é bem viciante haushaushaus muito bom msm recomendo. So achei chato o nome do jogo ser AFK e vc n poder fazer nada sem net (afk no caso seria pq seus personagens coletam ouro e itens enquanto vc ta off)...E algo que gostaria de salientar e que foi o que me conquistou: As historias de cada personagem, me pego lendo e relendo elas, parabens aos roteiristas!!!",5,179,1.49.01,2020-10-25 17:50:32
5,Pink Daruma,https://play-lh.googleusercontent.com/a-/AOh14GhIWNfky7RS1pDnBs9rAMRkIfHdzKkqySswrR3WAw,Estou gostando muito. Espero um dia ver collab com She-ra! É bom tanto para passar o tempo quanto para jogar de forma mais focado. E como um jogo de colecionar heróis a arte é absolutamente linda mas neste caso se destaca bastante da concorrência. O jogo ser em orientação de retrato deixa mais confortável jogar.,5,49,1.49.01,2020-10-31 17:49:27
6,Amigo Feio,https://play-lh.googleusercontent.com/a-/AOh14Gj53DctpHHXquWEUUP_auAcBfkJ7mTzb6eXURn8,"Um dos melhores jogos idles, atualiza com boa frequencia, de tempos em tempos eles melhoram coisas que ja existiam e adicionam coisas novas, apesar de ser p2w de certa forma no meio pvp, vc nao se sente mal sendo f2p, vou fazer um ano que jogo, nao jogo com muito afinko e nao tou mal no jogo, as coisas mais frustrantes de ser f2p é a diificuldade pra conseguir e upar campeoes celestiais e hipogeus, alem de ser impossivel ter um heroi temporal sem desembolsar uma grana (geralmente sao bem caros)",5,28,1.49.01,2020-11-03 04:05:25
7,S a d n e s s L e g e n d a s,https://play-lh.googleusercontent.com/a-/AOh14Ghl3iB3GUnQrdqt5RY6y3lPAE3uZUcKS7pQQptMkg,"Boa noite Lilith Games, eu quero dar algumas idéias e parabéns para vocês. O AFK Arena é um jogo muito bom, tanto pela jogabilidade relaxante quanto pela parte sonora e artística. Belos desenhos, cenários incríveis e som-ambiente relaxante. Parabéns Lilith Games Bem, para o jogo, como idéias ( sugestões ): -Adicionem um evento com temática anime ( ex: Evento Do Nanatsu no Taizai, Konosuba,etc. ) -Adicionem novos personagens -Adicionem um novo capítulo",5,36,1.49.01,2020-11-03 21:36:59
8,Nossaurico WhiteEyes,https://play-lh.googleusercontent.com/a-/AOh14GisGYisyCDewrYuVrQ4iYSH-Bhyq6G4yVyMUPPN,"Automático Mas do Bom, o jogo tem variados heróis para fazer um time e deixar o auto ligado enquanto vc batalha e só vê o caos, tem equipamentos e tal que não deixam tudo tão fácil assim, na minha humilde visão é um bom joguinho pra se distrair, as historias dos heróis tbm dão uma boa distraida e são legalzinhas até.",5,30,1.49.01,2020-11-01 12:43:58
9,otaku passando,https://play-lh.googleusercontent.com/-XOwPzkmi-Ig/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckwCx6_RGYymH8WWI-d6mtOhbNu5A/photo.jpg,"Estou completamente viciada nesse jogo, ele é perfeito SÉRIO!!!!! o geito que fizeram os personagens são muito bom a arte e tudo mais é perfeita ( e eu sou apaixonada messes jogos e tbm quero ser uma design de personagens e ajudar a fazer jogos assim) enfim, esse jogo é perfeito parabêns",5,0,1.49.01,2020-11-06 15:43:46
