,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Giovanni Assis,https://play-lh.googleusercontent.com/a-/AOh14Gj7WKTsNdE3J35lmf4wKSekUDOfMcrHXLjE4OVA9Q,"Joguei durante muito tempo. Jogava o dia inteiro durante meses, você não tem como nem chegar perto de quem paga. Totalmente pay2Win, gastam rios de dinheiro. Você jogar direto e estar MESES atrás de um cara que pagou (acelerando construção) e nao jogou por isso é frustrante. Muito triste, potencial enorme esse jogo. Itens da loja visando o lucro sem pensar no impacto, estragam o game totalmente. Pra ser justo deveria vender só cosméticos (RIOT games é um bom exemplo de empresa/jogo balanceado)",2,4,1.0.39.35,2020-11-08 19:58:04
1,Sandro Alvares,https://play-lh.googleusercontent.com/a-/AOh14GhjvIKvPEZgqhni3r0qtSs8_JAUv1hfo23IHtKEDGI,"Olá, um evento ""Proteja os suprimentos"", que não curti muito extremamente difícil e problema seu tamanho na sua tela para jogar celular é dificuldade arrastar tropa da tela, cheia cidade e curto caminho muito horrivel, mas infelizmente sua nota 1 e deveria melhorar batalha do bom espaço, fala verdade é porque seu desenvolvedor não testou cada plataforma diferente tamanho para jogar tester no evento, não sou capaz rapido para jogar isso e desistindo no jogo, este jogo é reprovado ""Old Age"".",1,73,1.0.39.35,2020-11-04 14:51:54
2,Games Jooj,https://play-lh.googleusercontent.com/-XAtNcHgmv8s/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmYVUc-487nBKV4nGPcVssUTg5ZTg/photo.jpg,"O jogo é muito bom, gráficos bons,otimos comandantes,etc,porem a jogabilidade n é tão boa... claro q é boa mais as vezes fica difícil de clicar em um edifício que está melhorando para acelerar, porque tem outros edifícios ao redor,essa é minha única reclamação ótimo jogo",4,15,1.0.39.35,2020-11-07 14:45:53
3,plogue games,https://play-lh.googleusercontent.com/a-/AOh14GhleyFPvF7buN8_87wyAz2zPhmrSma4xbsiKEo5AA,"O jogo é ótimo, bem otimizado e é bem divertido. O único problema é qualidade dos desafios, pq depois de um tempo esses desafios se tornam banais e chatos. A minha sugestão é que vcs aumentem a dificuldade dos eventos semanais, e acrescentem mais. Poderiam existir mais comandantes épicos no jogo, acho que a quantidade é bem baixa se comparado aos lendários.",5,3,1.0.39.35,2020-11-08 23:49:12
4,Miguel Marques Guedes,https://play-lh.googleusercontent.com/--J_McfGcJUc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnTKTQg7XhtEzbS8I1au9V2N9wytg/photo.jpg,"O jogo e bom é legal, mas eu dei uma estrela por causa quê tem um jogo um enigma quê é muito difícil, esse é o problema eu não posso continuar o jogo se eu não adivinha o enigma, vcs tem 10 dias pra tira esse enigma do cap*** senão vou tirar o jogo do meu celular",1,8,1.0.39.35,2020-11-07 17:03:15
5,William Savi,https://play-lh.googleusercontent.com/a-/AOh14GhdVMelkq8YLKTGuB5Dh9MaBbstJq7XYUzTHh_0,"Dei 5 estrelas pq o jogo é bom . Uma pena que meu celular não ta aguentando pois conforme vou evoluindo, trava cada vez mais. Pra quem tem um celular razoavelmente bom , recomendo .",5,4,1.0.39.35,2020-11-05 20:01:59
6,Luara Pereira,https://play-lh.googleusercontent.com/a-/AOh14GiLJ8OQCqBGkDQ-qwDi9AbNbvewb8UWw04Pr-A4Wg,Por enquanto tem sido uma experiência muito divertida! Espero que assim prossiga. Não dou cinco estrelas porque acredito não ter tido tempo o suficiente para entender muitas mecânicas e problemáticas destas apenas.,4,35,1.0.39.35,2020-11-05 14:46:35
7,Marshall Moura,https://play-lh.googleusercontent.com/a-/AOh14GiGCYR6-oGOjMzGS61vegV8t3TTDshH5k-7hqZo,"Excelente jogo de estratégia, realmente vale em conta! Mas os pacotes diários de compra poderia ser a valor certo, exemplo, tem 3 pacotes que podem vim estátuas de Cao Cao, porque não colocar exatamente o que disse? Comprou ganhou! Simples. Então Lilith, estaríamos muito felizes e isso tornaria melhor o jogo e mais viciante, digo, porque desanima, eu comprei e conseguir 4 estatuas no primeiro pacote mas depois gastei 18 R$ nos outros dois pacotes e veio chaves de prata. Então, ajudaria muito.",5,10,1.0.39.22,2020-11-05 10:22:48
8,Gecelho Melo,https://play-lh.googleusercontent.com/a-/AOh14GjVKkNQa9kwK_7qrR_r53UmoquzZDa_H9LWfPeAzA,"O jogo em si é bom, mais tem umas verificações de segurança que servi pra saber se é realmente uma pessoa que está jogando que é muito chata aparece toda hora a cada 10 minutos isso estressa poderia ser com nem As frequência isso aí né.",1,24,1.0.39.35,2020-11-05 23:30:40
9,Mateus0014 Rabelo,https://play-lh.googleusercontent.com/-csX_oZ5PoRU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck3v9gDjd3DmqX6ZgDjfmP7ZYe-pg/photo.jpg,É um jogo muito bom mas poderia ter guerras por territórios de aliança e assim ter apenas os recursos que estejam dentro dele e se um outro pegar os recursos deve ter a opçao de se vingar,5,0,1.0.39.35,2020-11-08 13:48:26
