,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Galatic Fun,https://play-lh.googleusercontent.com/a-/AOh14GhmldReGr_aglLqFmF37jK0MiYixU_1ax9-z7bT,"Um jogo ótimo, graficos legais, jogabilidade boa, entretanto, o problema aqui são os preços dos itens e da maneira de como conseguimos moedas. Ultimamente, as coisas andam muito caras e os jogadores quase não conseguem comprar um item de 500 avacoins por ser dificil de conseguir a moeda, nos trabalhos dependemos dos outros jogadores para conseguir avacoins. A ideia é convidar amigos para jogar junto, mas e se ele não aceitar?. Deveriam colocar computadores para ser clientes. Obrigado.",3,41,1.047.00,2020-11-08 22:47:14
1,Leila Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GirxrCSa1iI3oVS0SCTyiIRSfa1UzSPokyCxT6i9A,"Bem nessa atualização de 2020 está muito boa,tem vários intes novos e a cada dia quê passa fica melhor. Mas bem o preço de avakoins subiu muito esses últimos meses,Não gostei muito do preço e espero quê ele abaixo pois bem como eu disse o preço está absurdo.tirando isso o jogo é ótimo o preço dos conjuntos diminuíram o gráfico do jogo é muito bom o jogo é ótimo!",5,210,1.047.02,2020-11-08 01:18:38
2,Daniel Norberto,https://play-lh.googleusercontent.com/-ktLqGzoqe8Y/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck7Q7wuAgqmCgDPwAGSFtZJ1OjNuQ/photo.jpg,"O jogo é maravilhoso, graficos muito bom e tals e sem contar q da para jogar online,mas o problema é q as coisas são bem caras e sem contar q trabalhar no café mano é bem cansativo, bem chato e vem pouco dinheiro. Outra coisa q seria mt legal seria novos corpos,pq tipo os corpos dos personagens sao praticamente todos iguais tirando isso o jogo é mt bom.",4,207,1.047.02,2020-11-08 17:49:32
3,Sibina My Life,https://play-lh.googleusercontent.com/a-/AOh14GimfGULlvtcisGFfYJi3rLBwxpkCALDRdpaPdVh,"O Avakin é incrível, só que nada é perfeito,os preços das roupas, animações, são um ABSURDO!! Os conjuntos também são, podia abaixar os preços por exemplo as roupas serem, 100 avacoins, isso foi um EXEMPLO! As animações podia ser 500, porque são 4,999 avacoins espero quê arrumem isso!! Beijos da Maria Vitória",2,23,1.047.02,2020-11-07 11:58:38
4,MrJan3327,https://play-lh.googleusercontent.com/a-/AOh14GjybWAMIlB4fD340oy1trUoVtKMdfKWfppLwiN2pg,"a simulação pode ser melhorada, mas traz distração. talvez, se os valores monetários fossem mais próximos da vida real, se houvesse como construir casas, instalar portas, paredes, seria mais desafiador. os participantes não exploram devidamente o horizonte RPG. não há bastante ação teatral. os diálogos são pobres, cansativos. falta remuneração digna para quem trabalha. há itens caros demais. deveria usar uma moeda única. a música irrita.",5,513,1.047.02,2020-11-07 20:37:46
5,Thainara Borges,https://play-lh.googleusercontent.com/-9QOS6KGUJ9s/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck4SdQWsY1Hj9RwzXii447JUOd-qA/photo.jpg,"Vcs poderiam colocar um condomínio assim as pessoas e amigos poderia mora no condomínio juntos seria muito legal e que cada um pudesse trancar a casa ,caso os jogadores deixassem suas casas abertas os outros poderiam entrar,e vcs poderia colocar no chat privado algum sinal azul ou de outra cor quando a pessoa visse a mensagem,e quando a pessoa ñ viu a mensagem poderia deixar em branco ,só pros jogadores ficarem mais cientes de quando a pessoa visualiza a mensagem ,ok muito obrigada 💖",5,8,1.047.02,2020-11-08 15:24:56
6,Richard Lima,https://play-lh.googleusercontent.com/a-/AOh14GhjoJmMfcOeFMdJPoi1ZGpjTnvxUL_tpMKr-YMEMpA,"Simplesmente, o avakin está um app de jogo totalmente fora da realidade, 12 reais para, 4k 900 avacoins, umas roupas de pacotes horríveis, fora atualizaçãoes que o jogo totalmente fecha sozinho, ou diz que a internet não está conectada, desisto desse jogo... Simplesmente foram 100 reais jogado fora nesse jogo, Não recomendo para que for achar este jogo um sonho virtual! Tenho 15 megas de internet ficsa, que o avk não aceita, só fica na entrada principal, dizendo 10% ou 30% a vida toda...",1,337,1.047.02,2020-11-07 20:21:57
7,Sofi studies シ,https://play-lh.googleusercontent.com/a-/AOh14GhFEnL-qc1T_AK2a0jKrl6IwSH_MATXo3-o8ReDUw,"Amei , é muito bom , eu conheci pessoas de lugares diferentes é muito divertido eu super recomendo você deve sim instalar muito bom é um dos melhores jogos , quem criticou sobre os avacoins é verdade os preços são um absurdo , mais sobre outras coisas como travar nunca aconteceu comigo acho que é o aparelho que a pessoa instala , e eu acho que as pessoas que falam mal desse jogo deveriam ter mais experiência no jogo antes de criticar e para terminar eu digo e repito se pudesse daria 100 estrela",5,2,1.047.02,2020-11-08 14:13:42
8,Luh gois,https://play-lh.googleusercontent.com/a-/AOh14GhC3hbSfEz5rLY_L5_GieQfZdoCnCbs99OPTK1D,"No momento o meu jogo está muito bugado ele não sai de 10% e eu queria muito que vocês pudessem resolver este problema para que eu possa voltar a jogar com meu amigos, por favor,antes quando eu conseguia entrar eu amava o jogo,parabéns para o criador,mas por favor poderiam resolver o meu problema? Talvez seja a nova atualização",2,1,1.047.02,2020-11-08 23:09:59
9,Elizianny Kaetano,https://play-lh.googleusercontent.com/-x1mnwWsxWfc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckA5UZirUc3KZQIFskESSAFyCQ0rA/photo.jpg,"Esse jogo é realmente muito bom, um dos melhores que joguei. Mas deveria diminuir o preço das coisas ou colocar novas maneiras de ganhar avacoins. Creio que é um pouquinho injusto trabalhar o dia todo, ganhar 1000 avabucks e só ganhar 250 avacoins por eles. Também queria chamar a atenção para uma coisa; A censura da palavra ""Zap"" no chat. Não entendi o motivo. Fora outras palavras que não tem nada demais e mesmo assim são censuradas no chat de algum local ou no PV.",3,15,1.047.00,2020-11-07 19:37:09
