,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Anderson Moreira,https://play-lh.googleusercontent.com/a-/AOh14GhcRVKHctTFB3h5wbpNtPIfoXTYWZQ4J9CabzW854M,"O jogo continua fechando sozinho, eu entro nos anúncios, e ele sai automaticamente, e agora tem uma missão que é pra assistir, e eu não consigo. Já mandei mensagem pro email com meu código de suporte, e não me responderam",2,23,1.52.7,2020-11-06 08:48:53
1,Luis Fernando,https://play-lh.googleusercontent.com/a-/AOh14Gibr0iuf8iqx9KoEujIjd79LxZmvPJ5EZ6t3_ls,"O jogo é muito bom, só tem um problema, não consigo entra na minha conta do jogo diz que é problema de conexão,mesmo a conexão estando ótima, queria que isso foi resolvido logo.",1,28,1.52.7,2020-11-06 11:30:55
2,Renato Rubens Sartori Silva Santiago,https://play-lh.googleusercontent.com/-dWU6gzKSWe4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmbfou02Sjx28s5DxLYbMhHHNDOPQ/photo.jpg,Olha eu gosto muito desse comecei a jogar ele recente mente mas hoje ele deu algum problema e eu não consigo entrar no jogo eu gostaria que vcs resolvesem esse problema o quanto antes,5,0,1.52.7,2020-11-08 19:58:52
3,Erick Tostes,https://play-lh.googleusercontent.com/-FLqe-M6jwdU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclp2dnffTKl83cVg2p6yNmhyfI27Q/photo.jpg,"O jogo é ótimo, jogo a anos, mas recentemente estou tendo problemas serios, pois estão me privando de jogar e atrasando severamente meus objetivos no jogo. Durante tela inicial de carregamento, assim que ela termina e o jogo vai se iniciar, ele fecha do nada, me obrigando a passar dias sem jogar. Por favor, arrumem isso, com urgência",5,307,1.51.7,2020-10-11 11:30:55
4,Márcio Rogério,https://play-lh.googleusercontent.com/-2DF3-EW0X98/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn-hIbLffXFMUEwmSXk9bEgcra9yg/photo.jpg,"O jogo está com alguns problemas que nos desanima a jogar, ele sai do jogo sozinho,trava quando vc assiste um vídeo dentro do jogo ( que ele msm possibilita a gente de assistir), e oq é pra mim ,o pior, ele perde mt a conexão com a internet , independente da velocidade dela . Um conselho a quem quiser baixar o jogo; espere pelo menos mais umas três atualizações,tá mt difícil de jogar.",2,16,1.51.7,2020-11-04 10:22:12
5,Jose Ribeiro,https://play-lh.googleusercontent.com/-AzR6s9u_jhE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclr9tMeJl1FuNdyx3DuAcnJFwV8gw/photo.jpg,"O jogo e muito bom mais trava bastantes,e tem vez que ele demora muito para abrir, e com essa demora ele acaba saíndo altomaticamente e isso e muito ruim as vez perco o progresso por causa disso. Por isso o motivo das três estrelas der para concertar isso agradeceria muito. posso até colocar mais estrelas!",3,10,1.51.7,2020-10-24 16:28:06
6,Elma Elma,https://play-lh.googleusercontent.com/-ijs5XKL9H3c/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnBMSahYAwq1onbvjfuOVNcXzbsgg/photo.jpg,"Temos que concordar que é muito bom , os controles , jogabilidade e GRÁFICOS tudo muito bom mais demora muito para carregar, e não sai do jogo se sua internet estiver ótima ,e isso é muito chato ,pois nessa guarentena a internet está instavel , então do 3 estrelas mais o jogo é muito bom. pode baixar se sua internet for muito boa .",3,252,1.51.7,2020-10-10 13:00:38
7,Linda Empire,https://play-lh.googleusercontent.com/-0esgMqeL_6I/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclh4V18bO5gnNfk7LViB94VIdNvkQ/photo.jpg,Adoro!!!!! Simplesmente adoro... N tem anúncio irritante!!!! E eu tenho estado a ter muita sorte com o jogo... Mas o único sítio em q eu n tenho sorte é nos eventos limitados quando eu venço uma luta na roleta ou o q é aquilo só me sai peixe e madeira. E tbm podia haver mais maneiras de ganhar moedas de Odin. Mas de resto tudo é bom☺️,5,445,1.51.7,2020-10-06 07:09:20
8,kawan dayvi,https://play-lh.googleusercontent.com/a-/AOh14GjoUNhm7N1ctxtj0qO1y96nWQZJN2NLnv7qbKYu,"😊😊😊 o jogo e muito bom, gráficos lindos, muitos dragões do filme e da série de como treinar seu dragão e muitos outros!!!, Eu tenho dado muita sorte no jogo 😁😁😁, o jogo ""ascensão de berk"" e muito bom, e se caso ocorrer erros no seu jogo os funcionários e desenvolvedor do jogo te darão muita atenção, (como foi o meu caso)",5,5,1.51.7,2020-11-06 17:18:03
9,Cleiton Gomes,https://play-lh.googleusercontent.com/a-/AOh14GikJOI2kwIkiUAd4osx8D6QYGy7RXzaK_BybAw9sA,"O jogo estava funcionando perfeitamente, porém após a atualização ele simplesmente sai sozinho! Tem espaço mais que suficiente para baixar os dados do game, mas mesmo ele nem que sequer entra mais... Quando vou logar em minha conta do Facebook, ele carrega no máximo 5 segundos e sai. Arrumem logo isso, pois o jogo é legal mas deixou a desejar nessa atualização!",1,216,1.50.19,2020-09-09 21:19:44
