,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Lucas Montovanelli,https://play-lh.googleusercontent.com/a-/AOh14GiQMwSxp2T9RD6m0d1CmCOYYzKFNpmG-LJuVTMh,"Gosto bastante deste jogo, os gráficos são incriveis, e o jogo é muito viciante, mas desde a última atualização, o jogo vem apresentando um problema bem chato, a cada 5 minutos o jogo trava e crasha logo em seguida, e isso acontece o tempo inteiro, oque deixa o jogo muito difício de jogar, desinstalei mas quando esse erro for resolvido, voltarei a jogar",3,521,1.47.2,2020-10-13 08:42:02
1,Pedro Lucas Carvalho,https://play-lh.googleusercontent.com/-qDWRQT6NeVc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclQKk0MNb-cjx24L4IHJoNBm2agjg/photo.jpg,"O jogo é muito bom muito muito bom mesmo e também muito viciante, só que poderiam deixar como era os cenarios de batalha de antes, e também poderiam normalizar os desbloqueamentos tipo: você tinha que estar nivel 25 para desbloquear as trocas, nivel 30 para o armazenamento, nivel 17 para o cercado do raptor. Más Ludia não é uma critica, não entenda este comentario que eu estou fazendo como uma critica, só estou falando que vocês poderiam arrumar isso, se não conseguirem, eu entendo",5,308,1.47.2,2020-10-20 21:23:25
2,Dudu Sepúlveda,https://play-lh.googleusercontent.com/-1i6cebzF0ro/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmYFK_OCk0-stGkGPVotsOl7GX2TA/photo.jpg,"O jogo é muito bom..... Não tenho nenhuma reclamação para ser feita, porém.... À algum tempo já, meu jogo não abre.... simplesmente fica funcionando normalmente, mais quando clico na tela de início e o jogo vai abrir a tela fica branca e o celular volta pra tela inicial e o jogo fecha sozinho..... por favor vejam isso pra mim, pois já estava no level 40 e poucos e nunca tinha dado esse problema, se tiver q reiniciar não ligo.... só quero um app bom para se divertir na quarentena 😅 AJUDA AÍ!!",5,149,1.47.2,2020-10-25 19:02:50
3,Jhean Lucas,https://play-lh.googleusercontent.com/a-/AOh14Gho2qqdjPWMy6Hl-J1gLfROKodNCpahwa6iMtMVEA,"O jogo é perfeito, mas está dando problemas quando eu vol entrar nele fica dizendo que, a conexão foi perdida verifique sua internet, mas a minha internet é boa e ta rodando outros jogos como esse tranquilamente, e o meu celular é novo e aguenta jogos como esse tranquilamente e tem muita memória sobrando, peço que arrumen isso para eu conseguir voltar a jogar, e depois disso eu volto para avaliar melhor.",2,45,1.47.2,2020-10-30 19:40:10
4,Arthur jambo,https://play-lh.googleusercontent.com/a-/AOh14GjQ2JbZRUxWDruayTjc12bYQc7qEP7QDbY-AQWCpA,"Muito bom! Sério! É muito bom! Porém, desde a última atualização, eu não consigo entrar no jogo, no inicio aparece uma tela preta por uns 20 segundos, após isso, aparece a tela normal, porém, não carrega nada, e derrepente aparece que eu me desconectei com o servidor, e que era pra eu verificar a minha Internet, porém, a minha Internet esta em ótimo estado, e toda vez. que tento entrar este aviso aparece, espero que volte ao normal, vou deixar quatro estrelas por enquanto.",4,632,1.46.7,2020-09-11 23:50:14
5,vagabundooo _,https://play-lh.googleusercontent.com/a-/AOh14GjF33s4ym3NngoPce5JfiGPqw-J8Lgy4XMW_lzVMg,"Olá, vim relatar o erro que me tem acontecido. Então, eu estava a entrar no jogo normalmente e apareceu a aba de noticias, a questão é que, por algum motivo, assim que cliquei no botão para sair daquela aba o jogo crashou. Tentei entrar várias e várias vezes mas acontecia sempre o mesmo, até tentei clicar na imagem que aparecia onde me iria redirecionar para as compras dentro do jogo mas assim que clicava o jogo também crashava. Estou a desinstalar e instalar o jogo e irei tentar novamente.",3,167,1.47.2,2020-10-11 09:01:21
6,Fred Max dos Santos Silva,https://play-lh.googleusercontent.com/a-/AOh14GifDHdlvi4M8e-eP4NMBlBXNPxjjPiMZIADVmSDew,"Game épico. Gráficos incríveis, jogabilidade de batalha diferente e estratégica, dinossauros incríveis, Missões desafiadoras e tutorial prático. O único ponto negativo/positivo, é que ele é fácil de se raquear, pelo Lucky Patcher por exemplo, mas hackeia quem quer, não diminui o jogo em nada",5,22,1.47.2,2020-11-06 12:42:56
7,Luis Fernando Pontes CN,https://play-lh.googleusercontent.com/-voEUC9l2zXw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmdjcu05Lj2xRbvHe4Y2uewogN8yQ/photo.jpg,"O jogo é muito bom, porém é uma pena a grande quantidade de bugs, eu comprei com dinheiro do jogo(dinobuck),um pacote premium e o jogo fechou e eu perdi o pacote, será que eu poderia recuperar pelo menos uma parcela, eu gastei 2500 dino bucks",3,0,1.47.2,2020-10-29 20:16:17
8,Felipe D. Santalla,https://play-lh.googleusercontent.com/a-/AOh14Ggm_UkbcZ93LIcTQei9ZT0qAfroszFSTBL0t1YcSQ,"Eu poderia avaliar em 5 estrelas. Mas também tive esse problema de travamento relatado aqui na avaliação. Enquanto não resolverem isso não poderei avaliar melhor, até porque não estou conseguindo mais acessar o jogo. E meu celular é relativamente novo, é um Motorola G8 que comprei no início do desse ano.",1,55,1.47.2,2020-10-11 09:20:00
9,Jot / Josué Pereira,https://play-lh.googleusercontent.com/a-/AOh14Gio4kxfHKk1K7HuOAthXYz_K4BG31_m16f_Cvo4gA,"No futuro , o jogo poderia ganhar uma atualização adicionando invertebrados pré-históricos , é uma coisa que me chamaria muita atenção e deixaria o jogo um tanto quanto mais diversificado. Se fosse adicionado invertebrados , eles produziriam recursos extras , ou só seriam mesmo outro grupo para fazer outro modo de pvp , mas de qualquer forma ,eu ficaria muito feliz se rolasse uma atualização assim.",4,281,1.46.7,2020-09-21 00:21:30
10,gabriel Jurássico.,https://play-lh.googleusercontent.com/a-/AOh14Gi97DrJPPFvPWHRIXw8D3diy-R7Y2A8riXoZHK3,"Ludia uma pergunta, quando eu instalei o jogo pela primeira vez o jogo era massa agora eu instalei de novo por que eu tava com saudade de um jogo de dinossauro e decidir instalar esse só que o problema e quando eu vou entrar no jogo aparece a sua conexão com o servidor caiu e quando olho a internet tá de boa.O que isso significa?",2,0,1.47.2,2020-10-29 15:05:58
11,Bernardo Emerim,https://play-lh.googleusercontent.com/-esRJ5AoB8tc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnoJJqHwoOksag_bVx1eVIMDEKeSQ/photo.jpg,"Muito bom o jogo, criativo, interessante, muito legal de jogar! Porém vejo uma grande desvantagem para jogadores que não são VIP para os que são, pois os VIP evoluem muito mais rápido, tem recompensas melhores, etc. Tirando isso, o jogo é explendido, você pode fazer batalhas enquanto constrói seu próprio Jurassic World! Simplesmente íncrivel",4,149,1.46.7,2020-09-19 22:16:40
12,Vitória Luz,https://play-lh.googleusercontent.com/-Inj_q8-yMEs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclt4HVzIeFU9k5o8BJUDpY_d9bazw/photo.jpg,"Jogo muito bom, mas fico com raiva pq fica saindo, qualquer toque que a gente dar, sai do jogo, ainda agora tava jogando mas aparecer um negócio pra apertar ok, aperto o ok e aí sai, e acabei de desinstalar o jogo, não queria mas fui obrigada. Minha opinião é, consetam esse negócio de ficar saindo quando tocamos em alguma coisa do jogo. Assim vamos conseguir jogar melhor.",3,76,1.47.2,2020-10-11 08:24:15
13,Joao Paulo,https://play-lh.googleusercontent.com/a-/AOh14Gie-SrqZt57oiR32U1EvaFnZw9c6i68rym1Dncisg,O jogo é bom mas a conexão cai toda hora (minha internet é Boa) o problema está na jogabilidade o jogo não abre e limpar cache desinstalar e instalar de novo acaba com o saldo da internet fora que cai também quando estou jogando no torneio perco a batalha e os dinossauros que tem que gastar a dino grana para desbloquear novamente fora quando cai a conexão na roleta para em um prêmio quando reabre vem outro só vou voltar a dar cinco estrelas quando o jogo melhorar nessa questão,3,253,1.47.2,2020-11-01 01:47:27
14,Calil vincenzo Vincenzo,https://play-lh.googleusercontent.com/a-/AOh14Gj4ub5YpnT-hqQuD63DB7zouUNinNC7Wkp-L9kK_w,"Oi ludia eu gosto do jogo mais também gostava do jurassic-park-builder eu queria que ele estivesse abilitado para baixar e ainda não gostei das Atualizações porquê tem níveis no cenário de batalha que tem híbridos muito fortes ,aí eu não consigo passar o nível que eu estou .queria que o cenário de batalha voltasse como antes",5,0,1.47.2,2020-11-06 19:22:08
