,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Mari nascimento,https://play-lh.googleusercontent.com/a-/AOh14GgZjZCoiaMnWrdtVMFLM4GYbUncbA-zI8BoeZKApAw,"Eu amo esse jogo,lembro-me da minha infância, daria 5 estrelas se não fosse por causa da manipulação dos dados,é nítido que é um jogo controlado.eu jogo muito e muitas das vezes estou prestes a ganhar e o oponente vai e ganha tirando só dados que o favorecem . Muito injusto isso. Ahh esqueci de mencionar que deveriam variar mais os competidores, sempre jogo com indianos, nao sei porquê. Nada contra eles mas gostaria de jogar com outros países também.",1,20,5.4.0.169,2020-11-07 09:30:15
1,Vicente de Paulo Cardoso,https://play-lh.googleusercontent.com/a-/AOh14Gg24uJZ6f9N4s_y51R4V20v067-CweAGiToomMS,"Jogo ridículo. Este jogo é simplesmente horrível, uma perda de tempo, de 1000 vezes que vc jogar ele vai deixar vc ganhar uma. Eu queria um jogo pra passar meu tempo mas infelizmente não encontrei nenhum. Este está programado pra vc perder, jogo ridículo. E mais só permite vc postar seu comentário se der ao menos uma estrela onde não merecia nenhuma. Senhores desenvolvedores façam me o favor né, deixem de ser caras de pau, vcs acham que quem joga aqui são apenas pessoas sem conhecimento?",1,84,5.3.0.168,2020-10-20 10:12:33
2,Meliodas Lothbrok,https://play-lh.googleusercontent.com/a-/AOh14GjYXc-Ht2q74jgcveVMsWOuOhEDN-8M79JL60ewdFo,"Jogo mais bipolar q geminiano (falo isso pq sou um), favorece só os burguês que tem o nivel maior que 25. Coloca ""vc"" de novato, pra jogar com umas pessoas de vivel 70 pra cima. Ate o dado é ""viciado"". Se observar, vai ver q existe uma sequência numérica que acontece em todo jogo. Só coloca pra jogar com os gringos viciado nesse jogo. É bom, dps q vc entende realmente o jogo e vê q não é só ""jogar um dado"". Existe estratégia tanto sua, quanto do oponente, mas tu sofre ate gostar dele.",1,23,5.3.0.168,2020-10-24 07:55:43
3,Karen Almeida,https://play-lh.googleusercontent.com/a-/AOh14Ghcww2zTl6ucPPcYwGpKKozpuq2o4zECoupnBNWWvc,"Esse jogo deveria ser mais estratégia e menos sorte! De que adianta tentar perseguir o adversário se ele tirar 6 várias vezes seguidas e você tirar só 1 ou 2? Segundo, coloquem a opção de poder reportar jogador por assédio!!!! Isso incomoda muito no jogo! Está sendo ridículo!",1,66,5.3.0.168,2020-10-25 01:55:46
4,alvexx felipe,https://play-lh.googleusercontent.com/a-/AOh14Gg76H_ygXJLGahC7Cmxd9LEQzLeYcd_hU0Dl_BrfQ,"É um jogo 99% sorte e 1% de estratégia, é legal pra passar tempo, mas é meio chato pra se jogar com frequência. Tenho a impressão de que alguns players usam hacker pois conseguem tirar números exatos para tirar meus pinos e chegar nas casas. Mas nai tenho certeza se alguém seria tão atoa pra usar hack em um jogo desse kk",2,14,5.3.0.168,2020-10-28 18:10:05
5,Fernando Farias,https://play-lh.googleusercontent.com/-V_6PMTdmH_s/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclgYPBk22myg0Jn2kvrnPo-J1qsWw/photo.jpg,"A minha única reclamação é no momento em que tem duas peças do mesmo jogador, parados no mesmo lugar, um com máscara e outro sem, daí quando vai marcar um pra colocar a máscara vc acaba clicando no errado por não ter opção de escolher qual será feita a ação. Mas de resto tudo muito bom.",4,10,5.3.0.168,2020-11-02 11:29:45
6,Castelar junior,https://play-lh.googleusercontent.com/a-/AOh14GjAaIBpFkY5_rohV1zA76G8FywYVhuvlLiTdlZY5w,"Só não dou zero estrelas pq não dá... Jogo ridículo, além de o próprio jogo marcar as peças e a jogabilidade ele acaba influenciando raiva, ódio etc... Ao invés de lhe proporcionar diversão e passa tempo. Na minha opinião esse jogo tinha q ser banido... Desinstalando e denunciando, tipo de jogo assim faz mal a qualquer pessoa!",1,27,5.4.0.169,2020-11-01 20:53:29
7,Ana Luiza Mira,https://play-lh.googleusercontent.com/-g3Lx9nzAfhA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclvWKLBwB-sIF1jub1X3Pyqvxq0ug/photo.jpg,"Pior ludo da vida,fui testar e achei péssimo,vai só no outros ludos achei horrível,não recomendo, zero estrelas,quem quiser instalar não instalem,trava muitoo,achei até legal a parte do lanse da quarentena da máscara e do álcool,agora em compensação é muito ruim,não tem idiomas do Brasil,imagina alguém de um dois países que não está selecionados ali,não da para entender o q está escrito.E eu achei o pior jogo (ludo) da minha vida,se vc q está lendo isso para decidir se vai,instalar não instale",1,11,5.4.0.169,2020-11-01 19:41:38
8,Levy Alisson,https://play-lh.googleusercontent.com/a-/AOh14GjAAmJjvFK3GXwMoYTolIHGL4DmOcIlc_IhJBvM-1I,"Jogo bom,mais deveria haver uma atualização para mudar um pouco as coisas ngn gosta dos mesmos gráficos e dos mesmos modos de jogo,ah e outra coisa q seria bom é colocar um novo idioma, Português (Brasil) já q tem algumas pessoas do Brasil q jogam esse jogo",4,53,5.3.0.168,2020-10-17 05:43:10
9,Sabrina santos,https://play-lh.googleusercontent.com/-Rh-C8dTVI1E/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnw3C4DwNpL7xeN53EUMirAuptwVA/photo.jpg,"Show ! Rodei a roleta, ganhei o valor de 1.000,00$ na roleta, porém o valor não foi creditado e adicionado na minha conta! Meu valor continuou o mesmo e perdi a vez da rodada na roleta, tendo que obrigatoriamente aguardar mais todo aquele tempo previsto para a próxima vez para poder rodar novamente... Reniciei o jogo e até mesmo o aparelho, porém nada aconteceu... Solicito a solução do meu problema por favor Att. Grato!",5,4,5.3.0.168,2020-10-27 23:31:15
