,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Elias Queiroz,https://play-lh.googleusercontent.com/-2qGXwY4aDng/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckFk-hi5QtDCrV1UFI3HNOts9l0Sw/photo.jpg,"A gente até tenta acreditar na mz, mas é só frustrações atrás de frustração,acabaram com as cidades alianças só pra fugirem das responsabilidades junto aos reclamantes, é lamentável tirar o que tínhamos de pacotes anteriores que havíamos requeridos e não é só isso, nada vai cobrir nosso prejuízo no gow,,, são quase seis anos e fomos massacrados nesse quatro últimos anos,tudo que pedimos ao suporte fica registrado e arquivam, promessas que não são cumpridas, mas esperar o que?? Só temos desgaste!",1,58,6.1.3.608,2020-10-27 20:17:03
1,gato carioca,https://play-lh.googleusercontent.com/-oZgJsBP_3SA/AAAAAAAAAAI/AAAAAAAAAHI/AMZuuckrVU3i7BGlGxi8qvo-mzAt98RI6Q/photo.jpg,Na verdade não e o jogo que não presta e o Brasil que não vale nada ! Desenvolver um jogo desse não e barato e principalmente desenvolver um app desse porte e mais caro ainda ! E francamente quem investe quer ganhar,1,3,6.1.3.608,2020-10-30 07:07:09
2,canal LouLu,https://play-lh.googleusercontent.com/a-/AOh14GjwOHhI7b_u4Lmb1pxgkqcfb42Z6WKy28ApvDKyXA,"Eu joguei de 2014 a 2017 mais ou menos. Vi contas que no começo eram gigantescas se tornarem lixo. Pessoas que gastavam DEZENAS de milhares de reais ou dólares se tornarem contas de lixo. O Jogo perdeu totalmente a graça pois ficou insustentável ter uma conta no mínimo praticável sem gastar dinheiro. Atualização toda semana fazia uma conta top ser destruída rapidamente senão comprasse um pacote. Fiz muitos colegas de jogo, mas infelizmente acabou.",1,10,3.28.548,2020-10-16 19:14:40
3,Eduardo Santos Nunes,https://play-lh.googleusercontent.com/a-/AOh14Gi7loJ5t0irPcsY1yiqMRga07wViI4fobdySP5X,"Joguei por algum tempo, conheço pessoas que gastaram muito dinheiro, (mais de um carro), ele e o famoso gotcha game, onde tudo e voltado pra tomar seu dinheiro,jogo sem suporte/staff mal optimizado, sem conteúdo novo, é o jogo mais P2W que já vi na vida ( e olha que já joguei qse todos os jogos da level UP ) Em fim não perca seu tempo",1,46,3.10.452,2020-05-31 10:39:10
4,Marcus Martinez,https://play-lh.googleusercontent.com/a-/AOh14Gh2esCDUpcHihgo8qsCeqm25JxEjuDVE8EFXYjlgQ,"Joguei de 2014 a 2018. Ja foi um excelente passa tempo. Mas se tornou insustentavél, imagina ter que pagar 400 reais em um Pac para poder ter alguma chance de evoluir e competir dentro do jogo, inimaginável.",1,14,5.0.12.601,2020-09-05 17:19:17
5,Ines VIEIRA,https://play-lh.googleusercontent.com/-PepUrPc7S_M/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl8-BCP-Mt0PpnklTnoWzHDxy6QEw/photo.jpg,Não joguem a este jogo... Gastei muito dinheiro e hoje em dia nem consigo jogar... Acabaram com o jogo. Atualizações de manhã à noite que se não gastar não se consegue jogar.. Ladrões,1,3,,2020-09-05 18:18:14
6,Gilberto Moraes,https://play-lh.googleusercontent.com/-xeJJTLcPeWU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucljK9eS2IAT8DwS2kVyMrd2IHFLDA/photo.jpg,"Gostei do jogo ,mais o jogo acaba perdendo a graça, pois vc não consegue evoluir sem gastar e a mz fica dificultando os eventos ,antigamente vc conseguia comprar várias coisas com ouro e vc poderia receber presente da aliança escudo ,teleport etc,agora tudo gira em torno de dinheiro real, e os pacotes muito caros",2,7,6.0.17.607,2020-08-05 02:14:35
7,VALENTINORJ,https://play-lh.googleusercontent.com/a-/AOh14GhJnwoqHqAd3FX4GyRlph8zg6UMzARTvabPZzBxHA,Machine Zone (MZ) criou um dos melhores jogos: GOW. Na verdade utilizam táticas cognitivas de consumo para que o usuário cresça e sobreviva (pague para sobreviver). É impossível jogar sem gastar. Joguei esse jogo por anos. Depois de um tempo o jogo fez atualizações diárias que envergonharam seus usuários. O abandono foi em massa. NÃO VALE A PENA JOGAR NENHUM JOGO QUE TENHA A MARCA MACHINE ZONE (MZ).,1,45,3.26.541,2019-12-30 23:39:13
8,Jordan Victor,https://play-lh.googleusercontent.com/-BeOQrL6cPGY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckIGfOUtFxGqFNs-MlvRxl3Wv3ocg/photo.jpg,"O jogo é realmente um lixo, os desenvolvedores focam apenas no avanço do Pay to Win do game que esquecem dos limites da ridicularidade, joguei o game no lançamento, quem tinha 100 M de poder era O CARA no game, agora qualquer um tem 1 Trilhao de poder, tem tanta funcao, coisa aqui e ali que tu nem sabe mais o porque de estar jogando. Se você nao está disposto á gastar no minimo 500 reais por mês em um game, esse jogo não é pra você.",1,43,2.6.345,2019-05-11 05:50:23
9,Enzo Meneses,https://play-lh.googleusercontent.com/a-/AOh14GhD6NEvbu1dSnIdem1eec0YAHyhWmClZI4G1xC0kg,Eu passei a ter vergonha de jogar o seu jogo. Um jogo de estratégia magnífico que caiu nas mãos erradas e ficou PÉSSIMO. Atualização atrás de atualização só por dinheiro; deixe de ser ganacioso. Eu mesmo já gastei meu dinheiro nisso e eles destruiram de vez o jogo na última atualização. Além de que vocês se escondem e simplesmente ignoram os comentários. SAIAM DAI VOCÊS NÃO TEM CAPACIDADE DE CRIAR UM JOGO DIREITO.,1,37,3.30.4.561,2019-04-29 13:46:20
