,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Imperador,https://play-lh.googleusercontent.com/a-/AOh14GhR0dPSC8qwJSHcB2Zua1fXY2RXxcEOOAlzaEBKug,"O jogo é incrível, a única coisa é o controle de clicar pra andar, mas logo vc se acostumar, os gráficos, mano, eu achei incrível tmb, pq ninguém nunca reclamou de jogar super Nintendo, então eu não vou reclamar desse pq é realmente muito bom, e não tenho nada a reclamar, achei muito bom mesmo",5,1,1.5.18,2020-11-08 18:37:09
1,Darurin,https://play-lh.googleusercontent.com/a-/AOh14Gj545gdkdQ90acFG1BxEyzGLhktlKXxswMZ7ep1,"O jogo é legal para passar o tempo, mas as missões começam a ficar repetitivas eventualmente. Os gráficos estão na média, não são perfeitos mas são bons o suficiente. Só achei estranho a movimentação do personagem ser de clicar para andar, isso não é ruim na minha opinião, mas algumas pessoas iriam estranhar também.",5,86,1.5.18,2020-10-16 11:15:03
2,Pedro Paulo Alves Nunes,https://play-lh.googleusercontent.com/-foGHekrwL5A/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm1GsAwV1eTH2KK0CQOUCTBupfvKw/photo.jpg,"Um jogo excelente e realmente desenvolvido por pessoas compromissadas com a qualidade e o entretenimento, comandos criativos, história interessante (ainda que não completei o 4th Act)... Como um jogo divertido e promissor, tenho certeza de que ainda podem ser implementadas melhorias, como , apenas uma coisa que me incomodou, quando estou cercado de inimigos, não consigo me mover muito bem, pois o que apenas ocorre é um ataque re-direcionado, um problema minúsculo em comparação à qualidade.",4,121,1.5.18,2020-10-08 14:38:53
3,Solaire Of Astora,https://play-lh.googleusercontent.com/a-/AOh14GjmL3P_s6_1W8qPS9T2_uW1j-COh-baei_nIq6fhw,"O jogo me lembra muito da minha experiência em Diablo III da Blizzard, os controles não são difíceis de se acostumar, eu acho inovador usar o touch pra desenhar cada técnica, apesar de não ser uma ideia tão nova assim. Os gráficos são os que me decepcionaram um pouco, mesmo no alto não é nada excepcional, porém é uma ótima decisão para celulares de entrada, o que só nisso já garante um público diverso e grande, e garante mais ainda o ganho financeiro do te de desenvolvimento do jogo. Recomendo.",5,148,1.5.14,2020-09-15 21:17:27
4,Joelson Gonçalves,https://play-lh.googleusercontent.com/a-/AOh14GhkFh_LM07xM2BHWpeHK25dcnZGvXwVbjtXSIjJGQ,"Muito bom o jogo. Está muito acima dos F2P normais. E na última atualização retiraram anúncios, acho. Nem precisava comprar nada com dinheiro real no jogo, só comprei pra dar suporte a eles. Merecem, jogo muito divertido",5,3,1.5.18,2020-10-28 22:36:31
5,marizete boeno,https://play-lh.googleusercontent.com/-Gucgy7B3470/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckHtlMfj3afwzunoHVAaLeCS-TCUQ/photo.jpg,Adorei o jogo e étimo eu sempre procurei um jogo como esse. A única coisa e que deveria ser mais fácil os diamantes eu sei que da pra conseguir durante a missão mas são poucos! Essa e a única coisa que pesso pra melhorar,5,0,1.5.18,2020-10-31 09:23:29
6,TRYLOGE GAMER,https://play-lh.googleusercontent.com/a-/AOh14Gi8gHVUZ5_uMdN1puFMJgTmnB4DLw_kyAfio4nlhg,"O jogo é legal más jogar offline impede de fazer melhorias e progredir, isso é decepcionante. Meu interesse nele era única e exclusivamente por causa da possibilidade de jogar offline. Por causa dessa desvantagem não tenho ânimo de continuar. Recomendo experimentar apenas. --Versão da avaliação: 1.5.18--",1,133,1.5.18,2020-10-03 21:39:14
7,Miih Sousa,https://play-lh.googleusercontent.com/a-/AOh14GiT6GNcam5Eh9Yb_IfJmUkLdoTs4ZFqBzqM1FMLVg,"O jogo é bom, mas não é aquele jogo viciante que você quer jogar por horas e horas. No começo era viciante, mas você vai fazer as missões e você só mata, e não consegue fazer a missão, então as missões vão acumulando e você nunca consegue cumprir porque deve ser bug sei lá.",3,0,1.5.18,2020-10-24 01:42:27
8,Dimitri Andrade Barbosa,https://play-lh.googleusercontent.com/a-/AOh14Giu_CHeiGUA5fRfsn1cm0EIHCjYydhwR7hL0InoIg,"Ótima opção para aqueles que procuram um RPG no estilo clássico, como Diablo e Baldur's Gate. A jogabilidade e os gráficos são simples, mas nada que empobreça o jogo.",5,1,1.5.18,2020-10-25 12:23:44
9,Helio,https://play-lh.googleusercontent.com/-y9dvghpPyK4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmp54Fruf3bwkZW9SmhERuJc1zgSQ/photo.jpg,"Jogo ótimo em quase tudo. jogabilidade, gráficos, etc. não precisa gastar (posicional) pra ir desenvolvendo. só acho que poderia optar pelos níveis mais dificeis logo de cara, pois pelo que entendi vc tem que concluir todas as fases pra poder deixa-lo mais desafiador.",4,35,1.5.18,2020-10-01 15:34:11
