,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Antonio Mabuto,https://play-lh.googleusercontent.com/a-/AOh14GguCBiMvBMNjSlJWPxq4KGuHktULotuyz2kl5Z9IA,"Parabéns aos criadores deste simulador. O jogo é sensacional porém sendo que é um projeto ainda tem algo por se melhorar por ex: diminuir propagandas, concertar a parte do ""loading map"", retire a parte de uso de dados pra compras etc, coloquem as pessoas sentadas dentro do ônibus. O resto tá ótimo os gráficos são bons, muitos ônibus e muito tráfego, várias cidades. Eu adorei. Obrigado",5,57,3.4.3,2020-10-20 05:34:08
1,Geremias Ribeiro da silva,https://play-lh.googleusercontent.com/-UAr9cFXUxoE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckBwZJmDYHAWCI5TzyYC1YhTQsL6Q/photo.jpg,"É um ótimo jogo, tanto off line como on line.É gratuito, não trava. Gráfico muito bom, digiribilidade muito boa. 5 posicionamento de cãmeras, poucos comerciais.Tridimensional, voce consegue entrar com o Bus dentro de comunidades e fazendas da Indonésia.Modo carreira, voce pega passageiros nos terminais e nas estradas, ganha bom dinheiro Comprei toda a frota em pouco tempo. Tem viagem longas, co mais de 10 hs de estrada, todos os tipos tempo, sol, chuva.Muito bom, Parabens aos desenvolvedores.",4,60,3.4.3,2020-10-14 11:44:18
2,José Raimundo Pereira da Silva,https://play-lh.googleusercontent.com/a-/AOh14GhbK-f4yJPSJ8dUDEDs_7M4CkoRPaglUWvtRXioqg,"Show! Um espetåculo sua arte. Parabenz!...Mano! Diminui a quantidade de passageiros nas rodovias e coloque os mesmos próximos aos hoteis e terminais q existem no percurso, faça embarque e desembarque nesses pontos, abrir a mala do bus...faça vidros transparente detalhe e luzes no interior do bus...danos reais no parachoq e farois...faça oficina nas rodovias...um abraço do Brasil.😷",5,228,3.4,2020-09-21 19:51:18
3,Sérgio Serginho,https://play-lh.googleusercontent.com/-V0suyTyeNVk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmKttZGSYuWk1Gxueik5i8f4Rqhhw/photo.jpg,Precisa adicionar pessoas na rodoviária a animação dos passageiros entrando e saindo coloca mas ônibus mas modificações baixar o valor dos upgrades que são as peças para equipar ter a opção de comprar com vídeo estradas com curvas longas mas montanhas no modo online tragam por favor o Rio de Janeiro com os detalhes ter um mapa com mas opções colocar as atualizações em português brasil por que não dá pra entender colocar blitz também licença pra tirar a carteira espero respostas avaliem por favor,5,79,3.4,2020-09-25 18:22:35
4,Jorge Cipriano Juma,https://play-lh.googleusercontent.com/-xafUaUWCmsA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclUhL7o-WvrFFMRuRRMnaCP5pX0dA/photo.jpg,"Boa noite, por mim dou 💯estrelas esse jogo é tão real, k você passa bem o tempo sem poder notar 👋🏿👋🏿👋🏿, eu ja estalei vários jogos de bus, mas todos apaguei por serem de mais offfff. Estão de parabéns muita força, se possível coloquem mais cidades talvez fazer rotas nos paises vizinhos😄 e mostrar os kilometros k vão faltando enquanto estiver de viajem. Não tenho nenhuma crítica. Abraço",5,37,3.4.3,2020-10-18 17:08:10
5,Gabriel Coelho,https://play-lh.googleusercontent.com/-f45wYOFcI2g/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl3htV0XX9HNwl0Ov7Tq-ueRy9KXQ/photo.jpg,Isso sim é um simulador de onibus não é aqueles jogos que figen ser simulador de onibus e bota na propaganda gráficos ultra realista.,5,1,3.4.3,2020-10-29 11:40:26
6,Virgílio Santos,https://play-lh.googleusercontent.com/a-/AOh14GhxQfzequEHMS6ggsD4jCuVqjSISepWp_iIWAUJ,O jogo tem que ter o mapa brasileiro e ser ofinlaine tem que ter Wifi pra pegar passageiros este negócio de para o jogo pra garregar mapa é horrível.,1,0,3.4.3,2020-10-15 20:39:48
7,Samuel Modesto,https://play-lh.googleusercontent.com/a-/AOh14Gj9ZZiHxKztv56KUfZFP5JWlX8zeSV6DIr4iRkCPQ,Esse jogo é bom mais falta alguma coisa mais gente na ruas demora de mais pra chegar na cidades carros quase não dá pra ver mais resto tá bom,4,0,3.4.3,2020-10-26 19:30:24
8,Márcia Castro,https://play-lh.googleusercontent.com/-YZwbLNzNICA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnU8kIXntQnJHMCN3PGRaSfdZv5dg/photo.jpg,"Só queria colocar o volante do lado esquerdo, e não achei essa opção.",4,0,3.4.3,2020-10-22 14:58:44
9,clebson damiao da silva,https://play-lh.googleusercontent.com/a-/AOh14Gh2GgYO8U0qgqTy6vcrrL4IOXSnAS8mPbd1FacMlw,Poderia colocar o ônibus pra trafegar na mão da esquerda. Poxa fica muito esquisito andar na mão esquerda. E falta colocar um mapa brasileiro.,5,109,3.4,2020-09-20 16:24:16
