,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Guilherme Melinsck,https://play-lh.googleusercontent.com/a-/AOh14GhVKUzOJpuPDhut2yZhQcC8Sb5eXjukzFCZBSCwyA,"Gostei do jogo, mas ele é muito curto (digo pois joguei no normal, que seria o nível mais fácil pelo que vi, mas depois tem o hard mode e insano, com toda certeza deve fazer o jogo ficar mais difícil e demorado de terminar o mesmo) existem alguns desafios bem legais semanalmente e um modo Zombie infinito de vários níveis possíveis. Parabéns aos desenvolvedores excelente jogo!",5,43,2020.2.66,2020-11-07 15:21:48
1,Mateus Gomes ttt,https://play-lh.googleusercontent.com/a-/AOh14Gjd4ViJ7L62lWT2KsPtsq_ccf-edeq11j1uFdBf,"O jogo é muito bom , mas poderia ter o módo online ai seria muito mais legal. -------------------------------------------------------------------------- e tanbem poderia ter mais fases tipo vários outros chefes no jogo aí sim séria o mais baixado no mundo kkkk ‐------- aí sim kkkk é bom o jogo muito bom. -------- E se esquerva la no meu canal kkkkk Mateus Gomes ttt tchau kkkk .",5,635,2020.2.49,2020-10-27 20:15:06
2,DaCode Animando,https://play-lh.googleusercontent.com/a-/AOh14GiGvEvy9BUYheMLFlRt15YCdW3eyRcUxIPg8SN7dw,"Eu acho esse jogo bem legal mais seria mais divertido ainda com a mecanica ragdoll por deixar a variedade,fisica e probabilidade mais abundante e seria engraçado e alem disso talvez efeitos de faiscas e sistemas de batalha fariam o jogo ficar bem bem legal",5,17,2020.2.66,2020-11-07 22:06:10
3,ONI CHAN BR,https://play-lh.googleusercontent.com/a-/AOh14Gjl5KmrIV1gYiAZqlfAJzbH7jjh9gKoCRJGJqLYcg,"O jogo é muito bom, mais tem que lançar uma nova campanha só uma campanha não dá, em vez de lançarem missões dediquem o seu trabalho em novas campanhas tipo a continuação da primeira depois de matarem o gigante com uma caveira na cara, no novo mapa podia ter novas tropas uma história diferente mais continuando o passado",5,137,2020.2.49,2020-10-28 10:12:53
4,Elaine Souza Oliveira,https://play-lh.googleusercontent.com/-sYgwM7aC4Gc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclou0rfJF5gyE7_0cubSeFkqWiufA/photo.jpg,É ótimo o jogo só que eu acho que a pessoa que está jogando poderia ganhar um baú de graça a cada dia e também um baú de graça que vem atualização de stikers e a cada fase que passa um visual de stikers,5,5,2020.2.49,2020-10-29 16:03:43
5,Magda Araújo,https://play-lh.googleusercontent.com/a-/AOh14GhhjbWS8O3xZGbw1Cw_WFyKdUWSTaJkIuIaWqy9uQ,O jogo em si e muito bom os gráficos a jogabilidade e boa mais tem um porem que eu não gostei foi e que e muito fácil zera o jogo e tem muita pouca fase essa eu acho que e 5 vez que eu zero esse jogo,4,2,2020.2.49,2020-11-04 21:56:49
6,Ronic Nicoletti,https://play-lh.googleusercontent.com/-eTZQarS1e1M/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmdyYfqqCPHqsZBzNlYLh3SQx3MEw/photo.jpg,"O jogo é muito bom, nao tem defeitos, não trava, e é muito legal a velocidade que falaram ali em cima, é boa, é otimo, mas só aquele que ta escrito erro, na descriçao acho ruim, mas nao preciso ler pra saber o que ele faz, vou instalar pela terceira vez esse jogo, é muito bom, entao dou 5 estrelas, quem fez esse jogo fez um ótimo trabalho, e sobre o dinheiro é so comprar mais mineradores,e é isso, bom jogo a todos.",5,761,2020.1.46,2020-09-13 20:54:30
7,Regina Sousa,https://play-lh.googleusercontent.com/-7zRxeX2BQhQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucluZujwzek5U0nKzGJ7CFzbkoJcYw/photo.jpg,o jogo e muito bom e leve e também tem como controlar os personagens o único problema e que as fases são difícil mas continui assim e de uma nova atualização,5,2,2020.2.49,2020-10-30 12:00:31
8,bruno lopes,https://play-lh.googleusercontent.com/a-/AOh14Gi2hQySBNv1hzWTmzXVGwLWqc70qMUSEAJDUJ7ZvQ,"Zerei o jogo 2x ja, e essa 3 esta cheias de atualizações interessantes, porém tem um erro que percorre, sei que muitos usoarios abusam dele, os gigantes tem um ataque em ""area"" mas não cobre onde pisam, isso pode ser aproveitado e indo de um lado á outro, até um mineiro pode matá-lo (com dificuldade)",4,568,2020.2.29,2020-10-20 17:38:34
9,Player free marques 555,https://play-lh.googleusercontent.com/-8edTlhH6F1E/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnIymQziSx9K1CuubbJ6RP9Xk9ISw/photo.jpg,Jente eu jogo esse jogo des do lançamento dele esse jodo e irado eu já vence todos passei todos os níveis e difícil e mais o jogo se intitula assim hoje as pessoas so querem jogar free fire porque e fácil e esse jogo e difícil e é assim que ele deve ser a única coisa que falta e o jogo oline,5,5,2020.2.49,2020-11-01 11:22:20
