,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Júlio César Rocha Pires Barboza,https://play-lh.googleusercontent.com/a-/AOh14GipREuZO5o5Iq13De5vGSLEGAHliO7UsLVrrOFJVA,"O problema é de vcs se n ficaram satisfeitos com o get premium,é só não comprar,vocês não sabem oque é paciencia de reiniciar tudo quando vc perde?Não se precisa de get premium pra se divertir,o jogo não foi feito pra vcs ficarem reclamando de coisas que não tem nada a ver com a jogatina dele,vcs deveriam é agradecer que esse jogo não tem uma quantidade absurda diferente de outros.",5,41,1.4.3,2020-10-29 11:20:11
1,Cauan Santana,https://play-lh.googleusercontent.com/a-/AOh14GiAPYuNyVLhQzFbt2adMHpmQ8oK78qQMjxyEfh17A,"Bom, O Jogo em si é ótimo porém, tem um pequeno problema que seria o ""Get Premium"" , esse é o único jogo que não se pode salvar o seu progresso se não desembolsar uma certa quantia um pouco mais de R$ 6,00, acho isso um absurdo pois nem todas as pessoas possuem cartões de crédito ou débito para poder pagar, sendo assim estou desistalando o app, o que é uma pena pois gostei muito dele...",4,305,1.4.3,2020-08-20 14:49:21
2,Eduardo Herminio,https://play-lh.googleusercontent.com/a-/AOh14Gj4s8w_7tHq5uZ2gxnjR83qhzXsEm79Vb_TuB5s,"O game é excelente, paguei para ter as outras opcoes de games e para continuar nos estágios. Crítica construtiva: no modo zen, dá a ideia que vai ser uma jogatina prazerosa, mas, é muito desafiante manter o combo de bolas (quando bate no vidro especial e ganha bola extras atirando). Não dá para saber no modo zen quantos pontos eu preciso para ter outro nível de tiro ( de duas, três ou até cinco bolas). O jogo é um pouquinho mal-otimizado. Mas, é excelente, parabéns aos desenvolvedores.",3,192,1.4.3,2020-08-27 17:00:59
3,Barbara Mendes,https://play-lh.googleusercontent.com/-k06D03GC9nc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckFpFJWvKS8wGwmrKjlDz5wbvHSBw/photo.jpg,Olha vou ser direto dei 4 pelo simples motivo de ser um jogo muito legal mais para continuar tem que compra o get prêmio e isso deixa o jogo bem fraco vocês em vez te ter o get prêmio podiam colocar um novo mapa que no caso seria pago muito mais legal ou cores de rastro da bolinha ou então outra bolinha uma quadrada ( que n caso n seria bolinha) mais seria muito mais legal do que isso. Fica a dica,4,95,1.4.3,2020-08-26 08:54:16
4,Juliana Matos,https://play-lh.googleusercontent.com/a-/AOh14GgxSbkmnhObHfZxI5NVjw_NbCifdrFEY19G6JarCg,"Puxa, um desenvolvedor desse n deveria ser tão bom assim! Parabéns! Porém o problema é o Get Premium, queria n que desse reembolsos para todos mas sim desbloquear pra gente o Premium grátis para sempre, pois o jogo é impossível e queria testar os modos do jogo, obrigado.",4,68,1.4.3,2020-10-10 08:52:15
5,Anti-Herói Radical,https://play-lh.googleusercontent.com/a-/AOh14Gi5BIyu_wUXP4_yhup5YYNrj5DbZGtEE4I9jHbAxA,"Relaxante, satisfatório, jogabilidade fácil, gráficos muito bons, trilha sonora ótima, efeitos sonoros muito bons, não tem propagandas. Ótimo jogo pra passar o tempo. Parabéns aos desenvolvedores. Super recomendo.",5,203,1.4.3,2020-08-12 04:05:43
6,Sarah Cardoso amaral,https://play-lh.googleusercontent.com/a-/AOh14Gi5CfcqLziiAtckOWgAlTrKsv4t5vMhWyDRz91J,Amo esse jogo porém eu acho que a empresa poderia colocar mais linguas como por exemplo o português o alemão etc e tb acho q vcs poderiam colocar pelo menos um modo distinto de graça pra outros players sem condições tb poderem ter uma diversão a mais gosto muito desse jogo a muito tempo eu jogo ele parabéns pelo sucesso,4,1,1.4.3,2020-10-18 15:38:03
7,Ulysses Xavier Pinheiro,https://play-lh.googleusercontent.com/a-/AOh14GjvvFKWa-Mm0zqtkL33BM6nG45ggEwop9T4_Ukk,"O jogo é realmente muito bom! Super recomendo! Diverte, desestressa e é super agradável. Não dou 5 estrelas por um pequeno motivo: comprar o jogo só serve para dar continuidade na saga com checkpoints ou tentar jogar em Multiplayer, que não é tão agradável, pois tem que dividir a tela (uma opção seria a de sincronizar com outro colega que tenha, mesmo sem ser o jogo Premium). O modo Zen é um tanto chato, pois os cristais não passam nem perto. As outras opções de jogo só alteram a velocidade.",4,381,1.4.3,2020-05-20 18:05:13
8,Mariane Salvador,https://play-lh.googleusercontent.com/-p3MlpzUCvtQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckvqxjwxlEI1J418K9jxitqlYGMAA/photo.jpg,"Esse jogo e muito bom,eu amoo ele,mas meu irmao instalou ele travou nao andou aii joga a bolinha nao vai e so tem esse jogo no cell dele ,dessa vez eu fiquei muito decpicionada,se o criador ver essa mensagem por favor ,obcerva pra ver oq acontece vou tentar desistala e instala de novo mais nao vai 😢",1,2,1.4.3,2020-10-10 21:47:45
9,canal falido,https://play-lh.googleusercontent.com/-uQfwMDzA1Jw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmYZbQPx4P5zfurK2_hcVdHzb-rqA/photo.jpg,Eu zerei na 2° tentativa mas o motivo é porque eu já joguem a muito tempo jogando e quem começar a jogar agora uma dica alguns obstáculos não vai te acertar tem que ter uma boa visão se quiser passar da 4° fase.Minha avaliação o jogo é um ótimo passa tempo mapas criativos e estilo de jogo é ótimo.PS:Boa jogatina,5,0,1.4.3,2020-10-27 14:40:44
