,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Isabela Viana Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14GjCLzUt0-jCKy3cCJaWwoEy4W_L-XEcQDKrZRKWbQ,"O jogo é bom, mas está com alguns bugs .Não achei necessária a introdução dos boosters. Muitos jogadores não possuem condições de compra-los. Também gostaria que os anúncios da TV voltassem a dar 10 diamantes, o que ajuda muito os jogadores iniciantes; Gostaria que não mexessem nas trocas dos VIP'S, que voltassem.a dar o presente vermelho e os demais no tabuleiro. O carro também anda bem caro..Nao uso o booster do telefone e o mesmo está sumindo sem que eu use. É bug?.",3,207,2020.10.4,2020-11-04 19:16:55
1,francielle naimayer,https://play-lh.googleusercontent.com/a-/AOh14GixNA98t1eY3SqxKurLbylrdEV6gcjciTl9Vcz2,"Eu amo este jogo, jogo a uns 3 anos. Desde que comecei, o jogo melhorou muito! E sou completamente viciada. Não há reclamações, mas sempre pode melhorar não é mesmo?! Esta crítica construtiva seria de uma atualização mais recente, que precisamos de energia e demora tempo demais para carregar, sendo assim não chego nem perto de acabar a estória. Então quem sabe, vocês poderiam melhorar esta parte.. Mas de resto, é 0 defeitos.",5,397,2020.10.2,2020-10-19 16:05:39
2,Cristiana Nascimento sena,https://play-lh.googleusercontent.com/a-/AOh14GgFQ6-IXPgygHYNI5GgdTg3xj8citJYmLbMEE5D5A,"No início o jogo é legal mas, ao passar do tempo, tudo fica muito repetitivo, e os valores são muito altos, sim são dadas várias opções para conseguir as moedas, mais com o passar do tempo fazer receitas especiais ficou muito difícil, pelo preço de compra. A história é boa mas acaba se enrolando demais, e os personagens fazem escolhas duvidosas, fazendo a trama ficar confusa e na maioria das vezes, as escolhas do jogador não influência os personagens.",4,154,2020.10.2,2020-10-19 11:34:12
3,Larissa Beatriz,https://play-lh.googleusercontent.com/a-/AOh14GifUPek8VC9zE8-FZXFef67FX_8DYaiG8jAb-6U3g,"O jogo é até legal mas acho injusto a quem quer apenas jogar por diversão sem gastar dinheiro real não poder comprar certas especiarias que só são disponíveis pra pessoas com nível vip2. O jogo deveria ser igual para todos, juntamos diamantes mas nunca conseguimos realizar muitos pedidos especiais por não ser liberado para comprar! Não é todos que podem ficar investindo dinheiro no jogo. Vocês deveriam pensar nisso e fazer o jogo igual para todos. Se for a vontade da pessoa ela gasta dinheiro.",3,23,2020.10.4,2020-10-27 23:20:47
4,Ana Souza,https://play-lh.googleusercontent.com/-kYcN9LjI9PM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclXChla6PxRNZ6Vm2DoTgTNrDjiAQ/photo.jpg,"O jogo está ficando absurdamente grande, exigindo a liberação de espaço no dispositivo, demorando demais para abrir e perdendo a conexão muito frequentemente (só acontece nesse jogo). Algumas inserções são completamente desnecessárias, como por exemplo aqueles personagens que circulam em volta do café. Isto torna o espaço requerido maior, sem acrescentar nada ao jogo.",3,121,2020.10.2,2020-10-28 07:41:44
5,Karen Fernandes 2017,https://play-lh.googleusercontent.com/a-/AOh14GhAEdgclW1BOKLq3a-pP5W_x2i0TvESPA3ARc-1zA,"Jogo é até legal, mas precisam modificar a funcionalidade das cidades de forma que não haja injustiças, eu entrei em uma cidade, fiz as missões, e quando o evento terminou na hora de eu ganhar meus prêmios fui banida da cidade pelo líder. Além disso, o jogo perde muito da diversão com tantas coisas que precisam pagar pra ter uma experiência satisfatória.",2,6,2020.10.4,2020-11-03 10:40:02
6,Fernanda Borges,https://play-lh.googleusercontent.com/a-/AOh14GjgDOhRFSY_ipg_maQy2YYgvRgGUH84lo2lphgExA,"Com essa atualização fica claro, que o jogo está mas preocupado em obter lucros , do que ouvi o que nos jogadores precisamos. O telefone era uma ótima maneira de obter especiarias onde tinha a opção de atualizar por 10 e 20 diamantes. Agora com essa nova maneira fica difícil, por teríamos que comprar presentes. #queremosAtualizarOtelefone",1,20,2020.10.4,2020-10-27 23:04:33
7,amorzinha Surtada,https://play-lh.googleusercontent.com/-ExIr8xTRUYo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm5pa6tj2JdXaWD1SkTdtQ6uwMNjQ/photo.jpg,"O jogo é excelente porém...estou tendo dificuldade em comprar máquinas ou coisas do tipo, preciso jogar 1 a 2 dias pra subir 1 nível é ganhar só 1000 moedas sendo que as máquinas são 10 vezes mais caras, acho isso um absurdo, fora isso o jogo é muito bom as histórias são nem divertidas, bom vou dar um paupite poderiam Aparti do nível 10 dar 8 mil a 10 mil moedas ficaria agradecida.",4,3,2020.10.4,2020-11-04 13:44:26
8,Juliana Souza,https://play-lh.googleusercontent.com/-cDhRZ4U0LFY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnRb8xiXxwY6Eb8_WK-CufzWwbc8g/photo.jpg,"Eu jogo esse jogo desde 2018, amava, mas agora a cada atualização o jogo fica pior, primeiro foi a cabine que usa energia que demora um ano pra carregar e agora vem esse negócio de reforço que só pro pessoal dar dinheiro, eu sou VIP 5 e tô achando um absurdo, imagina pra quem não tem condições de ser VIP, mas quer jogar, meu dinheiro, vocês não vão ver mais, espero muito que vocês leiam as críticas e parem com isso, pra quem for baixar, mudem de ideia, não baixem",1,258,2020.10.2,2020-10-24 21:05:02
9,Talita Aureliano,https://play-lh.googleusercontent.com/-yoHrCIDDTrI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnraPnkRurYKTDmhDxvnT23EGm6QQ/photo.jpg,"Jogo há 8 meses, e já estou enjoando do jogo, está sempre pedindo atualização, que só traz benefícios para vocês, estou pensando em parar de jogar, e todos da minha cidade também estão desmotivado com as atualizações, o tabuleiro tá fazendo só raiva.. Se continuar dessa forma irá perder muitos jogadores...",1,11,2020.10.4,2020-10-28 10:18:57
