,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Patrícia Regis,https://play-lh.googleusercontent.com/-FyOhwqpQj0U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmQ3Qm0NEsGOK0L_mEiRVvYUIiuVg/photo.jpg,"Esse jogo é sensacional! E em tempos de isolamento social tornou-se indispensável. Troquei de celular e consegui salvar o progresso, mas minhas vidas sumiram, não recebi mais nenhuma (só as vidas normais), meus boosters tbm sumiram. Meio que comecei do zero. Tbm.não aparecem mais as missões, tipo a Jackalope Tower. Os prêmios deveriam ser coisas diferentes e não as bolhas amarelas, azuis e vermelhas, que a gente já coleta durante o jogo. As fases infinitas é perfeito! No mais, amo esse jogo!",5,60,1.122.2,2020-10-27 19:18:49
1,JOAO PAULO,https://play-lh.googleusercontent.com/-RhNctodqlAA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm7xaY1tnPiBQZ72Ndzvm70CLZG8w/photo.jpg,"O jogo é bom mas tem níveis muito difícil de passar a gente participa de missões e recebe bolha amarela de presente,se a gente já ajunta bola de várias cores inclusive amarela, quando conseguimos completar as missões tem que dar como prêmio coisas diferentes,como bola de fogo,arco íris aquela de pedra. Não bola amarela. As vezes fico estressada pq não consigo passar de fase ,o jogo ao ajuda ,a única coisa q da é porções,q ajuda um pouco mas mesmo assim poderia ter mais ajuda",2,89,1.122.2,2020-10-17 08:46:17
2,Vilda Almeida Ferreira,https://play-lh.googleusercontent.com/a-/AOh14GiFuUaJoJA0UT20pIBu6cyzOFJrk0xscNcoDQGAZQ,"Estou no nivel 3250 e sumiram todas minhas vidas, q eram centenas. Agora tenho que esperar carregar 5 vidas a cada duas horas e meia. Quero minhas vidas de volta. Porque isso aconteceu? Entro no King e não consigo suporte. Façam alguma coisa e devolvam minhas vidas.",1,23,1.123.1,2020-11-04 12:36:41
3,menagem menagem,https://play-lh.googleusercontent.com/-T6TDYQKs2Cs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclci7aiRlYJJw4oDQvgDnmgD6AZOA/photo.jpg,"O jogo é muito bom, e um passa tempo, já estou no nível 1255 e já ajudei vários amigos passarem de níveis difíceis o problema dele agora é que atualizou e todas as vidas que eu tinha não estão mais disponíveis não sei qual o real motivo disso por isso devido muuuito tempo que jogo eu poderia classifica-lo com ⭐⭐⭐⭐⭐ estrelas mais no momento só dou ⭐⭐⭐ até voltarem minhas vidas.",3,18,1.123.1,2020-11-05 13:29:21
4,Maria Fernanda Reis,https://play-lh.googleusercontent.com/-naH9lphib14/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmVBjnPcEO4zLNaQVkxwLRr-785EQ/photo.jpg,"Amo este jogo, mas foi só conectar me ao Facebook, perdi todo o progresso, já ia no nível 1522, voltei ao nível 1, estou aborrecida. Perdi bosters, perdi as vidas dos amigos do King, tinha mais de 100 vidas.. Ao conectar, ou desconectar... Vocês dizem sempre quê o progresso será salvo. Não é verdade Vou desinstalar...😢😢😢. Tenho os bosters da missão do Nero para receber e tento colectar, ao colectar não recebo, mandam me ligar á internet. Desde que atualizei o jogo, não recebo mais vidas .",1,82,1.122.2,2020-10-17 17:51:51
5,Janete Toshie Higa,https://play-lh.googleusercontent.com/-u-0Ey6H2G7U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmM83qvvIdjYvebqq0WdcBunay1bA/photo.jpg,"Estou muito decepcionada,jogo há anos porém,essa última atualização ao invés de melhorar,piorou muito. Não tem mais missões de 48 horas,perdi vidas que tinha,no bingo é desnecessária as mensagens. O ponto positivo é que não tem propagandas.",2,110,1.123.1,2020-11-04 10:32:31
6,Dea,https://play-lh.googleusercontent.com/-FOSqVWBZaGU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn4OnR6lzLAUxcuW7N-6WJwmq_12w/photo.jpg,"Gostava muito do jogo, pra ter ideia estou no nivel 2008, mas depois dessa ultima atualização não recebo mais vidas de outros jogadores, acho que querem que eu compre, mas não vou, se continuar assim vou desinstalar sem problema algum. Nao acho justo atualizar e tirar isso.",1,46,1.122.2,2020-11-01 12:13:45
7,Leila Silva,https://play-lh.googleusercontent.com/a-/AOh14GgUzVWixqQLl6XzZr4kR074kjfJTIqNW4lc_ERQBw,"Gosto muito, porém tive um problema e quando desinstalei e reinstalei imediatamente, perdi as minhas estrelas, mesmo entrando com o Facebook . Penso que deveriam conservar, foi minha conquista e se preservam outros dados por que não este?",3,113,1.123.1,2020-11-06 20:17:50
8,Nelci Silva Piá,https://play-lh.googleusercontent.com/-apaU3sPxr3s/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckuMuWQQbss5a6NMSXAj1cmAk8Ovg/photo.jpg,"É ótimo eu só não gostei Pq mudaram antes tinha outro jogo que nós ganhavamos mais bolhas para jogar e tiraram eu não gostei,e acho que poderia ter mais 3 tiros para ter mais emoção, qdo o nível é muito difícil perdemos muito já não é mais tão bom jogar depois que não se tem mais ajuda, não temos mais bolhas infelizmente ficou péssimo.",1,23,1.122.2,2020-10-23 22:14:19
9,Sônia da Rosa,https://play-lh.googleusercontent.com/a-/AOh14Gj0K0YrMR96BjBjqNpga_kW4koKlaBZngQPEmyv,"Adorava o jogo, mas depois da última atualização, não ganhei mais vida dos outros jogadores e não teve mais desafios. Também não recebi mais alguns poderes, que eram os melhores. Acho que vou desinstalar.",1,14,1.122.2,2020-10-24 14:36:15
