,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Alicia Santos,https://play-lh.googleusercontent.com/a-/AOh14GgIiK0x6PhzG36hUW9d0UTFzZfu000PPdR9u1DhkA,"O jogo é muito engraçado, nós caímos em pegadinhas e na maioria das vezes dizemos algo como ""Que óbvio! haha!"", Mas algumas fazes são ""feitas para gastar"", no caso, gastar as lâmpadas (dinheiro do jogo). Nós fazemos a mesma coisa que pedem, não conseguimos, compramos a dica e... Pronto! A mesma coisa! Mas, fora isso, o jogo é muito divertido. Nota 9,3.",4,914,1.4.4,2020-10-12 15:51:19
1,Genpv,https://play-lh.googleusercontent.com/a-/AOh14GhoVIA9-5OobfPEJLfn2AbUAXOyFHkCvpIReLY8,"É muito legal o jogo, eu poderia passar horas jogando, mas o número de anúncios chega a ser insuportável, e são anúncios de 30 segundos a cada fase vencida, e ainda tem mais uma tela após eles que dura uns 15 segundos, ou seja, já são 45 segundos de anúncio, se passar umas 5 fases já é equivalente à 225 segundos de anúncios, provavelmente mais de 3 minutos perdidos com anúncios, e como algumas fases são fáceis de passar é notável o quanto os anúncios atrapalham",2,373,1.4.6,2020-10-27 23:01:24
2,Lilian Almeida,https://play-lh.googleusercontent.com/-a-ttuFmjlQg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckb8lxDzO267jZDE_yyC0oKHUITow/photo.jpg,"Muito bom o jogo. Interessante. Contudo, está muito carregado de anuncio de video. Ainda que eu entenda a questão da rentabilização, acho que o excesso de anuncios cansa o usuário. Além disso, sugiro considerarem explorar outras modalidades de anuncio como banner, interticial, entre outros. Isso poderia ""encher menos o saco"" do usuário e ainda assim render $.",4,795,1.4.4,2020-10-07 09:06:37
3,Naiely Oliveira,https://play-lh.googleusercontent.com/-akqsOeAtFnk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl165sSrth71UNRwudn_4KZIkuU1Q/photo.jpg,"É um app inteligente e que trabalha realmente a lógica, parabéns aos desenvolvedores! Só que poderia ter opção de ser offline e ter acesso às dicas também. Tendo assim em alguma parte do app uma forma de ter ""dinheiro"" para ter as dicas. (Algo do tipo)",4,271,1.4.4,2020-10-11 20:35:51
4,David Saez,https://play-lh.googleusercontent.com/a-/AOh14GiwnJnXyLNBAo9x3xEdlaWXUPzOqPxI1K_Xmh4Q,"É um jogo que permite interagir com mais pessoas e muito interessante, inclusive para desenvolver certas habilidades. Eu jogo com minha netinha que adora jogar o Brain out, ela tem 5 aninhos, eu leio a pergunta e ela consegue resolver várias delas. Sensacional!!",5,59,1.4.6,2020-10-23 18:57:29
5,Kariny Goes,https://play-lh.googleusercontent.com/-5J6Tx-Nw6OY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmw7JqkaIPEl8_urEKPrDLetx2jnw/photo.jpg,"Cada acerto um anúncio. E o jogo é tão aleatório que chega ser confuso de um modo negativo. Quem sabe diminuindo os anúncios, consigam atingir a meta. E conquistar os fãs do game.",2,1,1.4.6,2020-11-03 22:56:12
6,Darkside,https://play-lh.googleusercontent.com/a-/AOh14GjuLcU-CZz6EqPzIIWOQZRjntKX2PMwrEjJu3oE3w,"O jogo é muito bom e tudo mas toda hora q eu tento entrar ele trava na hora de resgatar o premio diario,tipo eu instalei hoje e quando eu abro ele trava e buga e isso é muito chato e estressante Eu amava esse jogo e agora q consegui instalar ele nn entra já desistalei e reinstalei e nn da já limpei os dados e nn da",1,0,1.4.6,2020-11-08 13:55:49
7,Zany Ferreira,https://play-lh.googleusercontent.com/-cWxRBjKEXsQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclQlxmqW3Bpo5a5qCadGjiqjX2_Gg/photo.jpg,Esse jogo é incrível Quem criou esse jogo é uma pessoa muito esperta a gente aprende muitas coisas além de ser muito inteligente é INCRÍVEL mas uma coisa que eu ia gostar era que diminuísse a quantidade de anúncios espero que as pessoas que criou esse jogo possa remover alguns anúncios. Esse jogo dei 5 estrelas.THAU,5,7,1.4.6,2020-10-27 10:56:58
8,João Molinari,https://play-lh.googleusercontent.com/-OhlrBhzhH2A/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckSIzkWaQW6FpB7ansM9Sfhy2-ymw/photo.jpg,O jogo e ótimo. Ele e um quebra cabeça as vezes a resposta parece ser difícil quando agente vai lá pegar a dica e tão lógico 😄😄😄 enfim ele e bom muito muito muito muito muito muito muito muito muito muito bom então eu sim te recomendo a instalação e Super Super Super rápido ☺️ em 1minuto já instalou e ele e super recomendado para você e outras pessoas e eu dou 5⭐⭐⭐⭐⭐ estrelinhas. Ele também e bom quando tá sem a internet ele e perfeitoamo este jogo em melhor jogo de todos que já instalei 😁,5,2,1.4.6,2020-10-30 13:44:11
9,Laura Sofia,https://play-lh.googleusercontent.com/a-/AOh14GiTrVQr5btB1LRxk8YsRo_ceanrUQX8o3RBMTN_,"Uma perda de tempo, o jogo é bem legal conseguimos interagir e ter um raciocínio bom, mais o jogo só é uma perda de tempo por causa das propagandas, eu sei que é só desligar a net mais se agente precisar de dica tem que ligar de novo .Os anúncios são o que realmente estragam o jogo realmente é bom mais os anúncios são péssimos 30 segundos de anúncios que! !!!!!!!!!😡😡😡😞😒um absurdo se não fosse isso ele seria bom",1,111,1.4.4,2020-10-08 22:56:50
