,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Gaaraio.,https://play-lh.googleusercontent.com/a-/AOh14Gg2-VU5QJXygBk2lg45GTuVG3XV7zzpZlw6eGPOqw,"Jogo Agar.io desde 2016, antes era um jogo sem lag, totalmente humilde, e poucos erros. Hoje em dia, só tem macro (que joga 50 massas de uma vez), e o Macro faz travar o jogo inteiro, e ainda é cheio de anúncios a cada minuto. A Miniclip parece que nem olha as avaliações. E é IMPOSSÍVEL que eles não saibam que existe macro, já que canais famosos usam e mostram jogadores usando. Sinceramente, vocês ligam mais em lançar novas skins do que concertar o jogo. Agar.io já foi bom, mas está falindo.",1,127,2.12.1,2020-10-29 20:51:13
1,Nino Abreu R,https://play-lh.googleusercontent.com/a-/AOh14Gh7cZOXf3O3CDqWhNceabxyK3Hn5ybMVyCBCL2a_A,"Eu dei 4 estrelas porque são muito poucos servidores são só 3, e também eu acho que ia ser legal colocarem mais servidore tipo o modo Crazy Experimental e outros. E o que eu acho injusto são os hackers, tem mais ou menos 100 jogadores, e uns 70 ou 80 jogadores são hackers, e ainda começa a lagar quando o jogador ejeta muito forte bem ráido, e também coloquem o modo offiline e escolher o maximo de bots. Ai eu do 5 estrelas👍",4,296,2.12.1,2020-11-01 18:34:03
2,Anderson Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14Gh1aQiRXyi3MfnHGTToo6GtWkR66mCIts0X9QDT,"Trava demais, acredito que isso desestimula no interesse de continuar jogando. Provavelmente alguém já deva ter desenvolvido um jogo semelhante com as devidas correções. É algo decepcionante e extremamente ridículo para quem se diz provedoras de games!",1,52,2.12.1,2020-10-24 21:38:03
3,Woody Ofc,https://play-lh.googleusercontent.com/a-/AOh14GhfHTod0nbs3a4vga_1nC45-qF21clQ3hpjE1-JNA,"Na minha opinião o jogo e excelente, o único problema e que , os jogadores Nutellas Estão estragado o jogo com, (MACROS , HACKERES, ZOOM) então o jogo estar perdendo muito no que dizer a isso , de resto ele e PERFEITO... Jogo desde o Beta de 2015😊",5,9,2.12.1,2020-10-29 01:59:41
4,Agario - Ice,https://play-lh.googleusercontent.com/a-/AOh14GghYQjRiNF5gbnmJskzL3gr_KAcMvQa7jMpBHEg,"Jogo agar.io desde que foi lançado, única coisa que eu gostaria que tivesse era os gamemodes da versão web, pra quem gosta de jogar só, o FFA com antitimes, modo experimental, e times, modo Party, como no modo web.",3,7,2.12.1,2020-10-24 15:06:48
5,Ida Carolina Baumann,https://play-lh.googleusercontent.com/a-/AOh14GhdGUyECwtPcJaDQAQur32hp0j1bYStWhVjDK8Vu5U,Dei 1 estrela pq tipo devia ter um modo off-line e tmb um modo pra jogar sozinho e tem q tirar os macro aquilo e trapaça ai eu dou 4 estrelas pra dar 5 estrelas tem q colocar pra 20 dna pra montar uma skin e abaixar o preço das skin e so uma bacteria so uma skin n precisa ser tao caro e tmb colocar até o nivel 1000 e colocar mais skin de level coloca tipo uns mutante monstros lendas essas coisas assim eu daria 5 estrelas e divulgaria o jogo pra todo o mundo,1,0,2.12.1,2020-11-08 23:25:57
6,Carlos Furtado,https://play-lh.googleusercontent.com/-euN-9y2q15o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmk5K9hrRm5udcpO8WVTNtpFfG3qQ/photo.jpg,Esse jogo é um lixo ele me transfere só quando eu tô grande n baixem esse jogo tem várias pessoas mas quando eu tô grande aparece transferir se eu n clica depois daquele tempo o jogo te transfere automaticamente n recomendo vcs baixarem eu tô falando sério n baixa n baixa sério se vcs quiserem baixa mas eu não recomendo,1,0,2.12.1,2020-11-02 23:54:06
7,Lucas Machado,https://play-lh.googleusercontent.com/-QjaYQhcd3wk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm4Dq6Rie2J1W4ohFDh5XQM-bSQxA/photo.jpg,"É horrível, não é igual do computador os controles são horríveis e demora pra virar um só... a mais que é muito pequeno o mapa e tem muitos grandes que faz o mapa ser mais pequeno ainda e tem muitos hackers... melhorem muito o jogo para eu dar nota alta🤬🤬🤬👿👿👿😾😾😾",1,13,2.12.1,2020-10-21 11:09:14
8,Familia Kapran,https://play-lh.googleusercontent.com/-Sb9bYF48Xgk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmF09feKHllfYE0vIN9RVcq7s7dyA/photo.jpg,Antiga mente o jogo era com muitos macros rodando pelo mundo agora não tem como usar mais macro por que esses caras são muito chatos eu passei um ano atrás de macro agara que eu consegui o macro eles fazem isso por isso dei 1 estrela muito ruin,5,0,2.12.1,2020-10-30 10:41:12
9,He is not the man,https://play-lh.googleusercontent.com/a-/AOh14GgXQIhN720QDIGElz02iPtCcW3VWNM4Y00Yf_auuQ,"Controles super simples de mexer, mais só tem um probleminha os macros eles são MT chatos e eles ficam grande rapidinho isso atrapalha pessoas q n tem macro, mais tirando isso o jogo é maravilhoso",4,2,2.12.1,2020-11-08 01:00:46
10,Leandro Mcfield,https://play-lh.googleusercontent.com/a-/AOh14GhdxSHpXHdBXO5Zyii8WaeR8xxKdsKxEQ70NIVn,"O Jogo era muito bom e divertido, mas a empresa praticamente abandonou, as únicas atualizações são pra colocar mais transações e modos de ganhar dinheiro, o jogo está lotado de macro (algo que nem é difícil de resolver, pelo menos amenizar, o comportamento do jogador com macro é facilmente detectável), cada vez menos players por causa dessa onda de macro. Tem dezenas de vídeos no YouTube ensinando a usar, a empresa deveria tentar suporte com o YouTube para começar a remover esses vídeos.",1,111,2.11.2,2020-09-24 06:02:19
11,Lucas Silva,https://play-lh.googleusercontent.com/a-/AOh14Gg-FQ1f2znXFtCVspYtmmXuo1BQrK5AF1BSPhA6rQ,"A cada atualização fica pior, jogo cheio de hackers, a party buga todo tempo. É o fim do agario!!!",1,1,2.12.1,2020-10-30 21:28:00
