,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,celia Justin,https://play-lh.googleusercontent.com/a-/AOh14Gi_2X8HozB3PSGAGP1W5zixhbEzdKtH1MGxy0ZsMg,O jogo é muito bom mas parece que quando a gente gira roleta pela primeira vez e ganhou personagem parece que depois não ganha mais tirando esses fatos jogam muito bom e também para que quando a gente tira aquela roladinha porque que volta não podia ficar naquele trocinho não podia ganhar mais personagens por favor jogo por favor por favor por favor,5,400,2.14.8,2020-10-18 08:19:55
1,Gabriel Ferreira da Graça Santos,https://play-lh.googleusercontent.com/a-/AOh14GhLCNNNIzpdDu4dc_aKqWDX4n0BBd7IvltUzVg,"Acho o jogo bom mais,desbloquear personagens em minha opnião teria que ser mais facil tipo em uma vitoria sei la desbloqueiar um terço de uma skin acho que o jogo seria melhor assim tambem não consigo ganhar diamantes/gemas não sei se é o jogo ou eu que não sei não sei mesmo ganhar diamante/gemas edit: o jogo é perfeito",5,1023,2.14.8,2020-10-20 11:52:55
2,Emanuel Games,https://play-lh.googleusercontent.com/a-/AOh14Gi22wY1LHFwkwwfe2jrY7GnE9j0Cg1GAlFf56-l,"O jogo é muito bom mesmo, só tem umas coisinhas que tem que melhorar, mas tirando isso o jogo é muito legal divertido, porém tem um bau que você tem que avaliar o jogo mas não funciona, mas não ligo mas para esse bau os personage. Tem os poderes muito legal, cada personagem tem sua roupa os efeitos do final muito divertido.",5,1063,2.14.8,2020-09-22 20:25:45
3,Gonçalo Silva,https://play-lh.googleusercontent.com/-ujLBo5bHXQc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclhwGzqUyv3pRxrSmadEnzbC3-trg/photo.jpg,O jogo e muito bom e engraçado e fixe o proble ma é que quando ficamos a trás da montanha não da para acertar no adeverçario mas de rasto é muito bom e optimo gdgdvdhdujsuwhegegeggsyayayahwysgshhdhdgefdyfyyhbffddghcrhgtjvfyhfdawdghjkllnnvcxc hjvhhgyugffhuttyuifghhgthhfthiiigffhjhffuuurfgjjgghhfghgtghfgufhuuhtfnkllkjyg bem e wue me estava em casa do Benjamin Constant a que horas tecposso bem e wue me estava em tratamento pedia wue fizessem apenas o pagamento da renda deste mês são as seguintes al,5,66,2.14.8,2020-10-17 05:52:13
4,João Pedro Aguiar,https://play-lh.googleusercontent.com/a-/AOh14GhhoGo0eZUnfKU12LqVQJZ9s5qqEQu7mrUK766whA,"Jogo top 👌. O jogo é bom, divertido e simples de jogar. Acho que minha única crítica é a roleta troladora que sempre cai nas moedas aí invés de cair nos personagetm, mas isso é padrão de jogo mobile. Parabéns aos desenvolvedores, conseguiram fazer um jogo divertido, bonito e com poucas propagandas.",5,1103,2.14.8,2020-09-25 00:31:26
5,Caio Ferreira,https://play-lh.googleusercontent.com/a-/AOh14GhKV3RA5AWy-IrLh4A2MZucwZ0YPwkeM3xEH0qpzJ8,O jogo é muito legal... Mas trava muito... Fica doido não dá pra mexer em nada quando trava ... Trava muito é o problema não é meu celular e sim o jogo ... Precisa melhorar isso ... É horrível jogar assim.,1,0,2.14.8,2020-11-05 21:35:10
6,Arthur MOG,https://play-lh.googleusercontent.com/a-/AOh14Gj7Je_u0rxBuALN4O2ULYJlo94mI4fSFfschP-JTA,"O jogo é muito bom, gráfico ótimo, mas só tem um prblema, os personagens Premium, pq qm ñ tem como comprar o Premium ñ consegue esses personagens, mas fora isso é muito bom o jogo, parabéns pros desenvolvedores!",5,63,2.14.8,2020-10-25 20:37:12
7,Lucas,https://play-lh.googleusercontent.com/a-/AOh14GhycTSAVruTF3YvoHK0o94wLF9HdJIxpa9GqqJKDw,Eu gostei bastante do jogo é perfeito pra tirar o estresse e desconta_lo nos personagens É um ótimo jogo de violência que só os maiores de +14 anos! Podem jogar mais sei como é o jogo e não me emporto já vi muita violência durante esse tempo quem nunca jogou sem ter idade suficiente 🤣🤣🤣 [ Só que faltava mais alguns personagens Baratos e legais de jogar mais tirando isso tá muito bom também! Continuem assim e mais pessoas vão querer jogar esse jogo! #Bowmasters],5,177,2.14.8,2020-09-23 21:29:29
8,yMiilk goldy,https://play-lh.googleusercontent.com/a-/AOh14GhczBobETyU-HOil0iKf2JTAGBYFfW7IBZmI2t5Mw,"Bom..... O jogo é bom,porém tem o Premium e isso ñ é errado,mais o errado é vc colocar personagens que são apenas para pessoas premium,uma pessoa que ñ tenha condição de pagar premium e quer um personaguem que só da para pessoas que assine o Premium, as pessoas que ñ tem logo ficaram tristes",4,989,2.14.8,2020-09-27 17:20:24
9,Fainunes Gamer,https://play-lh.googleusercontent.com/a-/AOh14GiPcjrBv7EiHP6JrDry9eVMBVd-QIKC7BwFV3Yi,O jogo e muito bom só tem um problema roleta quando vc e iniciante vc ganha o personagem mais quando vc fica pro vc não ganha a roleta e trolagem mais o jogo todo e muito bom esse jogo me ensino a atira flecha mais claro eu tinha um professor mais agora nem presiso mais agora eu só uma boa atiradora de flecha já soube do meu canal fai Nunes gamer o jogo me espirou muito e que tenha mudado a vida de jogo só tem o problema da roleta mesmo mais o resto e tudo bom muito bom o jogo bejuuuuuuuuuuu,5,4,2.14.8,2020-10-23 14:19:36
