,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Renzo Nogueira,https://play-lh.googleusercontent.com/a-/AOh14GgKGox9YhiRvl-8-hSfSfqs9GL0FKJlfiPUiLByqU0,Ótimo jogo para jogar com os amigos. Seria bom se desse para depositar dinheiro no jogo e apostar com os amigos. Tipo uma pequena porcentagem dos ganhos poderia ir para a empresa desenvolvedora para valer a pena. Seria muito legal jogar uma partida valendo dinheiro com amigos.,5,24,5.0.3,2020-10-29 14:14:16
1,Paulo Rodrigues,https://play-lh.googleusercontent.com/-pTHmdCiOJCk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckB0f-l3r8vIYQgmqjWvo1gORODRg/photo.jpg,Um excelente jogo. Sem violência. Desenvolve o pensamento lógico matemático psicomototricidade... muito show. Amei e estou me divertindo bastante. Sugiro a todos.,5,137,5.0.3,2020-09-30 18:07:42
2,Daniel Melo,https://play-lh.googleusercontent.com/a-/AOh14GhUbTiaG0TW5VCrAdGDxw9fiwqMJVIrsUMLn_tdOA,"Gostei muito das modalidades, minha preferida é freestyle! Parabéns aos desenvolvedores!",5,46,5.0.3,2020-09-26 11:21:07
3,Catia Do Amaral,https://play-lh.googleusercontent.com/-NWJR4Yo74wo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckS98jwGQbX_7GMCsX40jqo_Q0xuQ/photo.jpg,"é bom o jogo mas às vezes sou roubada ,cai a conexão e quando volta ,eu perdi tudo , que eu nem cheguei a jogar, antes eu tinha dado 4 estrelas , hoje eu dou só 2 estrelas até vcs arrumarem sobre o o roubo e a conexão . é bom, mas ainda estou sendo roubada , quando cai a conexão , que é bem engraçado só cai quando eu estou ganhando , quando eu estou perdendo não cai ,mas quando eu estou ganhando cai a conexão numa facilidade.Melhorou um pouco mais,mas tem que melhorar ainda mais .",4,16,5.0.3,2020-09-27 20:31:22
4,Antonio Lourenço,https://play-lh.googleusercontent.com/-7yQskXv7jpU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmFXliSAwpqSo6xBPSDsUC0AugZYA/photo.jpg,O jogo até que é mais ou menos mas quando você vai assistir um anúncio para ganhar abrir as caixas que ele trava não vai,2,0,5.0.3,2020-10-24 19:12:28
5,Emerson Giordane,https://play-lh.googleusercontent.com/a-/AOh14GhT36UKkyiHBEfZdAKyHDTjTrAj3hd-ag0RzY22nw,"FRUSTRANTE! Acontece que, após você ganhar algumas partidas, do nada, o jogo congela e retorna novamente, não para você, mas para o oponente fazer a última jogada e vencer!!! No meu último jogo, apostei 500k, nem sequer joguei, o app deu bug e perdi todas as moedas!!! Chega a ser irritante. DESINSTALANDO",1,110,5.0.0,2020-07-24 16:40:30
6,Renata Crusco,https://play-lh.googleusercontent.com/a-/AOh14GhcDEZdpwPaUKve7QpdgdnK6oVRX1urQouLpP71kQ,"Poderia ser bem melhor, se não fosse tão difícil passar de nível... Demora demais e acaba se tornando chato. Vc podiam retornar moedas, quando perdemos, usando um disco lendário. Assim, não falimos e continuamos jogando. Igual o 8 Ball pool. 🙏🏼",4,177,4.0.4,2020-05-27 20:55:45
7,André Ferreira,https://play-lh.googleusercontent.com/a-/AOh14Ghyh0tfB_0rvv9EMX11WGnFgjJjzyzcWyz50xNM,"Achei excelente a jogabilidade, os gráficos, a extensão, bem como todos os outros itens.",5,121,5.0.2,2020-08-12 19:39:45
8,eugenio silva,https://play-lh.googleusercontent.com/-vJFw4wngQIg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclz4BIrvg0Tw_L5fDDWQCs0E3esbA/photo.jpg,"Bom dei 3 estrelas porque: sempre que vou jogar na partida de 100k de 5 jogada aparece um hacker, que simplesmente joga uma única vez e o jogo trava ,no final quem perdi sou eu. Vcs deveriam providenciar um modo de fazer denuncia. Pois não é justo .",3,25,4.0.4,2020-07-21 19:23:06
9,fabinho cardoso,https://play-lh.googleusercontent.com/a-/AOh14Ggww4aB6m6rWzQ83n1Dv-7zO4EQ_WP8VYczaYM0EA,poderia renovar as palavras da conversa....coloca online com traducao,4,0,5.0.3,2020-10-31 07:16:10
