,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Josue fernando da silva,https://play-lh.googleusercontent.com/-FA1VsWSecf8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclD_NTLhYPHLr27bqJf01QZt4KYFg/photo.jpg,"Jogabilidade muito boa e cativante, porém as vezes vc joga e ele não reconhece sua jogada e vc acaba perdendo a vez e na maioria o jogo. Está com um problema grave na opção de jogos ""jogos especiais / 9 bool / mesa dallas/ aposta 50k"". Ganhando ou perdendo o jogo valerá apenas 1k. Por favor verifiquei. Joguei mais de 5 vezes e nada mudou",4,105,5.0.0,2020-10-26 07:44:52
1,Eliana Luna,https://play-lh.googleusercontent.com/-GU5iqxCwQJo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmbl0xj7nrVqJb1GUWl3zHpMMZ6lg/photo.jpg,"O jogo é muito bom! Mas apesar de eu estar pontuando, não está sendo computado. E ficam repetindo, detectamos uma trapassa de conta para conta,e não é verdade. A razão de eu ter aumentado meu ganho e subido de nível. É que minha família joga com meu celular. Ainda continuo sem pontuação no jogo, não é justo estou ralando pra subir de nível.",5,140,5.0.1,2020-10-27 16:20:40
2,Evaldo Silva,https://play-lh.googleusercontent.com/a-/AOh14Gh1Y8lmkpjWrOwuJcMgYVrXpcdJDs6I1E4_6Mey,"Como todo jogo, é viciante. No início o jogador se empolgada com as vitórias e mudanças rápidas de nível. Mas depois o jogo é totalmente manipulado forçando seus usuários já totalmente envolvidos a comprarem moedas depois de perderem tudo... Se você quiser distração não é o jogo Você vai passar muita raiva, xingar os piores nomes Pior jogo que já joguei.",1,82,5.0.1,2020-10-18 02:41:18
3,Silvana Basil,https://play-lh.googleusercontent.com/-XGIYmvqj8ko/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnJCyNSqH6TJVsMcxhDbE1Awt41Cg/photo.jpg,"Gostei bastante desse aplicativo, ele é muito divertido, e além do mas, os dois jogadores se mantém conectados através de palavras já feitas pelo aplicativo e também pelo Facebook, um meio que não utilizo muito no momento, mas de qualquer modo irá conectar você e o oponente que desejar. Enfim não achei nenhum defeito, por isso não tenho o que reclamar, é só elogios !!! Parabéns aos criadores, vocês criaram um jogo incrível !!!",5,416,5.1.0,2020-11-04 23:26:21
4,Thiago Santos,https://play-lh.googleusercontent.com/-IxZvjvljSLg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnWd-eDcIIUBb2pDlUYtZMINIHl4Q/photo.jpg,"O progresso das contas de visitante (nos eventos especiais) não deveria ser apagado ao desinstalar o jogo, acabei de perder os 3 anéis que tinha conquistado com muito suor, além do taco obviamente Edit: porque agora ao desinstalar o jogo não aparece o evento, nem os tacos que foram ganhos nos eventos anteriores",1,5,5.0.1,2020-11-08 22:25:31
5,Eloisa Alcântara Elooh,https://play-lh.googleusercontent.com/a-/AOh14GgBnmCjkGTHB2XPnJl5D50jAjHig5byklYwH7Tp8Q,"O jogo em si é muito bom, é excelente e espetacular. Porém o mesmo trava muito, demora para carregar e Também para de funcionar justamente na partida aonde os jogadores estão terminando a mesma. Vocês precisam melhorar muito nesse aspecto do jogo por que ele traz muitos problemas e dor de cabeça para quem aprecia jogar e relaxar um pouco em nossos passatempos.",4,370,5.0.1,2020-10-11 02:08:00
6,JOSE MARCO FRISCH,https://play-lh.googleusercontent.com/a-/AOh14GjAwvdNsH46niGQNPCvdHNzElNQ4gNvYIvO3g5SiQ,"É um ótimo passa tempo, mas está a ter muitas falhas na conexão de rede e perde se muitas jogadas, trava constantemente, mas o relógio não para e assim perde a vez e o adversário fica em vantagem, ocasionando a perda da partida, e dinheiro. Se houver uma solução, por favor entre em contato ou publiquem. Tenho a certeza que muitos jogadores passam pela mesma situação. Obrigado ☺️",3,233,5.1.0,2020-11-04 14:15:38
7,Sandrinho Sousa,https://play-lh.googleusercontent.com/-Y937vb-Jtq4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn75wzqj-EZkX1EkCY9fmQCAXlpmg/photo.jpg,"Essa miniclip ta roubando de mais ..no resultado da última semana fiquei em 2°lugar na minha liga recebi 55 notas de dinheiro..mais também fiquei em 3°lugar na liga dos amigos, no caso era pra mim receber 100 notas de dinheiro mais n recebi..No total eu receberia 155 notas mais so recebi 55 ..Tô bolado com essa prr ..e fiquei 6 partidas seguidas sem dar a Saida nas partidas .Sacanagem.",1,6,5.0.1,2020-10-19 21:08:45
8,Deolindo Ferreira,https://play-lh.googleusercontent.com/a-/AOh14GiiVQmwFyjZyjmrCHXh6QBel-GZTnj7iDuh3SLJ,"Não percebo como está a ser dada a pontuação, uma vez que nos princípios o escalão ia subindo com o número de vitórias, e agora, não. Um exemplo: hoje, terça, 16-7-2019 começo o dia com 43000 - e depois de 20 partidas e com um score de 13 a 7 em vitórias a pontuação não vai além dos 45000, com o. Hoje, dia 8 outubro 2020 com mais vitórias que derrotas a pontuação da semana ainda vai a zero, porquê? Quando reporem, volto a jogar. Mas a pontuação não vem, é que eu como grande Campeão do bilhar",5,1,5.0.0,2020-10-23 13:19:34
9,Daniela Maiaa,https://play-lh.googleusercontent.com/a-/AOh14GiWWa9UT1_x3L4gPqfVSxMsqnUZvTD_mXXBdAzfWms,"O jogo é maravilhoso, mas está deixando a desejar. A roleta é manipulada, eu nível 55 caio com gente do nível +300. Além disso, eu entrava na minha conta somente com o acesso do facebook e DO NADA a miniclip foi vinculada. Não sei e-mail, não sei senha, não sei nada! Não posso sequer tentar desvincular do face porque corro risco de perder a conta. E não faço a MÍNIMA IDEIA de como seja o e-mail e senha do acesso miniclip (e nem sei como foi parar lá). Vocês poderiam dar opção para trocar o nome!",3,0,5.0.0,2020-11-05 02:21:44
