,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Joni Fornel,https://play-lh.googleusercontent.com/a-/AOh14Ghd3ld8zAI8b3MPe184FNUrwgMlwkEToa-s5Xt2Vms,"Melhor jogo de futebol de botão. O gráfico é incrível, tem muitos recursos e várias competições e eventos esportivos dentro de um único game.",5,15,5.1.3,2020-11-06 21:35:39
1,João Lucas,https://play-lh.googleusercontent.com/a-/AOh14Gj_j99t8IeYPtKsfAu40Lb1upXTrq3MViHysse6Sw,"Estou fazendo essa reclamação pois meu jogo não está mais entrando, já fiz de tudo. Limpei cachê, desinstalei e instalei de novo, reiniciei o celular e nada. Espero que resolvam isso, assim não dá pra jogar mais.",3,29,5.1.2,2020-10-30 11:09:02
2,Wendell Silva Paiva,https://play-lh.googleusercontent.com/a-/AOh14Gh8zl4v8viwqPoJoHww3R3x8Sb9CXfwkH29aIPs,"Curto demais! tirando os catimbeiros, o jogo é demais... por favor, incluam clubes brasileiros, aumentaria em 100% tudo que tem de melhor no jogo...",5,47,5.1.2,2020-10-28 20:49:56
3,EMERSON rios,https://play-lh.googleusercontent.com/-BLkHtPiWUuE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckZxOLxATAK_9iS9JySe5xVH-VQBw/photo.jpg,Olha o.jogo é top. Precisa ter mais opção de mandar msg pra o adversário. Tem que ter mais grana tbm grana virtual. Aí sim fica bom e 100 por cento,5,4,5.1.2,2020-11-06 01:54:26
4,Luiz Junior,https://play-lh.googleusercontent.com/a-/AOh14Gjq2eLqTUIC2emzF1a7TJcFegIkVuJ6ClbDW-MP0g,"Ótimo jogo porém fica dando problemas de conexões sendo que não tem problema com a conexão, perdi vários jogos, inclusive finais, fazendo o gol da Vitória e aí volta a jogada, perdendo minha vez de jogar, indicando problema de conexão desvalidando meu gol da Vitória, e fui verificar minha conexão estava ótima com a barra cheia, péssimo isso... ridículo... se não fosse isso seria 5 estrelas...",3,2,5.0.1,2020-11-04 05:28:31
5,Valdinei Santos,https://play-lh.googleusercontent.com/-L_aFZCr0ayY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnVslCVaCCHhUGXHOxw5AD5gkQNfg/photo.jpg,"O jogo é bom mas!..paralisa nos momentos mas importante. Ex. Quando pagamos 50 moedas ou mas p voltar aos pênaltis, paralisa cara ! já desinstalei com raiva por causa dessa malandragem. Vê sim corrigi isso ai q minha Internet ñ é de graça ñ vio pai (E bote o meu Mengão ai nessa bagaça é nós.)",1,0,5.0.1,2020-11-04 04:03:13
6,Gato Uzumaki,https://play-lh.googleusercontent.com/a-/AOh14GhGTVisqQTlfnHLd5reqAdNanyhqAPeGBVa_waP,"Mano esse jogo é mais desbalanceado (não sei se escreve assim) que tudo, eles me colocam pra lutar contra pessoas de nível 78, 84 ,53, 34, comigo sendo nível 7, agora me fizeram o desafio tudo ou nada e eu aceitei, me colocaram pra jogar contra um de nível 34, claro que eu perdi né,meu deus assim não dá pra jogar, ainda mais tem o modo de penalty rush, que quando eu erro, demora uns 10 segundos pra eu poder jogar de novo e no modo trickshot arena, acabaram de me colocar contra um nivel 102",1,20,5.0.1,2020-10-24 23:00:50
7,Emir Diez de Palma,https://play-lh.googleusercontent.com/a-/AOh14GiGrfcE5vQLFN0x4c-HvLPMnWxj_5TvUnNzzxNK3A,"Jogando, eu tinha feito 3x2 e simplesmente voltou pro 2x2 e com a vez pro adversário com a maior facilidade de fazer o gol, o cara fez o gol e perdi a partida injustamente sendo que eu tinha ganho. Minha conexão não é ruim para acontecer isso.",2,2,5.0.1,2020-11-01 11:53:23
8,Felipe Bastos,https://play-lh.googleusercontent.com/-hHopE8BIwKM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn4lxT5x1tkBHup-SRQvgFV_jGvLw/photo.jpg,"O jogo é bom, mas tem problemas de conexão toda hora. Às vezes você nem consegue entrar na partida e contabilizam como jogada. Irritante. Precisam consertar isso ou simplesmente beneficiar a pessoa quando ocorre e não prejudicar. E pra piorar, tem gente que percebe que vai perder e sai do jogo antes. Da tempo até de sair assim que a bola entra. Simplesmente não contabiliza o gol. Ou passa a contabilizar quando a pessoa sai ou não deixa a pessoa sair quando a vez não é dela!!",1,111,5.0.1,2020-10-10 12:34:45
9,Júlia e sua turma,https://play-lh.googleusercontent.com/a-/AOh14GhTsRBRZh_r2ddT-1loKIzP8vVWF7bhGBfftBTo-g,"O jogo era super bem e super legal e não bugava nada, eu já jogava esse jogo há um tempinho mas depois eu tinha desinstalado, e quando eu instalei de novo algumas vezes que eu participava de uma partida a tela ficava toda escura sozinha mas o som continuava se puderem consertem esse bug",3,0,5.0.1,2020-11-04 15:50:24
10,Willian Lourenço,https://play-lh.googleusercontent.com/-j72aYLqs9QU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm__ytp7sYFxiQPW260m7F6m8ctbQ/photo.jpg,"Gostaria de ter dado 5 Estrelas, Boa Jogabilidade para os amantes do jogo de botões, infelizmente o jogo rouba suas moedas .... simplesmente você está jogando e ganhando a partida o jogo trava e leva sua aposta e vc perde a partida,mesmo estando Ganhando.",3,1,5.0.1,2020-11-03 12:10:34
11,Decio de Oliveira Scutari,https://play-lh.googleusercontent.com/-NX3fpq84GDI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnBO7vDUhqw32L1wBh4l5mQQnBmkw/photo.jpg,"Eu jogo este jogo a mais de 5 anos, referente ao jogo eu gosto muito, mais tem duas coisas que me irrita demais, uma e a instabilidade que ultimamente esta apresentando, a primeira partida flui normalmente mais a segunda parece em camera lenta ai vc nao consegue mirar com calma e acaba perdendo a jogada o jogo so volta ao normal se reiniciado novamente, a segunda e que ja ganhei centenas de pacotes ouro para os times megararos mais sempre vem os mesmos pedaços de times repetidos, talvez so paga",1,12,5.0.1,2020-10-15 10:53:03
12,Lancellot Master,https://play-lh.googleusercontent.com/a-/AOh14GgZ-TmTutO6pcBzhPLAI1sKkHyUUR-CMOMUfmrE,"Péssimo! Além das centenas de janelas de propagandas, o jogo é i justo: coloca um jogador de nível 3 vezes maior contra nós. Agora mesmo aconteceu algo que é constante: jogadores hackers derrubam a sua conexão de repente, quando eles vêem que vão perder a partida! Deslealdade pura! Eles somem uns minutos durante o jogo (para mexer no software hacker), e quando voltam, a nossa conexão cai instantaneamente! Já passei por isso umas três vezes! E o desenvolvedor do jogo não faz nada para apurar!",1,176,5.0.1,2020-08-30 21:31:51
13,Glaubert Machado,https://play-lh.googleusercontent.com/-UQ396k5i5Wg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnsOxAcqYsFE5FsOki2dnlhXhu7sw/photo.jpg,"Jogo muito bom. Porém constantemente está ocorrendo de ter a opção de assistir o vídeo grátis, para ganhar mais rodada grátis ou ate mesmo na roda (roleta),dá opção de assistir o vídeo e trava não abre. A gente fica horas principalmente em campeonatos para acontecer isso. Frustante essa situação. Se consertarem essa falha darei 5 estrelas.",3,25,5.0.1,2020-10-11 12:26:45
14,jorge José,https://play-lh.googleusercontent.com/a-/AOh14Ghp4dJsjK4Ua3Dm6eGBzv3cbrf3EPVlox5M5JtNnw,"O jogo é bom! Porém deixa a desejar, pois aparecem algumas falhas. Ao usar os 2 dedos, quando quero desistir e jogar de outra forma o jogo não aceita tirar, pois quando tento tirar o jogo segue. E sem eu querer jogar para bater na bola o botão dispara sem mais nem menos. Afff🤨....Por esse motivo darei só 3 estrelas. Mas de qualquer forma gostaria que vocês corrigissem esses itens, pois caso contrário sairei do jogo.",3,144,5.0.1,2020-08-16 19:36:48
15,João Pedro Cardoso e Sousa,https://play-lh.googleusercontent.com/-XSACN4RG2o0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnbD0ZFh3ouG8jqIMObRHeis5TsuA/photo.jpg,"Melhor Jogo. Proponho algumas melhorias, poderiamos jogar independente( ficar responsável por apenas um disco, por jogador) naquela partida que e 3x3, poderia formar com 6 jogadores cada um ficando responsável por uma jogada. Ou de duplas 2x2. Invés do jogo só ser apenas jogo individual. Vamos eliminar o individualismo até porque nao estamos sós neste jogo.",4,94,5.0.1,2020-09-23 22:06:21
16,Fabio Rivabene,https://play-lh.googleusercontent.com/-qsw3QAAXP8Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclKoeAoyiz--5iIW40DQj0AIBoimA/photo.jpg,"Gostaria de mostrar minha insatisfação, fiz uma aposta alta em uma partida, marquei o gol faltando alguns segundos restantes para finalizar o tempo, e depois que eu marquei o gol, apareceu tempo esgotado, na jogada seguinte o adversário venceu o jogo, que bug foi esse, espero que tomem alguma medida de melhoria.",2,34,5.0.1,2020-10-07 14:29:18
17,CESAR ROCHA MONTICELLI,https://play-lh.googleusercontent.com/-iGcJVY5OFx4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmAg-5TgVZDmPoE2G6x3k5HLfx_0w/photo.jpg,"Não dá novos times nos pênaltis O último foi o arco íris Falta uma peça para ganhar o tremor, só que não liberam😷 .pena que nem sempre é com adversários humanos, a maioria dos jogos a gente joga contra robôs super poderosos... Gostaria de jogar contra brasileiros humanos e não robô...A maioria dos jogos vc acha que está jogando contra pessoas e é robôs 😡",4,2,5.0.1,2020-10-21 23:28:41
18,Gabriel Renero,https://play-lh.googleusercontent.com/a-/AOh14Ggb13kWBPN1PR3yGv9jFFcZLj5xODIYaLGFg2Qjaw,"Miniclip por favor , resolvam varias coisas nesse jogo. 1-Por favor , de uma bufada nos seguintes times : dente de sabre , dragão , fênix Reino Unido Premium , 2- Adicionem Escócia e Escócia Premium ! 3-melhorem sprites de certos times , ex : dragões e mais 4-retirem os hackers pelamor de deus !! 5- diminuam os gols do torneio de Argentina , Colômbia e Alemanha , sei lá , tipo : Portugal 1 gol , Argentina 1 gol , Alemanha 2 gols , Colômbia 2 gols.",4,43,5.0.1,2020-08-31 12:38:14
19,Marcos Tomaczski,https://play-lh.googleusercontent.com/-XS_ITDwzcB4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclAHRd7m0EIi8ntKBWqiSp_OiNMPg/photo.jpg,"Otimo jogo, viciante porém, competitividade duvidosa. Fui prejudicado em uma competição onde um jogador de nível muito superior me venceu pois minha jogada estava dentro do limite de tempo, eu executei e a bola voltou no ínicio da jogada alegando que eu ultrapassei o limite de tempo, assim o adversario fez o gol. E na competição penalty legends o retorno da bola em posiçao demorou enquanto o tempo passava, o tempo aparentemente se auto corrigiu mas ao chegar em 20 segundos pulou para 8 segundos.",2,37,5.0.1,2020-08-16 13:34:16
20,Matt,https://play-lh.googleusercontent.com/a-/AOh14Gh_dkju9JeimWx3LDr73xAU91al9DCXLBsxrmT8,Existe um problema recorrente de você ganha uma quantidade grande de moedas e o jogo não entregar o prêmio e aí vc acaba não conseguindo compras as coisas que queria e o jogo ainda te enche de anúncios para lucrar nas suas costas,2,1,5.0.1,2020-10-26 11:19:50
21,Marcio Santos,https://play-lh.googleusercontent.com/-mxra_Qy_Fw8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucngzdwQvo7phEHGFFzF1C58-TkxiA/photo.jpg,"Jogo viciante porem tem alguns problemas pois o adversario , em geral quem gasta grana com o jogo adquiri uma funcionalidade que faz com que trave o jogo e ao desistir o mesmo ganha a partida sem precisar fazer os 3 gols. Acho injusto.",1,2,5.0.1,2020-10-14 00:15:01
22,Arlindo Gago,https://play-lh.googleusercontent.com/-4Krx8mDLVaM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckv-mxbQns3zbSP5CUTGadjv7Td-Q/photo.jpg,Consome muita bateria por isso e outras uma estrela tá bom de mais por mim não dava nada abestalhados quem dar 5 estrelas para essa peste que não vále nada e não respeita a opinião do usuario por isso eu pesso deixe de ser burru tire as estrelas deixe so uma para eles respeitar os usuarios,1,2,5.0.1,2020-10-26 14:25:09
23,RENATHO ALVES,https://play-lh.googleusercontent.com/a-/AOh14GjycrPjTP4lE4FbiCcS2CikmIGg4qQr_xixgI5uIg,"Concordo galera!!! Esse jogo é injusto o intuito dele é fazer você gastar dinheiro!!! ATENÇÃO!! ATENÇÃO! EU TINHA 1100 MOEDAS APOSTEI 25, OK? FICOU 1075, OK? QUANDO GANHEI A PARTIDA ERA PRA EU FICAR COM 1125 CORRETO? JÁ QUE EU GANHEI 50 MOEDAS. MAS AÍ O JOGO FICOU COM 5 MOEDAS. E ME DEIXOU COM 1120. QUAL INTUITO DE DELES TIRAR ? SACANAGEM ISSO!!!",1,32,5.0.1,2020-09-09 00:33:32
24,Sem Nome,https://play-lh.googleusercontent.com/a-/AOh14GgfIZrdlh74dr6I7C15o-CuHwcuSALBXslV93QFlA,"Única coisa ruim é que o jogo é MUITO lento. Em qualquer coisa que eu aperto ele demora uns 3s pra abrir. Todo as suas animações são lentas, fazendo com que o jogo fique demorado.",4,4,5.0.1,2020-10-08 06:10:54
25,Vini GAMES,https://play-lh.googleusercontent.com/a-/AOh14GiWwJ3cvuN1XE_tMHEA3LtgYroZztLZaUC6V18mRQ,A ideia e boa mas tem horas q o jogo te prejudica joguei varias partidas d 50 moedas foi d boa.. quando apostei 500 no meio da partida saiu e voltou para o menu e eu tinha pedido as 500 sem nem jogar.. ai n tem graça,1,0,5.0.1,2020-11-01 04:27:57
26,Eduardo Nunes Seibt Meneghetti,https://play-lh.googleusercontent.com/a-/AOh14GgZCObtteOO377Zirnqr2twOOx_JidD1d_4OLEs6HM,"É um ótimo jogo me lembra minha infância. Acho que deveriam mostrar os jogadores com seus retrospectos antes de cada partida, por 5 segundos, assim veríamos melhor com quem se joga. Poderiam também estipular o número de ""empurrões"" nos botões sem bater na bola antes, levando uma falta. Assim desestimular os que não querem jogar, mas a penas provocar.",5,279,5.0.1,2020-08-06 10:16:51
27,Neto TheOnly,https://play-lh.googleusercontent.com/a-/AOh14GgJUYDzLSq9wAD2K7p5Akq7DwceGtKw6uCcVDFvwg,Estamos a brincar? Seja em campeonatos e em todo o lado só apanho níveis mais altos sou nível 22 e apanho níveis 50 para cima? Desinstalei por isso e tou a ver que nunca mais irei tocar neste jogo de cáca,1,0,5.0.1,2020-11-07 09:49:04
28,Edvaldo Rodrigues,https://play-lh.googleusercontent.com/-u2p32xPFQ1Y/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckzWqPTtRR09aHEIB5dPEdTY76udg/photo.jpg,"É a primeira que vejo um jogo toma as moedas , apostei 500 num jogo de mil , ganhei , o jogo descontou 100 , sinceramente não entendi , se esse é o espírito esportivo da empresa , enrola os jogadores",2,1,5.0.1,2020-08-16 16:31:10
29,Rafael Lau,https://play-lh.googleusercontent.com/-Uh2Kbo9hQgg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmsgj0XVz0S4yn9yCqjWoldbEFyYg/photo.jpg,"deveria ser mais fácil trocar a formação durante as partidas, as opções para aquisição de cédulas são muito poucas comparadas às moedas. Poderia ter equipes com estampas personalizáveis. Os upgrades das equipes deveriam possibilitar a escolha de qual habilidade o jogador quer melhorar primeiro. O jogo é bom, mas sempre dá pra melhorar, não é?",3,131,5.0.0,2020-07-19 00:04:47
30,rei videos bahia brasil,https://play-lh.googleusercontent.com/a-/AOh14GgGc-OXpWncLr0pX5v2mIAOwzSZm8cGXgaq6E3DVg,"Em 2018 dei uma estrela: as atualizações travavam muito e ocupava muita memória. Melhorou! Me irrita quando o adversário espalha meus jogadores sem tocar na bola. Quase eu desinstalei o jogo. Pensem, quantos usuários vocês perderam por causa disso. Seria genial se houvesse a regra de falta, se o jogador tocar no adversário, sem que, nessa mesma jogada, ambos não tocassem em seguida na bola. A falta seria cobrada em dois lances: O primeiro lance, em qualquer direção e o segundo, para o gol.",4,114,5.0.1,2020-08-03 05:14:05
31,Alisson Alan,https://play-lh.googleusercontent.com/-kW0YMcO0lVw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnzYbANxE4lEXfyqcHUjO1EGvPGKA/photo.jpg,"O problema é que os vídeos de inscrição agarram isso é horrível os outros adversários fazem mais gols no pênalti rush, mais um problema erro de transação sacanagem só porque os pacotes estão 0.99 e eu tenho saldo positivo no Google Pay.",2,2,5.0.1,2020-09-30 23:22:57
32,Elce Júnior,https://play-lh.googleusercontent.com/a-/AOh14GhyvRjLhft69gbBDTYrwktntUYobTQZ_3rWF-MZMw,"O jogo é bom, mas infelimente é muito injusto, não faz sentido você estar no nível 10 e jogar com um cara do nível 90, muito injusto, por isso não faço mais compra nos apps. Se sou da liga latão, deveria jogar com caras do meu nivel. Sei que é jogo online, mas sei lá, podiam dar um jeito e tornar isso mais justo. 😞",3,112,5.0.0,2020-07-21 23:55:15
33,dOutoR,https://play-lh.googleusercontent.com/a-/AOh14GjzO09odyZC0AK_rx3P0Cpus1OLjJfAygg-lxPpWA,"Ahmm.... Poderiam verificar a mudança da seta vermelha gigantesca que atrapalha a visão da mira em jogadas que exigem uma certa destreza! A mira após ela, constituída com a marcação seria o suficiente! P.s. envirei o feedback no email do suporte para ficar enfatizado. Grato.",5,1,5.0.1,2020-09-26 19:24:55
34,C.A. M,https://play-lh.googleusercontent.com/a-/AOh14GiDnKH2IZpEyiVULJOmtJOVDoWYJH4FSm940d2Ssw,Jogo apenas razoável porque a premiação é injusta. Vc compra um time melhor e ao ganhar um campeonato descobre que o prêmio é um time bem mais fraco que o seu. Deveriam dar opções de escolhas de prêmios.,3,2,5.0.1,2020-09-05 13:24:15
35,Guilherme Fappi,https://play-lh.googleusercontent.com/-RzK-FMfav0M/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckHTMkOmQbhXvBMbCqB7cewCUfeHw/photo.jpg,O jogo é bom demais. Assim como outros leva tempo ate entender como ganhar mais moedas e dinheiro verde. Depois que voce peja o jeito vai que vai. Unico pedido moderiam colocar o agente veterano com um valor X de grana. Eu sei que vocês tem que ganhar com o jogo. Mas estimularia mais se pudessemos jogar com outros agentes tambem. No mais estão de parabéns,5,24,5.0.1,2020-08-04 13:57:28
36,juan Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14Gi_pYW5ztkl6cSh_vo7KIFjX4LnI7hHaUGUAncy,"Jogo desonesto! Não invista seu tempo e principalmente se dinheiro! Jogando partida de 2000, quando terminei o jogo foi para partida de 101.00. Não coloco um centavo a mais nesse game.",1,2,5.0.1,2020-09-28 08:04:16
37,Alexandre Mocelin,https://play-lh.googleusercontent.com/-ZwQPWNGkhhY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl4mTsNS-sW03n9DsrdeHI6JKA6SQ/photo.jpg,"Ainda estou esperando o jogo corrigir o nível dos adversários. Não pode um jogador de nível 70 ter que enfrentar outros com nível muito acima as veses até o dobro do nível. E essa explicação de que o balanceamento se dá não só pelo nível como também pela habilidade não faz sentido. É ridículo isso. Corrijam. Por isso como ainda não corrigiram diminuí uma estrela. E também o jogo precisa ter faltas, não pode o outro jogador ficar apenas batendo nos seus botões.",2,254,5.0.0,2020-07-31 04:40:03
