,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Maciel Curiosidades,https://play-lh.googleusercontent.com/a-/AOh14GiiDexmhvTH2391tv9ZCSGUOz1KSoB3h064l805gA,"Incrível, amei!!!! Mas gostaria muito que fosse menor, é muito grande, meu celular não aguenta! Ele consome muita bateria mesmo em alto modo de economia! E não deveria ter geral, as pessoas ficam falando besteiras, deveria ser mais privado. Eu gostaria de silenciar!. Este jogo é muito bom, pena que são 3 gigas , miserável de grande, eu não quero prejudicar meu único celular. Por favor atualizem.",2,28,1.5.24.5712,2020-11-08 10:13:36
1,Josué Calebe,https://play-lh.googleusercontent.com/a-/AOh14GiI6ZotXAkggbkTTtFI29YrWQ1W0jHvxQvRgLKu,"O jogo e emocionante e viciante, mais depois dessa atualização, o balanceamento ficou péssimo. As vezes me deparo no modo tank e clássico, com jogadores sem o mínimo de noção de jogo ( e eu estou em uma patente elevada), jogadores que não se importam de vencer ou ganhar chegariam na minha patente?hahahahah, com certeza e esse balanceamento péssimo.",3,27,1.5.24.5711,2020-11-08 07:56:20
2,Danilo Gomes,https://play-lh.googleusercontent.com/-vmRVtvQ4hPg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckHgN_wUZNUHzDGlBZ5aEjuiLoVRA/photo.jpg,"Desde essa atualização eu venho enfrentando um bug em que quando está na tela de carregamento da partida o jogo fica voltando rapidamente pro menu e aparece um aviso que diz que está tentando reconectar, e me pede para se o problema persistir entrar em contato. Não é a minha internet, já fiz vários testes e mesmo com a conexão normal, reiniciando o roteador o problema continua. As vezes ele não acontece em algumas partidas, mas em outras sim, e vem acontecendo com frequência.",1,38,1.5.24.5712,2020-11-07 08:15:58
3,Esdras Wesley,https://play-lh.googleusercontent.com/a-/AOh14GiVZbXNwbIr0WKFm2PIL7xQOR6rewYwFZQXFFjrcA,"A maioria dos grupos de amigos que conheço, não usam a opção (Magic Chess), por isso, sugiro opcional o download do mesmo. Outro detalhe: 0,00001% é +/- a chance de ganhar as prêmiações épicas nos eventos ;( Durante o evento de desconto, liberem as skins épicas! A skin épica do Martins, por exemplo. Se assim fizerem, volto aqui e melhoro meu comentário, e as estrelas também ;)",1,5,1.5.26.5721,2020-11-07 23:53:30
4,Gabriel Alves,https://play-lh.googleusercontent.com/a-/AOh14Gjzi_uduMAIoMKONKBSI_OSw9rDec3mEw56RtNlfQ,"Na hora do carregamento da partida só chega até 2% ou 5% aí volta pro menu, num loob infinito até acabar a partida e eu ao menos conseguir entrar!! Pelo visto são muitas pessoas com o ESSE MESMO problema já alguns dias e vocês sabem mas não resolvem NADA!!!! Meu aparelho é novo, moto G8 play, por favor façam alguma coisa e eu mudo a nota pra cinco estrelas! Eu gosto do jogo, gasto no jogo, isso é muita sacanagem!",1,205,1.5.26.5721,2020-11-07 14:47:50
5,Daniel domingos,https://play-lh.googleusercontent.com/a-/AOh14Gixs50rPOF_-spmgWW1xQ6qmIURsMp1vO2Tm_B_HQ,"Gostaria de fazer o download dos dados em segundo plano, deixar o jogo aberto baixando demora muito, poderia fazer outras coisas enquanto espero. Como se já não bastasse a falta de fila solo, pontos de proteção para manter os noobs nos elos que supostamente deveriam ser altos, sistema pareando elos diferentes, muito desbalanceado os heros.",1,31,1.5.24.5711,2020-11-06 10:08:50
6,Gabriel Yoongi,https://play-lh.googleusercontent.com/a-/AOh14GiwqepNh9MtvthYS15S5l30xa5bF6St23sTWg6mGg,"Delay totalmente nd a ver com a realidade, 5 ms com sensação de 200 ms, uma vergonha kd dia piora e piora... só querem lucro em vez de otimizarem corretamente o jg, além dos heróis quebrados q nunca tem algum Nerf, Um Herói mais quebrado atrás do outro. Isso já foi bom. Hj eu tenho vergonha disso, graças a Deus nunca gastei com um jg mal feito como esse!.",2,10,1.5.24.5711,2020-11-07 06:46:41
7,Luuh Sousa,https://play-lh.googleusercontent.com/a-/AOh14GieFmjH3YlU76PrEVVQTfbDkqNgegM12kpKTET-wQ,"Atualização péssima, meu jogo cai o tempo inteiro. Perco meus pontos no jogo pois o servidor cai e minha internet está em perfeito estado. Peço que ajeite a conexão, sou do Rio de Janeiro e a conexão está em péssimas condições. O jogo é bom, porém isso é algo que está afetando bastante para diversos outros jogadores, inclusive eu. Bastante decepcionado com um jogo de grande escala fazer jogadores passarem por tais constrangimento em conta disso, se não ajeitar, irá perder jogadores.",1,31,1.5.24.5712,2020-11-07 00:27:19
8,Fernando Barboza,https://play-lh.googleusercontent.com/a-/AOh14GjyE487X_Si8-oEXbPHX5gjpUk2ZDbjLHZgQpl3,"O jogo é bom, tirando alguns aspectos negativos, como o lag das partidas e o fato de jogar contra jogadores de outro continente. Isso com certeza afeta nas latência durante o jogo e o último problema que agora aconteceu e não resolveram é o fato de ficar aguardando no carregamento da partida e simplesmente o game não entra e sou penalizado por ausência sendo que o game não entra na partida só fica carregando.",2,5,1.5.24.5711,2020-11-07 09:33:35
9,paulo jordison,https://play-lh.googleusercontent.com/a-/AOh14Gh0UWFlVqRQEiHohEdCpD1BlL-22_bV4cz0sfzv,"É um otimo jogo desde que se iniciou e o jogo desde então, teve um tempo onde lhe faltava recursos e melhorias e parei de jogar ele por isso mas voltei a jogar e vejo o quanto ele melhorou e ainda melhora, vcs estao de parabens e espero que continuem assim. Hj em dia ate minha esposa joga comigo so pra vcs terem idéia..kkkk Recomendo plenamente, melhor MOBA Mobile da atualidade. PARABÉNS e nunca deoxem de ouvir seus jogadores, futuramente recomendo criar uma versão RPG, seria muito bom.",5,6,1.5.24.5711,2020-11-08 04:00:09
10,Alexandre Nogueira,https://play-lh.googleusercontent.com/-dDY7gxDmOiA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm-rjU66NmLtYo-2CNAvjLk0mG4rQ/photo.jpg,"O jogo é excelente, porém nesta última atualização ele começou a dar bugs na hora de carregar a partida, quando aparece os 2 times carregando a % de cada jogador para entrar no jogo. O meu fica travado e voltando no lobby toda hora até a partida terminar e durante este fato o jogo vai rolando e eu consigo conversar com o meu time mas ñ entro na partida, e isso segui até que a partida termine. Eu já recebi umas 3 punições de AFK por isso e ñ quero mais ser punido e baixar minha moral no jogo.",5,209,1.5.26.5721,2020-11-07 12:47:56
11,Pedro Bila,https://play-lh.googleusercontent.com/-lC7lSbM-nOs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnDDvkfmT9vaz5W8scxj6aaRxR6cA/photo.jpg,"O jogo é incrivel, porém eu estou com um problema extremamente frustante, eu ñ estou conseguindo entrar em nenhuma partida, seja clássica ou vs I.A, toda vez que eu entro carrega até uns 9 ou 10%, as vezes 40%, mas ai sempre desconecta da tela de carregamento e volta pro menu principal, ai volta pra tela de carregamento e continua assim infinitamente, ja tentei de tudo pra resolver isso, ñ é problema de internet, e ja limpei a memória mas não adiantou, e já não sei mais oq fazer",3,181,1.5.26.5721,2020-11-07 11:29:54
12,Somebody,https://play-lh.googleusercontent.com/a-/AOh14GjakupsXn5mWDOTrpDd4XUbdfW8rwbEXXiPHLRo,"O jogo está horrível de tanto lag! Antes dessa atualização que incluiu o Barats, o jogo já lagava nas partidas, mas era algo tolerável, agora, sequer posso chegar perto de um buff que o meu telefone trava todo! Isso dificulta meu desempenho nas team fights e resulta em derrota, acabo perdendo e desço de elo no mesmo dia. Não sei exatamente se o projeto de vocês deu certo, parece que piorou tudo! Por gentileza, peço a vocês para que resolvam o problema, se não serei obrigado migrar a outro moba.",2,1,1.5.24.5711,2020-11-08 18:33:00
13,Vento Azul,https://play-lh.googleusercontent.com/-LadRGYFCEzU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucllmXN4CZY_Ove9pWbCcMrupnEWzQ/photo.jpg,"Jogo com potencial, porém mostra muitos problemas! ""Servidor lagado, travamentos, bugs, preços dos diamantes caríssimos, eventos que são super caros que fazem vc achar que tá sendo ""lesado"" pela impressa, quando uma partida é iniciada o jogo começa a carregar e sem explicação alguma fecha sozinho e você não consegue voltar para partida."" Servidor com MS muito alto ao ponto de ficar in""jogavel... (O GAME TA FICANDO MUITO DEFASADO)",1,2,1.5.24.5711,2020-11-08 19:23:19
14,Tatsuya 2090,https://play-lh.googleusercontent.com/a-/AOh14GjsyhY2hG8x4UBMz_cwDpw3kmvGSGARCG7jGqLE,Eu adoro muito esse jogo! Mas depois dessa atualização o meu e de algumas pessoas estão com um problema de que quando vamos jogar e entramos na tela de carregamento da partida ou demora uma eternidade pra carregar ou fica indo e voltando pra tela de início do jogo e isso fez eu perder muitos créditos. Eu ficarei muito agradecido se pudessem arrumar esse problema!! E é por isso que eu estou dando uma estrela mas quando arrumarem isso podem ter a total certeza que irei colocar 5 estrelas!!,1,20,1.5.24.5711,2020-11-07 00:51:04
15,Dan Costa,https://play-lh.googleusercontent.com/-iWVCq8qAebY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckVepoEwImHvcOWLD0RgfyLtDPA4g/photo.jpg,"Jogo esse jogo faz 2 anos, toda atualização dizem que estão melhorando o sistema de pareamento mas a verdade é que nunca mudam e sempre ficam prometendo, o sistema de pareamento é horrível além de não ter fila solo e nem balanceamento de elo, as skins e os heróis são extremamente caros e as vezes não dá pra comprar nem um herói por mês com mais de 100 heróis no jogo.",1,6,1.5.24.5712,2020-11-08 15:43:32
16,Guilherme Sousa,https://play-lh.googleusercontent.com/a-/AOh14GiAGTUv2NEzpSK4baa3U807GJIiUzPmfw-YcLoU6Bg,"O jogo está com uma instabilidade grande no s servidor. Não carrega as partidas, eu fico em 5% toda vez que tenho entrar em uma partida e depois volto pro lobby perdendo pontuação por fixar em AFK sendo que nem culpa minha é, pois minha internet flui muito bem e não cai. Desisntalando o jogo até que o jogo volte ao normal, caso contrário nem retorno a jogar mais. #chateado",1,11,1.5.24.5712,2020-11-07 11:18:37
17,Y NB,https://play-lh.googleusercontent.com/-Je3TqCsP0XY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmSdKlmgsdbqNTKYJMBc690Z1dkLA/photo.jpg,"Sei que isso não é muito problema do jogo mas sim do caráter dos jogadores, mas é impossível suportar algumas pessoas que caem nas partidas, eles reclamam, xingam, diminuem os outros de graça, e mesmo reportando eu duvido que eles tenha alguma punição pesada. Poderiam ser logo banidos do modo ranqueado, e depois dos outros se continuasse, pois isso é diferente de jogar mal, ou cair da partida, é o caráter da pessoa que é ruim, e o ambiente de jogo fica horrível com elas, é desistimulante.",3,382,1.5.24.5711,2020-10-30 16:59:42
18,igor oliveira,https://play-lh.googleusercontent.com/-IkiqYk_WXnw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck5MmBYBDnNoPdvWnOLMu2S_2HtGQ/photo.jpg,"Bom, primeiramente parabéns pelo jogo. É legal e divertido, mas depois dessa última atualização, o jogo tá muito bugado. Acabei de perder 15 pontos porque a partida ranqueada não carregou... E não, minha internet não é ruim. O jogo vem apresentando vários bugs depois dessa atualização. Se continuar assim, terei que migrar pro LOL.",4,289,1.5.24.5712,2020-10-31 00:07:14
19,LandedRacer 4743,https://play-lh.googleusercontent.com/a-/AOh14Ggi1H3FNR0jLdcn840orWdpgd6jsT-QWcwBRidicw,"Realmente estou decepcionado com o jogo, está acontecendo um bug no jogo o de eu não consigo entrar nas partidas, o jogo cai e fica reconectando, a empresa não faz nada para tentar conserta-lo isso está acontecendo com várias pessoas que realmente é muito decepcionante ver que o jogo que você gosta não dá a mínima importância pra os jogadores e sim apenas para o dinheiro, já teve um atualização e até agora nada de consertos de bug.",1,10,1.5.24.5712,2020-11-07 08:37:08
20,Marcos Felipe Machado da Silva,https://play-lh.googleusercontent.com/a-/AOh14GgG8x7Sjy8t1oJNGotR0-QzQNSRsa1NOCYLU1oP,"Direto o game trava na hora de iniciar a partida e então volta para o loby, e isso é horrível ! Já perdi quase toda a minha pontuação crédito, não posso jogar nem partidas clássicas, e pior a Moonton não oferece nenhum apoio rápido e fácil no jogo para nos ajudar e dar uma resposta, eu só perco pontos (de partidas que eu nem tive a chance de jogar) e não tenho ajuda, sinceramente VAI TOMA NO CU O JOGO E A DESENVOLVEDORA !",1,20,1.5.24.5712,2020-11-06 18:35:37
21,Electro Soul,https://play-lh.googleusercontent.com/a-/AOh14GhngTwVBlSA7tw6xH6165OT03wUiFg8vhhUaP_Vvw,"Inegável que após algumas atualizações o jogo que dia já foi bom perdeu qualidade e rendimento. Sofrendo de problemas com conexão, o jogo pune por um erro dele mesmo tornando o veredícto injusto. Logo na tela de carregamento o jogo para de carregar fazendo com que eu fique afk na partida, sofro as punições por um erro do jogo, minha conexão com internet é excelente, desprezo totalmente a falta de consideração com o usuário pois a muito tempo o jogo vem perdendo qualidade e nada é feito.",2,24,1.5.24.5711,2020-11-03 22:32:20
22,Guilherme Alves Lucas,https://play-lh.googleusercontent.com/a-/AOh14GgOf5AB_GwWGvG7fr_uImPuuNeN47HlzNeUG9ILog,"Tenho muitas reclamações para fazer, começando pela fila de espera, que deveria ser mais justa com quem joga solo, tô cansado de cair contra trio ou duo. Heróis são extremamente caros e ao mesmo tempo as skins também. O preço dos itens são totalmente incompatíveis. CRIEM UMA FILA SOLO, URGENTEMENTE.",1,10,1.5.24.5712,2020-11-06 16:33:55
23,Bryan Pértico,https://play-lh.googleusercontent.com/a-/AOh14Gj4BPv3-D1Q9ChJ_os71S6_VSgKroljueXZFgdpvw,"Simplesmente horrível, vc estao arruinando o próprio jogo e isso não esta legal, voces toda hora colocam caixa de teste, qual é a graça disso? Também vocês são injustos, vocês mesmo colocaram um limite de pegar moedinha, qual é a lógica disso? Eu estava jogando o jogo de vocês pra ver se era menos injusto que free fire, mas lógicamente não, vocês sao iguais ao jogo Free fire acho ridículo isso, e o pior é que vocês tiraram os diamantes que deram pra gente, espero que Lol chegue logo arrumem isso",1,11,1.5.24.5711,2020-11-05 19:37:00
