,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,João Pedro mendes,https://play-lh.googleusercontent.com/a-/AOh14Gg0pRSlH75viCC3m6bz-NC4mldjXWs8NHOPyY0,Eu amo Minecraft e um jogo de construção vc pode usar a imaginação do jeito que você quiser e muito legal e o mundo mais quadrado que eu já vi nesse mundo e a minha nota e 5 queria dar a nota 100000000000000000mas não dá que pena eu fico construindo casas e muito maisaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaáaaaaaaaaaaaaaaaaaaaAaaaaaaaaaaaaaaaaaaaaaaaáaaaaaaaaaaaaaaaaaaáaaaaaáaaáaaaáaaaaaaaaaaaaaaaaaaaaaaaáaaaaaaaaaaaaaaaaaaaaaaaáaaaaaaaaaaaaaaaaaaaaaaaaaaaawwwwwqaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,5,1518,1.16.200.51,2020-11-06 12:11:50
1,Levi Albuquerque,https://play-lh.googleusercontent.com/a-/AOh14Gi26tVYG6rpiBKYIWLhvbVG-iOp3FQa2pejoVAvCg,"O Jogo é sensacional,mas poderia ter algumas melhorias em algumas mecânicas de gameplay,pra ficar mais parecido com o do PC,como:poder usar maia itens na segunda mão;personalizar escudos e um sistema mais fácil de voar com a elytra e fogos de artifício.outra coisa era bom ter uma otimização no uso da bateria,o jogo usa muita bateria,jogos bem mais pesados usam bem menos,isso pode ser melhorado.",4,270,1.16.40.02,2020-11-08 10:57:22
2,Guilherme Gonçalves,https://play-lh.googleusercontent.com/-KDUPLOJTX9k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm0CWBmQ7VO0RY7VMfDgBjHf5xkNg/photo.jpg,Mais que jogo mercenário não dá pra jogar on-line......sem conta na Microsoft. Nem as conquistas da pra desbloquear. Que isso mojang. Ata quando eu disse MERCENÁRIO eu quis dizer que todas as roupas são pagas tanto com dinheiro vivo tanto dinheiro do jogo oq é ruim. O pior é quando vou criar a conta da Microsoft coloco meu email e não funciona. Depois manda colocar um código e a demora pra chegar. Pior que não chega cara. Eu quero abrir um servidor.,3,203,1.16.40.02,2020-11-08 13:02:05
3,Julina Fernandes,https://play-lh.googleusercontent.com/-VDlZ4Ltf9_8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm9DCrEY8bzGHl1nGuGdQc2qbIyqA/photo.jpg,O jogo é muito bom mais fasao uma versão beta desent eu coloco 3 blocos é conesa a buga tudu a porta não abre é os monstros fican parados é depois me matan com um tapa o jogo podia ter as mesma coisas do PC como pintar os escudos e a oposição de ser compatível com mods eu tenho que fica meia hora só pra coloca um mod que eu nem sei se é bom só decha compatível com mods é arruma a versão beta é eu volto é do 5 estrela brigado se fizeram iso .,3,506,1.16.200.52,2020-11-05 14:51:51
4,Kitt3n,https://play-lh.googleusercontent.com/a-/AOh14GhC8CBr1s5q9NFR2bBf6pn_1jeWQ_333ObjZlISmQ,"Obviamente, o jogo é maravilhoso e bastante famoso, mas eu estou tendo vários problemas com questão de conta e servidores online. Ultimamente, os servidores online simplesmente desapareceram pra mim e está escrito ""em breve"" na parte de cima da página deles, agora quando eu vou tentar desconectar minha conta para tentar arrumar este problema, o jogo crasha e não desconecta. Isso já aconteceu 6 vezes. Não sei se apenas eu estou tendo este problema, mas vou querer relatar mesmo assim.",4,3878,1.16.40.02,2020-10-27 22:36:35
5,fofa linda100,https://play-lh.googleusercontent.com/a-/AOh14GgCFhQtz4jKXYGkvD20lQ9sFcxEWHh6g8JxwTPUxg,"O jogo é ótimo, mas eu acho que poderia ter mais opções de ajuda para os iniciantes, explicando cada comando como faz as coisas explicando tudo direitinho. Porque quando eu começei eu não sabia de nada, estava totalmente perdida ali, então acho isso importante para os iniciantes no jogo. E eu sei que o minecraft tem ajuda, mas como disse antes, nessa ajuda deveria ter tudo isso e mais! Tem que ser uma ajuda de verdade! Tudo isso é MINHA OPNIÃO mas que muitas outras pessoas JÁ FALARAM TAMBÉM.",4,1914,1.16.40.02,2020-10-31 19:20:31
6,4M2 MAVR,https://play-lh.googleusercontent.com/a-/AOh14GgXmni1zk2_otMigFvJcZhX23yNRFxaL_apURcL,"Minecraft é um jogo sandbox em que você pode fazer quase tudo e no que ele se limita você pode por comandos e mods ( textura , Mod Pack , e etc ) que deixam a sua experiência ilimitada . Ex : você pode construir qualquer coisa , matar ( usando mods ) qualquer mob , ir em qualquer lugar do mundo , ficar super equipado e etc .",5,10,1.16.40.02,2020-11-08 14:19:36
7,Isaque,https://play-lh.googleusercontent.com/a-/AOh14GgmD-YhaKq7GUUptGg1B_4abRqIg8k42lbn2ysb_Q,"Olá vim falar de um problema que estou tendo. Recentemente troquei de cell, mas continuei com a mesma conta do google e como eu jogava mine naquele cell, eu também quis instalar neste mas não sei oque ouve porquê mesmo eu já tendo comprado o game, neste cell diz que se eu quiser jogar terei de comprar de novo o game. Por favor suporte, não sei se vocês olham este fed mas me ajudem gosto muito deste jogo mas também não quero compralo pela segunda vez.",5,29,1.16.40.02,2020-11-07 16:02:37
8,Jeff Sentwell,https://play-lh.googleusercontent.com/a-/AOh14GgVEGiCmwB3QMP11R8S_cqqosYBoNgHucfbzl7_zA,"Oi, o jogo é muito bom, têm todos os recursos da versão de pc, mas eu acho que seria muito bom consertar a gameplay com teclado e mouse para que fique mais parecida com a gameplay do pc, por quê jogar com teclado e mouse na versão Pocket Edition não é tão agradável. Fora isso, o jogo está ótimo e eu nunca vi quaisquer bugs! Mas acho que faria uma grande mudança positiva se a gameplay com teclado e mouse no android fosse pelo menos similar à gameplay de pc.",5,661,1.16.40.02,2020-10-29 12:53:27
9,{Bart Fx},https://play-lh.googleusercontent.com/a-/AOh14Gi-CfgQ6RmtbLZe-HoSpFE_vD6Ih8xNbd04f7UggQ,"Esse jogo é muito bom! Recomendo a todos baixarem, tem gráficos excelentes, os controles são ótimos, não trava, tem muitas atualizações legais, coisas novas, você aprende à como sobreviver na selva, deserto, cavernas, etc... Também tem como você jogar no modo criativo, que é próprio para construções! Parabéns pelo criador! (Mojang). Minecraft, huuruuuul!",5,4005,1.16.40.02,2020-10-12 00:34:00
10,jproyalemaster 350,https://play-lh.googleusercontent.com/a-/AOh14Gjiz5VHvODd9IvbrGw2ELPGlYopNtxbSwzf-1IA,"Eu adorei o jogo e tal mas eu só vou dar quatro estrelas. Não tem nenhum bug,nenhum erro... Mas eu vou só dar quatro pq não tem duas coisas:1. Mochila para levarmos os nossos itens. Eu sei que tem a shuker box,mas ela é difícil de conseguir. 2. Saco de dormir. Pq com o saco,da para dormir sem setar spaw no lugar onde vc dorme com o saco.",4,13,1.16.40.02,2020-11-07 10:37:11
11,Vivian Marques,https://play-lh.googleusercontent.com/-0opgaF-_Fko/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucndfiwiHUA2IAsPCfRgFv6IvFgWZw/photo.jpg,Na minha opinião acho o jogo perfeito como ele foi criado muitas opções de coisas para fazer criativo como também sobrevivente gráficos muito bom n trava nem nada por que todos os jogos que já tive sempre travava por isso dou 5 estrelas espero que vc também gosta desse jogo pois n se arrependerá de pagar e instalar obrigada(o) por ter lido,5,10,1.16.40.02,2020-11-07 23:52:43
12,Ricardinho Inri,https://play-lh.googleusercontent.com/a-/AOh14GgMN3a11SPRpjpwdFg_jJd1D04oi4sOZ5fAGLG8,"Isso realmente, é um Minecraft mobile, que tem crossplay com Xbox, muito legal mesmo. Porém o problema, são Aqueles barulhos das cavernas, no xbox, da para colocar música, nem consigo perceber esse sons, mas no mobile ele não tem música, eu coloco a música do jogo no 100, porém a música não toca. Se corrigirem isso vai virar o melhor jogo de Cell na minha opinião",5,847,1.16.40.02,2020-10-14 08:51:16
13,Samuel,https://play-lh.googleusercontent.com/a-/AOh14GhKpbjjyK9D1dkY2JW9oTcx7jBaxAa9BGtCFOOWPw,"Eu adoro o jogo, porém há uma coisa que provavelmente já vem sendo relatado a bastante tempo sobre a redstone. Ela pode ser bem imprevisível dependendo do que se cria, deixando com que usando o mesmo circuito de redstone possa dar dois resultados diferentes. Eu gostaria que deixassem a redstone mais precisa, mas desde já parabéns pelo trabalho que estão fazendo com esse jogo ^^",5,601,1.16.40.02,2020-10-25 22:11:20
14,Michelle Scardini,https://play-lh.googleusercontent.com/a-/AOh14GiCfAnP0yq19qBK8uEit5ChQDk49aF_qz6B_HHW2A,"O jogo é ótimo, o problema é que ao trocar de aparelho não consegui mais fazer login na conta 😔. Já desinstalei e reinstalei e nada... Sempre que escolho a opção ""acessar gratuitamente "" ele fecha e aparece uma telinha dizendo "" Minecraft parou"" e me dá a opção de abrir o app novamente ou enviar feedback. É triste porque paguei pelo jogo e não consigo mais acessar para jogar. O triste é que ao solicitar ajuda aos desenvolvedores simplesmente fui ignorada.",1,2219,1.16.40.02,2020-10-20 12:46:50
