,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Elison de Menezes,https://play-lh.googleusercontent.com/a-/AOh14GjpvT-oCaEObPLzRBqGWPOGeKlA99sibZL2h-QdCQ,"feedback antes Jogo sensacional para passar o tempo... estou adorando e não precisa gastar nenhum dinheiro se não quiser! Estou me divertindo muito... melhor passa tempo nas filas, em horas de espera! Feedback hoje Me deparo com um problema de suporte no qual perdi dinheiro e tempo!!! O jogo em sim e demais! Porém não tenho um suporte e hoje deixo de jogar, e lamentável pois estava gostando... nao respondem o e-mail, e isso já faz 17 dias, vou desinstalar e estou area 51 do jogo, triste",1,181,3.5.200,2020-11-05 07:14:24
1,natanael estevam,https://play-lh.googleusercontent.com/a-/AOh14GgUE2dA5oGk8DFf-yNkO_pR5EJjDmBOJ-POCqT5Dsk,"Escutem... Esse jogo está sendo manipulado, quando você joga com giros baixos, aparece várias vezes ( marretas e porcos.) Mais quando você aumenta a aposta fica quase impossível fazer a combinação, ninguém e trouxa, vocês acham que ninguém percebe? Deixem o jogo mais fluído, ou vão perder vários jogadores. Está muito óbvio a manipulação. Todo mundo está fazendo a mesma reclamação, e vocês debocham de todos com a frase ( contate o suporte técnico) por favor parem com isso e resolvam.",1,75,3.5.200,2020-11-08 22:34:40
2,Freitas MG,https://play-lh.googleusercontent.com/-r0hswhnAE3k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn7tErLHUU63Dij2nMzUTLEyEUIHg/photo.jpg,"Jogo excepcional, contudo: Infelizmente o jogo precisa de atualizações para motivar os usuários a continuar no jogo. Poucos giros; Poucas combinações de assalto, giro e raio; Poucas cartas de ouro para fechar conjuntos. Espero que o administrador do jogo possa facilitar. Várias repostas do administrador de atualizar o jogo é nada... Quando teremos uma atualização que traga a solução dos problemas apresentados por muitos usuários???? Ainda considero o jogo excelente, mas pode MORRER...",1,41,3.5.200,2020-11-07 21:26:34
3,Edna Da Silva,https://play-lh.googleusercontent.com/-hq__usKmUjs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckiZ1VfZW_f32uBgJ5YsqQ0eJ0q1w/photo.jpg,"Gosto muito do jogo, porém acho poucos giros em 1 hr, o que são 5 giros, praticamente nada!!! Os pacotes são muito caros,e a possibilidade de se ganhar alguma promoção é quase que impossível. Ah!!! E o alimento dos bichinhos é muito pouco e só em 24 horas podemos alimentalo outra vez.. OBS:""Uma sugestão,colocar alimento na roleta"". Por essas razões estou dando 3 estrelas, se continuar assim infelizmente vou desinstalar. Estou muito triste, preciso de cartas novas e nunca vem, só cartas repetidas",1,7,3.5.200,2020-11-06 11:19:26
4,Lilian Marques,https://play-lh.googleusercontent.com/-xjlDNYMXaL0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnonX5qhhVfxCKeTiBxsB8u2LH5Rg/photo.jpg,"De início é super interessante, mas conforme vai passando de níveis, vai ficando super difícil e os valores altíssimo para completar a vila... Fora o tempo de espera que é pra acabar de vez com o jogo, qual a necessidade de 1 hora para dar apenas 5 giros ??? Tem mais, seus amigos se cadastram e o jogo não dá os giros que vc tem de direito,e quando reclama no suporte, dizem que estão averiguando 🙄🙄... Decepção desse jogo..",1,61,3.5.200,2020-11-02 22:53:54
5,Carlos Sousa,https://play-lh.googleusercontent.com/a-/AOh14GjfOqfDaL_JjmgFWfK4HgjaknUuZNar0yznEU4L8-Q,"jogo para rico !! gasta uma fortuna,para ter alguma chance por poucos minutos e quando esta juntando um valor para se construir uma vila,roubam tudo...e conforme vai se aproximando dos premios de giros...a roleta só dá porcarias. vc fica na falsa esperança e gasta,gasta,gasta...quando se atinge o limite para receber o ""premio""... já pagou no minimo umas 5x pelo mesmo !! estelionato puro !!!",1,49,3.5.200,2020-11-03 00:16:14
6,Marcia Souza,https://play-lh.googleusercontent.com/a-/AOh14GilAly0gUpYdpmfvRnSbu0s48kgCmn7_cZHS58nBQ,"Muito complicado achar as cartas certas para concluir a tarefa. Fora que o jogo come todos os giros. Ontem eu comprei tantos baús e hoje minhas cartas tinham poucas repetidas, fora que não da opção de bloquear alguns engraçadinhos. To bem triste com meu jogo! Amo jogar mas por exemplo pássaro de fogo, acho que ele virou cinza, sumiu! Trono de espinhos acho que roubaram o trono e só ficou o espinho, o Totó foi sequestrado o leão corajoso deve ter virado medroso... Bom é isso! 😔",4,7,3.5.200,2020-11-03 12:31:55
7,Evandro Gtl,https://play-lh.googleusercontent.com/a-/AOh14Gir69jETuv8J5E9vIoLeziUVXzf6RH-c2prKmo9Pw,"Este jogo não oferece jogabilidade funcional para quem não está disposto a gastar dinheiro com ele. As cartas são repetidas, ao convidar amigos vc não ganha os giros como recompensa que o próprio jogo fiz que terá direito. Infelizmente, ficamos rendidos pois gostamos do jogo e nunca iremos conseguir almejar jogabilidade melhor se não gastar seu dinheiro para isso. Lamentável.",2,3,3.5.200,2020-11-05 15:27:20
8,Monica Campos,https://play-lh.googleusercontent.com/a-/AOh14GhQRdjQanEHjI_sJZY1pmQ75CrX_qWZpIUe7w-A8w,"Se não se gastar dinheiro começam cada vez mais a prejudicar o jogo de forma a que acabemos por gastar dinheiro real. Muitas falhas, recompensas que não são entregues. Dia para dia uma desilusão. Contactei 3 vezes o suporte por erro deles e não há meio de responderem. Gostava do jogo mas sem dúvida vou desinstalar. Jogos há muitos... É bem interessantes.",1,2,3.5.200,2020-11-07 08:27:01
9,baka_fofa_divetida _uchirra,https://play-lh.googleusercontent.com/-EAV01LJCfKc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnIhr_LJharGWA79qGTj4TDJK6uUw/photo.jpg,"Assim...a ideia do jogo é boa..vc pode atacar amigos construir vilas é realmente muito bom mas...tudo que vc faz depende de giros,isso é muito chato vcs poderiam diminuir o tempo de recarga dos giros,tipo 5 min tá otimo se fosse assim, mas por conta de ter que esperar a roleta carregar pra você fazer qualquer coisa interessante como ganhar dinheiro e atacar vilas,acaba tirando a graça de jogar...resumindo eu não acho que seja tão bom como ele está agora",3,4,3.5.200,2020-11-05 19:32:34
