,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Fabiano Magalhães,https://play-lh.googleusercontent.com/a-/AOh14GhxINs11WJVS2PWADPF8Qj22TQhKUO1dno67wke1w,"Eu tava adorando o jogo. Ate perceber que me parece muito injusto q umas pessoas podem comprar os dados e tirar sempre 4, 5 ou 6 repetidamente. pagando por isso. O legal do jogo eh a sorte. E desse jeito nao é sorte. É a lei do mundo de quem tem mais grana continuará sempre ganhando e tendo cada vez mais e ganhando novamente. A trilha sonora deveria ser a musica das meninas ""e o motivo todo mundo ja conhece o de cima sobe e o de baixo desce"" vou procurar um jogo de ludo que seja mais justo.",1,172,2.0.56,2020-10-31 23:55:26
1,gerciane silva,https://play-lh.googleusercontent.com/a-/AOh14Gj3QOG1IOqiP0Sp8r8_14yUmfq-hszPa9PQ0HksnQ,Adoro esse jogo tem sido meu maior passa tempo. Mas depois de um tempo percebi o quanto é manipulador. Ganha quem eles querem. As vezes o dado vai dar uma numeração e claramente muda pra outra. Por isso agora resolvi dar apenas 3 estrelinhas.,3,4,2.0.61,2020-11-09 00:14:50
2,Alexia Ribeiro,https://play-lh.googleusercontent.com/a-/AOh14GhZR4mIGlSBOcDTbECsVrVHdysAifG_Kz2HjTZOhw,"Jogo totalmente ridículo! Os dados são completamente manipulados. Quando um peão do seu adversário está na sua frente, você nunca tira o número certo para matá-lo, além de que, pode faltar só um certo número para o seu último peão entrar na casa e ganhar e faltar por exemplo, um peão do adversário andar o caminho todo, eles irão tirar números grandes no dado e ainda vão ganhar de você! O jogo em si é muito bom, mas os pontos negativos dele, fazem com que o jogo perca a ""magia"".",2,133,2.0.59,2020-10-31 16:21:19
3,Tha de Bulhões,https://play-lh.googleusercontent.com/a-/AOh14Gj7o2DEE4tE3aw2ZwQT5J5CzNrekAbt2eeedpHw,"Infelizmente a manipulação de dados estraga o jogo. Um jogo de estratégia que era para ser divertido, acaba frustrando devido a manipulação. É o chat? Inúmeros usuários xingam, falam palavras de baixo calão e o que podemos fazer? Apenas mutar a pessoa? Deveria existir uma forma de denunciar esses usuários. Revejam essa questão da manipulação de dados e, também, vejam uma forma de denunciar perfis que vão contra as regras do jogo.",2,119,2.0.56,2020-10-31 22:35:09
4,Alexandre Renato,https://play-lh.googleusercontent.com/-0e7JJ0udW9s/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl8Ee6br4bS3tNybDdQYSlNSKXqDg/photo.jpg,"Jogo extremamente manipulado, ridículo de ruim. Não adianta virem com esse papo de sorte, sorte é o krl. O adversário chega no corredor respectivo a cor dele e o jogo faz hora com a sua cara. Você dá a volta inteira e quando tá quase chegando, o adversário vai lá e ganha. Extremamente manipulado, ridículo, extremamente ridículo. Isso não é justo, mudem isso e deixem que seja de forma justa. Isso não é sorte é roubo 🤬😠",1,124,2.0.56,2020-10-20 22:56:05
5,Sérgio Mavrudis,https://play-lh.googleusercontent.com/a-/AOh14GhO3BeAOz3nsrfUjP1Es8Ge4CkGjet6-xOs0fBxKw,"Que bom! Resolveram os problemas que citei abaixo. Muito obrigado. A jogabilidade era ótima. Agora ficou um pouco lenta e a escolha da cor é na sorte... não importa qual você escolha. Interessante: com essa nova atualização que ocorreu hoje, 24/10/2020, vocês conseguiram não resolver os erros antigos. Houve mesmo uma atualização para correção de erros ou foi só enrolação mesmo? Pois os erros que relatei continuam. E, para piorar, não sou respondido por vocês. Isso é descaso.",4,82,2.0.59,2020-11-03 13:17:34
6,Maria Olívia oliveira,https://play-lh.googleusercontent.com/a-/AOh14GhwduoR1vr_JhXJDcvm8FbPy0TwFJBqvxL2uajRcg,"Vou fazer nova crítica, esta gente o que faz? Ganham à custa de comprar o dado? Mas isto assim não é jogo de estratégia nem sequer é jogo de inteligência, quando se compra o dado para passar à frente do adversário, onde está a inteligência dessa pessoa? Assim tb eu ganhava, este jogo chama-se quem gasta mais euros e quem mata primeiro, isso sim, mas nunca ludo, o ludo não é assim, ele faz puxar pela nossa capacidade, inteligência jogo de estratégica, agora isto, não estraguem o ludo",5,542,2.0.59,2020-10-28 19:53:27
7,Wellyngton Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GjXs5nc-BQCefYH68TSnQAcOatTiOtnhFJMy989Ow,"Jogo teria tudo para ser divertido, mas infelizmente os dados são manipulados... A manipulação dos dados para poder deixar o final da partida mas eletrizante e evidente em cada ronda que você joga ... o jogo deveria ser um game de sorte, mas infelizmente não é assim. Então aqui está minha desaprovação é desinstalação do game ... lamentável",1,31,2.0.56,2020-10-27 12:26:38
8,Geovane Veras,https://play-lh.googleusercontent.com/a-/AOh14GjnktQ3kbjxRhxfg1Rpcl1bV5HxSkT-OCVvL4re,"Bom para se diverte mas pequenas falhas ""but"" alguns anúncios. No jogo da para compra a próxima jogada pre definida só que as vezes não aparece o número que Você comprou mas mesmo assim o seu dinheiro do jogo é cobrado, isso é muito chato.",3,1,2.0.59,2020-11-01 23:20:36
9,Ana Luiza Mira,https://play-lh.googleusercontent.com/-g3Lx9nzAfhA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclvWKLBwB-sIF1jub1X3Pyqvxq0ug/photo.jpg,"Parece ser roubado,as vezes mais a maioria os outros jogadores sempre tiram 6 e eu 1 ou 2 um absurdo,e quando eu falo no chat que é roubado, simplesmente o meu jogo só sai 6,por isso eu acho que as pesaos não são reais sim robores,mais em compensação eu adoro jogar ludo,só algumas ações que são horríveis eu dou 3 estrelas",3,5,2.0.59,2020-11-01 19:24:08
10,neto rocha,https://play-lh.googleusercontent.com/a-/AOh14GgcPBu4WTYAOVH5Mbu5XT6vg7GY10m45MTPjGmlFw,"Boa noite ! Estava jogando agora em dupla online e a partida reiniciou 3 vezes seguidas trocando os oponentes em cada vez que reiniciava , após o início da quarta partida o jogo fechou sozinho e sumiu os valores conquistados recente , uma quantia de 1 milhão em moedas . Como resolver ? Vai ser devolvido pelo app ? Joguei em vão ?",2,25,2.0.59,2020-10-28 21:00:09
11,Francyellen Gomes,https://play-lh.googleusercontent.com/-B1DwA89vA8k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckmiNHY5cSba6qms13PfITm9YKKCw/photo.jpg,Ja jogo a muito tempo Ludo Clube. E atualmente está impossível com essa nova atualização o jogo trava muito. Os números dos dados são sorteados 2x sem mais nem menos na mesma rodada como se fosse um bug do jogo e sem contar que as vezes no meio do jogo rolando ele resolve simplesmente sair e muitas vezes você ta vencendo e o jogo sai e você perde moedas.. realmente esta horrível de jogar desse jeito!! 😪,2,28,2.0.59,2020-10-29 22:56:08
12,Thiago Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14GiI14sY8bDkyp5MQLGT5UPDz9iKngIQ-qQuRwfo4g,"Venho aqui fazer uma reclamação sobre minha conta no aplicativo Ludo Clube. Recentemente tive que fazer uma limpeza no meu celular porque a memória estava cheia, e depois de eu fazer essa limpeza, fui acessar o aplicativo e percebi que todos os dados e outras coisas que eu tinha conquistado sumiram. Por favor verifiquem aí o erro e repõe tudo que eu conquistei.  E também gostaria que o dado fosse realmente de sorte e sem manipulação. No jogo só ganha quem ele quer.",1,49,2.0.58,2020-10-23 22:06:41
13,wallace de padua,https://play-lh.googleusercontent.com/a-/AOh14Gj2GzHdA35SZp4AahUT5NiYVwqxfxmhGU19bZx44g,"Estou na mesma região que uma amiga e ela ao atualizar recebeu uma nova opção de partida online, essa opção não chegou para o meu aparelho. Os dois aparelhos são semelhantes e inclusive da mesma marca. Gostaria de saber o motivo de não ter recebido essa nova opção.",3,1,2.0.59,2020-10-31 06:41:12
14,Micaele Beatriz,https://play-lh.googleusercontent.com/-rLodj4DkawY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmd5BDS33reIifDmDiqiv0lAVPjfw/photo.jpg,"Tem tanta coisa erra nesse jogo que eu nem sei por onde começar 1. Esse é o único jogo que o tempo acaba e não pula a vez, MUDEM ISSO PORQUE É INSUPORTÁVEL ESPERAR PELA SUA VEZ QUANDO ACABA O TEMPO DO OUTRO 2. Não deveria esperar tanto pra fazer as missão pra ganhar os dados é errado e injusto 3. Arrumem esse modo automático que ficar do nada, ele só faz ferrar você 4. Parem de manipular os dados para os adversários ganhar é muito injusto Efim ARRUMEM O JOGO",1,2,2.0.59,2020-11-06 21:02:49
15,Heveraldo Hernesto,https://play-lh.googleusercontent.com/-nesnL88BBYA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmDqBYIeGzKKe5azzTHELFqFI1AWg/photo.jpg,"Poderia dar 5 estrelas mais o jogo é ridículo ,pois eles colocam opção comprar dados ,n tem como jogar ,sempre quando estou próximo a ganhar eu perco ,lixo de jogo maldito só pra estressar agente msm eu tava com três pontos na casinha faltava só um pino pra eu ganhar o meu adiversário com todos fora da casinha ainda ganhou ,isso n é sorte é roubo do responsável do jogo não tinha chance alguma do cara ganhar ele ainda ganhou vcs tem que enfiar esse jogo e no seus cu isso sim",1,13,2.0.56,2020-10-26 04:57:08
16,Lucas Alexandre Monteiro,https://play-lh.googleusercontent.com/a-/AOh14GgRVZzgYTGgHqYvhsWNAz2pj8WkTAcXYudqxvgV,"Não baixem esse app, é possível que vc se vicie, e quando menos imaginar estará preso a esse jogo como se fosse uma droga, jogando com os amigos a todo tempo, sem parar, com familiares que geralmente vc nem gosta, colegas de trabalho ou até mesmo seu chefe. Então sua vida estará presa a isso. É um caminho sem volta! Sério, não baixe esse app!",5,5,2.0.56,2020-10-31 16:33:47
17,Heivel Luiz Pina,https://play-lh.googleusercontent.com/-PjwPeQHiFak/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmPZa52C8tqNSq_ffSF-aAQxDDXhQ/photo.jpg,"Eu sempre gostei de jogar Ludo, mas este aplicativo é simplesmente apertar o botão, jogo totalmente programado ou opção de comprar, principalmente se vc cair com nivel avançado de jogar até dessisto. Na minha opinião é um LIXO estou tirando app.",1,2,2.0.59,2020-10-31 12:22:30
18,Natalia Souza Fulop,https://play-lh.googleusercontent.com/a-/AOh14GiYG3ocLpWgAxqJCUF2CDVE5L_-FOMjrL40xVyogg,"Oque vocês fizeram com essa atualização , misericórdia jogo está horrível , gráfico ridículo fora que trava demais , decepcionada com esse jogo , amo jogar ludo tenho já a muito tempo instalado porém deixou a desejar com essa atualização ....",1,9,2.0.61,2020-11-09 00:21:53
19,Victória Nascimento,https://play-lh.googleusercontent.com/-aEiYhLLNXb8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm0SP3JQr8Y7ZBi5qQ-t-AbebHwMQ/photo.jpg,"O jogo sempre tem atualização, e deixa diversos sistemas tanto Android quanto IOS de fora. Todos merecem as melhorias, este jogo está sendo muito elitista. Extremamente insatisfeita, amo o jogo, e como usuária assídua tenho direito de usufruir das atualizações como os demais jogadores.",1,34,2.0.58,2020-10-24 23:09:54
20,Colégio Nangeo,https://play-lh.googleusercontent.com/a-/AOh14GgjxPmL2FakjGvLHwLKuQ9M2IhPHifB8_63i-W7,"Jogo muito simples de jogar e muito bom. Deveria ter mais opções de emojin. Na data de hoje, o evento qur.duraria 6 dias , hoje no segundo dia desapareceu do nada a opção do evento. O que fazer??",4,0,2.0.61,2020-11-08 19:18:51
21,sergio ricardo dovalle,https://play-lh.googleusercontent.com/a-/AOh14GiPSxvKEqydO3YyKI7lwPOCHtAJlZgWNGGQtVRd,"O jogo infelizmente tem muita sacanagem os peões dos adversários sendo manipulado como são eu adorava jogar mas após chegar a um certo valor de 1m o jogo começou a roubar descaradamente sempre tem roubo a gente só tira números inferiores e o adversário só tira 4,5,6 e quando vc está a frente dele eu alcança vc com 6 6 e 4 ou tira 4 ou 2 eu já tive diversas partidas de eu até escrever agora é 2 o cara vai e tira 2 eu falar logo em seguida tirar e eu falar todas as jogadas e o adversário acertar",1,1,2.0.59,2020-11-05 07:59:16
22,Eduardo Lutz,https://play-lh.googleusercontent.com/-1q0m6RD_JnM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmTsUISLQlYP1vy03QGpfcjGbhUxA/photo.jpg,"não bastando o jogo ser completamente p2w, assisti diversos anúncios, as vezes o jogo nem conta o anúncio. jogo travou na contagem 49/50 pra ganhar um dado, nao consigo a recompensa e nem assistir outro vídeo. PÉSSIMO",1,0,2.0.59,2020-11-06 11:55:27
23,Evellyn Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GgRrhAFS4ccpMOreWaHv1IJyCbW14l0faQzxRev,"O jogo está travando e dando muitos bugs. Coisa que não tinha.. saiu do meu jogo 2 vs 2 do nada e ainda me fez perder. Meu dado aparecia um número e andava outro. Jogo há meses, mas agora está ficando super estressante.",1,3,2.0.59,2020-10-30 16:48:11
24,pedro celio cesca cesca,https://play-lh.googleusercontent.com/a-/AOh14Gg7_Xt7HghDNPqi1OMXOArCMu9RLj4OYSjgb3f6IA,"Ludo. Pessimo seu adversario tira 3 de 6 seguidas e voce apenas dados de 1. Palhaçada. Todo mundo gosta de brincar e neste jogo, voce so perde. Quando tem valores altos ai e que nao ganham mesmo. E um jogo so de passar raiva.",1,2,2.0.59,2020-11-02 10:29:21
25,Vinicius Heubel,https://play-lh.googleusercontent.com/a-/AOh14GgRn1u319QYueIqsN1Qq0Flhd_einQd40Y4BmWl,"Cara, tem que separar pessoas que querem jogar comprando números do dado e pessoas que não querem, perde toda a graça jogar e ver que a pessoa está comprando números altos",1,4,2.0.58,2020-10-27 00:15:06
26,Gil Santana,https://play-lh.googleusercontent.com/a-/AOh14GglEizJV3M2ixPMac2KLtXSAMP47DEzkICmMrG1,"Gosto muito do jogo mas, tem muita injustiça, acabei de jogar no modo clássico 4P e, ganhei em segundo lugar, em seguida a partida terminou e fiquei na última colocação, sendo que o último jogador ainda tinha um peão para ser retirado de dentro da casa. Tem muito mais coisas erradas mas não adianta nada reclamar porque vocês não retificam os erros! Tem muita manipulação dos dados, isso é ridículo, muito decepcionada, tem muito desrespeito dos oponentes também.",1,1,2.0.54,2020-11-02 04:09:15
27,Canal do Melo,https://play-lh.googleusercontent.com/a-/AOh14GgmJqvrKdviQg1DxBiLGGiK7wEIkDCkOMnBoD7V,"Cheguei em 32 vídeos de um total de 50 para desbloquear um dos dados, quando chego em 50 ele buga e volta tudo de novo, já fechei o aplicativo, já desinstalei e nada!!! Horrível.",1,6,2.0.56,2020-10-19 17:54:14
