,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,José Costa,https://play-lh.googleusercontent.com/a-/AOh14GiJ6XrlRULx713s_wURbNmJBl9e0Y4DNqCG5lJQsQ,"Por mto tempo foi meu jogo preferido, mas as atualizações são inúmeras e quase sempre causam bugs novos que persistem sumindo e aparecendo de novo desde, sei lá, desde uns dois a três anos atrás. O jogo é cheio de micro transações, força para vc gastar dinheiro, tem gráficos e layout datados para celulares novos e é cheio de pequenos bugs que nunca somem completamente. É jogável, é bom, mas dá pra perceber que é um jogo que tá morrendo e ficando p trás na concorrência.",3,38,1.1.279,2020-10-25 12:18:41
1,dolly pvp,https://play-lh.googleusercontent.com/-S_BaGSYjgO8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnTgXaWl5su3RghH_qyzZObDC5pEA/photo.jpg,"Muito bom o game , acho que poderia pular o tutorial , mais rudo bem , o jogo podia ser um pouco mais f2p (sendo um pouco) e a Alex tem que ter mais consideraçoes aos jogadores , como ontem um amigo tomou ban por ter falado algo que nao foi ele que falou T`challa da noMercy 617 Revisem pfv",4,1,1.1.281,2020-11-08 12:06:50
2,Houston MacGuffin,https://play-lh.googleusercontent.com/-Afq-e54HFHQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmMw0Sw5kDxxz7bCscfl_mrMOmP-A/photo.jpg,"Eu achei esse jogo bem interessante. Os gráficos são bons, mesmo não sendo 3D, são leves. Os controles são ótimos, super simples de usar, e a jogabilidade melhor ainda. Recomendo.",5,1,1.1.281,2020-11-07 20:41:14
3,TUTAROZ_._ XD,https://play-lh.googleusercontent.com/a-/AOh14Gh5Mm_lMW94AP25uQZGWRkeRgKwvNU63MHNjLriqQ,"Sinceramente sensacional! Jogo dês de pequeno e não relatei nenhum bug ou erro no jogo, bem balanceado fácil de entender e notificações que não irritam o tempo todo, justo com os jogadores e ajuda quem não pode gastar dinheiro no jogo, parabéns recomendo pra quem quer uma boa aventura",5,11,1.1.280,2020-11-01 23:23:54
4,Renan Gabriel,https://play-lh.googleusercontent.com/a-/AOh14GjAOyv5GW2T8ZL0Hq7NvngXt6hXT2qobLP4B1dP,Eu amei esse jogo é muito bom ótimos gráficos muitos heróis muitos heróis muito fortes e os muitos deles para derrotar muitas frases também as meninas para lutar para ganhar diamante baús para ganhar heróis muitas coisas parabéns eu recomendo jogar muito esse jogo muito muito forte a gente tem que colocar os heróis mais fortes eu amo esse jogo parabéns vou pedir meus amigos para baixar também para a gente jogar contra,5,25,1.1.278,2020-10-18 13:10:52
5,Kelvin Batista Silva,https://play-lh.googleusercontent.com/a-/AOh14Gjz5c7r-ZWZUlMmoS80EumA6TbbxK5XOpIBCRE87A,Muito caro evoluir o VIP. Não dá pra gastar tanto assim e nem chegar no vip 7. Queria o 8 mas nunca vou sair do VIP 5. Jogo isso a anos e nunca tem uma promoção de verdade ou algo que me faça ir para o VIP 8.,4,5,1.1.280,2020-11-03 15:12:36
6,Arthur Henrique,https://play-lh.googleusercontent.com/a-/AOh14Gh4mRG4TsrGv8v_5ooDp0dVs2KBGPWOK8lyowvSxQ,"O jogo em do é sensacional, porém estou tendo um problema com relação a minha conta. Quando tento vincular minha conta aí Google Play diz que ela já está vinculada ao um jogo, mas quando tento mudar de conta diz que não existe conta.",3,17,1.1.279,2020-10-19 13:11:34
7,santini,https://play-lh.googleusercontent.com/a-/AOh14Ghoxlx7ZiAXlOAkm7y_kmVy4ruszs5v_VFWKe-n3Q,"minha conta foi apagada do nada, no google play aparece todas as minhas conquistas da conta mas ela simplesmente sumiu, n aparece mais disponível pra mim, é como se ela tivesse sido apagada, essa conta é de 4 anos atrás, façam alguma coisa a respeito por favor",1,4,1.1.279,2020-10-23 16:49:09
8,Weslley José,https://play-lh.googleusercontent.com/-BerutZwZwRI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclb0VJh2tPOEAaQ5iHbe312kOrPLw/photo.jpg,"Jogo ótimo, porém MUITO PAY TO WIN os jogadores são tóxicos, atacam você sem nenhum motivo e não pode fazer nada porque a conta dele é uns 30 níveis acima da sua porque ele gasta dinheiro e você não",1,0,1.1.280,2020-11-04 12:12:54
9,Nameless Insano,https://play-lh.googleusercontent.com/a-/AOh14Gh5If8RQIXt2MTWogUKbV4ZXe-TPp8kT5tWBMiw,"Jogo muito bom,porém tenho dificuldade pra conseguir p'alma de heróis lendário,pois é difícil conseguir,poderia colocar missões para conseguir p'alma de heróis lendário assim ficaria melhor e mais fácil de obter",5,17,1.1.280,2020-11-05 10:08:20
