,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Lucas Apelão,https://play-lh.googleusercontent.com/a-/AOh14GhQKCDikjjGhs-59ZhnpSDOD1SE49NgnuBC2Qxb,"Olha faz 1 ano que eu jogo é difícil evoluir se vc não gastar dinheiro de verdade. Tenho 8 contas a minha principal incalhou no level 22 e não sai mais do lugar, outra coisa vcs deveria dar 1 cartão de imigração grátis para todos no aniversário do jogo,tem os heróis também que vc só ganha s1,s2,s3,s4 se vc gastar. Muitos amigos estão parando de jogar por causa disso",2,2,1.250.192,2020-11-09 01:03:25
1,Tiago Pereira,https://play-lh.googleusercontent.com/a-/AOh14Gi3ALImyfGm9Ps6WrWYm_ZhTKF6HPyZ4dAb96PLXg,"Antigamente e 5⭐ agora e 1 pq não tem 0 Infelizmente o jogo só está piorando e está cada dia mais caro e totalmente impossível de jogar com preços absurdos. Vários bugs no jogo, vários bugs na hora de fazer peças dos apc, as batalhas da o erros inexplicáveis. Era ótimo jogo mas o descaso com os jogadores só está piorando, foi dinheiro jogado fora no jogo 😡",3,54,1.250.192,2020-11-09 01:03:32
2,Vinícius Silva,https://play-lh.googleusercontent.com/a-/AOh14GjZf9SbFRrLA4FlKX-w99E6AEQFwnW0kDbYdIZSug,"Estou retirando minhas 5 estrelas, pois apesar dos bugs e travamentos repetitivos eu me viciei de mais nesse jogo mas o verdadeiro motivo com o qual fiz minha reavaliação foi com o preço que estão cobrando as coisas, está exorbitante e impossível para a maioria dos players do Brasil (eu acredito) espero que algum dia melhorem isso.",3,33,1.250.192,2020-10-23 22:35:27
3,Sidney Donizete,https://play-lh.googleusercontent.com/-wZfRBBYMiKE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckRZjCRaR7IwvVIqvwQt4hkzvSdTQ/photo.jpg,"Eu já jogo a mais de 3 anos e tenho 6 conta sempre amei jogar esse jogo ,mais nessa um última atualização não consigo mais entrar na minha conta principal 😔 e por isso vou deixar de jogar , tenho até amanhã sexta feira dia 6/11/2020",1,2,1.250.193,2020-11-05 10:36:38
4,vaynard2000,https://play-lh.googleusercontent.com/-XNJSL96uPPM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmhufaLELUya6shjIMowTUdhCtxRA/photo.jpg,"Muito bom jogo. Jogo ele a 2 anos e nao me arrependo,mesmo sem ter gastado dinheiro algum consigo desfrutar da experiencia quase completa Logico que exige tempo e dedicação Recomendo a todos,principalmente para quem nao tem $,e o mais justo de todos. Parabéns aos desenvolvedores",5,3,1.250.192,2020-10-26 12:10:08
5,Douglas de Carvalho Gomes,https://play-lh.googleusercontent.com/-Pn906fuE8sg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnLA6aBuUjnOy1jIkkXE10j_HwGNA/photo.jpg,"Jogo cheio de adrenalina, opções táticas, realidades, como se realmente estivesse participando de uma guerra Apocaliptica! Sério! Considero o melhor jogo de Estratégia, Guerra, e Zumbi. “UM ESPETÁCULO!!!”",5,2,1.250.192,2020-11-02 07:25:56
6,SONY,https://play-lh.googleusercontent.com/a-/AOh14Ghrj8W86uQ1E3lWa0h5jbt7Mrb8sX_AFttQD7a6,"Jogo para quem investe, preço dos pack em outros países são muito mais baratos. No BR o torna-se lento e fraco paea um jogador que não coloca dinheiro e muito Cartão na sua base.",1,0,1.250.192,2020-10-24 20:43:09
7,Miguel Silva,https://play-lh.googleusercontent.com/a-/AOh14Ggn9pEiBl_VgMfacDeN-Y0V-tkKi6qlwCJPjZLqYQ,Muito bom! Interessante em termos de estratégia. Mas o poder investir dinheiro para ser mais forte estraga o equilíbrio. Assim sendo quem mais gastar dinheiro acaba por ser mais forte. Deveria ser quem mais otimizar.,4,4,1.250.192,2020-10-23 04:36:32
8,Bauer Duarte,https://play-lh.googleusercontent.com/a-/AOh14Gh99rGH9bFzARmp4zkhsaz1FRT8VhQPYjymL-tc8AY,"O jogo está muito bom, a cada atualização melhora mais, fiquei um tempo sem jogar, mas consegui recuperar minha conta, recomendo esse jogo pra quem gosta desse tipo de jogo, volto repetir excelente jogo, porém viciante.",5,1,1.250.192,2020-10-23 08:05:48
9,Erick Suelber Macedo Ramos,https://play-lh.googleusercontent.com/-PgEaIewcCqw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnRQLplNuDmrJzjPjJX_WloDtoymQ/photo.jpg,"Jogo estratégico, para solo e em grupo (alianças) e de boa jogabilidade. Não tem anúncios durante o jogo, a menos que queira ganhos extras, aí sim terá assistir alguns. É possível crescer sem gastar dinheiro com isso, porém, crescerá mais devagar em comparação com quem pode comprar os itens e progredir no jogo mais rapidamente. Não notei bugs nem defeitos. O gráfico é bom e as instruções do jogo bem intuitivas. Jogo bem organizado. Recomendo para quem gosta de jogo de guerra, utópico, zumbi, etc",5,11,1.250.190,2020-10-16 11:49:50
10,Marcelo Castello Branco,https://play-lh.googleusercontent.com/a-/AOh14GjoZV6bQgC1W6dHa9I0D9rgEEPGXKopF3y8f-_GlA,O jogo e legal.. a jogabilidade tbm. O que acho um pouco complicado são os pacotes que são muito caros na conversão de moedas. Somente isso.,5,1,1.250.192,2020-11-08 15:47:06
11,George Henrique,https://play-lh.googleusercontent.com/a-/AOh14Gg6o8_icqYO4yjTg9Ql487S7qJqULAACK35z2DZ,Gostei do jogo...Ainda estou aprendendo mas acho que falta mais explicações claras de jogabilidade .To me divertindo muito dá pra passar o tempo legal👌,5,0,1.250.192,2020-11-04 18:47:11
