,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Raissa Silva,https://play-lh.googleusercontent.com/-aJmwaZPn4O0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclp8pRcre3MvjGYzbCRM08tlSTU_A/photo.jpg,"Bom. Porém está cheio de bugs e trava demais. Outro ponto são as gemas, acho que deveria ter um jeito mais fácil de consegui-las, tirando isso é um ótimo jogo. Eu gostaria que tivesse mais coisas...Por exemplo: mercado, hospital, cafeteria ou lanchonete. Uma coisa que não faz sentido é os pets terem necessidades e o boneco não, ponham necessidades aos bonecos tmb, como fome, hora de dormir e etc.",3,409,0.16.2,2020-11-08 13:56:31
1,Leide Moura,https://play-lh.googleusercontent.com/a-/AOh14Gic5UVuDe_GrZDwUW4HJT8dI6yoRwnlvJcALaYCPA,"Esse jogo tá muito legal principalmente com essa nova atualização👍 Mas eu e muitos outros jogadores gostaríamos que as roupas e sapatos fossem mais baratas, principalmente as armaduras assim todos os jogadores poderiam ter e não só alguns,algumas sugestões também é que poderiam incluir carros, motos, aviões, lanchonetes, poderia ter quintal mais coisas pros nossos pets e que fossem um preço acessível e não uma coisa absurda assim espero que vocês possam atualizar e mudar algumas coisas 🙋‍♀️👋",4,58,0.16.2,2020-11-08 20:22:21
2,Hadassa Sprocatti,https://play-lh.googleusercontent.com/-HgMelnyPc7o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn0zEjNYdA_tfrJTHeqeNWvZuGiHQ/photo.jpg,"Este jogo é incrivelmente perfeito! Só acho que deveriam deixar os desafios menos difíceis. Mas tirando isso ta ótimo 👍😁. Eu acho que deveriam almentar as recompensas, e colocar no jogo apps como insta tipo uma rede social do jogo onde podemos postar fotos q tiramos! E comentar nas de outras pessoas! Seria legal! E podia ter como formar famílias!",5,503,0.16.2,2020-11-08 00:48:20
3,Escadinha Dos Brinquedos,https://play-lh.googleusercontent.com/-IufpZYJics0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckiJVR3KV1BvUSNjy_oA3NDY1FNBw/photo.jpg,"É um jogo ótimo!!! Podia ter chat livre com suas próprias frases, e chat privado com amigos.Teve muitos bugs nessa atualização, como os objetos ficarem bugados na sua mão. As coisas tmb são muito caras, a casa foguete é R$ 89.99 e com o pacote completo fica R$ 119.90 As armaduras são muito caras tmb são 500 gemas, oq n é nada fácil conseguir, as coisas mais legais do jogo são mto caras. Fora isso o jogo é excelente! Se arrumarem isso volto e dou 5 estrelas Recomendo o jogo, é muito bom ;)",3,335,0.16.2,2020-11-08 13:44:54
4,Davi Gomes,https://play-lh.googleusercontent.com/a-/AOh14GiN55TcGAoL0GRyzqOpnzc6W_it50jByEdjpr48pw,"Achei o jogo muito divertido, bem dinâmico, roupas incríveis, ilustrações de outro nivel, gráficos ótimos... E os bugs faz com que o jogo fique mais inacreditável, é divertido... O único problema é não ter uma comunicação viável com os amigos no jogo, deveria ter um bate-papo no qual seja privado",4,41,0.16.2,2020-11-07 23:23:39
5,Rafael Resende,https://play-lh.googleusercontent.com/a-/AOh14GhRT6SdxTODed5ElGh0rCUf9TY9SpBiIV_wZK2S,"Então... O jogo é ótimo ! E e eu tenho uma idéia de mini game ! O mini game é um labirinto ! Nele as pessoas irão ficar dentro de um labirinto que não tem saída ! E vai ter algumas coisas que as pessoas vão ter que pegar, mas éssas coisas ficam aparecendo no labirinto. No fim da partida (que vai ter um tempo) quem tiver pegado mais daquelas coisas ganha! (E quem pegou mais coisas ganha uma recompensa melhor!). E devria ter varios labirintos😀 Adicionem minha ideia por favor 😀",5,168,0.16.2,2020-11-08 23:57:12
6,Anderson molinari,https://play-lh.googleusercontent.com/-xhXOk9oI0WY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnyPa6aa8G4mWW-9dyiSj2lAIHzuQ/photo.jpg,"Amei o jogo é muito legal além dos bugs mais eu amo além de presisar de internet mais em fim eu gosto muito jogo toda hora gosto bastante dos mini gemes,dos personagens que a gente pode personalizar,das roupas, só que o preço delas e muito auto.Eu e minha,mãe meu pai minha prima meu primo minha tia meu tio e eu, jogamos o jogo gostamos muito.quando me perguntam se eu quero joga ou tro jogo eu falo que quero jogar pk xd.Parabens pra quem criou o jogo achei muito legal mesmo acho muito criativo",5,18,0.16.2,2020-11-07 21:36:58
7,Mateus Camargo,https://play-lh.googleusercontent.com/a-/AOh14GiuoHxA2YXvSeWx8F_RZxv2k3GKl8y73UJt-mt2,"Jogo muito bom, jogo todos os dias por telefone, com primos e amigos!! Mas eu queria que a gente podia abrir seu proprio negócio, shopping, cinema, lanchonete, supermercado, etc. O meu celular é um samsung j4+, e ele é BEEEM lerdo,travva muito, e no pkxd mais ainda, mas n é culpa dos criadores, e no quesito internet, por exemplo, meu cell ja capta ruim a net, agora o pkxd exagera, como: ah, ta 72 de velocidade, capta como se tivesse 48. E bugando a cada atualizacao.Parabens Play kids!!!!",4,9,0.16.2,2020-11-08 00:02:26
8,Isa gamer,https://play-lh.googleusercontent.com/a-/AOh14GgEWi2FdEE3DtE9POm3SnxOzdi0IfMiAu8PisiMRw,"Eu adoro o jogo, tem várias coisas super legais, bugs e etc, mas poderia deixá as coisas mais baratas, eu já tive coisa bem caras no meu celular antigo, mas deixou meu dedo muito cansando de tanto ter que andar pra conseguir moedas, e tbm deixar mais fácil conseguir gemas, tem gente que leva uma eternidade pra conseguir gemas, por favor, arrumem isso ✊😔",5,14,0.16.1,2020-11-07 18:38:44
9,Manu,https://play-lh.googleusercontent.com/a-/AOh14GhBYQibJ5_3UW5xX90Pn0nk0ogaauLpjekGLuOG0Q,"minigames! Bem-vindo ao seu mundo virtual! PK XD é só diversão: crie seu avatar, construa sua casa, encontre amigos e viva novas aventuras. Neste jogo de mundo aberto, desafie você mesmo nos minigames e consiga itens exclusivos para melhorar sua casa, seus looks, seus animais de estimação e atingir um novo nível de diversão! Pronto para explorar este universo e se juntar a milhões de jogadores do mundo inteiro?! EVOLUA SEU PET VIRTUAL BEM VINDO AO PK XD😍😙😗🤩😍",5,12,0.16.2,2020-11-07 23:49:45
