,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Sonia Ortiz,https://play-lh.googleusercontent.com/a-/AOh14GiY4grEFwmeFIsdUeFGhscMGXv3MiFSKnJoqw8U,"Uma vez comecei do zero por erro de vcs,perdi tudo. Agora já estou em 400 e pouco de fase,mas em compensação o site começou só a me tirar ,então resolvi comprar pra poder jogar e que isso poderia melhorar a minha fase ruim só de perdas, este jogo é bom ,mas ta difícil jogar com roubo ( não vem nd pra evoluir), só falência.",1,62,1.61.1,2020-07-20 02:00:24
1,Roberto Narciso,https://play-lh.googleusercontent.com/-uGz518CqQm4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnQ5IcLAJic7BaqF_cFMDuqerjUJA/photo.jpg,"Esse jogo estar uma desgraça não dar bônus e nem deixa passar de fase!vá pro inferno!mas pelo menos deixa passar de fase,estou na mesma fase há três meses!",1,35,1.61.0,2020-07-01 21:32:26
2,Sidney Bezerra,https://play-lh.googleusercontent.com/a-/AOh14GgvMFOMav9jmL8c9IlwY8bDkGfo8rLyUtmwT1Wu,"Esse jogo estava muito bom, más ultimamente demora pra abrir e trava a todo momento, está muito lento, se não melhorar vou desinstalar.",1,33,1.61.0,2020-07-04 14:01:51
3,Edmilson Santos,https://play-lh.googleusercontent.com/-pAIeBB0hxig/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucki5GYeHQkKOIzfhu7XDTBUXz3VIw/photo.jpg,Lentos os slot mais divertido,4,8,1.64.0,2020-10-06 07:20:35
4,luis paulo rodrigues de azevedo,https://play-lh.googleusercontent.com/-r8I3StNnXwk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnlZEl7vnxob37Bj1wVmNn6legHWw/photo.jpg,"jogo ótimo,mais depois que atualizei trava direto tá orrivel não da pra jogar",5,3,1.64.0,2020-10-10 12:45:19
5,CLAUDINEI BARBOSA,https://play-lh.googleusercontent.com/-QoZ_YU0BvqE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclYnqiYbLjuAOXUJE-x-jmRo3kofw/photo.jpg,"O MELHOR JOGO, SUPER DESAFIADOR; E MUITAS RECOMPENSAS.. RPG DE APOSTADOR.. D+ TOP 10. SER VIP.. É UM ÓTIMO COMEÇO.. INDICO PRA QUEM QUER IR LONGE NO JOGO.. ESPERO QUE TENHA MAIS ATUALIZAÇÕES E NOVOS SLOTS NO #FUTURE. °♡《¿G$$D.L☆CK¡》¤• #AMEI $FREE. ^_^.",5,1,1.61.0,2020-07-01 22:26:28
6,Demétrio Pinheiro,https://play-lh.googleusercontent.com/a-/AOh14GhwzPr1wKxJLBV435PT-xOpVfsF-2ZnYUr5_p7GiQ,"Apesar do jogo ter gráficos bons, a empresa Murka Entertaiment desenvolvedora do game, é muito mercenária. Jogo há bastante tempo e sei o que estou falando. O jogo é feito pra que compra pacotes. Tem fase que o jogador simples fica mais de três meses juntando Coins. Os eventos são os mais injustos de todos os jogos de Casino. Não recomendo!!!!",1,56,1.57.1,2020-09-12 12:22:08
7,Péricles Perruci,https://play-lh.googleusercontent.com/a-/AOh14GheEgoEDz9FdHBeXLQ4AM13-YUfF2hty-_lcyl9Ig,"O app não está funcionando! Abre, mas não funciona .",4,8,1.62.0,2020-08-20 06:43:08
8,Sônia Theodoro,https://play-lh.googleusercontent.com/-OvtzU_m1Xyk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnKlu16ugJ0beRGmw0gdR8weXQ9eQ/photo.jpg,Acho muito bom estes jogos mas como faço para retirar o dinheiro?,5,1,1.61.1,2020-07-17 11:57:13
9,Edward Andrade,https://play-lh.googleusercontent.com/a-/AOh14GjOep2MqmjgsmMhrwZEV_EJyRGsr3bEpnV-oQQU-L4,Mais fácil ganhar na mega sena do que nesse joguinho. Qdo vcs desenvolvedores souberem que o jogo é feito pra passatempo e não pra se lucrar absolutamente nada quem sabe vcs melhorem esse negócio. Obrigado,1,42,1.57.1,2020-08-18 17:11:38
