,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Fabrizio Mota,https://play-lh.googleusercontent.com/-x0U8gIxrsd4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckrYb53T6DPEBBSLJ_1pSDEgu37Ag/photo.jpg,"Quando fui apresentado ao jogo, achei incrível pois sempre gostei de jogo neste estilo, porém os desenvolvedores viraram mercenários, tem evento praticamente a cada duas semanas e se você não compra o passe não tem acesso aos melhores itens, até aí tudo bem porque geralmente os jogos cobram um valor, mas o preço que estão praticando atualmente estão SUPER ABUSIVOS, outra questão é desequilíbrio de poder que há na arena, onde você geralmente joga com players com poder muito maior que o seu.",1,5,1.30.0,2020-11-07 21:51:24
1,Rodrigo Teiji Takaki,https://play-lh.googleusercontent.com/a-/AOh14GgILr_QnCovUG5Dp6hnHpXPSfd5K9BdPq9obRLc,"Desequilibrado e Pay to Win! Na Arena você batalha com outros 9 adversários com o triplo de poder de ataque! Poderia ter um sistema misto, utilizando o poder de ataque dos participantes, limitando a diferença entre eles, e esse atual sistema. Além, claro, de mostrar esse parâmetro utilizado para colocar os jogadores na mesma arena.",3,43,1.30.0,2020-11-08 19:11:13
2,Alexandre Kumata,https://play-lh.googleusercontent.com/a-/AOh14GhbLFZXjtG2Hndi1pvZd1AWA1ppXDN8Ye3qAmt8Qw,"Jogo a 3 anos e era muito bom, mas ultimamente o jogo está muito mercenário, só querendo que os jogadores gastem e gastem sem controle. Perdeu a essência da diversão e você não consegue competir com quem compra as coisas. Não percam seu tempo e dinheiro nesse jogo pois não vale a pena!!! Dizem que comprar as coisas é opcional, mas se vc não comprar jamais consegue disputar com os que compram, pois o absmo é enorme. Por experiência própria, não joguem a menos que estejam muito dispostos a gastar",1,20,1.29.1,2020-11-06 18:43:02
3,WERTER KEMPACHI,https://play-lh.googleusercontent.com/a-/AOh14GiZq7-Cniv9A6r15HdBjhgBqcuWV1HMo-okJlEoZJc,"Tem tudo para ser melhor, só que a galera responsável pelo mesmo e mercenários, mais tem mto futuro o jogo. E mto desbalanceado, n lança nada q de para vc batalhar tet'a'tet cm quem joga desde o lançamento. Mais como já disse tem futuro, só q eles tem q parar de pensar um pouco cm o bolso e trabalhar mais para criar. Faz os itens e artefatos tudo pelas coxas.",1,17,1.30.0,2020-11-06 22:57:52
4,elias abud,https://play-lh.googleusercontent.com/-Y4ffeA-sfIc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckAG_3GkHiekIrJLwF4v6FRXTW_Eg/photo.jpg,"Jogo há 2 anos esse maravilhoso RPG, e claramente era um jogador satisfeito com os eventos, atualizações e etc. Porém, desde a criação dos itens antigos, o jogo passou a ser p2w de maneira discarada... até aí tudo bem, faz parte do processo... No entanto, a nova atualização de valores é inadmissível, haja vista a obrigatoriedade de se comprar passes de eventos para podermos jogar minimamente os mesmos . Sinceramente, não verão mais 1 centavo meu. jogarei até a finalizar minha cc Premium.",1,25,1.29.1,2020-11-04 11:18:32
5,Cesar Eduardo Fassura Vicente,https://play-lh.googleusercontent.com/a-/AOh14Gj7RpIWxFYBz9oWVVwkp2feKlW1QML7y-SvpRd5dA,"Jogo todo roubado! - O jogo não possui métrica clara e declarada da força de seus itens em relação a defesa, esquiva e crítico. - Em eventos o fator ""SORTE"" é controlado pelo desenvolvedores, eu mesmo já reclamei sobre isso com print's de exemplo e questionando como em mais de 10 vezes seguidas o item aparece sempre no último ""Vaso"" e após a reclamação o fator ""SORTE"" mudou por um dia, depois o ""ROUBO"" continuou. - Aumento abusivo e itens extra fortes para quem gasta dinheiro. GAME ""PAY TO WIN""",1,14,1.30.0,2020-11-07 01:07:36
6,Drunk3d Ac3,https://play-lh.googleusercontent.com/a-/AOh14GhTDlkFmxiEBG3paUGD2WUWowMk1fYEipVjRks8,"O jogo tem potencial, porém, é EXTREMAMENTE mercenário, todo evento se baseia em gastar dinheiro basicamente, os custos para fazer melhorias são absurdos, e os recursos gerados no castelo, mesmo completamente melhorados geram quantidades triviais de recursos, o treinamento dos habitantes é terrivelmente longo, e o torneio é completamente desbalanceado, se você tiver 100k de poder militar, vai cair com jogadores com mais de 700k, é simplesmente ridículo.",1,5,1.29.1,2020-11-04 02:49:15
7,Aline Cristina Mantovani Borges,https://play-lh.googleusercontent.com/-44BGGfoplBI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm6tSnHIjGZK9IEh7Yn-r6uQr_3yQ/photo.jpg,"Adoro esse jogo. Porém nessa época pos pandemia, está sendo difícil se manter competitiva em razão dos muitos eventos seguidos. Sempre compro o passe em eventos e isso acabou se tornando uma mensalidade, visto que todos os meses tem evento. E não adianta dizer que é possível jogar sem gastar, pois os melhores itens só estão disponíveis para quem compra ao menos o passe prata. O número de jogadores brasileiros está diminuindo consideravelmente pelo aumento dos preços e pela mesmice diária.",1,4,1.29.1,2020-11-05 16:54:01
8,Marcos Felipe,https://play-lh.googleusercontent.com/a-/AOh14Gi6oL0ikQRD7FAnrgYpIdQzpFX53_8tHZaZZwoIpw,"Jogo até começou bom, mas infelizmente a ganância tomou conta da cabeça dos produtores do jogo, você até consegue avançar sem colocar dinheiro, mas é bem limitado e lento em comparação com quem compra os passes de maior valor dos eventos do jogo, a realidade é que o jogo virou Pay to Win. É frustante quando você vê isso acontecer com um jogo que era tão legal e viciante, como eu cheguei a comentar em fevereiro desse ano, mas agora estou aqui para dizer como está o cenário atual do jogo.",1,4,1.29.1,2020-11-05 14:52:25
9,Bruno Cruz,https://play-lh.googleusercontent.com/-4_AeAulN3Rs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnbVddsig5UpokGeyacBMFF5QaJVg/photo.jpg,"Depois de quase 2 anos a jogar, vejo que cada vez mais o interesse dos devs é apenas o dinheiro, isto de eventos de 4 em 4 semanas só mostra o quão ávidos de dinheiro estão. Território de clans praticamente se fala desde que comecei a jogar. Não estou a dizer que o jogo não é bom, apenas digo que para quem joga sem gastar dinheiro, e os preços estão cada vez mais abusivos, torna-se muito complicado acompanhar os que gastam.",1,5,1.29.1,2020-11-05 19:44:15
