,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Augusto Júnior,https://play-lh.googleusercontent.com/-InxDpDqtJKk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckO6EHYw3d3TnpEFJhaid5XdBMi1Q/photo.jpg,Voltem com mais atualizações esse jogo é simplesmente sensacional incrível EXPLENDIDO....sendo simples mais muito divertido desenvolvedores agradeço terem arrancado um sorriso meu pois esse jogo está a desejar gostei e gosto dele de maissss....se tiver desputas online ai que me grudo nele ksksks mas está maravilhoso estão de parabéns mesmo 😁😁😉😉👏👏👏👏👏👏👏💥💥💥💥💥💥💥,5,157,1.3.9,2020-10-03 22:30:32
1,Maria Wilneyd,https://play-lh.googleusercontent.com/a-/AOh14GgSdrFhyS4gQqrQMZJ3rcOqDPqN_kequXgQMy-WdA,"Eu já jogava esse jogo antes, ele era bem legal mas agora ele tem mais coisas pelo o que vi. Só que quando eu instalei ele agora, ele entra e sai, entra e sai, e eu não consigo jogar ele. Queria muiyo poder jogar essa nova versão dele melhorem idso por favor😘",3,157,1.3.9,2020-09-28 18:02:39
2,Gustavo Araújo,https://play-lh.googleusercontent.com/-XFie2KjkxOA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm_U7AxJ-nZ3eOADoZcepV8Kw4Mtw/photo.jpg,"Oi meu celular e o que é um pouco mais de uma forma mais eficiente e o quê de um dia de hoje, a. A gente se fala na sua vida e a outra. O que você não vai ter uma idéia do, o que eu me sinto bem, mas eu não vou poder te dar o meu nome e de alta qualidade, mas eu acho que a minha vida e não tem mais de dois anos, e o outro. O que eu me pergunto se o senhor pode ter certeza que vai ter que se trata o inciso II, do que a gente vai se ver ,a partir de agora, com um problema com esta notícia Seu pedi",5,396,,2020-07-02 11:44:43
3,Catolic BR,https://play-lh.googleusercontent.com/a-/AOh14GjQOSxLgNPlTCU9LKt5AxOWSCgx3MADUHBj0MJqug,Tenho uma sugestão: adcionem o modo de multiplayer usando conexão bluetooth ou algo semelhante?,3,2,1.3.9,2020-10-22 21:50:08
4,Canal Victor hugo silva 4,https://play-lh.googleusercontent.com/a-/AOh14GhTGGoJZ4OWT96hhcvtU47h_Gbxmipz-PXy8Qct,O jogo é péssimo sério o negócio não faz sentido quando a bola vai pro aniversário ela só vai reta mais quando é do meu campo ela faz curvas ilógicas e também a bola atravessa o controlador sério esse é o jogo classificação demônio,1,8,,2020-10-22 13:52:56
5,Gabriel Filadelpho,https://play-lh.googleusercontent.com/a-/AOh14GhuiyyhIt8uG0uNnHBk1fQtpGm5MVdd-0PnaqSn,"Diminuíram a dificuldade frente as versões mais antigas, e entupiram o jogo de anúncios.",1,4,1.3.9,2020-10-20 15:13:38
6,Maria Clara Neves,https://play-lh.googleusercontent.com/-pEAQFBERGyA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclF_UKEMLFj9R2KpIi5dFQ3Ue80OQ/photo.jpg,Esse jogo é muito bom mas às vezes é um pouquinho desafiador e quando tá no leve mais fácil é muito difícil né que a pessoa ruim é que ele é meio estranho mesmo pois cobrou 4 estrelas,4,92,,2020-09-25 17:48:07
7,Kauany silva,https://play-lh.googleusercontent.com/a-/AOh14GjSB0xMaztKsw-tre-85GKS6kzh7sbt6mnebraeaw,Muito bom esse jogo amei só tem um probleminha buga um pouco mais tirando isso e ótima recomendo abaixar quem fala que e um lixo pura mentira pq eles falam isso deve que o celular que n presta o meu e um aphone x11 ele e muito bom com esse jogo eu sempre jogo ameiiiii esse jogo sério pode abaixar recomendo abaixar sim e ótimo seriooooo bom é quem querer meu zapp eu tenho istran me chama lá :Larissa Silva eu passo meu zapp ok tchau amores abaixem e muitoooooooooooooooooo bommm bj amo vcs gatos(a),3,407,1.3.9,2020-06-15 13:30:34
8,Dayane Pascoal,https://play-lh.googleusercontent.com/a-/AOh14GgdXRSifzMwDz_0QS-VFy6LxYIJYCGElANwcgcIZQ,"Esse jogo é muito bom pra jogar em familia,dar boas risadas, e se desafiar um pouco.Oque eu quero dizer é que esse jogo é perfeito ele merece mas de mil estrelas e quem disser que ele não é bom,ele realmente não sabe oque é um jogo bom de verdade 😠 Fica a dica 😉😛",5,2,1.3.9,2020-10-28 19:54:27
9,Izanete Leite nunesj,https://play-lh.googleusercontent.com/-wnopxabl2so/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnwDuy8Y-M37Bwom3y1z0kS-LAo1A/photo.jpg,eu gostei muito desse jogo eu já avia abaixado ele a 3 anos atrás e ele continua muito legal por isso dou 5 estrelas 🤗🤗,5,0,,2020-11-04 13:02:58
10,Cosme Carvalho,https://play-lh.googleusercontent.com/a-/AOh14Gif82SOPzdXr2VKBfAezNnGMZatrAe-XBNzUfPb,Quero ver se esse jogo sem pago magrelo para esse tá maluco segura o bicho tá saindo da jaula Pô você tá amarrado amarrado velho como é que você fez isso no outro lado do outro pô cara você tem que deixar a gente jogar tipo você tem que deixar como é que como é que fala cocô desculpa aí você tem que deixar tipo a gente ganhar da gente tipo tem que ir você tem que deixar tudo tudo tipo baixo a pessoa tá com 3 com 3 gordinha agora quer comprar isso aqui isso aqui tudo mais aí Tipo assim você tem q,5,12,,2020-08-16 19:22:00
11,yasmin cavalcante tavares,https://play-lh.googleusercontent.com/a-/AOh14GhYp13DUDFr_lcHRjbDTmRjH8KuTofsemL5BCYN,"É, o jogo até que é legalzinho mais bem que poderia ter o modo de jogar online.",4,0,,2020-10-23 19:02:55
12,Adriana Feliciano,https://play-lh.googleusercontent.com/a-/AOh14GjJVv176jHilxhPsL8mAQqSyLcdQ0J9RvF6WiL6uRM,Quando eu tento jogar com um bot no modo ensane ele sempre fenci de mim e sempre sabe onde a bola vai bater,1,0,1.3.9,2020-10-21 15:17:30
13,Kenneth Carvalho,https://play-lh.googleusercontent.com/-W0DUr5IQBhQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckGGn3T0CFEEkyzBwHj3onXnw7zWg/photo.jpg,"Gente o jogo e bom , mais , eu to tristre pq o jogo não que instalar , por que eu to no piuai é a NET é ruim, mais o jogo e muito bom.",5,0,,2020-10-29 22:07:38
14,vagner santos ramos,https://play-lh.googleusercontent.com/a-/AOh14GgTzR36kJtLCwSqFQGbPViJ6psEI_mrgUEOGQGYiw,O jogo não abre pq tem uma mensagem de feedback e o jogo trava e nem abre eu já perdi cara tem vírus que tem consideração pra melhor. Um absurdo que aparece propagandas de jogos pessoas mais adolescentes com uma classificação livre. enganação,1,22,,2020-05-26 03:54:29
15,Yuri Batista Ribeiro,https://play-lh.googleusercontent.com/a-/AOh14GjrnZiIp9K-XglI7cn1JWwkbPQaJn7dy03OoNfUYA,"O jogo está incrível mas podia colocar um campeonato online e offline no jogo, seria legal.",5,4,,2020-10-09 19:24:40
16,Kauan Silvestre,https://play-lh.googleusercontent.com/-Ph_-GJIwclk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclvrAYhqq3Z__PE6Avtfu84fOP7Ag/photo.jpg,Esse jogo é muito legal porque ele é competitivo e e tem como outro jogo de carro não tem então ele é muito legal então para falar eu trouxe uma Oi tudo bem esse jogotira você divertir com sua família então abaixa e dá um seguinte aí também dá para jogar online se o sol tiver,5,214,,2020-07-05 01:17:12
17,José Gabriel Nunes Juca,https://play-lh.googleusercontent.com/-pV_NKdPfIKQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl8r7X0ptkQMh9JMIYRBW1QCXFsew/photo.jpg,E 7horas de novo ta foragido ouviu falar que eu falei pra ela falou que ia ficar com a mão na cabeça do meu quintal a minha cada vez mais vc pode dar uma animação de rua do seu estilo e jeito que vc tem um vídeo 8horas e não matei de presente de animação de presente não tenho condições pra comprar o carro pode vim do lado do nome.,5,5,,2020-09-21 13:07:55
18,Davi Portugal,https://play-lh.googleusercontent.com/-dtwE6ps_y90/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucngYNCezOSx94_J2J-eGfHElZbleA/photo.jpg,"Gostei muito,e ñ trava,ñ buga, um pouco difícil e vcs tem que mudar o Bglh de o outro oponente poder encostar no do outro isso que estraga, o resto ta deboa",5,49,1.3.9,2020-06-21 23:50:21
19,daylight girl br uwu,https://play-lh.googleusercontent.com/a-/AOh14GjV-inZJDoceZc8G2cds7CGDVr-JWGSg1NszSdbeQ,"O jogo é mto bom! A jogabilidade é ótima, só não gosto dos anúncios",5,1,,2020-10-17 22:39:40
20,Pedro CPX,https://play-lh.googleusercontent.com/a-/AOh14GiOuoWVT6c93v_OWJ1M6qeQItOdeSBrd3W5Ie8zDA,"Ótimo jogo. Perfeito em todos os aspectos. meu amigo baixou sem eu perceber, mas até hj tá aqui...kkkk",5,2,,2020-09-15 22:29:32
21,Nara Morgado,https://play-lh.googleusercontent.com/-NaTOXG-svEE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckHQljXD_iHBtgwo41w0agVSMZgmQ/photo.jpg,Muito bom o jogo . Gosto muito mas tem que ser um pouco mais elaborado .... Muitas pessoas falam dos bugs isso e normal De todo jogo não adianta fala que é só esse pq não é. Esse jogo e bom não precisa de internet gosto mas tem que melhor .,4,230,,2020-02-24 22:10:07
22,maria Aparecida Batisti Maciel,https://play-lh.googleusercontent.com/a-/AOh14GixJKupAsncNgNZi195-qrOhk62xOx07zT1PTpc,O modo insano é muito roubado tava ganhando de 6 a 0 ai começou a bugar e travar o disco.,2,3,1.3.9,2020-09-11 19:46:47
23,Maria Rita Sabina Barbosa,https://play-lh.googleusercontent.com/-OLOjFqrtgF8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnmcHeh5QMecLwOrgbNncepc_yYvw/photo.jpg,"O jogo rouba...o disco estava do meu lado do campo e como todos sabem o jogados n pode ir para o outro lado do campo, eu estava perto do gol para jogar o disco mas ele tomou o disco de mim mas tomoutipo o disco estava do meu lado para mim ""sacar"" mas ele passou para o meu lado e sacou e eu já tinha saído de perto do gol então ele fez um gol trapeceado ou melhor injustamente. Melhorem isso pf...tem muita gente q fala q n sabe jogar mais isso n é n saber jogar é o jogo trapacear é diferente...OBG",2,145,1.3.9,2020-01-30 21:02:13
24,Panda Dorgado,https://play-lh.googleusercontent.com/-CniD5CnW1B4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucma6yEYI5YAaDETVD4DS5dkQQN6yQ/photo.jpg,"Cara quem fala que esse jogo é um lixo tem problema,tudo bem se reclamar que bugo se o jogo trapacear mas chama o jogo de lixo tem muito PROBLEMA! O jogo é otimo jogo ja faz anos vcs podem colocar um modo assim ter um grupo e quem perder vem outro jogador e quando acabar o grupo perde e se ficar inteiro ou perder dois do grupo e derrotar todos vence.",5,849,1.3.9,2020-03-29 16:48:26
25,Fanny Gamer!,https://play-lh.googleusercontent.com/a-/AOh14GjeyEajItqQZV1Fu6WGK8eSZ8bO9K5uviAqo7auNw,"O jogo e maravilhoso, eu jogava no meu tablet como: banana Kong Subway Surf Zombeies, esse jogos antigos!",5,0,,2020-10-30 19:51:39
26,carlindo Sant'Ana,https://play-lh.googleusercontent.com/-NM5t26UK25k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucktLD-t019DuOakxhHTvbNkU0EAaw/photo.jpg,"O jogo é um lixoooooooooooooooooooooooooo. Muito ruim. Não instalennnnn. Não entra, é sério. Vem a minha resenha antes de instalar ou antes de jogar. Meu Deus do céu. sérioooooooooooooooooo. Da vontade de quebrar o seu celular. Tira muito oooooooooooooo a paciência. E chatooooooooooooooooo",1,312,1.3.9,2020-03-21 16:11:25
27,Vinicius Martins Pereira,https://play-lh.googleusercontent.com/-3GOV9n2-hd4/AAAAAAAAAAI/AAAAAAAAHDE/AMZuucktzcwZdZwn3tV7BkR0zOBVYg_7iw/photo.jpg,"Cara, esse jogo é mto legal, o mais engraçado é as outras pessoas dando nota ruim pq o celular deles travou ou pq eles são mto ruins kkkk",5,1,,2020-09-17 16:47:35
28,Ducileia Palhano,https://play-lh.googleusercontent.com/-3a8O3eCExxY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucla8h0_Cm-GL1ceAqwBO9F3cxkmnQ/photo.jpg,Gostei muito por que é de dois e é muitoo bom mesmo recomendu muito não trava o celular não tem muito anúncio perfeito,5,0,1.3.9,2020-10-30 23:38:18
29,Game zueiro,https://play-lh.googleusercontent.com/-F0qNu8I2QXU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckrlqO-8QQCLQcRIxCtHPUlwYOVLA/photo.jpg,"O jogo em si é bom, mas eu só não dei mas duas estrela por causa que demora muito para instalar e tb os desenvolvedores podia enventar o modo oline.E podia por loja no jogo eventos,torneios skin de mesa e vários outras coisas pensem nisso desenvolvedores e obrigado pelas suas atenções.",3,358,,2019-05-30 23:30:01
