,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Artur Sampaio,https://play-lh.googleusercontent.com/a-/AOh14GhwFvsBrXXozXWqzyMOaP5ZCnnHLbdcki9bX9Ct,"O jogo é ótimo com corridas de rua e vários carros para customizar,Sobre a gasolina eu não vejo problema algum na verdade pode ser uma trava para pessoas não se vinciarem no game mesmo que alguns tenham dinheiro ou moedas e consigam reabastecer o tanque,Os dois não são infinitos então na minha opinião o jogo é ótimo com certeza recomendo e por cima não tem anúncios para quem não gosta como eu.",5,39,,2020-10-23 21:33:28
1,HazzarD 007,https://play-lh.googleusercontent.com/a-/AOh14GgGe4AtuAbstFZqLIOgdP-lcorcUtEGjpgSlcLp,"Muuuuito bom, graficos lindo, jogabilidade otima, muitos carros q ate ficamos em duvida de qual escolher, so faltou aumentar a gasolina nem q seja mais cinco galões, mas aumentar seria uma boa, e poderia ter como jogar multiplayer no inicio do jogo msm, com amigos e tudo mais, mas fora isso e otimo o jogo parabens!!",5,103,5.0.1,2020-09-23 08:01:07
2,gabriel vettilo,https://play-lh.googleusercontent.com/-lb7AdAtGzqk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucntqzNyt8CugJgh57y6Tgsg_VgWyw/photo.jpg,"O jogo é otimo, os gráficos são bons mas tem um bug que fala que faltam 9999999999horas para consiguir uma gasólina e se vc não tem moeda ou você gasta dinheiro de verdade ou você simplesmente para de jogar ficaria feliz se arrumasse mas fora isso o jogo é bem legal e divertido",4,75,5.0.1,2020-09-05 11:09:58
3,Unknown,https://play-lh.googleusercontent.com/a-/AOh14GgbFb_H_NI4NRIkB4wo_01m8XTffI6OvS-BmjrACg,"Um jogo de corrida muito bom, alem de muitos carros diferentes ele não é Pay2Win, e os graficos são pouco ultrapassados mesmo pela epoca que lançou, eu recomendo bastante, é um ótimo jogo pra passar o tempo",5,63,5.0.1,2020-08-13 23:24:22
4,Jonathan Castro,https://play-lh.googleusercontent.com/a-/AOh14GheqdOvsoQBWCASY43Xwca7Sq6038esx7H7bK653Q,"O jogo é muito bom, porém... O jogo não resgatou meu antigo save da nuvem, tendo eu que recomeçar tudo do zero. A prova é tanta que tenho 20 das 39 conquistas. Mas meu save antigo não pode ser recuperado, lamentável!",2,61,5.0.1,2020-09-30 15:15:48
5,GABLADER 2005,https://play-lh.googleusercontent.com/a-/AOh14Gicb1BZTiJmzCf9XRh-ef_qIk25KV1gTjdW8TNTUg,"Até hoje não esqueço da incrível experiência de jogar esse jogo! Por favor @Naturalmotion, Façam pelo menos uma última atualização nele, como vocês fizeram no Csr Classics! Um Abraço.",5,1,,2020-11-06 20:56:00
6,Victor Hugo Zuliani,https://play-lh.googleusercontent.com/a-/AOh14GiIa9sUQy5h1N_9YxQfBs4N_UDz7LFMjLtKNJpaKg,O jogo e antigo mas além de não de ter gasolina suficiente pra fazer as corridas! É muito bom o jogo parabéns!,5,2,,2020-10-14 14:46:02
7,VITOR,https://play-lh.googleusercontent.com/a-/AOh14GgtbuFQYamshqmCoislR_L8qgHkrR-jBI1gGodW,O jogo é otimo. Nao tenho muita coisa a falar do jogo é perfeito e acho que esta melhor que csr 2. Sem muitas frescuras e muito nostalgico. Só acho que era para ter mais gasolina a desposição.,5,4,,2020-08-14 00:11:07
8,Byll Jose Vasconcelos Silva,https://play-lh.googleusercontent.com/-4xWJ8xoHYKc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclQ6H-1HXkEoEhs2UmODI3dhMJfnQ/photo.jpg,"O jogo é até bom,mas com essa frescura de ter gasolina pra correr isso é chato e ainda mais que aparece pra fazer melhoria no carro sendo que você não tem dinheiro pra fazer as melhorias e o jogo ainda te dar muito pouco dinheiro nas corridas,desse jeito você nunca vai evoluir nesse jogo...",3,172,5.0.1,2020-07-26 15:10:33
9,Natanael Batista,https://play-lh.googleusercontent.com/-1ORiUyFiiwg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnUOwq0hOPnBpDsk7-2kBbsvUb3Ag/photo.jpg,"Muito legal o jogo,é a primeira vez que baixo ele e estou curtindo demais,vários carros esportivos e licenciados parabéns pelo desenvolvimento.",5,3,5.0.1,2020-09-16 19:53:53
10,Vitor Gabriel,https://play-lh.googleusercontent.com/a-/AOh14Gh--h0giZjeVeuoUEczrBF0yhsETQNqEyk1sPHfUA,"O jogo é ótimo,ele possui bons gráficos,uma jogabilidade diferenciada o que da um ótimo ar ao jogo,porém na minha opinião alguns carros deviam ser mais baratos,pq pra pessoas que são free to play(não pagam nada de dinheiro da vida real no jogo)fica muito difícil de conseguir carros melhores",4,147,,2020-07-27 11:47:06
11,Cláudia anjos Cláudia anjos,https://play-lh.googleusercontent.com/-16gPSNoOlAc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnhML_sq6QQZqGk8zt58zqDolzE1g/photo.jpg,O jogo e bom. mais o Último líder e impossível vencer eu melhorei meu carro todo e não consegui vencer. Os outros líderes passei normal mas o Último 👎. E era pra ter mais carros mais rápidos,3,1,,2020-10-06 19:30:56
12,roberto DKS,https://play-lh.googleusercontent.com/a-/AOh14GgxrF_5PJrK4SVYFJ7960_KXgLBevEw3lIgF0o0,O jogo é ótimo perfeito mas eu não entendo por quê vcs tiraram o modo multiplayer e tbm o jogo tem um big ou um erro que ele não salva o progresso depois que desistala e reinstala novemte,5,3,5.0.1,2020-09-14 14:46:57
13,Adilton Almeida,https://play-lh.googleusercontent.com/-kjNjAMH-CE0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclZjnnQ2-3Uye-ZnE7Y8AlaWamimw/photo.jpg,"Esse jogo tá muito chato cara , tudo gira em trono de dinheiro real , só para baixar q não tem custo de resto tudo tem e para evoluir no jogo então 🤮 Desinstalando !!",1,3,5.0.1,2020-08-14 23:09:31
14,David Gamer,https://play-lh.googleusercontent.com/a-/AOh14Gjcvs4CbdtkahCHtUPML4KC7iWMchOWzZfizNSZ,"O jogo tem um gráfico otimo mas Os desenvolvedores desse jogo Podia criar de corrida e 3D Uma corrida , pela , franca , italia , rio de janeiro, E etc.",4,3,,2020-10-01 19:46:15
15,ViniTV# Ferreira YT,https://play-lh.googleusercontent.com/a-/AOh14GhXX8JLObIa8ZKftgPFl2fDBIR8A-IfxEYs10Bs8A,Esse jogo está melhor a cada ano eu tô jogando de do 2 dia de lançamento só pra IOS e otimo só a única coisa que eu não gosto e dos carros que tá caro pra pessoas que não tem dinheiro .... mas o resto está ótimo.. continuie asim ... AMO VCS QUE FES ESSE JOGO ESSE TA MELHOR DO QUE O CSR2 ... 😀😀,5,35,,2020-07-31 22:44:25
16,Fabiana Rodrigues,https://play-lh.googleusercontent.com/-9n60EQidAlo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmuPCfraJXq_fW1FG-TEFAx_wdfNw/photo.jpg,O jogo é muito top não abandone ele não vamos trazer mais carros novos e poder trocar os aros dos carros e rebaixar os carros poder modificar,5,1,,2020-11-02 11:43:37
17,Gump Forrest Gump,https://play-lh.googleusercontent.com/a-/AOh14GjsyVjpPagociWXku7feHt_PWIfjOPrVPXtq5pgHQ,"O jogo é muito bom, jogo desde 2014, mas não estou conseguindo recuperar minhas conquistas que aparecem no Google Play. Comprei outro celular e perdi todos os carros da minha garagem.... Todos estavam no máximo... Como um jogo pode não reconhecer o Google Play. Quando instalei novamente voltou a zero, mas no Google Play aparece que tenho 38/39 conquistas. Gostaria um feedback....",1,270,5.0.1,2020-04-20 09:07:36
18,Gabriel A.,https://play-lh.googleusercontent.com/a-/AOh14Gj-OrCVkix1ufgHrjnRWnmMBCYiIKVWxarCZV2kxw,"Eu perdi todo o meu progresso no jogo - não estou conseguindo recuperá-lo. Por favor tratem de recuperar meu progresso. E, deem mais atenção a esse jogo. Caso vcs não consigam recuperar, desinstalarei o jogo. Estou pedindo na boa porque sei que o jogo é muito bom. Tão bom quanto csr 2. Logo, 1 estrela por esse motivo. E, para o pessoal que vai ver meu comentário, tenham em mente que o jogo, pelo que vi e pelos outros comentários, não é salvo. Perdi meu tempo. Decepcionante e desagradável!",1,305,5.0.1,2020-04-05 05:14:48
19,Enseada Games,https://play-lh.googleusercontent.com/a-/AOh14Ggd3UnTfLGDtUfZIJoZj8jDPS6pFB18iyQOwc5L0w,bom eu não curto muito os jogos de corrida direta eu só tô dando 5 esteiras porque é para mim dar a minha pinhão do jogo não para reclamar porque eu não gosto do jogo então o jogo contém gráficos incríveis e ótimos pena que esse estilo de jogo não é muito a minha cará se você curte abaixa ai,5,9,,2020-06-07 15:18:30
