,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Vini Oliveira,https://play-lh.googleusercontent.com/a-/AOh14Giztp59Q0MXrJ8kkSnEN9wW60FVZbqrjMuBIRy5AA,"Achei o jogo bom. Tem uma gameplay interessante e muita variaçao de carro. Mais a hei muito caro. Mais se quer fazer algo assim de venda podia vender o mesmo preço mais algo valendo a pena. Exemplo:carro e dinheiro e chaves ou ouro dinheiro e um carro. Para chamar mais atençao pra quem joga,para querer comprar. Mais de resto nao achei outros problemas obrigado pela atençao.",4,2,2.16.0,2020-11-07 20:51:42
1,Gabriel Pires,https://play-lh.googleusercontent.com/a-/AOh14GhWoHKZMFjKx0g3AIjQJ-ZTa3DH0XtZMcpGA3XcLw,"O jogo deveria disponibilizar pelo menos mais personalizações nos carros que a gente ja comprou, tipo, mudar a cor da roda, o estilo.. disponibilizar os carros importados para compra com dinheiro virtual, e deixar só os de eventos especiais para compra com dinheiro real.. E diminuir o valor das peças de tunagem, voc temq jogar umas 50 partidas pra conseguir tunar a parte do motor, por exemplo.. Tem mais alguns probleminhas, mas de resto o jogo é ótimo",5,19,2.16.0,2020-11-06 08:03:31
2,Thiago Saldanha,https://play-lh.googleusercontent.com/-6HwZ5s7LbOM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckAv4xMisL1g1hR63wd3SvwqVuSSg/photo.jpg,"incrível com a qualidade som tudo nesse jogo, mas queria um pedido que o gama do jogo não fosse tão alto pois meu telefone da umas travadas em um tempo, as pessoas que jogam ou jogaram esse jogo se impressionaram com tudo nele, mas uma coisa, parabéns pelo trabalho de vocês aí atualizar tudo nele, cada evento, sério, valeu muito jogar o jogo divulgo ele para meus amigos. Vlw👍👍👍",4,4,2.16.0,2020-11-07 13:10:46
3,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,O jogo é muito bom. Mas por enquanto você tá correndo quando você acaba corrida. Não volta para o mapa da corrida. Volta para garagem. Isso que eu não gostei muito. E vários carros que a gente Quer comprar? Só Importados Isso dificulta nossas compras Mas fora isso. É muito legal. 😃😃😃bom bom dia para vc também irá gosta de 45e forma como vc me deixa sem graça agora do trabalho e uma mulher maravilhosa só que tem feito de forma como vc me deixa sem graça agora do trabalho w e o meu amor que vc,5,176,2.16.0,2020-10-24 12:50:46
4,Artur,https://play-lh.googleusercontent.com/a-/AOh14GgDGBqBCob8-I7G2McML1FewMKdxBzTmj31LGbeDQ,"Só acho chato ter que pagar aproximadamente 50 reais para cada carro para poder concluir um determinado evento, são bem uns cinco carro que os cara quer mais de cinquenta conto, um carro que é digital ainda. A como seria bom que esse negócio de carro importado fosse apenas para carros de prestígio e para carros de eventos, eu queria por exemplo o Supra Gr mas não tem como, porque só tem nos importados, chato isso aí.",2,251,2.16.0,2020-10-19 21:24:34
5,RURIK FF,https://play-lh.googleusercontent.com/a-/AOh14Gjf-sZ9aBbBY-JOUFR5aJLpfilPcpDCeW0m2EJP,"Muito ruim, troquei de celular recentemente e estou tentando entrar na minha conta antiga (que já possuía vários carros e já estava bem avançado) mas não consigo, no início, além do jogo TE OBRIGAR a jogar, ele não da nenhuma opção para vincular com o Facebook, que é onde minha conta está vinculada. Eu simplesmente não consigo. Já desinstalei, perdi uma conta com 7 carros nos quais eu investi muito.",1,29,2.16.0,2020-10-26 01:50:02
6,eddy s,https://play-lh.googleusercontent.com/a-/AOh14Ggzg85czio2OMEcbGQemQJsEYSHzVRht4fx_rdzdg,"Apesar de ser uma boa idéia, o Showdown arruinou o jogo ou mostrou o que é de verdade. Tenho a impressão de que todos que correm nas top crews estão hackeando as contas, adicionando carros totalmente completos, ou roubando troféus desconectando no final da corrida, ou usando hacks (-50) ou rodando a corrida com macro. E o showdown influencia diretamente na leaderboard já que ela da pontos de equipe no final e uma pessoa legítima não tem a mínima chance de competir. Arruinado, pelo menos pra mim.",1,203,2.16.0,2020-10-30 18:10:46
7,Murillo Hideyuki,https://play-lh.googleusercontent.com/a-/AOh14GjoRCMfwNqBY4uwufMWtbygn_tbo4-z-W1h2t7vHg,"Eu estou com com um problema, não consigo fazer as corridas diarias, está travando na corrida 9° simplesmente não funciona, já tentei reinstalar o jogo mas não deu certo, então eu gostaria de alguma resposta antes que eu desista do jogo...",3,9,2.16.0,2020-10-26 02:31:32
8,Mateus Souza,https://play-lh.googleusercontent.com/a-/AOh14Gi_0sByui1c2VuSOhqXxpruou08fla8ajDcyuzrmQ,"Tem travado muito, mesmo com o celular que suporte o jogo, tem que otimizar a velocidade",4,1,2.16.1,2020-10-24 10:23:17
9,Jose Marcos,https://play-lh.googleusercontent.com/-yA0OvbQy5Cc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmu1k3KR3NGiRX0Oa8P1wjKy6LlyQ/photo.jpg,Gostaria que me ajudasse não consigo entrar no game tudo começa depois trava no nível 4 e não estou conseguindo jogar pesso aos desenvolvedores que me ajudem por favor caso contrário irei desinstalar o game obg.,5,10,2.16.1,2020-11-08 23:03:12
10,Aldimar Moraes,https://play-lh.googleusercontent.com/-owDb4bh8szM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclzFhG-AoYxGkukiwkLLPVqq6PvPQ/photo.jpg,"Pra quem sabe jogar jogos de corridas é muito bom, más como todos jogos online é preciso gastar dinheiro kkkkk...",5,4,2.16.1,2020-11-06 22:56:54
