,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Matheuzin Gamer,https://play-lh.googleusercontent.com/a-/AOh14Gg9EBkxTXshualo6OlD8tjvI4IJP2UR89fuo3N6LTs,"O jogo em si É muito oi bom, a jogabilidade é totalmente perfeita comparado a o Shadow Fight 1, mas o Shadow Fight 3, hmmmmmm n gostei muito, pq comparado com o 2, a jogabilidade e os gráficos estão no mesmo nível do 2. (SÓ N DOU 5 ESTRELAS PQ OS NOMES N SÃO MUITO CRIATIVOS, É O GRÁFICO PODERIA MELHORAR COM ESSA ATUALIZAÇÃO 👍👍👍.)",4,31,2.8.0,2020-11-07 23:57:29
1,Brunno 0000,https://play-lh.googleusercontent.com/a-/AOh14Gj6cVvy5R507nnUFpmQSEhWZ6O9QugbsFmjkWWq,"Este jogo é excelente pois sua jogabilidade é incrível, além de ser off line podemos jogar on-line, sem contar seus gráficos são muitos bons nem tem quase o que reclamar. A história do jogo é muito legal, ver aquela intro antes de começar eu vejo como de fosse um filme adorei muito o cara ter virada uma sombra e ele luta para tentar se libertar dessa maldição, lutamos com vários deuses em minha opinião isso é muito bom além de entreter o jogador a história é fascinante.",5,147,2.8.0,2020-11-06 21:22:36
2,Rafael Lima,https://play-lh.googleusercontent.com/-KG0Y_Ucdhyc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmF4-qZlYFpSrB43EB9nq2HbMsexA/photo.jpg,"Bom, acho o jogo muito divertido, com certeza foi feito para todas as idades, e acho que até uma criança de 5 anos poderia jogar, pois não há violência extrema, além de que são só sombras. O jogo é bastante divertido com já havia falado e sim, você vai se divertir muito jogando esse jogo. Não ligue para os comentários negativos, jogue, vale a pena.",5,216,2.8.0,2020-11-02 13:45:38
3,•Fenyx ÙwÚ•,https://play-lh.googleusercontent.com/a-/AOh14GiyLmWSMzxqtz0QfhFlVi8FqDHv-VQD8xA6HhPyQA,"Um dos meus primeiros jogos da minha vida,desde o início era bom.Inclusive as armas,armaduras,(etc).Tbm na questão dos vilões e bugs engraçados tbm,mas teve uma coisa que eu n gostei,q foi a questão do tempo de recarga de energia,demora mt,a recarga de cada barra de é 10m e são 5 barras ent vc tem q esperar quase uma hora pra jogar e as partidas duram mais ou menos 10 ou 20 segundos!Mais tirando esse fato esse jogo é ótimo e tbm o suspense pra descobrir como os personagens são kkkkkkkk",4,98,2.8.0,2020-11-05 19:28:50
4,Matheus Ferreira,https://play-lh.googleusercontent.com/a-/AOh14GijwZh_ZWq6FbkYR8XR_AI2ntpuVT2NWaXjBVZa,"O jogo é ótimo, porém a empresa conseguiu arruinar ele. Basicamente, no jogo, se vc quiser ganhar fácil, é só comprar gemas pra energia e armas melhores. Até ai td bem. O problema é quando aparece um pop out perguntando se vc quer baixar uma extensão do ""subsolo"" ou algo do tipo, daí se vc instala essa m%#*@, popouts aparecem o tempo todo te obrigando (literalmente) a gastar gemas nesse modo ""subsolo"", sendo este um modo online que vc simplesmente não ganha se não gastar dinheiro no game",3,160,2.8.0,2020-10-31 19:57:49
5,LuquiMKS,https://play-lh.googleusercontent.com/a-/AOh14GiI34vHJL_47z5K5c_9VL39FFMNLgY_wNLQIJYHSA,":) Edit 2/11/2020: o jogo atualmente já n tem mais esse bug, consigo jogar ""normalmente"" sabe pq das aspas? Por causa da loja, tem outro bug q é da loja, se eu entro nela antes de jogar, tá normal, mas dps q eu jogo umas partidas e entro nela, fica bugado na tela de carregamento, eu tenho q sair do jogo e refazer o processo pra ir.",4,3,2.8.0,2020-11-02 19:48:45
6,Ayron Silva,https://play-lh.googleusercontent.com/-U28g2DgSqGw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckV--cdtpvSrMOyXxiWCRC5DqL9wg/photo.jpg,Bom o jogo é ótimo mas tem um probleminha que os assesorios só abrem quando a gente chega no no nível mas poderia botar as os assesorios e armas para desbloquear quando a gente tivesse dinheiro suficiente tirando isso e ótimo e também não era para ter energia sério e muito ruim quando vc tá quase passando de nível o boneco cansa,4,1,2.8.0,2020-11-05 20:21:55
7,Pedro gamer Mororo,https://play-lh.googleusercontent.com/-UFi7MWV4Xno/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclXDqRq5PiFL8PqvuzlDav2szerzQ/photo.jpg,"O jogo em si é bom,os controles também ,mas a única coisa que é chata no jogo são os chefes,eles são muito fortes principalmente no começo contra o lince,você ganha dele em um round e ele começa a usar shuriken e magia de ficar invisível,apenas de um nerf neles e eu dou 5 estrelas.",4,1,2.8.0,2020-11-05 11:23:59
8,Roneliojunior Rodrigues,https://play-lh.googleusercontent.com/-kVk3LCBFawo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm63uSj4vrAneY4OHiafbmtVmU94Q/photo.jpg,"Esta com vários pequenos bugs, jogo desde de 2014 tem algumas coisas que vive acontecendo travamentos principalmente, e poderia colocar mais fases offline, tiveram uma ótima idéia colocando o submundo seria perfeito se fosse parte de uma história offline, esse jogo é o melhor entre os shadow fight",4,2,2.8.0,2020-11-05 14:04:02
9,Ladeira Velha,https://play-lh.googleusercontent.com/a-/AOh14GirtWv3aO3FJkxC-HXsJ9Xblhclw9S1LExKibFD7l0,"O jogo era ótimo, eu baixei há anos, mas esse ano eu voltei e conseguiram cagar o jogo. Primeiro, antes tinha como vc pegar recompensas legais naquele teatro e tiraram aquilo. E, segundo, e que foi o mais escroto é que lotaram o jogo de anúncio obrigatório. Estragou o jogo, dá nojo de jogar já, até desinstalei.",1,2,2.8.0,2020-11-03 15:33:56
10,Luan Silva,https://play-lh.googleusercontent.com/-XXUw0yBx7gA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck3nABFPsAlonslk-Khv8OKngo-Gg/photo.jpg,"ATENÇÃO LEIA. Mano o jogo e perfeito e fazia anos que eu tinha perdido uma conta que eu tava dps da vespa,mas tem um problema com o reembolso,as vezes eu vô compra um item muito caro aí ao invés de comprar eu clico em reembolso aí eu assisto o anúncio,mas logo dps do anúncio eu n ganho meu reembolso aí eu assisto mais umas 5 vezes o anúncio e n vem o reembolso aí eu sou obrigado a comprar o reembolso.obrigado pela atenção me esforsei pra n dizer palavrões",4,2,2.8.0,2020-11-03 08:29:40
11,André Brito Lima,https://play-lh.googleusercontent.com/a-/AOh14Gimc3vRtEobU9pdOLLeeUPKzIvFWIudV2VUlXvLAQ,"Muito bom. Quanto mais capítulos passa mais o jogo facilita. Estou no capítulo 2 e quando derrotei Lince o jogo me ajudou. Deixando promoção de armas, armas arremesaveis, e um cara que desafia. Quando ganha ele da a arma dele.",5,4,2.8.0,2020-10-31 12:12:28
12,Junior Games,https://play-lh.googleusercontent.com/a-/AOh14GgEBJh18S_N-uINiFaudTECg1oHeOELPpHyI4zM,Tenho 12 anos e jogo o jogo desde 2014 só um tempo depois do jogo ter lançado antigamente eu não tinha paciência então gastava todas as minha jóias aí toda vez que demorava eu desintalava mais já instalei umas 1 milhões de vezes ksksk mas o jogo é muito bom sim já baixei o jogo com hack não vou mentir mas dessa vez eu vou tertar zerar o jogo sem hack mas sim o jogo é muito bom e espero que o jogo volte como o do momento nossa todo mundo jogando quero falar mais não posso acabou o limite mais obg,5,1,2.8.0,2020-11-07 18:37:04
13,David Santos,https://play-lh.googleusercontent.com/-frhYXuH8v1U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmz_XMMlg_GKE7jrHuc7NhusuhfeA/photo.jpg,Esse jogo é muito legal e avaliar também e ele é bem completinho e ele também tem todos os personagens todas as fases e esse daí é muito legal agora todos os jogos é de hoje não são assim igual o Shadow Fight 2 aí fez mudando sobre o jogo porque tinha as outras partes mas não era igualzinho essa fez o download do jogo aí ficou mais legal ainda,5,1,2.8.0,2020-11-07 18:06:21
14,Eliakin Brandão,https://play-lh.googleusercontent.com/a-/AOh14Ghm0GdDuBI_Ook9__rVzibs49r6PFdAPvCPgdwqaQ,"Jogabilidade boa, porém a muitos bugs que devem ser corrigidos, além disso eles só devem colocar mais formas de ganhar aquelas coisas pra encantar, tirando isso o jogo está ótimo.😉😉😉",4,2,2.8.0,2020-10-29 19:29:03
15,Erik Riquelme,https://play-lh.googleusercontent.com/a-/AOh14GiS2nd8v0k6vwufoI27x8gVRsmkeDEHqHBrg1wK,"Nekki eu queria fazer uma reclamação sobre o jogo,ele é incrível e viciante com ctz ele é um dos melhores jogos que ja joguei, mas tem um bug que n está me deixando jogar.Eu cheguei na viúva hoje e como sempre o jogo pede pra mim baixar os recursos da fase mas aparece que o dowload falhou é pede pra mim tentar dnv,eu tento mas e sempre a msm mensagem msm que minha internet esteja boa pfv podem corrigir esse bug?",1,1,2.8.0,2020-11-08 15:57:38
16,Aneilton Soares,https://play-lh.googleusercontent.com/-AKgrNCs6mco/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclzg902NU8R0zz0WVJ1INk0i0axfg/photo.jpg,Jogo Incrível só não gosto muito deste esquema de energia podiam mudar isso e pelo menos as vezes que a gente ganhasse não gastasse energia porque assim teriamos chance de errar só 5 vezes ao em vez de só poder jogar 5.,5,2,2.8.0,2020-10-30 00:11:30
17,Salvador Oliveira,https://play-lh.googleusercontent.com/-N24M1Ki8wek/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnTv0DIQu5KlhIeFIKTQOG-9SK5RA/photo.jpg,Quando estava no Ato II no torneio estava lutando contra o Gato infernal (nps) e quando estava a ganhar ele uso magia e perdi já que antes de derrotar o eremita e contar o segredo a pessoas sobre a magia o NPC gato infernal já a sabia e só eremita sabia como usar a magia -_- e tmb agora mesmo lutei contra o surtudo no torneio ato II e ele usou uma magia invisível só por eu estar a ganhar e ele me matou,3,0,2.8.0,2020-11-07 05:48:36
18,Vitor Samuel,https://play-lh.googleusercontent.com/-8B-sT9WPA6A/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckJw_CEEzrxwpaNQmBm4RASSgeg7w/photo.jpg,Já jogei esse jogo varias vezes em vários dispositivos e nunca perdeu a graça o jogo e incrível até melhor que o 3 e tá de parabéns mas o problema é a energia o 3 e melhor porque não tem energia só volta tirar isso é aí o jogo vai ficar incrivel👍👍👍,5,1,2.8.0,2020-11-03 18:04:30
19,Roze Oliver2908,https://play-lh.googleusercontent.com/--JBQ3-LfK08/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl5c4XMVUcKZ5ELGNVaMOr4_KCxqg/photo.jpg,"E um desgosto esses desafios,tipo aquele que tem magia na terra como erupção porque aquilo é muito rápido tem vezes que acontece em duas vezes em 2 segundos como é que vence isso,além do porque ele também não prejudica o inimigo acho injusto.",1,91,2.8.0,2020-11-07 11:59:43
20,Diogo Isaque,https://play-lh.googleusercontent.com/-PHv3Kj83ln4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnNqickoQyEHafqofHTbYI94uneiA/photo.jpg,"O jogo é muito bom, mas não dei 5 estrelas pela injustiça dos personagens, um exemplo: vc tá la jogando e vence o primeiro round, aí começa o segundo e o personagem vira o hulk do nada e dois golpes te mata, corrijam isso e vira 5 estrelas.",3,1,2.8.0,2020-10-31 16:29:50
21,Juliano Lopes Jones,https://play-lh.googleusercontent.com/a-/AOh14GiZnM82WOtlDA--IYDdZq2vLmw2TdNccc1ZtS4,O jogo é Bom eu venho jogando ele desde de 2016 e achei muito legal só a um probleminha não dá de salva o progresso aí quando vc jogar em outro celular vc vai ter começa a jogar do começo aí e chato isso mais tirando isso e muito top.,5,0,2.8.0,2020-11-04 17:52:04
22,Danilo Mendonça,https://play-lh.googleusercontent.com/-8MaGss5Rayc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmyRDa4A8bJVa5LuYaTnB7XjwW3Og/photo.jpg,Baixei a nova atualização e agora o jogo não sai da tela de carregamento. E não é problema de internet e nem creio que seja compatibilidade visto que meu telefone tem por volta de 2 anos de lançamento,1,3,2.8.0,2020-10-30 16:28:41
