,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,HABASHI 4K MK,https://play-lh.googleusercontent.com/-HnNAfIEoFCU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckvfrxZmQVF4d0XdvUVG0OynGg26w/photo.jpg,"Vector é um jogo estilo arcade vibrante que te põe no papel de um corredor que não quer ser capturado pelo sistema. O jogo começa com a visão de um mundo totalitarista onde a liberdade e a individualidade deixaram de ser realidade para se tornar apenas um sonho. Entretanto o coração de um corredor é forte, e você logo irá escapar. Corra, deslize, pule, escale utilizando tecnicas extraordinárias baseado no estilo ninja urbano denominado esportivamente de parkour enquanto é caçado pelo ""Grande Irm",5,794,1.2.1,2020-10-14 23:05:43
1,Computer Lab,https://play-lh.googleusercontent.com/a-/AOh14GiwPLBgX7gPVOfxOZLtx69QSdV1pKfquRkK5Xoi,"Boa jogabilidade, bons gráficos e boas manobras. A idéia de uma sociedade completamente controlada, sem qualquer direito de expressão é incrível! Porém depois de um tempo o jogo para de funcionar, saindo logo após a cutscene inicial, e acaba que eu preciso limpar os dados do jogo, estragando todo o meu progresso. Isso tem haver com o modelo do meu celular?",4,1232,1.2.1,2020-08-26 13:20:41
2,Dani Lokäo,https://play-lh.googleusercontent.com/a-/AOh14GiVXWGtxxMOwnS2EAu_8g8B-8otFuzRE7bvuR0h,"Esse jogo é muito bom recomendo para tudo mundo gráfico ótimo, gameplay insana, Hunter mode incrível (Só aumenta a dificuldade na minha opinião) e o Bônus mode que é tipo fase bônus bem legal problema que só tem se tiver a versão Full e paga do jogo sem ser isso o jogo é impossível de dizer que é incrível ele é INSANE demais mano as roupas para costumizar o protagonista kkkk são bem legais também trabalho INSANE Necki ❤️❤️❤️",5,91,1.2.1,2020-10-28 13:00:21
3,Doge bombado,https://play-lh.googleusercontent.com/a-/AOh14GhYlheBZCsPYFrJ2gb3NuCe5pf5aIXT6RbMPEzaVg,"Incrível, gráfico bons animação magnífica senários de dar inveja jogabilidade praticamente perfeita bugs praticamente não existem controles nível pc gamer . Tenho orgulho de um ter jogado esse jogo , só a história não é tão boa mas calma . Este jogo é tão bom que eu acho que ele nem é de celular parece que foi feito pra pc e portado pra celular . Enfim vale a pena jogar este jogo",5,844,1.2.1,2020-10-09 15:07:18
4,bruno Lucas Branco,https://play-lh.googleusercontent.com/-aulRkuPhelY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn0KjN-oFk3OweaG8LOOdhV1XnZnw/photo.jpg,"O jogo é simplesmente incrível, os gráficos são muito bons e as manobras são muito legais. No momento que o personagem começa a correr dá a impressão de que tem um temporizador com o tempo correndo muito rápido. Eu consigue completar quase tudo com 3 tres. Mas é muuuuiiiiitoooo bommmm. Nota 10",5,780,1.2.1,2020-10-08 19:56:05
5,Arthur Zanguetin Pereira,https://play-lh.googleusercontent.com/-jjmayy-Bq4g/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckzYW1SpAq87dHBVk6ZigRFR8fdnw/photo.jpg,"É otimó,é um dos jogos que eu mais jogo! Os personagens são incriveis a jogabilidade também! E eu não vi nenhum bug no jogo eu ja zerei ele! E outra coisa eu ja avaliei o vector 2 com 5 estrelas!,gente instelem esse jogo!!!",5,12,1.2.1,2020-10-13 22:53:07
6,Marianna Lefebvre,https://play-lh.googleusercontent.com/-kvynVBH7S0I/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm9uF-8sSRsbxtVEulSVCr7R8ujnA/photo.jpg,O game tem uma ótima ideia mas precisa melhorar muitas coisas como 1- melhoria de gráficos 2- a possibilidade de ter personagens e armas corriga -me se eu estiver errada 3- não consegui passar da fase dois e quando vou ver publicidade para ganhar moedas nunca está disponível para ver 4 - os controles não são nem um pouco precisos deslizo para um lado e o boneco vai para o outro . Resolvam isso e mudarei minha avaliação para 4/5 estrelas,3,2,,2020-10-29 15:27:39
7,Alex Lima,https://play-lh.googleusercontent.com/-wXW1rSVGUz0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnxjeXi4Ps86X_4dGKkBOQjZL3szA/photo.jpg,"O jogo é top, gráficos espetaculares para um jogo de celular. Mas poderia ter mais cenários mais níveis ter mais modos de jogo. Isso iria fazer o jogo mais divertido por favor de puderem façam isso. Vocês tão de parabéns NEKKI 👍",5,11,,2020-10-12 21:26:34
8,Draven,https://play-lh.googleusercontent.com/a-/AOh14Ghvr4fR_1jSXCfsVhIabgtX9CMGNELDxdUQa1-ibg,"É um jogo simples e ""divertido"". O que me incomoda são os falsos comandos que acontecem comigo 100% das vezes, exemplo: eu arrastei o meu dedo para cima(pular), mas o jogo entende que eu arrastei o meu dedo para baixo(deslizar), esse pequeno erro, estragou a minha experiência com o jogo.",3,424,,2020-09-20 08:47:04
9,Alex Carvalho,https://play-lh.googleusercontent.com/-NKimJk9l36o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmauL7VEIgiT-05yIhUnvWhiaLJPA/photo.jpg,"Esse jogo é muito bom, mas podía ser atualizado como por exemplo: gráficos mais um 3D como shadow 3, ter ventilações de escape, e sítios para esconder se pelo menos um pouco depois fugir de novo.",4,1,1.2.1,2020-11-05 02:47:18
