,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,William Oliveira Santos,https://play-lh.googleusercontent.com/-oWmS5prjm-0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmI_zU5AUhSpwTCTEuKvfS2fEEbAg/photo.jpg,"Cara, adoro o jogo. Jogo a dois anos mas infelizmente esse lance de forjar CTPs, aprimorar cartas Premium, gasto excessivo de recursos estão fora realidade...Os desenvolvedores do jogo não estão em seu perfeito juízo. Só quem investe muita grana no jogo terá mais chances. E pra piorar, aumentam em 50% o valor de todos os pacotes do jogo. Absurdo! Jogo mais mercenário. Acabou a diversão.Estou quase desinstalando...",1,164,6.5.0,2020-11-01 12:42:35
1,Leo Riber,https://play-lh.googleusercontent.com/a-/AOh14Gi2E2dNB4D1ql0o8fEDO6-QF3O2LIV6NkpKKSCU,"Estou Extremamente desapontado com o jogo, quem vem cada vez mais criando mecanismo estúpidos para arrancar dinheiro dos jogadores. Somos totalmente contra essas novas atualizações injustas que impedem muitas pessoas de chegar a ter uma conta razoavelmente boa. Esse era pra ser um jogo para todos e está virando um jogo apenas de burguês. Não somos milionários pra gastar com o que vocês querem que gastamos. Sala de Perigo Está Podreeeeee. Um Lixo. De 2 em 2 Minutos o sistema cai. LIXOOOOOOOOOOOO",1,87,6.5.1,2020-11-07 07:00:29
2,Gabriel Santtos,https://play-lh.googleusercontent.com/a-/AOh14Gjz1JCdiyS0GepUuUW9nAImM9nZ-DFK42VeploY0A,"Um jogo que era do povo, um jogo que era excelente no seu estilo prático, fácil e simples se tornou um jogo para apenas aqueles que possuem condições de se tornar vip ou que tenham condições de investir no game. Está deixando os jogadores sem saída, a não ser abandonar o mesmo. A cada atualização vem quesitos novos e personagens pagos, e também a enorme dificuldade de se ganhar cristais. Um jogo que ja dei 5 estrelas, em seguida dei 3 e agora mudarei novamente para nota mínima. Enfim, melhorem!",1,77,6.5.1,2020-10-30 10:36:31
3,Alessandro Alcântara,https://play-lh.googleusercontent.com/-SpZsz-Qr-5Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckJDHOXbkzR059WGQJ9DYBl7muiAA/photo.jpg,"A minha avaliação esta sendo com base na próxima atualização do mff, a V 650, ela é extremamente prejudicial para todos os jogadores, seja você o Free to play, o que gasta pouco ou muito no game. Caso as mudanças permaneçam, então definitivamente não vale a pena investir no game, ele será totalmente p2w. Caso a empresa responsável pelo app volte atrás, poderei refazer a avaliação. Para os novos jogadores fica o alerta, aos antigos, não sejam subordinados a estas políticas contra o consumidor.",1,328,6.5.1,2020-10-31 11:39:19
4,Pedro Minganti,https://play-lh.googleusercontent.com/a-/AOh14GheKKwVBLTPwT1dRAtlr0y6Kagsk81NUaShD8hK,"Jogo esse jogo desde seu lançamento, em 2015 e nunca tive a necessidade de escrever nada sobre, porém, essa implementação de """"""melhora"""""" de Cartas Premium e CTPs quebraram o jogo e tramsformaram ele num lugar onde somente jogadores que gastam milhares de reais (literalmente) conseguem estar no topo. E além do mais, o jogo não precisava dessa mecânica de melhora, pois o jogo ainda estava satisfatório sem ela. Enfim, fica aqui minha avaliação e não se esqueçam, até mudarem isso: #boycottMFF",1,68,6.5.0,2020-10-28 10:10:17
5,Vitor Matheus,https://play-lh.googleusercontent.com/a-/AOh14GicJwv19A1oKf1Y6BOpBTnnwozhj1FxKkHR2SsNFQ,"Atualmente, o jogo tem visado somente meios de ganhar mais dinheiro dos jogadores de forma grotesca, sem desenvolver novos modos de jogos, sem atualizar os modos de jogos antigos e infelizmente, sem nenhuma recompensa para os jogadores. Resumindo, o jogo atualmente trata-se de uniformes novos para os personagens, pacotes novos e fúteis na loja para você gastar mais dinheiro e modos de jogos ultrapassados e sem recompensas significativas.",1,59,6.5.1,2020-10-31 11:02:07
6,Luiz Felipe De Lima Souza,https://play-lh.googleusercontent.com/-pvg-IqON4nE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmbibm42jD_Ym3BbID-0yRhWqK74A/photo.jpg,"O jogo é excelente, mas só funciona bem se você gastar rios de dinheiro, Principalmente depois da última atualização. Eu jogava o jogo por anos já e não gosto nem de pensar quantos 1000 eu gastei ao todo, mas não gasto nem mais um centavo, pois não vejo mais vantagem nisso. Agora vou jogar de vez em quando só pra distrair msm e procurar um jogo melhor pra investir tempo e dinheiro",1,25,6.5.0,2020-10-29 23:16:35
7,mauricio alves,https://play-lh.googleusercontent.com/a-/AOh14GjzPZK8orvhL8Zz-1g1GzjVtocyQzPjHwiXdbjF4A,"Os desenvolvedores não Jogam o Jogo, não ouvem as críticas dos Jogadores. Investia no jogo e hj não vou mais gastar um centavo pois o jogo está cheio de irregularidades. A Netmarble não ouve os jogadores. Parece que eles tão estragando o jogo aos poucos. Parece ser proposital, muito triste. ESTAMOS NO MEIO DE UMA PANDEMIA E CRISE ECONÔMICA E O JOGO AUMENTA AS TAXAS SEM CRITÉRIO LOCAL. Vou investir na próxima geração de consoles q percebo ser mais vantajoso que investir em um jogo só.",1,54,6.5.0,2020-10-30 08:08:33
8,Ana Torres,https://play-lh.googleusercontent.com/a-/AOh14GjqDBwc4lLkngcWECeJNNSQBarWlk0KcOxT0GxG9V0,"Esse último update foi ridículo e era só o que eu precisava pra realmente parar de jogar. Vocês não tem respeito nenhum com os jogadores e com o jogo. A única coisa que me deixa satisfeita nisso tudo, é que nunca gastei nada aqui e nem pretendo. Aos jogadores, novos ou antigos, se estiverem lendo isso: parem de jogar e parem de colocar seu dinheiro aqui. É como pegar uma montanha de dinheiro e colocar fogo nela. O jogo vai morrer e não demora muito.",1,245,6.5.0,2020-10-28 14:50:43
9,Thiago Diniz,https://play-lh.googleusercontent.com/a-/AOh14GgB1qkD9FgvcHgjXsUisjs0IQtD7HxhB1vwfTgk9w,"Jogo este jogo a 4 anos e hoje em dia não o recomendo a ninguém . Netmarble e seus Desenvolvedores do Marvel Future Fight , estão arruinando o jogo, com um novo sistema de Upgrade de cartas e Reforjas de CTP. Tornando isso algo inalcançável por players que investem apenas em pacotes mensais que já não e Barato. Para você que pensa em jogar este jogo saiba que ele e PAGO. E a Netmarble impôs um Abismo Imenso na sua ultima atualização, entre jogadores Free entre jogadores que investem Pesado.",1,13,6.5.0,2020-10-31 14:34:56
