,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,The Last Morgenstern,https://play-lh.googleusercontent.com/a-/AOh14Ghhw_SwGSBgjQQKRWBeKYfG7fZV6EGWlyDzMpF7BSk,"Tem alguns bugs depois da última atualização, que fecha o jogo do nada, mas fora isso não há o que dizer. A história é envolvente e é fácil ganhar dinheiro e diamante para evoluir os personagens. Sem mencionar a liberdade na criação e customização dos personagens. Os trajes, armas e armaduras são lindos e as habilidades/poderes são muito maneiros.",4,2,1.47.0,2020-11-08 14:55:38
1,J.,https://play-lh.googleusercontent.com/-PDY-NLQVFOI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm0W4J1uRpaiJmmcywtHhPWHNP9fQ/photo.jpg,"No momento é o melhor jogo do genero que já encontrei e joguei (clash and slash). O gráfico é formidavel e para nao ficar pesado demais o processamento por isso, existe opções na configuração.Parabens para os desenvolvedores 👍. O jogo até hoje é o melhor desse estilo. Só uma coisa que poderiam mudar, é a questão de muitos carregamentos, isso a cada mudança de página.( ñ estraga a qualidade do game, mas, demora um pouco e consome muita bateria);( A minha nota é 10.",5,10,1.47.0,2020-11-08 16:38:02
2,Benicio pereira,https://play-lh.googleusercontent.com/a-/AOh14GiVjLh_HQToqPQR7jGj1BHhMuvLym02Wy42tjjm2Q,"O melhor RPG que eu já baixei na minha vida!!! Uma parte que eu particulamente gostei muito é a criação de personagem, tem muitas opções, como aumentar os seios é os glúteos, é claro que tem outras opções mas essas duas é bem raro prá jogos RPG Android. A jogabilidade é muito boa também, os ataque são da hora, os gráficos são show de bola, só uma coisa que eu não gostoi é aquela corrida que os personagens dão, Vocês poderiam colocar uma opção de ativar é cancelar ela, eu queria andar normal!!",5,43,1.47.0,2020-11-02 17:26:43
3,Mr Shisui,https://play-lh.googleusercontent.com/a-/AOh14Gj287I7ZakcLkw4FX6RON5bci_m3JAUe_7xAFnw8A,Muito bom o jogo! Só acho que poderia ter uma história melhor e o modo aventura é muito fácil e é a mesma coisa sempre poderia ter uns negócios a mais tipo captura a bandeira dentro de um tempo ou pegar a espada ou machado ou até um arco e ganha aquele item também poderia ter mais classes tipo um mago ou uns que podem controlar cada elemento obs: isso não era reclamação era uma sugestão. Um dos melhores jogos que já joguei.,5,138,1.47.0,2020-10-15 15:20:07
4,Lucas Pieri,https://play-lh.googleusercontent.com/a-/AOh14Ghs4X6L1bVbTfrJbbYiQBC9Y3cgn-KYfX99OsCQ3w,"No começo é muito empolgante, mas depois você percebe que é pay to Win e interação entre jogadores é muito fraca. Há um excesso de prêmios diários e modos de jogo pra conseguir recursos pra aumentar força que consomem muito tempo de forma desnecessária, assim o foco no jogo se dispersa completamente!",3,93,1.47.0,2020-10-16 00:34:47
5,Bruna Araújo,https://play-lh.googleusercontent.com/a-/AOh14GgtCL1GbEbE3pLwzBjejYcIa3yMTzHxBovM27iuug,"Eu daria 5 estrelas se não fosse pelo o jogo estar travando muito,toda a vez q eu jogo da 5 minutos o jogo trava e depois cai,e eu tenho q colocar de novo,mas demora um pouco pra carregar, isso acaba com a minha paciência,o jogo não fazia isso antes,eu não sei oq está havendo.Sem falar q tem anúncio o TEMPO TODO,a cada click q a gente dá aparecem 2 anúncios,mas fora isso daria 5 estrelas com certeza,alguém pode me dar uma solução ???",3,65,1.47.0,2020-10-20 03:42:12
6,Heloiza Luz,https://play-lh.googleusercontent.com/a-/AOh14Gj0NFo8_naOyVIWdZ3-yZ5C_DN5J59g5iN4ZvX8,"Eu realmente gosto desse jogo, ele não é pay to win e é fácil de evoluir, ele tem gráficos ótimos e as habilidades dos personagens são bonitas, porém, ele sai sozinho algumas vezes e trava, eu acho que se tivesse uma pequena otimização já ajudava",4,1,1.47.0,2020-10-21 10:27:03
7,TinhaLyefah 36,https://play-lh.googleusercontent.com/a-/AOh14GguLn8d-7jzHfMQej5pgnj1q63GiMhnGOXocTns7w,"Bom.... só não dei cinco estrela pelos anúncios e pelos erros como bugs e outros ,e fiquei realmente muito imprecionado com a ideia de personalização na tela de carregamento ....o ponto ruim mesmo foi que aquele download não chegou ao fim até aí tudo normal só reinicia o jogo que tudo se resolve ,mas.......a personalização de avatar não foi salva e pra personalizar de novo vale diamante mó mancada um erro da parte do jogo essa aí (vacilo)",4,17,1.47.0,2020-11-02 11:30:52
8,qualquer coisas Aleatórias 2.0,https://play-lh.googleusercontent.com/a-/AOh14Gg2E0AqL83HakBP5LcdBZTDC0hnOSojsZnuhXzi3Q,"O jogo é muito bom, gráficos bonitos, jogabilidade perfeita. Eis o problema: sexualizam demais as personagens, e não tem mundo aberto, não sei se é porque eu não cheguei no mundo aberto, ou porque o jogo realmente não tem mundo aberto!?, e é só.",5,1,1.47.0,2020-11-02 03:00:28
9,Sairo Moraes,https://play-lh.googleusercontent.com/-O0cTLvPJmRA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclkA_GS7GzxL_DojtUYqo1QEE0zWQ/photo.jpg,"O jogo é muito bom, o problema todo é o bug que o jogo apresenta logo no começo, na parte do troll de armadura, logo na primeira missão, o jogo buga, ou você fica parado ou some as opções de ataque e você só fica correndo de um lado pro outro sem ter como finalizar o troll",3,7,1.47.0,2020-10-23 12:07:11
10,Matheus Fagundes,https://play-lh.googleusercontent.com/a-/AOh14GiZctmIZ99iAj-McVT2_Z-34A7d8sNelFGMLzRU,"O jogo é muito bom, tanto gráficos como o conteúdo mas o problema é a quantidade absurda de anúncio e o jogo também se fecha sozinho, praticamente todo o momento o jogo crasha... Isso acaba com o jogo...",3,0,1.47.0,2020-10-21 15:38:25
11,Lucas Neves,https://play-lh.googleusercontent.com/a-/AOh14GiinCZPuiBmUAslMMId1D4BwXN7KgyornCZFHachQ,"Eu gostei muito desse jogo, pois ele é muito bonito e tem uma mecânica muito boa com vários recursos de dinâmica e equipamentos etc... Porém o meu jogo está brigando quando eu batalho com os Bosses pois o meu personagem não ataca e nem mexe, meu nome no jogo é BalmondMLB, espero que vcs resolvao esse Bug dentro da história obg por ler.",4,19,1.47.0,2020-10-15 18:18:18
12,Paulo Santos,https://play-lh.googleusercontent.com/a-/AOh14Gi3se159u_cJxtpYWvqYnqDD-BkMQvCtYPcqnLrCIM,"Melhor customização de personagem e uma história intrigante e até hoje não encontrei nenhum hacker alias ninguém precisa ser hacker nesse jogo porque é muito fácil subir de nível, os desenvolvedores desse jogo por favor aceite o meu agradecimento por um jogo sem falsas esperanças muito obrigado mesmo.",5,0,1.47.0,2020-10-31 15:48:21
13,Skyzin,https://play-lh.googleusercontent.com/a-/AOh14GiLsirgWgEOJ6rJgk9p1-SnvM5JdVTczSGByfLO,"Depois que desinstalei e instalei,não consigo mais logar por que toda vez que tento logar na conta do Google aparece que estou com problema de conexão,já faz um mês que está assim sendo que minha internet está otima por favor resolvam este problema.",1,2,1.47.0,2020-10-18 17:56:40
14,Larissa de Paula,https://play-lh.googleusercontent.com/a-/AOh14GhzX5MIUmPTSm6yrPUJpWpfnIfPDUB-qgsZodCE1w,"O jogo é ótimo mesmo, eu gosto muito! Porém, tem uma falha injusta. Meu namorado criou uma guilda, gastou diamante com isso, demoramos um tempão para evolui-la com apenas nossos personagens, ele estava como líder dessa guilda e, depois de algum tempo sem ambos entrarmos, simplesmente a liderança da guilda foi passada para um outro jogador com uma personagem feminina, que entrou muito tempo depois da criação da nossa guilda. Gostaria da liderança da guilda de volta. Como proceder?",4,3,1.47.0,2020-10-27 20:24:56
15,Damon Salvatore,https://play-lh.googleusercontent.com/a-/AOh14Gjg0uQ4x4saXA84TLffyLhqvMuURluEx2EV8QjU,O jogo é bom mas eu tinha q esperar baixar os outros arquivos. Em vês de deixar lá baixando eu tinha q ficar no jogo esperando baixar. Seria bom se deixasse baixa e eu poderia mexer nos outros app enquanto isso. Eu gostei mt so de fazer o tutorial eu vou continuar. Só n dei 5 estrelas por causa disso tirando isso eu adorei o jogo :),4,0,1.47.0,2020-11-05 11:20:19
16,Elizângela Jales,https://play-lh.googleusercontent.com/-jvBOv3niVuY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucllUTwou_tjUY3A8rjrdCrlpvrgkg/photo.jpg,Amei! Adorei pq muito difícil encontrar um jogo mobile com esses gráficos! O único problema é q ele demora muito pra fazer os douload mas mesmo assim e muito bom e aconselho a joga principalmente por causa da comunidade q tem no jogo,5,0,1.47.0,2020-10-18 16:34:34
17,Kevin Lindo,https://play-lh.googleusercontent.com/-AmS_edaxZ6E/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucndMpa4lMVpnsSAgFXvfmtq6L_w-A/photo.jpg,"Jogo simplesmente, espetacular, ótimos gráficos e não trava, realizou meu sonho de jogar esse tipo de jogo como god of war... Obrigado, super recomendo.",5,0,1.47.0,2020-10-15 20:09:35
