,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Leonardo Muniz,https://play-lh.googleusercontent.com/a-/AOh14Gg0vSv-bLl1ZAGcC1sjfUnOQBJbY_MQ8RqBisA,"Tem um PvP de Guildas muito simples, e ao mesmo tempo divertido. Rapidamente vc se engaja com o time, faz o Discord, faz o grupo no Wattsapp. Por outro lado, combina o fato de ser caro, com não criar novidades. Isso faz com que muitos amigos e campeões desistam do jogo. É comum ver contas no top 50, e abandonadas. O jogo deveria colocar mais heróis e implementar conteúdo, com novas maneiras de farmar. Isso iria reavivar alguns servidores.",4,19,1.97.1,2020-10-21 12:24:38
1,Ricardo Selmine,https://play-lh.googleusercontent.com/-WXtUiRrbgC8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckvIkP-ISrncHLzNSnKU4jdE9XQoQ/photo.jpg,"Os desenvolvedores fizeram algo grotesco com o passe de ouro, enganaram vários jogadores colocando o passe de ouro à venda com missões intangíveis para os fãs que não colocam tanto dinheiro no jogo. Para que você consiga alcançar o último prêmio é preciso investir muito dinheiro mesmo. Ganharam dinheiro no passe e na conclusão do mesmo. Essa atitude foi deprimente, não é possível que nenhum desenvolvedor tenha feito os cálculos para as recompensas. Nunca mais verão minha grana.",2,209,1.97.1,2020-10-23 16:48:34
2,Paulo Alexandre,https://play-lh.googleusercontent.com/a-/AOh14GhO8dsNteJSy0KGmEb32mcKucR7bxKZ4p1P-yK3Pg,"É um jogo impressionante e bastante divertido , o problema é que está na fronteira do usar anuncios demais , o sistema de espera de 24horas em alguns dos desafios está um pouco desactualizado também , eu nao me farto de jogar mas sinto que poderiam fazer mais um pouco pelo jogo , ele deveras merece .",4,23,1.97.1,2020-10-24 23:33:40
3,Denilson,https://play-lh.googleusercontent.com/-10RPetWJ9s8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm4y3vh-jb230kvBIOtOD3buKe5dg/photo.jpg,"Estou diminuindo a avaliação apenas pela falta de um tradutor nas conversas do chat, a interação com os outros jogadores seria muito mais fácil e melhor, caso existisse assim como em outros jogos do tipo. / Ótimo jogo, com uma dinâmica e lógica muito boa. Sempre tem novos desafios para fazer e melhorar sua equipe. Jogo viciante e sem propagandas forçadas o tempo todo. Em compensação chega em certo ponto que se não investir dinheiro fica muito difícil de evoluir.",3,25,1.97.3,2020-11-05 13:20:33
4,Paulo Vasconcelos,https://play-lh.googleusercontent.com/-Ityvk_wKL8g/AAAAAAAAAAI/AAAAAAAABfo/AMZuucnDIG0nYLbbxn9PmChsiY-JOx3G_w/photo.jpg,"O pior jogo da história. Uma grande mentira e enganação, os usuarios são enganados o tempo todo. Tarefas disponibilizadas prometendo prêmios mas no fim nada é dado e o suporte fica fugindo da responsabilidade. O jogo é uma grande enganação para roubar os jogadores. Não joguem. The worst game in history. A big lie and deception, users are cheated all the time. Tasks are made available promising prizes but in the end nothing is given and the support is running away from responsibility. DONT PLAY",1,16,1.97.1,2020-10-28 20:05:32
5,Isa,https://play-lh.googleusercontent.com/a-/AOh14GhuPTu_u3SP2dWj65IarN99wVVfDDuC9cHfCciE,"Eu joguei por duas semanas e até então, estava realmente muito bom! Eu gosto muito dele, não havia tido nenhum problema. Mas de dois dias para cá, ele começou a travar em uns momentos e não destrava... Eu estava em duas lutas muito importantes e travou justamente nelas, tive que sair do jogo e tirá-lo da aba. Espero que possam concertar isso :/",3,9,1.97.1,2020-10-21 15:03:31
6,Rafaielo Portela Follador,https://play-lh.googleusercontent.com/a-/AOh14GhgI8V_YLBdgvxFc-N7CT9u-0g_tayCHzVLg16H,"Eu estava com 2 contas da Playstore instaladas , meu celular foi formatado não sabia qual era coloquei as duas , estou encerrando um e-mail e tirei uma conta da Playstore daí voltou a etapa mais evoluída do jogo que eu estava .",4,0,1.97.3,2020-11-08 23:37:02
7,Frank Noronha,https://play-lh.googleusercontent.com/a-/AOh14GgGqmmQgypeWRe657v9Aw1vdz5wE2L80af4bat9og,"Bom o jogo, é legal o desenvolvimento mesmo sendo na maioria automático as batalhas, a contrução de times e diversidade de heróis, jogo a mais de um ano e continuo gostando.",5,1,1.97.1,2020-10-23 09:10:30
8,Lucas Brandino,https://play-lh.googleusercontent.com/a-/AOh14Gjz5a9mAFEmmYm0G5i3yaK8WD8T6Cnlyqa08zrHmuY,"O jogo em si é legal, pra quem gosta do tipo mais da pra melhorar muita coisa , por exemplo nas medalhas de bronze prata e ouro, aparece a opiçao de troca e nao vai ! Deveria tbm surgir mais pemios como no inicio do jogo.. e poderia ter a opçao de enviarmos presente a outros jogadores ne , otimo para iteragirmos tanbem, pensem nisso",3,2,1.97.1,2020-10-23 11:33:12
9,Sans Alternativo,https://play-lh.googleusercontent.com/a-/AOh14GghIbML5UzPPmvgOfiqxH_fvUdXvH0AnJA-wWNQ,"É um ótimo jogo, viciante até, o único problema, ao meu ver, são as micro transações, achei os preços bem abusivos, mesmo com desconto",4,0,1.97.3,2020-11-02 08:22:52
10,Jonathan Oliveira,https://play-lh.googleusercontent.com/a-/AOh14Gg9uwQYcHbg_cPLV1qW3qplzOCRXoUGhXMtjqxDtw,"Se o Hero Wars mobile fosse igual do facebook, seria excelente jogo. Pena que é limitado o jogo geral.",4,0,1.97.3,2020-11-02 15:12:42
11,Desafoga,https://play-lh.googleusercontent.com/a-/AOh14GjyRIVuTU20XwRIGVSTduGdD06zATJNaeJaxm7lVg,"Gosto muito desse jogo, apesar de não ser nada parecido com a propaganda, aos poucos fui gostando. Porém nessa última atualização além de consumir 100 MB, tirou algumas características de batalha que fazia a diferença no jogo. Agora mal dá pra ver o HP dos heróis nas batalhas. HORRÍVEL. por favor devolva o que era antes.",2,151,1.87.1,2020-08-29 09:19:19
12,Gabriel Paschoal,https://play-lh.googleusercontent.com/a-/AOh14GgvtrhaNyqQri5vbN0xve1T0UiaEn5CHOOE1dJw,"O jogo é divertido, muito mais quando vc entra numa boa guilda e trabalha em equipe planejando os ataques e discutindo as composições. Mas é absolutamente pay to in. Se vc não gastar os primeiros 8 reais no jogo provavelmente vai desistir de jogar pq não vai ter a possibilidade de dar Skip nas missões, e boa parte do jogo é repetir missão pra farmar item.",4,23,1.87.1,2020-09-10 10:02:33
