,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Zaiyan Scott,https://play-lh.googleusercontent.com/a-/AOh14GjnygZpmmcjajTG8_F-OJcEC62FMIzwY-4l8ywLug,"Acho que deveria ter SIM a ideia do Joystick no jogo, porque nos dias de hoje. Existe muitas crianças que jogam esse tipo de jogo, vai desde crianças de 6,7 anos a pessoas de 50 ou até mais. Mas o mundo hoje em dia não está um dos melhores, sem contar que quem fica o dia todo no trabalho ou até mesmo em dias chuvosos, ninguém vai sair na chuva pra caçar pokémon, certeza. Então o ""Bônus Climático"" que aparece pokémon baseados no clima, é inútil. Poderiam colocar pelo menos em certos momentos.",2,203,0.191.2,2020-11-07 10:43:44
1,Cleilza Barbosa,https://play-lh.googleusercontent.com/a-/AOh14Gj5_RBnxdd3fQwbABsoZ2trmD4xKTAcBJ6v9YNbaw,"O jogo é muito bom, ótimos gráficos, tem todas(até agora) as cincos primeiras gerações sem faltar nenhum,mas o jogo é muito bugado, principalmente nas reides. É sério eu já relatei problemas com reides mais de 10 vezes sendo que a única forma de pegar Lendário e através delas(e esses problemas vão desde de o jogo travar e sair e quando vou volto não consigo voltar na reide e ainda por cima perco boa parte dos meus pokemons).",2,11,0.191.2,2020-11-08 20:44:14
2,Alexandre Quintiliano,https://play-lh.googleusercontent.com/a-/AOh14GgX1yY6I6Z_nlqsqTYuDnwmcasQbmmmChMbgpz4cg,"Depois da última atualização, não tem como girar duas vezes o mesmo pokestop mesmo após o tempo de espera pra ele ficar azul de volta e os pokemons somem. Tenho que fechar e abrir o jogo toda vez. Em batalha, quando o ataque tá carregado, eu aperto no botão e ele simplesmente não vai. Tenho que apertar umas 5 vezes até. Já perdi várias batalhas por conta disso.",2,5,0.191.2,2020-11-09 02:51:35
3,michael gomes souza,https://play-lh.googleusercontent.com/-jb6ZoVLEkQk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnr6uwPpkT0Ic33xkTNwwknsXAsKQ/photo.jpg,"Porque o jogo tá toda hora fica dizendo não foi possível autenticar erro de identificação, desse jeito não dá para jogar, o jogo toda hora fica pedindo para se identificar e não funciona a conta da Google, por favor vê se tem um jeito para vocês arrumarem esse bug ou erro do Pokémon Go, aí sim eu volto a jogar pessoal da niantic.",3,5,0.191.2,2020-11-07 22:13:39
4,Lucas M. Scheffer,https://play-lh.googleusercontent.com/a-/AOh14GiadEdviKfjsf71MRBP6PXsijJcv13j39kI762wQw,"O Jogo está ótimo! Eu parei por um bom tempo no jogo, e voltei á quase 1 mês atrás, e olha... Ficou incrível! As Batalhas online, e o balão da Equipe Rocket está incrivel, a facilidade de capturar pokemon mesmo não saindo de casa, deixou mais legal e animado, não preciso mais gastar internet paga e arriscar sair de casa... Entre outros detalhes, o jogo está bem legal e divertido. Parabéns criadores do jogo :D",5,291,0.191.2,2020-11-06 21:12:50
5,Wangles Avelis,https://play-lh.googleusercontent.com/a-/AOh14GishJ81_pljnA0LnjiaPp6704QTejmxN892d5xubEA,"Infelizmente o jogo, em média de a cada 12 dias, te obriga a atualizar o app constantemente, porém sempre dá erro na instalação. Você tenta desistir e reinstalar, mas o erro se mantém. E, como são muitas atualizações constantes o usuário com este problema constantemente vivência está frustração, o que me fez ficar diversas semanas sem jogar e repensar se desejo ou não me manter como usuário dele.",3,2,0.189.0,2020-11-08 11:34:03
6,Francisco,https://play-lh.googleusercontent.com/-IX_BdO8CS2U/AAAAAAAAAAI/AAAAAAAAAfQ/AMZuuckUSEebY6asttsqX9yxcCrcZbEaeA/photo.jpg,"O jogo é bastante bom! Como fã de Pokémon desde pequeno, adoro o conceito de os apanhar no mundo real! Porém, quando falamos das raids... As raids são uma ótima mecânica... Se não estivessem cheias de bugs. Já perdi imensos Pokémon devido a um bug que não me permite atacar nas batalhas de raid. Tratem disto por favor!",4,3,0.191.2,2020-11-08 10:35:42
7,Mariaizabel Marin,https://play-lh.googleusercontent.com/-SYCgmOdKtR4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnadgqK22Q9jnIgUCiJmvIUEcXeug/photo.jpg,"Essa última atualização detonou com o jogo. Está terrível para entrar e permanecer no jogo. Tenho que estar logando a todo momento. Do nada o jogo sai e não autentica depois. Estou muito triste, trava do nada, perdi reides e passes por não conseguir rodar uma pokeparada, se rodo uma vez não consigo rodar mais, mesmo esperando o tempo para rodar, consegui um progresso grande em pouco tempo, adorei o jogo, mas estou quase desistindo, por favor revejam esses bugs o mais rápido possível",2,2,0.191.2,2020-11-08 16:41:58
8,Adrielle Vieira,https://play-lh.googleusercontent.com/a-/AOh14GhN3U46L4sNhfYa1J9v8UJUDjuJLDFlr5aQ7rfvhbQ,"Como Agnes informou abaixo, o jogo é bom, interativo, mas apresenta muitos bugs prejudicando a experiência durante o jogo. Eventos que estimula as pessoas a sairem de casa, mesmo em pandemia. Reduziram a efetividade do incenso e a quantidade de presentes trazidos pelo buddy, prejudicando o engajamento dos jogadores.",4,155,0.191.2,2020-11-07 12:20:08
9,Joca YT,https://play-lh.googleusercontent.com/a-/AOh14Gjwrb7d2NBTwdoNxo8yitpY0n210QlMSAK1KxJaNg,"O jogo é ótimo, gráficos sensacionais, jogabilidade incrível, mais mesmo assim eu queria dar minha opinião, em vocês abaixarem o custo para evoluir... Pois é difícil evoluir, porque é difícil achar alguns Pokémon toda hora para pegar os Candys... Mas mesmo assim o jogo é ótimo parabéns! 👏",5,3,0.191.2,2020-11-08 15:58:04
10,André Carvalho,https://play-lh.googleusercontent.com/a-/AOh14Gi7mKrzbcNIyt9yX6PZdX1H2hRY9KRCAWr21PSxlQ,"A Niantic de uns meses pra cá ""vem carregando nas coxas"" o jogo. Toda atualização que sai, eles conseguem fazer algo parar de funcionar e quando sai outra atualização pra correção, conseguem destruir outra funcionalidade. Espero que a Niantic volte a tratar o jogo com a devida seriedade.",1,1,0.191.2,2020-11-08 17:20:39
11,•Annie Gamer 91•,https://play-lh.googleusercontent.com/a-/AOh14Gj1qMo5JbCWs6Ind6hLkCekIpM4zb5Haoe_dNq7Vg,"Olha o jogo é ótimo , mas tem um bug ( n sei se acontece com todo mundo ) que eu sou teleportada para um lugar que eu já fui , mas não estou lá! Isso é muito chato sabe? As vezes tem algum pokémon raro e eu vejo ele e do nada eu sou teleportada para um lugar aleatório que eu estava mais cedo , isso acontece a maior parte do tempo quando eu ja fui em outro lugar , por favor arrume isso Niantic! Eu sei que vocês querem um jogo melhor para todos , mão quero que isso aconteca com todos :)",4,4,0.191.2,2020-11-06 20:44:27
12,Estação 3D,https://play-lh.googleusercontent.com/a-/AOh14Gi4Vi4CRmtahxVFyyrpPl-hoFuE0Yq2wfzKBWuzVA,"Eu sinceramente adoro o game mas trava d mais e não precisa de atualização queria que não tivesse tanto bug e GASTA MUITA BATERIA BRUTALMENTE! eu adoro mas tem q melhorar atualiza 1 vez aquada 2 meses por favor! Recado para Nientic: Na real eu prefiro TEMTEM mas eu adoro pkm também só q vcs deviam usar ideias dos fãs também com TEMTEM usou um ""fakemon"" para fazer um TEMTEM vcs deviam ouvir mas os POKEFÃS !!!!!!! ISSO É TUDO SOBRE A MINHA OPINIÃO",2,83,0.191.2,2020-11-07 15:50:24
