,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Andre Araujo,https://play-lh.googleusercontent.com/a-/AOh14GgWVm3mqAOrZNKBrWz-K-Kl4QTM3dCPQKG4Lk_Qrw,"O jogo é bom, mas você passa 70% do tempo assistindo propaganda",1,1,3.2.1,2020-11-08 02:38:26
1,PTHtrink,https://play-lh.googleusercontent.com/a-/AOh14GjobSN14sEXRvIh6LXbxTzCItWmXQ3TTPvNFdcc5w,"O jogo está horrível, houve alguma atualização e agora o nome não faz mais sentido, já que não há mais aquela sensação de estar jogando quente ou frio. Agora, ou você acerta com pin vernelho ou erra pin azul, retiraram os pins laranja e amarelo.",1,5,3.1.2,2020-10-31 12:27:05
2,paulo cesar,https://play-lh.googleusercontent.com/a-/AOh14GgPGkpKoR_IZLuDxh6LmitDGVYER9n5vgvu406moQ,"O jogo é legal , mas se perde muito tempo nos comerciais, a cada dois níveis vem propaganda de outros apps. Ai clica pra sair e ja vai pra play store",2,15,3.1.2,2020-10-26 12:32:59
3,Tenison Cardozo,https://play-lh.googleusercontent.com/-lKdOQZE3NUs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck7zHYguBkbweVexkiTUIFc3spQpA/photo.jpg,Jogo parece ser bom comecei jogar a uns dez minutos mais já vou desinstalar. Muito comercial,1,5,3.1.2,2020-11-04 00:52:35
4,Dustotwoo,https://play-lh.googleusercontent.com/a-/AOh14GjmKqi02UzTFqL6V7FB0QB2XgcuNAwanJ7XjPzjtQ,"Ótimo, só achei estranho a escolha de certas categorias, e a precisão necessária nos níveis de cidades.",4,11,3.1.2,2020-09-06 17:27:29
5,Ramon Pinheiro,https://play-lh.googleusercontent.com/a-/AOh14Ggtydgjf2bOqTU2Q6n__9guM879Z5KTqCbQd5EKnw,O jogo é muito repetitivo e depois de um tempo fica chato.,3,10,3.1.2,2020-09-19 15:29:43
6,Dulce Sousa,https://play-lh.googleusercontent.com/-WyjC7wYdqcc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnUo9B45BDfLYS6jsMJPeJ8XdBbMw/photo.jpg,O jogo pare até bom. Mas é comercial demais. Até entendo que é gratis. Mas é um exagero quase toda pergunta tem um comercial todos longos. Desinstalando,1,0,,2020-11-07 16:44:22
7,Selena Stefanes Pacheco,https://play-lh.googleusercontent.com/a-/AOh14Ggxq56V3R9YEe90AyjfOsAZFQl29YQBkpyPZNbShsA,"O jogo parece ser maravilhoso, vendo os gráficos pelas imagens e vídeos, aparenta ser ótimo. Mas há um bug para mim. Eu instalei o app, mas eu mal o abro e aparece que o App não está respondendo, o que me leva a não conseguir jogar este jogo. Olha, os desenvolvedores estão de parabéns por criar um jogo tão legal, mas, por favor, tentem consertar isso...😯",2,32,2.2.13,2019-12-30 17:23:05
8,Fran M. E.,https://play-lh.googleusercontent.com/a-/AOh14Gg8gnEUatjkDSF1o_CO_yYdolbTMnTs5zuftD-sww,"Seguinte: o app é muito legal, divertido e bem instrutivo. Você aprende bastante. Porém, ele tem uns defeitos que tiram um pouco do brilho do app. Ele demora pra abrir, é necessário ter um poço de paciência; ele tem bugs, quando pede a palavra, você coloca o pin na resposta certa, mas o jogo nao reconhece; outra, as propagandas: não consigo sair delas, se aperto no x, pra fechar, o jogo me leva direto ou pro Google ou pra loja. Por favor, arrumem isso, nao estou afim de desinstalar o",4,10,2.2.3,2019-04-13 10:56:08
9,Paulo Sena,https://play-lh.googleusercontent.com/-cup9x5VEOUo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmmyxbxOmWBnjuD1CLiS6ug1a1vmA/photo.jpg,"O jogo é bom, mas tem algumas respostas duvidosas. Por exemplo a velocidade do javali. Na internet eu encontrei 54km/h, o jogo diz que é 70km/h.",3,33,3.0.4,2020-06-17 16:53:22
