,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,•bäby - Bēar•,https://play-lh.googleusercontent.com/a-/AOh14GgyfZfrFiD4A_iJy37j1qVSvnHme05CzEABsDYERw0,"Bomm, esse jogo é ótimo, gráficos lindos é... não para por ai o texto, bom é mas tem gente que não pode comprar essas coisas, tipo diamante é etc, mais recomendo baixar pois, amo muito esse jogo mas vim reclamar de uma coisa, não dá pra entrar na minha conta mais, espero que os administradores possam arrumar isso, por que não dá pra jogar na minha conta... Mas esses texto não vai parando por aí, eu ia entrar na minha conta pelo meu celular né, daí não foi eu estava no level 0.. chorei demais.",5,372,10.0.0,2020-10-19 18:48:48
1,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Fazia tempo que não jogava, e resolvi voltar. Infelizmente perdi minhas moedas, diamantes e restaurantes, enfim, o progresso todo que havia alcançado. Sem problemas, consigo tudo de volta. Estava muito animada, porém não foi tão empolgante como pensei que seria. Para começar o jogo não é mais offline; Os bõtes não funcionam às vezes — na maioria, para ser mais exata; Não consigo ver o valor das melhorias dos reustaurantes; Os anúncios para ganhar moedas se reproduzem mesmo eu não querendo os ver",2,137,10.0.0,2020-10-28 05:28:22
2,ReisGamer732,https://play-lh.googleusercontent.com/a-/AOh14GgGXxO5wO_d2TtYe3UvIXqLA6hWOEeUqwIDHwHCKw,"O jogo só é capaz de jogar se possuir internet, antigamente não tinha isso, isso deixa o jogo bem chato. E conseguir diamantes está muito difícil, tem que gastar rios de moedas no cassino para conseguir pouquíssimos diamantes. Mudem isso!!",1,2,10.0.0,2020-11-08 01:17:22
3,Simone Gonçalves,https://play-lh.googleusercontent.com/-k7_6YqrT_5E/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnvpOcqn4CSkDHNy9NUnZxlwnEsVQ/photo.jpg,"O jogo tinha tudo pra ser perfeito se não fosse aquela roleta ladrona. Você ganha ali uma vez por ano, eu ajuntei 1.000.000 pra poder gastar na roleta pra ver se eu ganhava, mais eu ganhei só uma vez,e ainda foi moedas nem foi diamantes, porque o motivo da gente apostar tudo na roleta é por causa dos diamante porque vc precisa pra poder melhorar a maioria das coisas na cozinha. E é raro você ganhar diamantes💎 😡",3,129,10.0.0,2020-10-28 11:13:57
4,CAROL DIAS,https://play-lh.googleusercontent.com/a-/AOh14GizXVySp8tbJklybSnggvELq5fE_epTdxfhxKAWng,"O iogo é bom,mas ganhar diamantes é muito difícil, você não consegue passar de fase sem diamantes pra melhorar as coisas na cozinha,fica muito difícil de jogar. A pessoa é praticamente forçada a comprar, senão, não vai jogar bem. Tô desinstalando por este motivo. Obs* e as vezes você clica pra entregar ao cliente,ou preparar algo e não funciona. Tem que resolver isso.",1,34,10.0.0,2020-11-06 19:27:06
5,Dayane Freitas,https://play-lh.googleusercontent.com/a-/AOh14GjSNImiiUVKD1MpqOZfFcDbB77qbkv7SMrbswo4kg,"O jogo é bom e divertido, porém a partir da fase 20 é praticamente impossível evoluir, isso porque todas as melhorias começam a depender de diamantes e obtê-las gratuitamente é extremamente difícil 😕 Fica a sugestão para torná-lo menos ""pague pra ganhar""",2,30,10.0.0,2020-11-01 01:46:14
6,eliane santana,https://play-lh.googleusercontent.com/a-/AOh14Gh0zS99mrNubI4m9nz6Kbz7pdqZ77Wax7MNSXtUlg,"Bom jogo, é dinâmico, funciona bem. Avaliado em 2 estrelas e desinstalando por ser um jogo que te ""obriga"" a comprar gemas, pois elas são necessárias para desbloqueio dos restaurantes e para melhorar a jogabilidade.",2,145,10.0.0,2020-10-21 00:45:06
7,Andressa Santos,https://play-lh.googleusercontent.com/a-/AOh14GiG1MQ01E2wUokS9a97S5VN1LeHChLuQZ5vX1cr,"Um jogo muito bom, porem as coisas poderiam ser mais baratas; mas achei muito bom o jogo bem divertido bom para passar um tenpinho então dou 4 estrelas porque a mairia das coisas são muito caras .",4,2,10.0.0,2020-10-31 15:10:21
8,Ana Luísa Alves,https://play-lh.googleusercontent.com/a-/AOh14Gg_pxsnF9NhaJDSL9J5pRObCQtFIQLWOS-LsVXP,"O jogo é muito divertido, e um ótimo passatempo porém, dei quatro 🌟 estrelas por ser muito difícil desbloqueado os outros níveis, precisa de muito dinheirô ( do jogo ) mas o desafio vale muito apena!",4,135,10.0.0,2020-10-20 18:31:55
9,ezequias silva de morais,https://play-lh.googleusercontent.com/-2qi4_qu1wZU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck1RzSxXlZd9-kUjBrMGH0ExZMdhA/photo.jpg,Adorei o jogo é muito bom mesmo quem disse que esse jogo era ruim e travava tenho a solução compra um célula novo meu querido kkkkk é ótimo esse jogo eu vi os comentários dos outros é abaixei pra ver se é verdade é mentira e muito bom abaixe e pra que não gostou do jogo e só cata cocó na feira kkkkk bey bey,5,2,10.0.0,2020-11-01 14:44:32
10,Alberto pereira dias Alberto dias,https://play-lh.googleusercontent.com/-9DvabIcZzYo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclow_NMgnk57Oretphien9uOz87Fw/photo.jpg,O jogo é ótimo pela minha opinião porém se ouvirem reclamações e poucas 5 estrelas de qualquer outro jogo instalem pq a opinião de outras pessoas ñ vai ser igual a de vc por Isso instalem o jogo para saberem como é gente e dem sua opinião ok pois a opinião de vcs é importante para os criadores do jogo para arrumar o jogo ou qualquer outro problema muito obg e ñ juguem o livro pela capa...,5,2,10.0.0,2020-11-01 16:53:45
11,Misael e as aventuras com Deus,https://play-lh.googleusercontent.com/a-/AOh14GhPjZ5IJniIKC2a-A6SSUpNKgMQ4gzYW37MKvlO,"Muito bom divertido, mas podia melhorar o Restaurante Gourmet, Tipo tu não precisar bater no Bacon, e o macarrão, nunca consigo sempre queima, pelo menos as pessoas, podiam vir mais devagar, não rapidamente. Mas é muito legal, e meu amigo também está jogando está com a Padaria, e está muito bom mas podia abaixar o preço das coisas, são muito caras tipo o Restaurante Gourmet eu achei que fosse bom, mas não gostei muito. Mas o jogo é divertido dou cinco estrelas mas podia, ter um prêmio de moeda",5,5,10.0.0,2020-10-30 11:37:44
12,melryn veiga de Andrade,https://play-lh.googleusercontent.com/a-/AOh14Gj4vNgxfD0F9hZrce-wITmCZVOXDi5Cv3keHGDAmw,O jogo em si é muito legal adoro jogar e um pouco difícil mas vale a pena baixar eu recomendo ele não trava não tem como certos jogos aquele excesso de anúncio desde que abaixei não apareceu nenhum anúncio e ótimo com gráficos bons eu recomendo baixar ....,5,1,10.0.0,2020-11-01 15:12:59
13,Hevelyn Noemi,https://play-lh.googleusercontent.com/-kUKlcXeaphY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucklwZPojQkIj1vi0dlFNqy7v-51sw/photo.jpg,esse jogo é muito bom mas muito bom às vezes dá travada mas ele é muito bom e o melhor é que tem vários tipos de níveis de fases muito legal recomendo essa daí para todos os brasileiros para todo mundo eu recomendo esse jogo é muito recomendo vários outros também mas esse é o melhor que eu pude jogar na minha vida 😍,5,3,10.0.0,2020-10-24 00:00:22
14,Cristiana santos Cristiana,https://play-lh.googleusercontent.com/-rupSBpVDtgo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckQpyL4sjdL7u9BAv5Vy_bOCtQziw/photo.jpg,Esse é o melhor jogo que eu já joguei na vida eu jogo esse jogo desde o ano passado e é demais parabéns aos criadores desse jogo que continuem assim e melhore o jogo bastante!Meu nome é Lyvia Maria e tenho 13anos!!!Tchau e obrigada aos criadores e jogadores que valorizam esse jogo incrível e maravilhoso!!!😘,5,0,10.0.0,2020-11-07 09:16:11
15,Bárbara Cristina,https://play-lh.googleusercontent.com/a-/AOh14Gg563_-GH7gyuU6VvPWBfEXRUklk48R6c0rZjJW,"Me apaixonei por este jogo, melhorou ate minhas habilidades na cozinha real, onde eu aproveito todo o tempo no preparo dos alimentos sem deixar queimar e economizando gas... So nao dou 5 estrelas pq em outra oportunidade eu estava com 13 restaurantes e do nada voltou ao inicio do jogo, foi decepcionante!",4,22,10.0.0,2020-10-22 09:53:49
16,Gilsa Souza,https://play-lh.googleusercontent.com/-OwMXDqlkOn8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckhyYeAMXEK5y_nvHvNKsH5_gYPMA/photo.jpg,"O jogo é muito bom mas como eu sou muito devagar o tempo também e muito pouco, aí demoro a passar, as fases. mas estou gostando muito.",5,3,10.0.0,2020-10-25 18:34:39
