,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Otakus não tomam banho,https://play-lh.googleusercontent.com/a-/AOh14Ghrigr3tQvEFSVTdK-Nyud6-YHMixh797dAl_vNjA,"O jogo é legal e tudo mas eu vou falar sobre as energias, bom, quando você vai procurar itens, você gasta um pouco de energia, porque cada coisa achada perde 5 de energia, até as dicas, pelos meu cálculos elas gastam 25 energia, e pior, quando acaba você não pode fazer nada, são 8 minutos para ganhar uma carginha, tipo, eu sei que os desenvolvedores tem que ganhar dinheiro né mas, poderiam ganhar dinheiro com anúncios né? Deixar a gente ver anúncios e ganhar energia, não é uma boa?",3,21,5.1,2020-10-29 09:40:54
1,Juliana Fernandes,https://play-lh.googleusercontent.com/a-/AOh14GhLdD5UPJP7I2Oy75AyiGFH4NX99C3JPhiJLj6Lpg,"Um jogo realmente muito bom! Os gráficos são incríveis, as histórias são envolventes, a gente tem vontade de jogar cada vez mais. Realmente é um pouco chato a questão da energia mas da pra assistir sempre que você quiser um video que da 20 energias, eu nem me incomodei em ficar vendo os videos eu estava muito focada no jogo. Não vejo a hora de sair mais historias!",4,3,5.1,2020-11-04 15:25:08
2,Bárbara Ribeiro,https://play-lh.googleusercontent.com/a-/AOh14Gh_4gMAm52sHJXO0lIoIIozW-saH9czrFHnBBqVRg,Jogo é bem interessante. Porém a energia é gasta muito rápido e para recuperar somente pagando ou esperando quase 10 minutos para receber 1 energia. Tem ações no jogo que vc perde 5 energias.. 10 até. E isso cansa demais... pq se vc fez a missão na metade.. tem q esperar carregar a barrinha que demora horas.. wuando vc volta.. ela volta a cena antes dessa missão e com isso vc perde NOVAMENTE as energias que vc já havia gasto.,3,24,5.1,2020-10-24 05:02:43
3,Ana Paula lima,https://play-lh.googleusercontent.com/a-/AOh14GgdHCMAokmrmZfXo2miEoQYgZ0kNjo89KLSZEdP,"Jogo muito bom. Demora um pouco pra energia encher,mas a quem pode tem a opção de compra. Tem um enredo bem parecido com as histórias da Agatha Christie, e na hora de caçar as pistas tem uns macetes bem interessantes,como objetos dentro de objetos. Bem instigante. Estou gostando muito. Pergunta. Quando chegará o novo capítulo?",5,10,5.1,2020-10-24 14:01:15
4,Jéssica Neto,https://play-lh.googleusercontent.com/a-/AOh14GgxBiGYI6YbFHFGqixtdiQeTyDiCnn2QuEtYMTg2A,"O jogo é fantástico! É pena é a energia gastar-se muito rapidamente e para repor 1 de energia temos que aguardar 8 minutos, sendo que para fazer algum movimento iremos gastar no mínimo 5 a 10 de energia, se não comprarmos energia. Podia ter pelo menos uma forma de arranjar energia de forma gratuita mais rápido ao longo do jogo. É uma pena.",3,41,5.1,2020-10-04 08:09:12
5,Thais Fernandes,https://play-lh.googleusercontent.com/a-/AOh14GhFy0WEoi-1dfFKtt8XLo7eOnl1Kjb18rFzas_M,"O jogo é muito bom mesmo. Interessante e intrigante. O único problema é que a energia caba logo, e não existem quase formas de ganhar energia gratuitamente, ou seja, vc acaba demorando muitos dias para concluir uma missão.",4,0,5.1,2020-10-26 10:38:44
6,Fernanda Souza,https://play-lh.googleusercontent.com/a-/AOh14GjkRM1fgBC5hMc0q5C7KRT5po5FznDE5HQBBghC,"As histórias do jogo são ótimas, porém não é muito bom, o jogo perde energia muito rápido, muitas vezes você repete as tarefas que já fez e tem que fazer de novo, ou seja gastando energia sem necessidade.",2,0,5.1,2020-10-23 23:26:34
7,Leuddy Goncalves,https://play-lh.googleusercontent.com/a-/AOh14Gg84G4fOC4Ir5-CSGyvlybRI22GMisKQCj07YW4gA,"O jogo é interessante. Mais as vidas acabam rápido,para carregar demora. É complicado já que é enigmas e quebra cabeça para ser concluídos,se o total de vida terminam e vc nem chega a concluir a etapa.",2,1,5.1,2020-10-14 12:47:20
8,Diná Barbosa,https://play-lh.googleusercontent.com/a-/AOh14GghxHiVZdVBlqvEHj8HQlUh0gnFNjiHTUv9eFQp8g,"O jogo é bem legal, com uma boa história. Mas pra tudo que for fazer precisa de energia, ela acaba rápido e demora muiiiito pra carregar sozinha (oito minutos pra 1 energia)... A alternativa é ver vídeos mas eles rendem somente 20 pontos que vão bem rápido. Isso irrita e cansa, tanto que vou deletar o app.",3,40,5.1,2020-09-30 12:30:30
9,Ana Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GhCEue66t1Pqh6ahfdRnCu5nWTA63ipaUhTZnk-9A,Excelente! Boa história e bons gráficos! Mas e energia demora muito tempo para recarregar e gasta muito energia para jogar! Além de que tem poucos capítulos disponíveis para jogar!,5,0,5.1,2020-10-30 19:43:03
10,Jacqueline Gomes,https://play-lh.googleusercontent.com/a-/AOh14GhO8NvBH5L4WmCIEIRPReQFA9I68wtMf6UG2iDPeA,"Excelente jogo, mas vc gasta toda energia em 5 minutos de jogo. A empresa te obriga a comprar. Mas não sou trouxa. Prefiro desinstalar o app. Uma pena porque é realmente muito bom.",3,1,5.1,2020-10-22 11:32:10
11,Tais dos Reis,https://play-lh.googleusercontent.com/a-/AOh14GjbPFP5zU4540q3CteohURpb61PMY1AtjLouygCL2Y,"O jogo é mto legal ótima história e jogabilidade o problema é a energia e como é gasta,pouca energia e na hora de procurar os objetos gasta mta energia,cada objeto que acha gasta energia, 200 energia não dá pra fazer quase nada deveria usar energia só na hora de procurar objetos sem falar que demora mto pra recarregar",3,13,5.1,2020-09-28 16:35:18
12,Adejailson Bunya Neres,https://play-lh.googleusercontent.com/a-/AOh14GhE-bFZ7lzARS9cATOdfqXGNCrrmm9EjcElFgfQLA,"Jogo tem ótimos gráfico,história intrigante, o jogo tem uma ótima dinâmica,com as mudanças relacionadas a barra de energia, já foi possível desenvolver bastante a história do jogo, pra mim o melhor do seguimento até agora...",5,17,5.1,2020-10-07 11:00:36
13,Gislaine Souza,https://play-lh.googleusercontent.com/-wH2-PAMFVm8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckDvzi3iNdfClmfhW1zREgMFSMyMA/photo.jpg,"Ótimo jogo! Mas como todos os comentários, o problema está na energia! Parabéns pelas mudanças, assistir vídeo e ganhar energia foi ótimo. Ia tentar o primeiro episódio e desintalar, mas joguei todo. Aguardando o próximo capítulo.Obrigada",5,2,5.1,2020-10-05 06:20:18
14,Maria Fernanda Fonseca Martins,https://play-lh.googleusercontent.com/a-/AOh14GhWwKD_l0rDWPnr9XdsahVTTL5ieJ67jIkK8Wx_,"O jogo e ótimo as imagens incríveis parece que você mesmo esta investigando,mas eu gostaria que a energia não acabasse tão rápido quando a gente joga",3,1,5.1,2020-10-16 11:01:00
15,Lilith D,https://play-lh.googleusercontent.com/-Z2aHmGPhSzg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclRshmExdZIviCqjz6pCrMQ098gpw/photo.jpg,"O jogo é excelente, mas o progresso é muito lento. Chega a ser frustrante o tanto que demora para recarregar as energias.",2,0,5.1,2020-11-01 20:08:20
16,Adriana Oliveira,https://play-lh.googleusercontent.com/-3MlT2J3lQxE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnGE5grc81PS4IOItYwGJtWFzIVRQ/photo.jpg,"Gostei muito do jogo. A estória é muito bem bolada, bons gráficos, mas tem que melhorar na parte da energia... ela acaba muito rápido! É um desestimulo pra jogar...",3,26,5.1,2020-09-18 17:02:35
17,Andressa Pereira Chan e friends,https://play-lh.googleusercontent.com/a-/AOh14GidfzIMgBZNu2-NfbzMA8CxqCpIwgWotbj-3-V1,Esse jogo é muito bom para treinar o cérebro a história te prender;só tem um ponto negativo é a energia que acaba rápido demais.,5,0,5.1,2020-10-26 16:33:42
18,Ana Beatriz,https://play-lh.googleusercontent.com/a-/AOh14GisEJSa-NgQ-xvrWEzXY1v9os3uwa7X3ll0trLH74o,"O jogo é lindo e interessante, mas a energia demora demais pra carregar, mais de um dia inteiro e isso frustra e desanima o jogador, infelizmente é um motivo pra desinstalar.",2,16,5.1,2020-09-18 00:21:53
19,Pandinha,https://play-lh.googleusercontent.com/a-/AOh14GgPI9if1mLG7yg2s3OPCPE20CJR_nQylAZngvwqkA,"Muito bom, mas poderia ter mais energia, no começo ela dura bastante, mas depois n da para quase nada",2,0,5.1,2020-11-02 11:51:39
20,Naruto games,https://play-lh.googleusercontent.com/a-/AOh14Gi_UeZKj1wvOwouxxL--vGbApu9Wtyn_PZ-uI3mhg,"O jogo é ótimo, boa história mas o problema é a energia, ela acaba muito rápido e demora pra recarregar todas as energias. Por favor arrumem isso!!",4,13,5.1,2020-09-25 10:25:25
