,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Liase Stuart Salustiano,https://play-lh.googleusercontent.com/-2ig4fFUb1RU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckrLFjebAFSTuTLjSkUjwJq4am78g/photo.jpg,"Eu ja joguei no computador e até hoje não a um jogo tão bom como esse de carro(tem muita customização no carro a cada upgrade). Enfim um jogo excelente e excelente qualidade,parabéns para o criador(ra).",5,640,1.4.29,2020-10-11 17:47:42
1,† CaRiooCa †,https://play-lh.googleusercontent.com/a-/AOh14GhVYYDe_cQcRhiqO2jYd6PRYL153MkfytePaRMxsg,"O jogo desde a alguns anos joguei muito, já zerei 1 vez... E eu recomendo muito este jogo, aí em 2020 eu volteu a jogar kkkk. Esse jogo é muito da hora, recomendo demais!!",5,500,1.4.29,2020-10-14 17:23:54
2,Draculakill Br,https://play-lh.googleusercontent.com/a-/AOh14Gh0U3VagL1wlxyoISvHH-vy13-4-8dcuvE2Fax4KQ,"O jogo é muito bom, porém uma coisa que me incomoda bastante é o fato do combustível, ele não gasta conforme você vai usando mas sim conforme o tempo. Se você não apertar no botão acelerador depois de ter andado um pouco, o combustível vai gastar da mesma forma e isso também acontece com o turbo, oque acha forçando o jogador a passar mais tempo que o necessário jogando e faz o jogo perder a graça depois de algum tempo. Muito frustrante.",3,90,1.4.26,2020-10-18 09:29:24
3,juarez,https://play-lh.googleusercontent.com/a-/AOh14GgmcUYJNyE_Xm9o1f7VLOqavJaK0MWPTvQiskHr5g,"O jogo em si é muito bom, o que atrapalha são as propagandas principalmente do TIK TOK. Quando acaba a propaganda do mesmo ja entra direto no Google play para efetuar o download contra a vontade do jogador. Ultiliza métodos invasivos forçando a pessoa baixar o App por insistência. Muito inconveniente este Aplicativo chinês 🤨.",3,5,1.4.26,2020-11-03 21:37:15
4,Kauã Henrique Aquiles,https://play-lh.googleusercontent.com/a-/AOh14GgW9LXHAupeN3DNranA6TV4pgopOGHu5Fcz4lMq8g,"O jogo é bem simples, com uma história não muito diferente de outras, mas o que me faz dar 5 estrelas são: as escolhas de caminhos no mapa, tendo varias lugares que se pode ir, o design dos carros, que são bem variados entre si, os vários modos de jogo, prendendo mais o jogador, e também o preço ridiculamente baixo sobre as compras no jogo, que são bem baratas e ajudam muito no jogo. Se eu pudesse, ajudaria com pelo menos alguns trocados pelo jogo dos desenvolvedores.",5,653,1.4.26,2020-09-24 11:07:56
5,Cleber Veturazi,https://play-lh.googleusercontent.com/a-/AOh14GjILcRyZC-IL_oWhCD3FhJy6SFf3F_V9Aenc8qArkw,"SENSACIONAL, excelente jogo, daquelas jogos que dá vontade continuar jogando, passando as fases pra ver como é, nada enjoativo, gráficos excelentes também, não vi nenhum bug, tô gostando muito. Parabéns.",5,0,1.4.26,2020-11-08 21:23:39
6,Giuseppe games vlog,https://play-lh.googleusercontent.com/a-/AOh14Gg6tnwqomRdDi5WtppeYy4c4jaK5a8Z29jNFldI,"Notas: Bom-divertido-radical-irado. Nota escolhida por giuseppe:irado. Gente instala esse jogo ele é de+. O jogo ve sua capacidade de motorista em um Apocalipse zumbi, alem de poder dar upgrades em seu veiculo e dar mais velocidade conforme o carro muda. isso me fez dar esse comentário. Recomendação:instalem o jogo brothers e farão o mesmo comentário q eu. Prometo q não vão se arrepender.",5,995,1.4.26,2020-08-29 09:04:11
7,MAICON -SOBREPOSTO DE PELO-,https://play-lh.googleusercontent.com/a-/AOh14GhodDsO8r5Hkg4OFmTBBIoCfOCNdmCn4E-VnJqh8w,"Muitas, muitas propagadas. Sempre tenho que desligar o wi-fi para poder jogar. Isso pode até trazer dinheiro para os donos do app, porém, com um tempo vai perder a satisfação dos consumidores com esses tipos de detalhe.",3,6,1.4.26,2020-10-18 16:31:35
8,Bianca Wattersom,https://play-lh.googleusercontent.com/a-/AOh14GiEJCANUPrxCL_JhgUB505Hid9XJ87QfBfwzHG-jVg,"Assim, acabei de terminar todas as fases da História. O que eu posso dizer desse jogo, é que ele realmente prende a atenção, simplesmente por despertar uma curiosidade sobre o que vem a seguir. Viciante! Realmente os preços dos ""upgrades"" aumentam demais a cada carro novo. As fazes são um pouco repetitivas mesmo, mas isso não foi o que mais me incomodou. E sim, ter que ver vários anúncios pra poder conseguir mais dinheiro. O jogo é bom.",3,634,1.4.26,2020-09-19 05:14:26
9,João Victor Lopes da Silva João,https://play-lh.googleusercontent.com/a-/AOh14GgJamONScHuGv-1aUNgSPVPRpr8VGcFVtmizugHPQ,Péssimo so pede pra comprar as coisas então deveria ser uma loja on line e não um jogo,1,201,1.4.29,2020-10-21 19:47:21
