,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,sibitrom gamer,https://play-lh.googleusercontent.com/a-/AOh14GhhPGrZQGu4C3vvu_q2s3qkXKkOKjwK6LJ4BWv9,Eu não tenho palavras para descrever quanto o jogo e ruim os criadores abandonarão o jogo nem vale a pena instalar,1,6,2.400.078,2020-10-03 15:46:33
1,You Tube Play,https://play-lh.googleusercontent.com/a-/AOh14GgEvkh51mhd9elzAhqxDA3O3kVoyMzis1R-9w0V,"Tem tudo pra ser um jogo incrível,mas parece q está abandonado pelos administradores faz tempo que desinstalei ( meses) ,e instalei ontem o jogo continua do mesmo jeito,poderia ter auto preenchimento de cor,poderia ter formas para usar,poderia ter tintas diversificadas tipo com glitter,...nossa são muitas ideias,uma pena não melhorarem",2,16,2.400.075,2020-06-30 11:02:43
2,Hevanna Arce,https://play-lh.googleusercontent.com/a-/AOh14GjTyqvyHyIOsloHjsUUGJurMlfOxB6dMKN6ZdRN,"Amo o jogo! Só acho que a lojinha poderia ser mais atraente... mudar o esquema de cores... alguma novidade para comprarmos com as moedas, sei lá... não há nada de novo por lá... E tem a questão do idioma tb.. nas palavras q valem mais moedas, muitas vezes aparecem em Inglês. Pq?",4,5,2.400.073,2020-06-05 14:40:57
3,tio kingui,https://play-lh.googleusercontent.com/a-/AOh14GiBp5WgCb3lGMNUdBsZLMergXgrK6zECT5YKLOR6g,"Otimo jogo,mas pra que te que ter dinheiro pra compra cor?",4,1,2.400.077,2020-07-12 22:51:04
4,Jessica Figliuolo,https://play-lh.googleusercontent.com/a-/AOh14GhgzDRPsjX2DBbGcjp69ZWbeVstWWKdlE46gWRdKWQ,"O jogo é muito bom, mas poderia melhorar. Deveria ter mais variedades de palavras, que se repetem com frequencia e poderia ter a ferramenta do balde de tinta para facilitar na hora de colorir o desenho. Alem disso também seria interessante se tivesse um espaço para praticar. Mas em geral é bem divertido, estou adorando.",3,1,2.400.049,2019-08-08 21:12:46
5,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Adoro o jogo, mas o português é terrível porque é traduzido para português do Brasil e há imensas palavras que não são iguais, nem parecidas o que se torna difícil. Mas no entanto jogo em inglês para conseguir entender, a minha única reclamação maior é o facto de que o jogo está sempre a falhar, por vezes tenho de desinstalar e voltar a instalar porque não entra, fica imenso tempo para entrar e não me deixa jogar.",4,1,2.400.037,2019-05-24 18:39:21
6,Anderson Altino,https://play-lh.googleusercontent.com/a-/AOh14GgJOsy_6Kn1qwJf_Ngp9x1fE05UOVcTNNGvQnD-6xs,"O jogo esta abandonado pela equipe de suporte. Algumas palavras já travaram várias vezes, mesmo tendo escrito tudo certo, e nos obrigando a abandonar os recordes. Além disso, ja indiquei mais de 5 amigos para baixar o programa atraves do meu link, e até hoje nao fui contemplado com a versão sem anuncios insuportáveis. Ja entrei em contato pelo canal disponibilizado pelo app e não adiantou nada. Uma lástima.",1,17,2.400.073,2020-04-29 18:37:44
7,Amanda Santos,https://play-lh.googleusercontent.com/-_L4plGsZbhQ/AAAAAAAAAAI/AAAAAAAAAA4/AMZuuckbGTOQhV-bMsR3M6KiCgpID8b7Tw/photo.jpg,"É bom, mas precisa de melhorias. 1- fica bem mais fácil entrar pelo Facebook para jogar com amigos, mas como não tem nenhuma regra proibindo flerte, fica bem chato receber cantada toda hora dos jogadores aleatórios. 2- as vezes vem um quadrado sem letra em que você escreve a palavra e o jogo simplesmente não reconhece",3,1,2.400.073,2020-04-17 12:30:19
8,Geekonovich,https://play-lh.googleusercontent.com/a-/AOh14GgcmQZtUo20-QkZql1OHeaMvpBOVOp71AEO2v5QMA,"O app é interessante, é possível perder alguns minutos por dia desenhando as tarefas. No entanto o app poderia ter mais alguns pincéis para os participantes poderem demonstrar melhor seu lado artístico.",3,3,2.400.034,2019-01-29 17:36:28
9,Fani Green,https://play-lh.googleusercontent.com/a-/AOh14Gg_bs08abbhBdYJlT8XMFJwldnXs0bkm9Cn2Xf6QQ,"Nao participem do desafio 5 de maio. Ele trava e vc perde tudo que jogou. Cheguei a disputar o ouro e quando faltava somente um desenho para adivinhar, o jogo travou. Quando abri novamente tive que voltar a disputar prata. No 20° desenho (do soldado) o jogo travou. Quando sai, tive que começar tudo novamente, desde o primeiro. Agora o jogo não passa do soldado. Tentei 3 vezes e sempre trava no 20° desenho do soldado. Lixo O desafio das mães também não funciona. Melhor desistir",1,14,2.400.045,2019-05-12 10:59:38
10,Ubirajara Bandeira Jr,https://play-lh.googleusercontent.com/a-/AOh14GgKGLbydUha2a5NeCIVAk41UfVO4ffbsBky9d2Xymk,"Algumas palavras especiais e desafios estão em inglês, quando que a língua nativa dos jogadores é outra e não há aviso nenhum de que serão usadas palavras no idioma inglês. Ou coloquem palavras no idioma nativo somente ou traduza as palavras e desafios para a língua nativa ou coloque um aviso em todas as palavras e desafios usados com o idioma inglês.",1,6,2.400.072,2020-04-01 07:24:44
11,Mr. Furball 69,https://play-lh.googleusercontent.com/a-/AOh14Gi4Cu2uTNrU1axkJhunKu_XwIRJo3f_4JAXLFEH,"Anúncios DEMAIS e muitas vezes de 30 segundos não puláveis. Além disso, eu esperei um anúncio inteiro porque eu queria pegar certa categoria, só para meu desenho bugar e não enviar.",2,7,2.400.069,2020-03-31 10:52:00
12,Adriana Reis Andrade,https://play-lh.googleusercontent.com/a-/AOh14GjBHBfJG8czqoUWOASDeFnTYzkEoDdLUppdPtZOm98,"Deveria ter logo mais opções de cores. As propagandas são bem chatas, e você tem que apertar com gosto nas cores se não... Mas é legal",4,2,2.400.075,2020-06-08 19:53:48
13,Amanda Silva,https://play-lh.googleusercontent.com/-OsYKajzpLnk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclasKmdPM1gIMpSPanCqvleKp7rrQ/photo.jpg,Abre espaço tanto para a pura diversão quanto para os talentosos mostrarem sua arte. Ótimo!,5,0,,2020-08-06 18:33:12
14,Thainá Belinato,https://play-lh.googleusercontent.com/a-/AOh14GisCxaWu2aIZvOu1A4fLz2LDifyExvaTTrKj7rc39Q,"O jogo apesar de bom, contem muito anuncio e a opção de enviar para 5 amigos e desativar não funciona, então nem deveria ter essa opção la. Propaganda enganosa.",3,6,2.400.060,2019-11-03 01:17:36
15,Vanessa Sato,https://play-lh.googleusercontent.com/a-/AOh14GjMGS1nUU3Dpd96Y-0lL7sGTQcFTumR6YA2MNNI5Ko,"Eu tinha uma sequência de 62 com meu namorado. Aí a palavra apareceu totalmente errada para ele, com espaços a mais. Foi um erro do aplicativo. Perdemos a sequência. :(",1,5,2.400.072,2020-04-08 21:26:22
16,Leticia Eismann,https://play-lh.googleusercontent.com/a-/AOh14GiJ37eqPwgXreF4vcoGI98KydKVfdcrC9Xi2JtwWg,"Versão Ilegível . No fb funciona bem, é muito divertido. Mas baixei para Android e as letras estão ilegíveis. Muito bold. Não sei como mudar isso.",3,3,2.400.073,2020-04-17 17:44:35
17,Nidia Araujo de Castro,https://play-lh.googleusercontent.com/a-/AOh14Gj5L7YhW_6ICuJTrIQ8G1XxN6q0q4QjfXhRM5aVjV8,Boa dinâmica e interface. Poderia permitir aumento da tela para desenhar detalhes e ter menos propaganda.,4,0,2.400.073,2020-05-04 10:18:02
18,Luiz Ahumada,https://play-lh.googleusercontent.com/a-/AOh14GjYBoVnFKt6UcKSiePbPxHS6OJqyd76INpxbWYPJpM,"Sinto falta de um botão para eu pegar a cor do desenho. Eu começo a desenhar, aí eu mudo de cor e depois é difícil eu achar novamente a cor que eu usei previamente.",4,8,2.400.072,2020-03-05 08:35:21
19,Fábio Félix,https://play-lh.googleusercontent.com/-0OtQ8LPen2k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnQGYMr_PznjXXoARXx9IYawOmviA/photo.jpg,"Fica uma tela azul e não entra. Tenho um J7 prime, deveria entrar. Baixei e deletei 3 vezes tentando jogar, alterei permissões do app e nada.",1,0,,2020-03-29 20:06:11
20,Larissa Costa,https://play-lh.googleusercontent.com/-3vrZrBcGbk4/AAAAAAAAAAI/AAAAAAAAASE/AMZuucmMiDsbyhAT4bJdf6XH-8Tdqf7ICA/photo.jpg,Minha família e eu estamos nos destraindo um pouco com jogo nessa fase difícil do COVID-19. Ótimo Jogo recomendo!,5,4,2.400.073,2020-04-18 12:58:27
21,Nubia Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14GgvoNxlshJVNjXmnmG5uZ7BgS2v3QGSMNTwWu8Nzg,"Tem um bug com a palavra "" içar"", e vou perder minha sequência de 130 desenhos por causa disso, eles pedem uma palavra de 5 letras sendo q são so 4",2,8,2.400.072,2020-03-17 16:05:59
22,Bruna R.,https://play-lh.googleusercontent.com/a-/AOh14GgLWM0mjZGf0_e0HspF6Oy5aK3eastkizeEFCSvdg,Joguinho legal. Adoro os desafios em ingles. As propagandas são insuportáveis e repetitivas. Assistir o vídeo para ganhar 25 moedas é fake. Nunca dão as 25moedas!,3,0,2.400.072,2020-04-13 22:46:12
