,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,marcos arend,https://play-lh.googleusercontent.com/-bcBp3vjfds0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn0D2Pbvsf9se3LO95C8Chzpq0Gvg/photo.jpg,"O pessoal que pensou que botar propagando num App de criança seria uma boa idéia, meu parabéns... E não venham dizer "" mas precisamos monetizar"". Então não faça um App. Propaganda irrita as crianças e não faz sentido algum, ou quer dizer que meu filho de 3 anos vai virar pra mim e dizer que quer comprar na Magalu. Por favor.",1,348,2.70,2020-11-02 12:27:25
1,Cinthia Ferreira Pinheiro Pereira,https://play-lh.googleusercontent.com/-9_M-6k2LNRU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnPrcyOncUe1RGBCKNYWVRz8psgMA/photo.jpg,"Como pedagoga posso dizer que o jogo desenvolve inúmeras habilidades como coordenação motora, criatividade, curiosidade, concentração, etc. Super colorido, divertido e cheio de opções. Músicas sao fundamentais para o desenvolvimento das crianças...Minha filha amaaaa! Super indico!",5,190,2.70,2020-10-31 19:12:37
2,Darcy Trentini,https://play-lh.googleusercontent.com/a-/AOh14Gg3VjMfAdxsfeGewyNcKPmjJcyT-0u6g9AJDvly,"Logo excelente. Pra ficar 1000 estrelas falta só ser multitouch. Minha filha brinca bastante só que segura com uma mão e tenta jogar com a outra e não funciona. Arrumem só isso e postarei no Instagram dela 3k+ seguidores haha. Sei que é pouco mas o app de vocês é muito bom, só falta isso, quero ajudar do jeito que posso.",4,229,2.70,2020-10-31 13:26:47
3,Jessica da S. Santos,https://play-lh.googleusercontent.com/-zs1A_QPBMqA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm1Jo5Z4cTDJpppkK7jZes6jEDzBg/photo.jpg,"Esse jogo estimula a curiosidade dos pequenos e as suas habilidades manuais. Eu super indico. Minha bebê ama brincar com ele. Eu concordo com o comentário abaixo que deveria reconhecer múltiplo toque, porque minha filha também tenta segurar com uma mao e tocar com outra. Mas isso não impede que ela use, fica só como sugestão de melhoria.",5,86,2.70,2020-11-04 23:51:50
4,Canal da Bibi,https://play-lh.googleusercontent.com/a-/AOh14GjD8wP_Bytd9MeJ0wiM6NMEqhm4R2E5INNYZscKPg,"Gente, é sério que precisa de tudo isso de propaganda em um jogo de criança?? Eu preciso parar de trabalhar a cada 1 minuto pq meu filho não sabe tirar a propaganda! É de mais isso! E ainda por cima um absurdo o valor pra remover! Vamos ter mais empatia com o próximo!!!",1,109,2.70,2020-11-04 07:56:33
5,rosemeire amelia barbosa,https://play-lh.googleusercontent.com/-gSxR6X8SnDU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck9sgbIK-ROa7Da5Fju_pNc21bbjQ/photo.jpg,"Este aplicativo é um fenômeno de maravilhoso! Quando avaliei a primeira vez, só tinha visto o piano. Tem muiiito mais! Tem cálculos, geometria, vogais e etc. Ótimo pra crianças se desenvolverem. Parabéns!",5,129,2.70,2020-10-30 21:20:21
6,rydna layan,https://play-lh.googleusercontent.com/a-/AOh14Gh8BIUbr0UBs8iW9GI4_z2TxmUckq26__xg4t1coA,"Muito bom! Meu filho joga desde 1 aninho de idade e ele desenvolveu muito mais sua coordenação motora e ao brincar, aprende as formas geométricas e os tipos de sons dos animais e dos meios de transportes. Recomendo!",5,206,2.70,2020-10-27 18:42:06
7,EDILEINE CAMPOS,https://play-lh.googleusercontent.com/a-/AOh14GgV8ATQQ4ebHP0xtHATVMlHS0oAgFSRdXFYGw5HNiw,"Excelente Mt bom este jogo, meu filho de 4 anos aprende mt com ele, alfabeto, números, contas e várias outras coisas e o melhor, sem mts anúncios irritantes, eles aparecem mais entre um jogo e outro não atrapalhando a aprendizagem. Vcs estão de parabéns!",5,454,2.70,2020-10-23 19:49:24
8,Juvêncio Augusto Sumaila,https://play-lh.googleusercontent.com/a-/AOh14GiQj0zn3tEtiz71_YY5KddO70ZD0mkG8-LU4cCpOg,"Super sensacional, vocês são muito bons no que fazem. Meus parabéns! Baixem o aplicativo pois é super bom para o desenvolvimento cognitivo das criancas.",5,4,2.70,2020-11-05 10:58:56
9,Ana Francisco,https://play-lh.googleusercontent.com/-s2HR8s0EfpQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckRSWt1Yve0OjrDscxDIYhDRlMbSQ/photo.jpg,Maravilhoso amei esse é o melhor jogo dá play store genete pode baixar que aposto que vocês vão amar e alem de musica tem canções para a gente aprender a tocar tem outros jogos alem de musica tem muitas coisas nesse jogo eu sei que já falei isso mas é o melhor jogo do mundo!!!!!❤❤❤❤,5,2,2.70,2020-11-06 20:08:47
