,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Mauricio Ferrari,https://play-lh.googleusercontent.com/a-/AOh14Ggh5mmK79YZqE_Jb97b2NH405nUqJMbMzb-W9AS2Q,"O jogo é desafiador e bem cheio de pegadinhas. Não tem tradução para português Brasileiro. Sugestão de melhoria: a animação de abertura da Orangenose podia ficar sem som, quando se marca ""sem som"" nas configurações.",5,0,6.4,2020-10-29 08:58:38
1,Bruno Martins,https://play-lh.googleusercontent.com/a-/AOh14Gh5VWcVJLHqJoFQLpUpNnKMt1LoUTuV6b2R7J-34A,"Divertido, não tinha necessidade de ter anúncios obrigatórios. Porém são facilmente dispensados.",4,1,,2020-10-15 03:38:40
2,Dani,https://play-lh.googleusercontent.com/a-/AOh14GhZ4kwC4Uwfo11chqREq-nsyi33r6bxt80_JTD4Nw,"Achei o jogo bem interessante e divertido, mesmo que me faça sentir burro às vezes, eu gosto bastante de como o jogo nos faz usar a criatividade pra solucionar os problemas. Muito bom!",5,4,6.4,2020-08-07 16:04:54
3,Leticia Cristina,https://play-lh.googleusercontent.com/a-/AOh14GiIWlPH_m8IEEIvIhvGhCurnadgAcm3N_gdBTrupw,"O jogo é muito bacana, mas tá com bug. Não consigo assistir vídeo, nem pra passar de fase e nem pra dobrar o número de moedas, tenho que voltar 5 casas sempre que perco os corações, isso é muito chato.",3,36,6.3,2018-10-13 22:22:48
4,Thiago Pimenta,https://play-lh.googleusercontent.com/a-/AOh14Gge-DzUg75e1cGSjgNbgR3Kfns5obBArRuIQGD8ZA,"Jogo bastante interativo, muito criativo e divertido. Acabei de zerar o jogo e foi algo muito bom de se fazer. Parabéns aos desenvolvedores!!!",5,10,6.3,2018-12-13 00:21:52
5,Stephanie D'Ornelas,https://play-lh.googleusercontent.com/a-/AOh14GivC7F6mQ3d00xye0tJqqhd0WHEeexq7fwlqSQrKQ,"Muito divertido! Terminei todas as fases e gostei muito, te faz pensar de maneira criativa. Já quero outros do tipo :)",5,7,6.3,2019-01-14 12:55:48
6,Bruno Rocha,https://play-lh.googleusercontent.com/a-/AOh14GgnfskSzlZjj6RrbToYFySIAmZmhF3-l1uLbQgWBA,É muito bem feito e usa os sensores do smartphone de uma forma ótima nos desafios ou truques. Bem divertido.,5,7,6.4,2019-11-25 23:48:34
7,Alvin Lima,https://play-lh.googleusercontent.com/a-/AOh14GgZg2VYFsofvZOPVJbo5Yh4Uc_SATzh4ru4ebg2,Melhor jogo de raciocinio que ja joguei é muito divertido pois a musica é muito boa apesar de ficar repetindo e repetindo ela não é irritante (ao menos pra mim) tem niveis muito dificeis mas são muito divertidos,5,8,6.4,2020-01-12 21:33:39
8,Daniel Mafra,https://play-lh.googleusercontent.com/a-/AOh14GgfwVXYGuljPGAOuko_VyhLY7bGv08t4YIFmIDntr8,"muito simples, porem muito engracado, alguns até tive que pedir dicas. Bom para passar o tempo.",5,45,6.3,2019-03-17 15:12:53
9,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gente eu baixei esse jogo e dps que eu terminei ele e desisntalei ficaram uns arquivos que não saem do cell. é um jogo bem legal mas eu não recomendo por causa das explicações acima 😊👍,1,103,,2019-03-23 12:30:19
10,TretasPt,https://play-lh.googleusercontent.com/a-/AOh14GighkFMbmbZq6i2rq4yQx4W8IR70dVouLJA_U8,Bom jogo. Infelizmente é curto para um jogo que se baseia em resolver perguntas/enigmas o mais rápido possível.,5,2,6.3,2019-02-01 15:23:23
11,Sara Monteiro,https://play-lh.googleusercontent.com/-56WvQjanQU0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmRsDf1S0TXOMyRHi-57MUkrXmJSw/photo.jpg,"Este jogo é um quebra cabeças altamente, faz-nos mesmo pensar. Há níveis que é mesmo de dar nó ao cérebro. Mas é viciante",5,76,6.3,2018-10-09 08:47:59
12,Lucas Cavalcante,https://play-lh.googleusercontent.com/a-/AOh14GgQ3xIUK0WwLJb0hUnNBl6f3ka9_4-fg83HjnEWsu8,"Jogo desafiador pondo o usuário em diferentes puzzles, dinâmico e divertido como deve ser.",5,1,6.3,2018-10-25 00:52:13
13,Poeira de Jupter,https://play-lh.googleusercontent.com/a-/AOh14GgcgwSEBf1RXjQwMSmG4oDN7e9M2wPFHEC9g3uuxw,"Jogo muito criativo e divertido, às vezes é só pensar fora da caixa pra conseguir passar as fases.",5,31,6.4,2019-11-05 19:49:13
14,franciele souza,https://play-lh.googleusercontent.com/-CUipESqNMek/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclUpOiRpxHdeDJTi5z7DS1tdPNV1w/photo.jpg,"O jogo é mt bom , porém a idéia de voltar sempre q perde os 5 life, cansa e desanima.",3,0,6.4,2020-10-26 22:08:14
15,Brenda Felipi Seidel 2.1.1,https://play-lh.googleusercontent.com/a-/AOh14GiIYi9YPDApktdhB8UKkgR8J8GEC5r-BEZWf7pgww,"Um ótimo jogo, mas as pistas poderiam ser mais baratas.",5,2,6.3,2018-12-13 12:26:16
16,Francisco Grosso,https://play-lh.googleusercontent.com/a-/AOh14Gjv2xCd5Jr3mMFWz4Q2VlRSnEeMc5wJENYpzarq,"Muito divertido, quebra com a lógica normal dos jogos normais",5,1,6.4,2019-11-25 17:29:40
17,Flavio Bolsonaro,https://play-lh.googleusercontent.com/a-/AOh14Gg6ynmet3e2fRG6flShVKwenUK6n99LL6EJ6qEXOg,Jogo desafiante e interessante e divertido de jogar,5,2,6.4,2019-11-15 10:00:05
18,É SÓ Pedal,https://play-lh.googleusercontent.com/-nUFzUIJv5wg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnwYKBxVlWO43VyQmqwDENJC4zTbg/photo.jpg,"Divertido e difícil, para quem gosta de jogos de quebra-cabeça",5,1,,2019-06-21 14:19:00
19,Pikavee PPGxRRB,https://play-lh.googleusercontent.com/a-/AOh14Ghi4quRVc3phHSqi482nDrvWteF_GES-4lwXk3dvA,"é muito difícil, eu sempre fico comprando a dica e a resposta de tão difícil que é!!!! ;-;",2,0,6.3,2019-06-26 14:09:51
20,Tanaka-kun,https://play-lh.googleusercontent.com/a-/AOh14GjBR65LGqkMPGNvHqtxuyOqSrjeyOIJn5qOLtPmEw,"Tô aqui pelas 150 moedas, mas o jogo é realmente excelente!!",5,1,6.3,2018-10-11 14:51:12
21,Pri Lima,https://play-lh.googleusercontent.com/a-/AOh14GgYdXuAIwK6ipxMYBMDVRY8UqPOGu_Rcz1vynNyOQ,"O jogo em si, é ótimo. Mas como está todo em inglês, não consegui jogar. Não sei se tem em Pt/Br, mas eu não achei.",3,38,6.3,2018-10-20 01:03:57
22,Prof. Bianca Magalhães,https://play-lh.googleusercontent.com/a-/AOh14GhTaZ7ufi1sAfv0IvL9PSP3xWdMV9wTpqppwprdhw,"é muito divertido e difícil... faz a pessoa pensar fora da caixa, literalmente",5,0,6.3,2019-03-31 16:35:01
23,André Monteiro,https://play-lh.googleusercontent.com/a-/AOh14GgpAclnMW21Kjg9HZJlUkQcR7oReXO-4U3vGhVZhw,"Excelente logo, é engraçado as formas como cada nível é planeado 😂👌",5,2,6.4,2019-11-10 07:33:43
24,Danillo Barbosa,https://play-lh.googleusercontent.com/a-/AOh14GjWCPG738JCXUkWu24WA9EplyvcK73Zhs_t8Uc4PGY,"Bem empolgante, engraçado e desafiador. Ótimo passatempo.",5,2,6.3,2018-10-18 12:48:57
25,K1HÃ,https://play-lh.googleusercontent.com/a-/AOh14GhdF0OtXnWDMTJgZC4Tl8HOtIk0qbmp7iwBK5mOtg,É bom mas para ser perfeito só falta a tradução em português mas em si o jogo é ótimo,5,3,6.3,2018-11-02 21:53:31
26,Evandro Rafael Saracino,https://play-lh.googleusercontent.com/a-/AOh14Gji4TMj2jqqEhRPHqVg94wl9M-dRDnGV0TObT8TFw,"rápido, mas muito interessante!",5,0,6.3,2019-06-30 22:17:24
27,Lucas Bitencourt,https://play-lh.googleusercontent.com/a-/AOh14GjJjv8NoHeTWbhuMsScHgkJnvkih7SQrquh5RgIhg,"Gostei do jogo bastante, a Orangenose Studio está de parabéns!!!",5,0,6.3,2019-06-10 14:51:47
28,Mariana Guia,https://play-lh.googleusercontent.com/a-/AOh14Gj6FboWAIt62vQYeBhOfC9uyADsgdFzPU5EgtnTXQ,Muito divertido e desafiante! 😊,5,1,6.3,2019-01-09 22:35:37
29,Luki,https://play-lh.googleusercontent.com/a-/AOh14GgfXIY0FavKbeNnQ-_BA62JZa7zEF20psKGslmjJw,"terminei o jogo faltando 14 minutos recomendo para todos, é um ótimo jogo",5,1,6.3,2019-05-24 20:11:58
30,Dornier Stoll,https://play-lh.googleusercontent.com/a-/AOh14GiWIO0YSonGWdlVHIhdt-VCORoBOh7zFmoUIZRzpQ,Desafios bem divertidos e pegadinhas bem elaboradas.,5,0,6.3,2019-07-03 07:15:09
31,Larissa Marques :3,https://play-lh.googleusercontent.com/a-/AOh14Gjm-FBA3HFraD-NuKUTHzWRK9N41nrGDOdQwjNVyw,O jogo é até que legal... Mas depois de um tempo fica sem graça de jogar,4,0,,2019-12-09 12:53:34
32,sla mano :3,https://play-lh.googleusercontent.com/a-/AOh14GhJEufrTps0MvE5GNzWWHKjK3eUy8XoqoizzkKLPg,otimo jogo acabei em 48 minutinhos é rapido e divertido,5,16,6.4,2019-07-17 08:27:52
33,GUTO,https://play-lh.googleusercontent.com/a-/AOh14Gh6QLYW5Xa1B_H_vuZHlGYJyhbfz00sYhwJgi_Syw,oitimo jogo simples e divertido.,5,0,6.3,2019-06-13 21:45:56
34,Mayara Silva,https://play-lh.googleusercontent.com/a-/AOh14GiNFz0P-SP-tRFwhpfkOvhyqsbTDtn8MvKiPVDz5A,Jogo criativo e super interessante. Gostei dos puzzle,5,1,6.3,2019-05-26 16:23:57
35,Cilene Farias,https://play-lh.googleusercontent.com/-4NT0twb9hcQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnK3YMF6ppaHFyfLPYN6_F9eJ2ImA/photo.jpg,"super divertido, esperando o próximo.",5,1,,2019-07-12 19:14:28
36,Julia - Speed Builds,https://play-lh.googleusercontent.com/a-/AOh14GiqAx-NRVjN-T3F1GvYCMZDJVQU128NuOBNcNIVxQ,"Achei um jogo interessante e engraçado, ótimo para passar o tempo! Adorei!!",5,0,6.3,2019-05-30 20:31:32
37,Kate Xavier,https://play-lh.googleusercontent.com/a-/AOh14GgzRyPAa_6P5symVVgQvu8x6uhguGK8mmsQI95D,"Ótimo pra testar, exercitar e estimular o raciocinio",5,1,6.4,2020-01-14 12:23:54
38,Mariana Schneider,https://play-lh.googleusercontent.com/a-/AOh14GikNvD6H1Bi22IHWCwLyw4qam6rcejoefSOCXnvkw,é maravilhoso! muito divertido e viciante😍,5,1,6.3,2019-01-27 14:22:40
39,Lenny Jay,https://play-lh.googleusercontent.com/a-/AOh14GhvSrC_J4RwFkVxdf-iN4A1P6P32zY51mCKB-k9Hw,Genial para trabalhar o raciocínio!,5,0,6.3,2019-04-12 07:23:01
40,Bianca de Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GiLO_YiJo0ATHezpKniaAlLMigJaTzwAzJ_HCSOIw,"Ameino jogo.. jso tem na vlingua inglesa e americana, mas eh mto bom!!!!!",5,1,6.3,2018-11-02 08:51:06
41,Sara Pires,https://play-lh.googleusercontent.com/a-/AOh14GjaZdTqGS4l2UGP0K_nLApxtJKhIRuzByHUKfarpys,Jogo bastante difícil! Mas incansável.,5,0,,2019-08-02 11:25:40
42,Luciano Carvalho,https://play-lh.googleusercontent.com/a-/AOh14GjpWsEbqLT7shLdkpnH-PLYk7DPMP9oRj3QB4pRgQ,Muito divertido e desafiante,5,0,6.3,2019-06-09 22:46:35
43,A Girl,https://play-lh.googleusercontent.com/a-/AOh14GiMcezOxmmuo37uV-yuA_fE7idlnazc2knQQfMaXA,"Muito bom! Estilo Gênio Quis, só q melhor. Quem conseguir zerar sem colar nada parabéns 😂 Recomendo!",5,0,,2018-12-27 20:48:41
44,João Paulo S. Costa,https://play-lh.googleusercontent.com/--8sxFbXOuPQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclO5-OjOF0kb-b3fRiV696dma-Xvw/photo.jpg,ótimo e divertido jogo!,5,0,6.3,2019-06-15 18:10:15
45,Gabriela Araújo,https://play-lh.googleusercontent.com/a-/AOh14Ghm4zyKSGYA4Z8M_Pen3K-uzNQ2T3C-RCO94vglNA,Muito bom simplesmente genial !!,5,0,,2019-08-22 10:07:45
46,Cristiane Matassoli,https://play-lh.googleusercontent.com/a-/AOh14GgR9sTVBM0u7lN4UbpzT1Qts842PshqiP9v7atS_40,"Muito bom, mesmo não sabendo muito inglês da pra jogar. O Google Tradutor tb da uma ajudinha 😄😉",5,0,,2020-04-19 16:53:52
47,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Amei, pois não é repetitivo e tem questões bem criativas",5,2,6.3,2018-11-04 02:48:24
48,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"muito legal, um dos melhores jogos q ja instalei",5,1,6.3,2018-12-31 12:15:33
49,Marcio Nepomuceno,https://play-lh.googleusercontent.com/a-/AOh14GgxcDayKEZ5fy1sp2sjDhwO4oR_rRs5FeKtxg4Lxw,parece muito legal porém não tem a tradução para o português,1,0,,2019-05-18 22:02:17
50,Gonçalo Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14GjXRNycY6sggj0kCA3KByTKo5XFrTx7UcoWPc-P,Muito bom para puxar pela creatividade,5,1,6.3,2019-02-23 23:16:08
51,Diego Santos,https://play-lh.googleusercontent.com/a-/AOh14GgAflBAAeyaB9jB7Br75WEtWr0x2tipWQzKmVFgzg,"Até agora está bem legal, jogo desafiador",5,0,6.4,2019-11-07 10:25:57
52,Sidnei Lourenço,https://play-lh.googleusercontent.com/-qJ5f_juOA1U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclI4INV3n9orSzBIycPIWkNPixYzQ/photo.jpg,"legal,mais só tem em inglês se não fosse por isso não teria desistalado",4,0,,2019-07-02 02:21:37
53,Jiglepaaf,https://play-lh.googleusercontent.com/a-/AOh14Gg8ZVmtaf5wALXtWkk3oeGi7pLAirekuBkKtSv0Ew,Todos me pegam de um jeito... já divulguei para todos os meus amigos,5,0,6.3,2019-04-11 22:19:39
54,zDejavoo,https://play-lh.googleusercontent.com/a-/AOh14Gh_lcw8LxUS_JD4nuQKbba33GH4V28X7KrHigsB1Q,"Gostei de tudo, as perguntas bem legais ,mas o ruins é que é inglês",4,0,6.3,2018-11-06 20:46:14
55,Marcela Motta,https://play-lh.googleusercontent.com/a-/AOh14GgyAt0dpOB52aMWGlBpuR7RXVym2se6z8VDC3jIJrw,Jogo excelente! Exercita o cérebro e faz vc pensar. Amei!,5,1,6.3,2018-11-04 23:04:10
56,mariac berredo,https://play-lh.googleusercontent.com/a-/AOh14GjQ0BQJ3ErFbWUnYj6OJ7uWgQ_pMjvjJZWtEdcQiQ,"não tem em português, o jogo já é difícil...ainda mais em inglês",3,0,,2019-07-18 18:37:26
57,Camila Horvat,https://play-lh.googleusercontent.com/a-/AOh14GjKVGcjUGPP-sG4aJxGLSPiO6exX4PnH5aRIzVIUjY,"amei o jogo, ele te faz pensar "" fora da caixinha""",5,0,6.3,2019-06-22 11:36:56
58,Papai do Gorila,https://play-lh.googleusercontent.com/a-/AOh14Gju2hk5cCoDB4kgzEOZGBvr_ZnnD0kDRBaSThhL,jogo bom! só por favor traduza o jogo para o português,5,1,6.3,2019-06-29 16:33:52
59,Uelkenobi,https://play-lh.googleusercontent.com/a-/AOh14GiseLrqWsik0gp58PQoihKFAPlGOptcnC-xdUHEag,muito bom pena que não ta em português mas ja da pra treinar o inglês,5,1,6.3,2019-04-30 12:00:59
60,Mago da Derrota,https://play-lh.googleusercontent.com/a-/AOh14GhVNAhJUHMcD-kJT0Ch8yn2tbKLCJ28JkqmlV9N-Q,"Muito legal, te obriga a pensar fora da caixa haha show",5,1,6.3,2018-12-25 00:30:15
61,BdOC OC,https://play-lh.googleusercontent.com/a-/AOh14GhSeBkbVLDzpyDjh_riVqwEHxtINRaRuW2AyLN0Xg,é muito bom mas por favor bota uma língua em português,4,1,6.3,2019-03-21 18:59:01
62,Marcio André,https://play-lh.googleusercontent.com/a-/AOh14Gj7YckZPF9eM2vtjsHiCKDfKGsOm8L4G4DaV0Xxpz4,Genial! Mas tô me sentindo muito burro hahaha,5,0,6.3,2019-03-23 19:47:21
63,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gostei muito do jogo e para quem gosta de inglês é muito bom,5,1,6.3,2019-01-12 09:34:44
64,Mayara Ramos,https://play-lh.googleusercontent.com/-t6HoKhtnjHg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucludskLukWRF4yDR6Ozreb3NGPRdA/photo.jpg,"Muito bom, um dos melhores jogos q eu já joguei",5,5,6.3,2018-09-21 13:14:13
65,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Também não sei que mais é possível fazer e que não me é possível estar,5,0,,2018-09-30 13:26:19
66,Joana Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14GhJvepZta-tCsq2Vm45pxIjberiBoSM8_6gutp48Q,"Gosto muito do jogo, é um bom exercício mental",5,1,6.3,2019-03-24 17:53:07
67,Rafael Justa,https://play-lh.googleusercontent.com/a-/AOh14GgYReCujXcwQcO-b-n8B3zNj-oLhk4ckdslRZ2jSg,"Jogo muito bom, te faz pensar fora da caixinha",5,6,6.3,2018-09-15 10:29:28
68,Karolaine Alves,https://play-lh.googleusercontent.com/-MimKbG0EIZA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckJYz24b00Ec9Jz5PMCqfiT9GWkLw/photo.jpg,As respostas são surpreendentes.,5,1,6.3,2018-09-29 14:01:12
69,Walisson Fernandes Dias,https://play-lh.googleusercontent.com/-CUQbOtDGZBg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnKd32L6cXrb1EYtOniwAb-uU-i5g/photo.jpg,"O jogo é feito para pensar,entendeu? ;)",5,1,6.3,2018-10-30 12:17:34
70,Eduardo Fernandes,https://play-lh.googleusercontent.com/a-/AOh14Gi-tBPMBosI6dzsaaqx9PCbOecu5LOZpSkC97C1,Bom. Me dá minhas 500 moedas por dar 5 estrelas no jogo agora,5,3,6.3,2018-10-26 23:43:27
71,Aline Estivalet,https://play-lh.googleusercontent.com/a-/AOh14Gj346toaNHMhcV8DT8Zl1fSHGEfrh44ECvNiuJo8w,Um dos melhores games que já joguei!,5,0,6.3,2019-05-06 01:52:20
72,Mari & Ju,https://play-lh.googleusercontent.com/a-/AOh14GgCKrqBbXt6R28AWWowI68is1wcU9lGi3hZwRM10g,"Sla ele me disse que ia de dar 150 coins, então eu dei 5 estrelas",5,4,6.3,2018-11-04 03:59:22
73,Sílvia Maria,https://play-lh.googleusercontent.com/a-/AOh14Gj2PVC-N-lNcFJmEh9OiA1_1un-3TDBKpDap8w6,Perde ponto por não ter opção de idioma português!,2,6,,2019-04-22 07:12:22
74,Pietro Turci,https://play-lh.googleusercontent.com/a-/AOh14GiWLnrbvIYO10s1yXEUTi3GGYDKudhM3sH3qZMtKw,"Muito bom esse jogo, recomendo muito!",5,0,6.3,2019-03-14 15:52:00
75,Vinicius Correia,https://play-lh.googleusercontent.com/a-/AOh14Ght4r1pNc4pPSfuLxSm_ssbGc-ud2zziqB5CkG8,"Bem legal, faz você pensar bastante.",5,0,6.3,2019-02-26 13:01:34
76,Thor Carneiro,https://play-lh.googleusercontent.com/a-/AOh14Gjul_Wyqf4wgMiJSYwY9o-DGvdGjjS6ndbU2QsuIg,Muito maneiro! Questões bem elaboradas!,5,0,6.3,2019-06-08 14:24:30
77,Jul I Ana,https://play-lh.googleusercontent.com/a-/AOh14GjhzqYTOBq4CPVxNVhIdPOrajd_aWDEeQ9Ia4j-E_g,"amei,pena que o jogo é em inglês",5,0,6.3,2019-07-01 15:40:30
78,Gil Matos,https://play-lh.googleusercontent.com/a-/AOh14GgYi0IwaC1783vf4juFw-lTJ5SkS3G2Alp4fhIQ_w,Adoro o jogo tem muitas rasteiras.,5,0,6.3,2019-05-21 03:40:02
79,Anna Savelovas,https://play-lh.googleusercontent.com/a-/AOh14GhP4B5f8gMv2fd_UVstFekDXigJBDIc0dT7Eotc6w,Passo horas jogando! muito bom!,5,0,6.3,2019-06-04 23:21:27
