,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Alice Rezende ツ,https://play-lh.googleusercontent.com/a-/AOh14Gh2QgTjh-F2U-dIEhmOKpvQ9U3RuH_0Yv2hxaRE4Q,"O jogo é bom só que as coisas são difíceis de conseguir, as figurinhas são tão muito difíceis de conseguir tenho que ficar olhando os anúncios toda hora e as coisas são muito caros eles poderiam parar e diminuir o dinheiro do jogo, Algumas roupas são de dinheiro real e são caras também então eles tem que parar com isso é também não façam hackes com as pessoas eles querem te observar parem com isso por favor. Mais oh jogo é até bom estou dando minha opinião...",4,1351,4.8.3.841,2020-11-03 11:07:04
1,Carol Aloi,https://play-lh.googleusercontent.com/-Q8JNdWV-tj4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnEd-xVgcyu8DIHv17C6KDcFeVPag/photo.jpg,"Eu gosto muito desse jogo ele é demais. Mais tem um jogo dentro desse aplicativo que se chama mini puzzles que ele rouba e eu quero que quem criou esse aplicativo conserte esse erro que quando nós vamos bater algum recorde ele não deixa nós encarchamos a peça que falta, então quero que arrume esse erro. Muito obrigada!!😁😁",5,2333,4.8.3.841,2020-10-27 11:48:45
2,Najayra Barbosa,https://play-lh.googleusercontent.com/a-/AOh14GjvIVQ125M1UAtREhjKYGgqp47SdV6XXPbPpXQtSA,Esse jogo é sensacional. Não tem o que dizer. Eu só queria que a gente tivesse mais sorte nas roletas. As maquiagens deveriam ser mais baratas e também poderíamos ganhar mais diamantes mais rápido e mais fácil também. Eu queria ganhar menos figurinhas repitidas. E mais opções de pelos.,5,2721,4.8.3.841,2020-10-24 13:46:13
3,Ayume -chan,https://play-lh.googleusercontent.com/a-/AOh14Gi75KkyAMrl7bC6l4zsIdDoCz6tj6mlZRswJ98-,"Esse jogo é otimo!Sem palavras para esse jogo gosto de mais,porem tem umas coisas bem ruins,por exemplo,poderia ganhar diamantes mais facilmente e mais rapido,e tbm deveria ser mais barato as maquiagens,mais fora isso,os graficos são incriveis e a jogabilidade tbm!eu ia dar 5 estrelas,mas,por causa disso vou dar quatro 👁👄👁👍",4,1531,4.8.3.841,2020-10-31 14:46:36
4,Maria Clara,https://play-lh.googleusercontent.com/-r7Ti-zNeKDM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnWpvpjyJ_g8uFM3FCo1Ug_JaTPdg/photo.jpg,"Esse jogo é muito bom! Mais o problema é que só tem joguinho pra ganhar moedas e a pista de dança😔.Na minha opinião podia ter piscina, e carros para andar visitar os amigos e ter como namorar, mais com o tom é claro, e ter como digitar o que agente quer falar! E também eu queria que a Ângela para de ficar imitando o que eu falo, tinha que ter a opição dela responder o que agente pergunta! E podia aumentar as roupas e aumentar as idades, e assim que ela envelhecer as rugas aparecerem, foi isso❣",3,624,4.8.3.841,2020-10-28 13:20:22
5,Diana sousa,https://play-lh.googleusercontent.com/-YVhxBxAFujc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl8auI39CVuJVh9tJ_YuKI9x0MTsQ/photo.jpg,O jogo é muito muito bom mas a questão é que para comprar as roupas precisa de muito dinheiro e até disso pois quem é pobre não conseguepoderia melhorar um pouco porque quase todas as roupas tem que desbloquear e vocês poderiam colocar o preço da roupa igual a gente ganha para isso é maravilhoso parabéns vocês fizeram melhores também um beijão e que essa pandemia não ganhar atacar vocês Deus está,3,337,4.8.3.841,2020-11-06 18:39:43
6,Daniely Saraiva,https://play-lh.googleusercontent.com/-fEDNHL1v4Z4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckl5th9arnjjmf9Li4dkNXfXfovNg/photo.jpg,"Gosto muito desse jogo é muito bom só que poderia melhorar algumas coisas como o preço das maquiagens ,conseguir menos figurinhas repetidas , e ter mais espaso no álbum de fotos é só isso mesmo que eu quero que vcs melhorem o resto é tudo bom porisso eu vou dar 4 estrelas 😊😉😙",4,276,4.8.3.841,2020-11-04 10:56:29
7,yasmim silva,https://play-lh.googleusercontent.com/-UtROmGxvq9s/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucksh6zhMNrJHAp0GkrAnergK2ymUQ/photo.jpg,"Esse jogo é muito oi legal já comprei muitas coisas mais o que é chato é que tem roupa que tem que pagar , tem muitos anúncios e trava pra caramba ,também é muito difícil pegar figurinhas e eu nem acabei um álbum e já me dão outro mais esse jogo é muito legal eu adorei gostei muito mesmo só que também é muito comprar as poções eu até hoje não consegui a minha ANGELA tem 36 anos vê se é possível é não consegui comprar a poção de bebê mais é legal o jogo eu acho que teria que consertar só isso 😊",4,384,4.8.3.841,2020-11-06 12:36:07
8,Leandro Alexadre De Castro,https://play-lh.googleusercontent.com/-VGI6Kawg5Dk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclhJ3DTU_ApPOuyHhtfV66ilPvBCA/photo.jpg,"Bom eu atualizei o jogo e não teve mudanças, e eu tinha chegado a níveis altos e desinstalei sem querer e quando voltei ela não era mais adulta e voltou ao nível 1 e deveria ter mais mini games e no de quebra cabeça e quando a pessa fica em sima no lado direito parece que da um bug e não tem como mecher mais deveria ter mais escolhas para loks,maquiaguem,etc.",3,861,4.8.3.841,2020-10-23 13:26:56
9,Valtenir Soares,https://play-lh.googleusercontent.com/-sbZQEqqp7-o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl6y2QpvwsrtPmeuqf7--Wlhb9WXg/photo.jpg,"Muito bom mas deveria melhorar algumas coisas como: todo e vento que tem um álbum as figurinhas poderia ser compradas por que mto difícil de conseguir figurinhas que vc n tem do tal evento, a Ângela poderia ficar mas tempo acordada, poderia ter mais espaço no álbum de figurinhas, e as coisas poderiam ser mais baratas , tirando isso o jogo é bom thauuuuuuuuuu bjs😸😸😸😸😸😸😸😸",4,363,4.8.3.841,2020-11-02 10:12:18
