,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Vini Koda,https://play-lh.googleusercontent.com/a-/AOh14GiaCgfnm4YuBtEMU7teFRlwLKUkIR9HNqdXMzfb,"O jogo e otimo, para mim, um dos melhores jogos de bichinho virtual. Mas deveriam melhorar so uma coisa: O Tom cansa muito rapido, porem para compensar ele recupera a energia rapido tambem. Entao deveriam colocar mais tempo para os dois, ou deixar mais realista, o tom dorme por 24 minutos, considerando que sao horas no jogo, e 8 minutos acordado, tambem considerando horas. Fora isso, e um jogo bom.",4,547,6.1.3.869,2020-11-04 10:49:09
1,Gerlane santos Bernardo,https://play-lh.googleusercontent.com/-Pf7eokQgpTc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckCPUcjIxEQMfzDD9NRP9-Nj7Jtww/photo.jpg,"Tem gente que fala muito dos anúncios, porém eles são necessários para cobrir os gastos do jogo , então se não tiver anúncios não tem jogo, vocês deveriam compreender, sei que é estressante ter que a todo momento ver um anúncio, mas também temos que entender, pra mim o jogo é excelente, magnífico, não tem jogo igual a esse , jogo desde criança e a vontade de jogar "" Meu Talking Tom "" nunca acaba melhor jogo!!!❤❤❤ Amo vocês e parabéns pelo jogo 😍😍😍❤️😍",5,1063,6.1.3.869,2020-10-30 07:52:24
2,Sebastião Hoffmann,https://play-lh.googleusercontent.com/-uWZ2aXzctpg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmHet2cN4vnfYRITCOqpZvt3ldQ4w/photo.jpg,Olha eu tenho há muitos anos. Esse. Jogo tinha seis anos de idade eu sempre pedia o celular da minha mãe para mim jogar eu amo esse jogo mas tive que desinstalar por um tempo celular do meu pai tá ficando com problema minha nota é 10 eu amo demais esse jogo 😍 e hoje eu jogo esse jogo com muita alegria e amor criador do Tom eu adorei esse jogo que você tenha muitos anos de vida e você foi um gênio ter criado esse jogo,1,1209,6.1.3.869,2020-10-22 15:55:45
3,Eduardasouza Souza,https://play-lh.googleusercontent.com/-TWkukBiFQt8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckdsiOllrRyO3Fz-YqikUjLJXVm_g/photo.jpg,"Ele e muito bom distrai bastante mas eu queria que tivesse pouco MB,tem muito mas comparando ele com a Ângela ele e ⭐⭐⭐⭐⭐ estrelas,o meu problema e do tom,as últimas atualizações dos jogos tom amigos e que agora ele tem liquidificador e falta só o tom 1.Espero que agora ele pode fazer sucos com o liquidificador 😋 coloquem o liquidificador no jogo.😊😊ELE E MUITO BOM, PARABÉNS.👏👏❤️",5,731,6.1.3.869,2020-10-30 17:24:53
4,Pedro Leonardo S2,https://play-lh.googleusercontent.com/a-/AOh14Giyq8gQ1ggjJQ6-G4L8s6tvLo-m2lXnNA1LoKPICg,"Vcs podiam ter uma aba na configurações assim: fazer login pelo Google ou pelo Facebook, para ninguém perder o progresso, e tbm eu jogava pelo tablet, agora eu jogo pelo celular e queira logar na conta do tablet, pq eu tinha todas as roupas, e começar tudo no zero vai ser difícil.",4,202,6.1.3.869,2020-11-04 13:03:16
5,Kawana Machado Paiva,https://play-lh.googleusercontent.com/a-/AOh14GiqK2yN2vrztbWHptKCuBWDQRFhkoAjQsNRJQgtysM,"É realmente cativante, nele você pode interagir com o gatinho,você pode jogar outros minigames gratuitamente dentro do jogo. Você evolui e pode personalizar os cômodos e a roupinha do gatinho ao seu gosto. Esplêndido ❤️😻",5,238,6.1.3.869,2020-11-01 14:52:19
6,Gustavo Silveira,https://play-lh.googleusercontent.com/-KmYYE-uVkFw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnnJ08QYTg_7elZjL3L2bFXjg_fGw/photo.jpg,"Para falar a verdade, melhor jogo que já joguei até hoje, aí vcs me perguntam, então pq botou 3 estrelas? Pq tem um milhão de anúncios, é um atrás do outro, vc n consegue jogar em paz, isso eh horrível! Sempre quando acaba um minigame vem um anúncio, da muita raiva, sem paciência, atrapalha totalmente a jogabilidade do game, aí vc tem que gastar dinheiro com o jogo para poder tirar o anúncio, ah faça meu favor! Mas os gráficos são incríveis, nota 3.",3,1488,6.1.0.853,2020-10-13 20:16:54
7,Tassiane Nely,https://play-lh.googleusercontent.com/-fgv2-qLaHiM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnvSoyLcajpF6K2xWXtTB19l_ex2Q/photo.jpg,Esse aplicativo é muito bom maravilhoso Pode instalar Com certeza você vai adorar ele não trava mas o seu celular foi muito velho ele trava Mas se for um novo é muito bom pode confiar tá Qualquer coisa se não der certo com seu celular comente aqui no meu comentário Pode instalar Com certeza ele é muito ótimo obrigada a todos,5,118,6.1.3.869,2020-11-03 11:49:32
8,Poli Meireles,https://play-lh.googleusercontent.com/-LLE6rHCvo1k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn1HmoouC5XmuRP75kiO7sOm4Et9g/photo.jpg,"Jogo legal, Mas demora muito para ele dormir e carregar a bateria. Na minha opinião vc poderia assistir um video para ele ter mais energia. Tipo mais 60% de energia e vc não esperava tanto assim.",4,7,6.1.3.869,2020-11-04 13:10:01
9,Lorenna Caovila de gouveia,https://play-lh.googleusercontent.com/-ksZvhGCJJOo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmoA9k1fwAf3O9JewaK2o3r6dAD7g/photo.jpg,E legal o jogo se bê! Que a minha opinião e nada cada um tem a sua mais a minha e que esse jogo e legal mais como eu não gosto de ter que esperar outros bais e por isso que que eu dei quatro estrela então DANESSE,4,7,6.1.3.869,2020-11-05 21:40:32
