,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Manu Games & Toys,https://play-lh.googleusercontent.com/a-/AOh14Gh_5bh52ZxV3z06mYLoigdmONZOvm3VTl-WENob9A,"O jogo é muito bom e muito legal, claro, mas quando você vai girar a roleta que dá para conseguir personagens, ou tem um evento especial e você compra as cartas da sorte, o jogo tem um jeito de você não conseguir o personagem! E nos outros jogos também como Talking Angela, você não consegue! Por isso que dei quatro estrelas. Digo que vocês melhorem isso e abaixam o preço das coisas, os pais e youtubers ficam muito preocupados, como o Peter Toys. E os meus pais também! Por Favor melhorem isso!",4,586,4.6.0.720,2020-10-11 09:03:52
1,Claudio Junior,https://play-lh.googleusercontent.com/-9k6pCn9GEEA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckY1AZA8W5RtC8-hKj_BSiZTfIDFw/photo.jpg,"Algumas pessoas acham que é uma copia de subway surf, e por isso não jogam, eu também acho os dois jogos parecidos mas só porque são jogos parecidos você não deve parar de jogar, ele é um jogo muito bom e com um grafico bem bonito, fluido e fofinho, gosto desse jogo e por isso recomendo ele, espero que isso faça alguém encontrar um novo jogo favorito,mas se você não gosta dele ou acha ele uma copia, tudo bem, respeito sua opinião. Obrigado por ter paciencia de ler isso. beijos e abraços de: ???",5,2072,4.7.0.766,2020-10-22 18:49:40
2,Melissa Gomes,https://play-lh.googleusercontent.com/a-/AOh14GjBzfhS2aTXrwIkwgShnxV4xkL_ptcTNqDj1NeOYg,"Ele é o melhor jogo de corrida do mundo! Mas só é difícil de receber diamantes, mas tirando isso é o melhor, ótima jogabilidade! Super recomendo!Só não gostei nem um pouco do evento de Halloween, pq só tem os personagens meninos ( Tom Múmia e Ben Zumbi) mais não tem uma menina e um menino como sempre, queria muito a Ângela Bruxinha no evento, por favor.",5,1846,4.7.0.766,2020-10-26 11:16:52
3,BS Wermeson show 10,https://play-lh.googleusercontent.com/-n4odw-65ALo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckW4tlI23_ZJmjOebuAkQaIIpOOfQ/photo.jpg,"O jogo e muito bom, não e uma cópia de subway surfs e até melhor os gráficos,a equipe sonora e as fases que tem são muitos bons eu acabei de instalar o jogo, os personagens são muitos bonitos e a skill eu já comprei uma a do (tom mumia) o jogo em si e muito bom mesmo espero que algumas pessoas jogem esse jogo e no meio da cidade tem várias fases novas e pra vc subir de fase vc tem que consertar a sua casa para ir pra outras ,obg se vc leu até aqui deus te abençoe,muito obg por ler esse comentár",5,497,4.7.0.766,2020-11-01 15:10:58
4,Amanda Vieira,https://play-lh.googleusercontent.com/-g25HISaJPJY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnlES7REfqYPqvbGyOmyjYMIi70sQ/photo.jpg,Muito bom legal um jogo muito divertido para passar o tempo quando não tem nada para fazer nessa quarentena Quem criou esse jogo está de parabéns mas gente é muito difícil conseguir diamante só tem esse problema às vezes demora abre os cofres Às vezes a gente não consegue montar a casa porque falta diamante né aí fica muito difícil mas tirando o jogo é muito bom legal divertido tem muitos lugares muitos Legal tem muita casa legal para construir Então é isso e eu quero dizer o meu comentário aqui,5,2,4.7.0.766,2020-11-07 22:56:07
5,Haru TM,https://play-lh.googleusercontent.com/a-/AOh14GhkqTcVNV3g-nZgZRigoj-AK41Tziu5rmHOG5UT,"Joguei esse jogo desde o lançamento e depois parei de jogar,agora eu voltei a jogar e achei jogo muito pay to win e tbm com muitos anúncios,a internet não funciona nada,não tem nada a ver,muita coisa pra comprar com dinheiro real sendo que no começo do jogo podia pegar tudo com as barras normais,se o desenvolvedor puder fazer um jogo menos pay to win, agradeceria muito :(",3,157,4.7.0.766,2020-11-05 22:10:51
6,Suélen Souza,https://play-lh.googleusercontent.com/a-/AOh14GgQy10Q6mErQFd6jWWa0d-KSpOZ313JZcKYxmuukg,"Adoro o jogo! E o que se faz quando já passei todas as fases e já construí tudo?!? Termina o jogo? não tem continuação? Deveria ter como reiniciar o jogo do zero, mas sem perder o ouro e diamantes acumulados. Pq depois de todas as fases, acumulei bastante coisa. Desinstalei e baixei d novo pra jogar. Mas o q eu tinha acumulado não valeu pra nada. E não era pouco.😞😏🤷",5,928,4.6.0.720,2020-09-17 22:06:05
7,Helen Gamer,https://play-lh.googleusercontent.com/a-/AOh14GgDiSKoKG0Lsk62PXTqhMxanTTcQs1cLBIQKjUyUQ,"Eu amo esse joguinho!!! Ele sempre foi muito bom, os mapas são ótimos, os gráficos nem sei explicar! Mais, depois do mapa do ginger fazendeiro, nn tem mais, e parece que fala que tá construindo, eu tenho uma ideia pra vcs: podem fazer um mapa pros personagens pagos! Tipo o castelo da Ângela rainha, a rua assombrada da Ângela bruxinha. Espero ter ajudado!",5,1175,4.7.0.766,2020-10-25 11:04:39
8,Eliziany Gomes,https://play-lh.googleusercontent.com/-ur4QBQ83a3c/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn9Zy09a1C160NIPg-RPPUuFAqBFw/photo.jpg,"O jogo é muito bom,mas é muito nada ver! Tipo quando eu pego um cofre demora mais ou menos 5 horas para abrir sendo que o cofre foi recuperado de mim o mais óbvio é que eu saiba a senha a menos que eu que roubei do ladrão!Mas...o jogo em si é muito bom.",5,1,4.7.0.766,2020-11-08 14:40:18
9,Bia,https://play-lh.googleusercontent.com/a-/AOh14GhRjwk7_xzEQnWBJVXgePERSX-h6Ocf6f_lKt9Fkg,"Jogo ótimo recomendo! Como jogar: você entra no jogo, clica em iniciar, dai vai aparecer um ladrão roubando tudo, você aperta onde o ladrão está indo, não é impossível! E se você quiser fazer uma corrida aperta naquela bandeirinha ao lado da tela. Quem fala que esse jogo é ruim é quem não sabe jogar! Super recomendo!! Obrigada pela compreensão",5,3813,4.6.1.742,2020-09-27 07:34:41
