,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Nyceli Cristiane,https://play-lh.googleusercontent.com/-t46Iv_tGoO8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmkok8AAy1SbCi5FPYNxehIgreicg/photo.jpg,"Oq adianta vcs fazerem um se ele não abre só fica a tela preta, se não é pra abrir ou funcionar tirem ele daqui ou concertem esse defeito. Costumo jogar jogos da empresa de vcs e são ótimos sem problemas mais esse jogo de vcs ta uma verdadeira vergonha estou desinstalando imediatamente quando arrumarem isso volto a instalar",1,19,3.8,2020-11-04 10:33:28
1,Marcio Lucas Lino Reis Lucas,https://play-lh.googleusercontent.com/a-/AOh14Gj1kfZEPSqnBRbk_dRyg0ZnVIfpt7Z7j7nwrfSDpg,"Não entendi, vocês fizeram uma atualização e o jogo não abre mais, prá mim era um dos melhores simuladores, já desistalei e instalei várias vezes e o jogo não abre mais, arrumem isso pôr favor aí eu volto a dar 5 estrelas, deu certo agora sim kkkkk 5 estrelas, obrigado",5,126,3.8,2020-09-27 18:50:37
2,Vinicius Ferreira,https://play-lh.googleusercontent.com/a-/AOh14GiaqhDlBon9vWSq2LK4Bg5cZ07GvHlbdd0b1YPanA,"Gostava muito desse jogo, agora com a atualização eu não consigo mais jogar por que fica só numa tela preta, e não adianta limpar a cache do jogo! Arrumem isso por favor.",1,58,3.8,2020-10-11 11:13:59
3,samu 333,https://play-lh.googleusercontent.com/a-/AOh14GhIfRjt1H5XQCp8uGP1p-Z6bwdU2arFO3bScSZVZA,Os controles são muito bons tem muito controle e eu gosto disso parece realmente dirigindo mais os gráficos são bons só acho que presisam adicionar mais coisas no mapa como árvores mais detalhes.,4,34,3.8,2020-10-01 13:07:23
4,Vanderlucio Soares,https://play-lh.googleusercontent.com/-AarKmX_yBuE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl1vYkvJ36kLiLwORTxgbk-Jp-tYQ/photo.jpg,O q está acontecendo o jogo não abre mais depois do bus 2017 o original não funciona mais não abre mais a tela pode até ser uma jogada de marketing de vcs mas não foi legal não,1,7,3.8,2020-10-18 10:53:17
5,Tiagoferreirapereira Pereira,https://play-lh.googleusercontent.com/-F6YSgoSRV0U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclxZaeZgDp1ZiBhQb8fRdZtw4J95Q/photo.jpg,Autima atualização que vocês Fizerao ó jogar não abre mais pra mim Resolva este poprema Jogor...fussionva.normaumente..OKvocês tem que consertar o jogo depois que vocês fizeram a última atualização o jogo não abre mais para mim o jogo a Bia novamente agora,4,3,3.8,2020-10-24 18:49:45
6,Rita de kassia Pereira da silva,https://play-lh.googleusercontent.com/-8sedMTyOqcU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckHZvzMgDlgIEnd2wcN8y8f7sJJgA/photo.jpg,Gente quero fazer uma pergunta no celular de vcs quando entra no jogo a tela fica preta e demora e nem entra????,1,0,3.8,2020-11-07 09:44:19
7,Rogério Soares,https://play-lh.googleusercontent.com/a-/AOh14GhTwOosuYb-zcgTweCtfx7XpSseXGhtZnRjZXbJbA,Para mim um dos melhores simuladores de ônibus. Gostaria que existissem mais opções de lugares.,4,6,3.8,2020-10-22 13:53:52
8,Eduardo Carneiro,https://play-lh.googleusercontent.com/a-/AOh14GhsPyiEd7Pcxaw_Ty3v3QBjCOqYgJdqIvUj5NLp,um dos melhores jogos de simulador que eu já joguei só que ágora ele não abre fica em tela preta!ajeitem isso!,2,2,3.8,2020-10-30 19:14:19
9,Gustavo Dossantos,https://play-lh.googleusercontent.com/-5KLcjK_Z8M0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm3rJpfgfK_mtd-mHTlVFKZcfzFrQ/photo.jpg,"Oloko esse jogo era muito bom, agora que fizeram a atualização ele n abre mais, é uma pena pq o jogo era MT bom, podia até deixa a antiga pelo menos o jogo abria",4,0,3.8,2020-11-09 02:32:06
