,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Ana Maria Souza,https://play-lh.googleusercontent.com/-aIP7iA_lolo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclOp3fa2QladoNbvlZlil9LH4hH3Q/photo.jpg,"Os jogos estão ruins, está sendo muito manipulado, avezes pra um bônus temos que jogar o jogo escolhido por vocês, jogos ruins quê não paga nada so come os créditos quê temos.,roleta pula,spins não paga direto, estão manipulado muito já está ficando visíveis., também não gosto dos jogos que vocês colocam para que possamos pegar bônus.voces estão tirando muito bônus e forçando alguns jogos.",5,95,3.70,2020-11-04 18:49:52
1,Antoniomarcio Dosantosrocga,https://play-lh.googleusercontent.com/-fS5TikHbKrU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmwo-zSoXf7tzAb_MqIn5oUOzsI9A/photo.jpg,"O jogo não é tão bom, no começo o jogo é muito bom, mais depois você fica sem dinheiro, sem ficha ,você tem que comprar mais fichas.",2,8,3.69,2020-10-23 14:51:54
2,Lucas Silva,https://play-lh.googleusercontent.com/-8KoLClUUJ2Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclG-xkm-c5kCZzkSyc24oDRFaAgJQ/photo.jpg,"Poderia subir mais rápido o level, fora que ah gente perde mais q ganha.",4,4,3.69,2020-10-29 03:23:52
3,Detlev Walter S Neto,https://play-lh.googleusercontent.com/a-/AOh14GiuptepLXoQVxAJHlEM1ph6JEsAOTXemeKE_paO,"Oxi, um dos piores que já joguei.. totalmente voltado a compras no app.. não serve para lazer e diversão, quanto mais gastos no app..",1,2,3.69,2020-10-28 11:34:49
4,Rossana Lima,https://play-lh.googleusercontent.com/--6PN49Y_u1I/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnZqGdlO1MwIUm_kgz-6lBCWZSdaQ/photo.jpg,Nenhum App é tão sensacional. Possui Magnificos Jogos. Perfeitos. Sensacional. Tudo é maravilhoso 💖💖💖💖💖💖💖💖💖💝💝💝💝💝💝💝💝💝,5,98,3.70,2020-11-05 19:42:40
5,Rodrigo Seidel,https://play-lh.googleusercontent.com/-nBM26ET8d3o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn_Jo6oVZOa_kCrmICDOld_mXWPCQ/photo.jpg,"Pior jogo de caça níqueis que já vi. Vc nunca ganha nada , só perde. Não instalem esse jogo...existe outros muito melhores",1,10,3.67,2020-10-01 20:24:33
6,noemia gandra,https://play-lh.googleusercontent.com/-7ZzPVgaps5U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucljTeG4GJlgVJ5ng69x3GQOVjnUtw/photo.jpg,"Estou decionada por estar jogos todos fechados , gostava de os jogar espero a vossa compreenção obrigada",5,0,3.69,2020-10-29 21:42:55
7,Só alegria,https://play-lh.googleusercontent.com/a-/AOh14Ghc24n8eqGvqrgyRxhI7s8IeDK9xNwBXVBj6ztUpw,Não baixem jogo muito manipulado só se extressa e perde tempo com esse jogo de ladrão,1,30,3.69,2020-11-01 06:39:09
8,Mariane Savioli,https://play-lh.googleusercontent.com/a-/AOh14GgEKWbXEBdvHPooliNyqnb7dYKi07UL6GVUXWYQ2CY,Não tenho acesso ao HoF Album??? Por que eu não tenho os eventos e o Álbum? O que preciso para ter?,5,6,3.66,2020-09-21 14:59:33
9,Hércules França,https://play-lh.googleusercontent.com/-5L7eUz1yLYQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckMxmNxlcw_pEXZXDHXqvd-eEBLTQ/photo.jpg,Bom bom bom eselente mano amei ainda tô analisando se vai mim ajudar a ganhar ouro pra mim trocar né diamantes no FF olha que legal MN e acabei viciando no jogo também 😆😅,5,0,3.69,2020-10-27 12:27:42
10,Ubiracy Goncalves,https://play-lh.googleusercontent.com/a-/AOh14GjJMsE2bZVGWEMDf2qt_Hm8JC69ei8y7lxxd1H_mg,Promete 100 jogadas grátis e não dá!! Alem de que não solta prêmios. O objetivo e fazer gastar sem pagar prêmios. Não informa se resgata e como resgatar prêmios... Caso exista.,1,90,3.60,2020-06-18 16:16:18
11,Cátia Dias,https://play-lh.googleusercontent.com/a-/AOh14GhdE6g6mV5BgDBmWpQLunM_grlvFMRqT0AmDuHoJA,"Gosto muito do jogo porém, dificultou as tarefas diárias, tornando o jogo chato. Vou esperar um pouco e quem sabe desinstalar.",3,24,3.59,2020-06-10 02:16:49
12,Luis Santos,https://play-lh.googleusercontent.com/-muxvChWMiio/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck61fsbF6LMraARqdltch_1ZB7NzA/photo.jpg,"Ótimo jogo de slotmachine, muitos jogos diferentes, muito viciante !!",5,57,3.62,2020-07-24 12:04:40
13,Regis rep Silva,https://play-lh.googleusercontent.com/-vgj5Sus3_-Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclGh6SyTXxJPNa0xIKhRgyLSoWujQ/photo.jpg,Esse APP indico a qualquer usuário. Passa tempo maravilhoso pra essa Pandemia.,5,13,3.60,2020-06-25 06:48:24
14,manuel Pereira,https://play-lh.googleusercontent.com/a-/AOh14GiKvgvlBn0yiKu_zzmIe5416pvImDGmdrNkPUW8Gw,mas que grande pinta de jogo é mesmo espectacular,5,0,3.68,2020-10-18 13:59:06
15,Nordestina Com orgulho,https://play-lh.googleusercontent.com/a-/AOh14Gjhu53EOTc7R45n9nBmNt2eU7gALPjkLVbM4JZgdns,Muito bom . Pena que eu fico sem moedas rápido.,5,6,3.63,2020-08-07 09:39:30
16,José Joaquim,https://play-lh.googleusercontent.com/-ImAvlqGwKy0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmWUN8NwBegiV5b_qZI1HVH0StYFw/photo.jpg,"Se fosse de verdade que ganhava valia 5 estrela,mas como não ganha nada também não vale 5,mas que vender pacote,e fazer comercial que alguém ganhou, merece um zero,",2,19,3.61,2020-07-14 16:21:50
17,Vera Lucia,https://play-lh.googleusercontent.com/-2HdZeRT_z-w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnNK79Xq0d8H3q0YlZ5_3155y7CsQ/photo.jpg,"Gosto muito, mas não tenho recebido free coins! Bom!",5,17,3.62,2020-07-19 19:55:07
18,Andre Luis,https://play-lh.googleusercontent.com/a-/AOh14GgnFuTtzINDkxNQ6XayUWk8hvci50_YqJyxPaSe0A,"Deveria ter mais chances ou custar menos. custa muito jogar 5 minutos, no casino gasto menos e ganho dinheiro. Mais uma vez eu desinstalei. Se o preço é 29,99 pago ainda 21% de impostos. Quebro o cofre de 65.000.000 ,acaba em menos de 5 minutos. Poderiamos ter uma chance. A roda nunca paga valor alto. Entao eu trabalho pra gastar nesse jogo? Tenho uma familia, eu jogo pra passar o stress diario mas acabo ainda mais estressado... sorry the developers. Nothing persoonal",5,2,3.63,2020-08-06 15:49:56
19,Rogerio de Almeida Barbosa,https://play-lh.googleusercontent.com/a-/AOh14GhwrB_s-mkTT23LPIdj5yR3kmgRVKVN5C2sPkVFFA,"Se vc está a fim de gastar uma grana boa , é ótimo pra você, porque esses aplicativos ñ têm intenção de te fazer um milionário como dizem , porque vc só ganha 5 ou 10 °/▪︎ depois que vc já perdeu mais de 40 •/• dovqie vc tem jogado , então vc decide oi joga e perde e logo eles querem que vc compre moedas, e sendo que não te dão nada em espécie , se é que vc entende !",3,0,,2020-07-24 20:37:40
20,Idalina Silva,https://play-lh.googleusercontent.com/-nvH2cSY2AJg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckOoeRRK3sKxb22MSjYvgYWYwGVGA/photo.jpg,Jogos divertidos e viciantes.,5,1,3.61,2020-07-04 16:02:58
21,Suerlandia Brito,https://play-lh.googleusercontent.com/a-/AOh14GhKcEI8m1DiZDlNUPTRVWM7jTkV0ffVjHOiqeTU,"Incrível e viciante adorooi,o melhor de todos que já baixei, super recomendo",5,3,3.62,2020-07-20 08:32:35
22,Mario lucio P silva,https://play-lh.googleusercontent.com/a-/AOh14GhQoQ6ugiOxKZpXeiILA29kxzQuFRj0LNkKK88-qQ,O jogo até e bom muitas opções mas é só para gasta sem nenhuma recompensa eles deveriam pagar mais e colocam uns negócios sem pé nem cabeça como os envelopes que vc nunca chega aos 10,1,1,,2020-09-30 11:55:20
23,Jacque Hodecker,https://play-lh.googleusercontent.com/-_ctMMDoalUw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckKrGsPCH3uhi478LtKhA0Xz3tQkA/photo.jpg,ótimomuitobommesmo the very best. cada dia uma surprise precisa de mais créditos surpreendentes veryexcepcionaisjoiapurafantasticjogadassensacionais bemmaisdiversificadomultiplasescolhasroubaram todomeus créditosumeroubaramsocorro.IstoÉ umbaratobestshow veryveryveryshow,5,3,,2020-08-28 07:26:24
24,Lucas Suicune Oliveira,https://play-lh.googleusercontent.com/a-/AOh14Ghz477u4BFWayVipYNCIMCpFztj7uhH1GUTbXe_jQ,"O jogo vive oferecendo moedas, spins e malas extras para compra... coisa normal de se ver em um jogo ""free"", mas a forma como eles fazem isso é totalmente abusiva. Eles insistem demais nisso, são inúmeros pop-ups pipocando na tela, um atrás do outro, e pra completar, eles ainda enchem a caixa de mensagens com mais ""ofertas"" disfarçadas de ""brindes"". Se você não tomar cuidado e não olhar com atenção tudo o que se passa na tela, pode acabar fazendo uma compra acidental.  Em relação as recompensas diárias, elas são poucas, muito poucas... Já testei muitos jogos ""estilo cassino"", mas nenhum é tão muquirana quanto este. Aquela roleta que a gente gira de vez em nunca é claramente viciada, pois sempre entrega o pior prêmio possível.  O jogo fecha sozinho com frequência (principalmente quando estou tentando ver os vídeos que dão míseras 200 moedas) e tem loads muito demorados. Enfim, ele é , literalmente, um jogo caça-níquel. Fiquem longe dele, tem coisa muito melhor por aí.",1,60,3.38.1,2019-08-27 23:32:55
25,JULIO JOSÉ Andrade,https://play-lh.googleusercontent.com/-uyIvXOPG1Bc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckqnnB8KL2ebpyM8Lm-gWyuizgvBQ/photo.jpg,"Então, os controladores das redes sociais, no ano passado, apagavam os vídeos para nao ver curtir ou talvez comentar até mesmo compartilhar, só que esse ano, continuam com a mesma coisa, muitas vezes, tentei entrar na página oficial do fundador do facebook, para denunciar todos. Infelizmente não consegui, aguardo uma solução, pois até saí definitivamente do facebook, por causa dessa paranoia desses controladores de ficarem apagando os vídeos . Inclusive, apagaram esse para eu denunci",5,2,,2020-01-03 05:16:10
26,Kry Kryiy,https://play-lh.googleusercontent.com/a-/AOh14GgsXShVUqt-N141EH-yfo5IEEJhW-qVg0EIfvTiTA,"nao gostei nada. chega no nivel 10 em um dia e demora semanas inteiras para chegar no nivel 20. muito fraco. nao é por falta de ter vontade de jogar, mas sim porque o bônus é lamentável e gasta em 3 segundos. esperar 2h para jogar 3 segundos é desmotivador.....nem publicidade tem nem nada para poder ganhar mais bonus. que triste",2,102,3.29,2019-04-11 22:37:02
27,Dhessica Dourado,https://play-lh.googleusercontent.com/-5aF2dFcI-ck/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucncfBJ3ioQl9ra5SsGPOGsA4454AQ/photo.jpg,Muito bom. Fácil de passar de nível. Viciante,5,1,3.62,2020-07-19 21:56:07
28,Michael Abreu,https://play-lh.googleusercontent.com/a-/AOh14Ggs8wX65YHXjFDs3h6ae29d_gkxhGDdYsr9tMc_LA,"Tem bons jogos e gráficos. Só é de lamentar que, após a última actualização, provoque um BUG no Sistema. Em vez de utilizar a memória do Cartão SD passou a encher a memória interna, provocando o colapso do sistema. Há que corrigir isto!!!",5,7,3.30,2019-04-24 19:26:30
29,cleidiane oliveira,https://play-lh.googleusercontent.com/a-/AOh14GiOeKuPEdWHcGIqQZCv0weZGOE1QQRG2mAAsul4,"Esse jogo não paga descobrir isso afinal, tá escrito logo abaixo do jogo em detalhes e eu não sei porque aquelas pessoas ficam gritando e pulando nos vídeos desse jogo é como se eles tivessem ganhado dinheiro de verdade que loucos, propaganda enganosa.",2,4,3.28,2019-08-04 15:13:23
