,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,isabel oliveira,https://play-lh.googleusercontent.com/a-/AOh14Ggwk_qXMU_G8qxtOtoc0gveP1d1XCCtRdaWQz7s,"Parece ser bom o jogo ,mas sou brasileira e falo português e nada de inglês 😅 então para mim não dá ,pois não entendo o as palavras que estou formando, se não fosse isso seria ótimo para mim.",3,10,1.10.1,2020-10-12 19:48:16
1,Isaac Andrade,https://play-lh.googleusercontent.com/-pHBjxFYhe7k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckwHAsUca6-c6zhvGmojrsUmLAu8g/photo.jpg,"Além do desafio de encontrar as palavras ele explica o sentido, com exceção da última palavra.",4,2,1.11.0,2020-11-05 15:53:34
2,Luciana Paula,https://play-lh.googleusercontent.com/-oduff1m4lXA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclIpvGoRyiMgPNHFr-m4lTc0jUPOA/photo.jpg,"Não tem opção de lingua, sou brasileira amo cruzadas e este me parecia um ótimo desafio. Que na verdade não atingiu minhas espectativas por está falta de opção.",1,10,1.10.1,2020-10-16 00:07:51
3,Natália Carvalho,https://play-lh.googleusercontent.com/a-/AOh14GiS-zUDebs_iuF5kUYfnkgl-LfRZOmHnNga8LJ37Q,"Meu jogo favorito. Legal para melhorar o vocabulário e conversar com pessoas. IMPORTANTE: Vi pessoas reclamando que você perde sua conta se mudar de celular. Isso não acontece se você conectar a sua conta do Facebook. Ele não publica no seu perfil nem nada assim. Alguém reclamou que não dá para consultar o significado das palavras quando você muda de fase. Isso NÃO é verdade, existe um botão para você consultar todas as palavras que achou na fase E os seus significados.",5,40,1.8.1,2020-06-16 18:58:39
4,Leonardo Maciel,https://play-lh.googleusercontent.com/a-/AOh14GhuvMKEaqLkEyHBrV_mDuvCadKAHsk76e8iM1E6THA,"A game that sells points to used on it that simply confiscate those if you change your phone cannot be serious. I've read dozens of angry users complaining and not a single answer. Um jogo que vende pontos e que os confisca se vc trocar de celular, não pode ser levado a sério. Li dezenas de mensagens de usuários irritados por isso e nenhuma resposta, satisfatória ou não.",1,17,1.6.2,2020-03-31 08:38:56
5,Tadeu Nantes,https://play-lh.googleusercontent.com/a-/AOh14Ggvp0w7cjftAlHH2RUTWwUji5DcYRStBM19xs95,"Jogo interessante, mas com propagandas de 30 segundos? Realmente nao dá pra aguentar. Desinstalando...👎🏻",1,11,,2020-06-08 20:09:02
6,Taísa Braga,https://play-lh.googleusercontent.com/a-/AOh14GgbN7T2Isw9mTi6YcNplMhy-rHymzK2Hc68op_oyA,"Bom...mas poderia ser melhor. Quando completa todas as palavras muda de fase automaticamente, nao dando chance de anotar as palavras para consultar a traducao...ou, ter a opcao de traducao no app",2,10,1.1.7,2019-08-13 12:07:41
7,Thaina Giudice,https://play-lh.googleusercontent.com/a-/AOh14GgXqrGAKuPVtHaNck3ZTi8r_pP7MHqHTIqIPQS2Ejg,"deveria ter a tradução de todas as palavras e explicações. porque ele não ajuda a aprender nada, so mostra a existência das palavras no vocabulário do inglês",3,10,1.1.6,2019-08-01 17:17:21
8,Daniel Bucker,https://play-lh.googleusercontent.com/a-/AOh14Gg8hSZCDTiP-WlEXwYxbGj8j0FHuhq6S4PIUTh3NSs,"Jogo inteligente, divertido e rápido, com uma interface bem bonita.",5,6,1.1.7,2019-08-13 16:51:03
9,Nuno Santinho,https://play-lh.googleusercontent.com/a-/AOh14GhGTRFqQtohCJJxobs_4d17eQN3aDpN5mr2tHuruw,"Jogo divertido e, apesar de ser em inglês, bastante desafiante e ""bom"" para estimular o cérebro.",4,10,1.1.7,2019-08-18 18:20:48
10,jovita narciso Matos,https://play-lh.googleusercontent.com/-ISUGFLjergo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnoRkBQpQxOVeyJ_6r1t-kJu_1lbw/photo.jpg,Interessante ajuda me a incrementar o meu vocabulário embora haja dias que não consigo preencher todo gráfico. Poucos,5,15,1.1.8,2019-09-08 04:48:10
11,Douglas Máximo,https://play-lh.googleusercontent.com/a-/AOh14GjZrOAtp_uytB2KsU3mRn-bGrK13zfV5AMWtXtOkA,"otimo aplicativo, uma pena nao mostrar a tradução das palavras, o que o torna inútil para quem nao possua um inglês mais fluente.",2,67,1.1.6,2019-08-03 23:54:00
12,Taty Memoria,https://play-lh.googleusercontent.com/a-/AOh14GgwTsKmnUHWtzNRiW1FCstJ9czbm2GUFejzpry3cEA,Educativo e divertido. Ótimo para quem quer aprender inglés.,5,21,1.4.2,2020-01-12 00:57:09
13,Manuela Pão com nutela,https://play-lh.googleusercontent.com/a-/AOh14GhgbHUDZnHjX1_gdsNfQFpf79VvA_v0z2opxtEX,"Ótimo esse jogo, bem desafiador e ainda é bom pra aprender inglês, mesmo n sendo fluente a gnt inventa palavras e vai aprendendo as palavras, mesmo sem saber o significado, a gnt aprende kk",5,16,1.4.2,2019-12-14 17:42:29
14,Robson Michael Correia,https://play-lh.googleusercontent.com/a-/AOh14GgGn9ZkPn27GDv_NKQWxEu3h3OpDK0Uctqx0-C7aQ,"Bom jogo, so eliminaria as publicidades...mas faz parte",4,1,1.1.7,2019-09-17 16:46:33
15,galaxysii lite,https://play-lh.googleusercontent.com/a-/AOh14Gi5GvIPXNeo8_3Z2itAN-TZSbbtQAvOpT3n9X9uUA,"It's GARBAGE! Dont waste your time! Lixo, App sem.sentido criado apenas p tentar roubar seu dinheiro. Não perca tempo c esse lixo!",1,3,,2019-03-09 06:54:26
16,Vinicius Koehler,https://play-lh.googleusercontent.com/a-/AOh14Gjs_2YlZsd5qWZN3BBYRdlN4FUgeYDAjLdo_n5tdg,Excelente até agora. Pega até linguagem informal.,5,0,1.1.7,2019-08-13 15:22:39
17,Fernando Tomé,https://play-lh.googleusercontent.com/a-/AOh14GicApj57gOrSgXCt_H6tPZUqd4UNNQZW99Yr_am2w,Muito bom para praticar e conhecer novas palavras!,4,0,1.10.1,2020-10-10 18:21:33
18,Eliane Barros,https://play-lh.googleusercontent.com/a-/AOh14GhvZ8y5WkLP9kCTVuvdpXyP2OWXYBP8z4xkrPOEbw,Jogo rápido e divertido.,5,5,1.1.7,2019-08-08 16:20:13
19,Tereza Loparic,https://play-lh.googleusercontent.com/a-/AOh14GiKWe_bd-gS9LNUSex0zYpQBGRCxj_Vyfee9nVk,"simples, divertido e bonito",5,4,1.0.52,2018-11-09 03:59:02
20,Álvaro Mendonça,https://play-lh.googleusercontent.com/-U3A7NK4vbu8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmnRdOmFpeekMk18ILRxmJo_8lQNQ/photo.jpg,Divertido e instrutivo,5,2,1.0.61,2019-05-11 20:30:54
21,Irla santos,https://play-lh.googleusercontent.com/a-/AOh14GgyFXu-YDaIxtEwS1_Um8GelTIZjR6Ub8Y1PmZhbA,"Bom jogo, pena estar todo em inglês. Desinstalando...",4,3,1.1.7,2019-08-12 13:04:04
22,valmirpereiraleonis santos,https://play-lh.googleusercontent.com/a-/AOh14GgqNaL4d9wTVPlSvxGCLsurBtWexExp_i2VTqd9,"Muito bom esse jogo, além de aprender muitas palavras em inglês, você exercita seu cérebro.",5,0,1.1.8,2019-11-05 16:24:27
23,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Muito bom, com muitos níveis! Passatempo maravilhoso.",5,37,1.0.58,2019-02-23 14:12:07
24,Jose Camargo,https://play-lh.googleusercontent.com/-2JNrJx1Ffww/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckm1yhlDvTsj49JoB6s7peY_MtehA/photo.jpg,Ótimo para treinar vocabulário.,5,7,1.0.52,2018-11-12 16:40:46
25,Roberta Monaco,https://play-lh.googleusercontent.com/a-/AOh14GjEWO3lo7Fdf5631ciKtBprVFtMc4v1sg8MOxtLcw,Poderia ter a opção de tradução para português,4,0,1.9.1,2020-09-17 21:49:28
26,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Vcs têm rrasaum E visiante 😂😂,5,14,1.0.53,2018-11-19 15:52:00
27,Agatha Magioli,https://play-lh.googleusercontent.com/a-/AOh14Gh3F6Vz0NGIZeHGErUMx7eSPD_SgkfJfST8t-pS,pessimoooo mas recomendo quem e nom nissi so uma nub mermo❣︎❣︎❣︎❣︎,1,0,,2020-10-23 20:57:20
28,Rita de Cássia Laurenciano,https://play-lh.googleusercontent.com/a-/AOh14GhczJtPhFXOla29ekgq2wGTiVY9cibB6GOJnZSF,Muito educativo. Aprende-se novas palavras.,5,0,1.5.1,2020-02-29 07:41:40
29,Anamaria Dentzien,https://play-lh.googleusercontent.com/a-/AOh14GiJrA0hpixp6YR4KDRLQL2gvdO2nrHHrX2SheiGvQ,Apaixonante. Não se consegue parar.,5,0,1.1.8,2019-09-25 19:35:37
30,Drielle Santos,https://play-lh.googleusercontent.com/-wA5WIZ86BEY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckG7GfbYbAASWS_8hXbPyk0Prt7wA/photo.jpg,Jrdutdi hilgoy ok olho GH que bmgokgoho,1,0,,2020-10-28 08:51:28
31,Silvita Miranda,https://play-lh.googleusercontent.com/-i1MQ6aAZ4to/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmE1daiiKPmwfDNE-ehbX_7D6V7-A/photo.jpg,Preciso ter mais diversidades de palavras,4,3,,2018-11-10 15:38:13
32,Eduardo Pezzi,https://play-lh.googleusercontent.com/-u9H-hGGlTcI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclBlKtfQgklMYXPPy5Md5r-qOfEmA/photo.jpg,ajuda muito no vocabulário sem ser chato.,5,46,1.0.63,2019-06-03 20:08:13
33,Josi Ramos,https://play-lh.googleusercontent.com/-D_N0anJXFKo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckGN7UgYHt4ftDnMdXP1eb2eP42uA/photo.jpg,Eu precisaria repicar o por quê?,3,0,,2019-12-18 07:57:17
34,Elisangela Pereira,https://play-lh.googleusercontent.com/a-/AOh14Gjm_pnT-9k2xi5iYGTVv9vxSGAj3gh8dzwFggzP7ZQ,"O jogo não tem opção de idioma, não gostei",1,77,1.0.52,2018-11-08 14:39:32
35,Jhemerson Santana,https://play-lh.googleusercontent.com/-PeXpHpdMDPQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmaKX045Rv4-fyBHzsOViaijibTTQ/photo.jpg,Muito bom este jogo gostei muito,5,0,1.7.0,2020-04-19 01:49:17
36,Alberto Kligerman,https://play-lh.googleusercontent.com/a-/AOh14GhpCV5ztqzk07XKc2Kcot-hgHcljdmkzE-JPFEZ,Que jogo é esse! Muito bem bolado!,5,15,1.0.58,2019-02-01 19:46:00
37,LCAM• Vini,https://play-lh.googleusercontent.com/a-/AOh14Gh-0jCEFkyzchmtLebj5j9qI6ICsVIrLtanUSzK,Muito bom para aprender,5,0,,2020-01-11 14:49:13
38,Maria Luisa Auler,https://play-lh.googleusercontent.com/-fKbqhHrSxI8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmF6BgzX8vgZIP3bt0BnzK6lWXPeA/photo.jpg,Otimo passatempo e bom para rever palavras,4,0,1.1.8,2019-09-08 16:07:30
39,Adelaide Cardoso Lages,https://play-lh.googleusercontent.com/a-/AOh14GiURN4kpPqd6SIWGNFmOQVmvlMikZ4KUD8jSRASuQ,Dificuldade ao mudar de exetcicio,5,0,1.2.0,2019-10-17 18:28:05
40,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bom para passar o tempo ☺☺☺,5,5,1.0.52,2018-11-04 19:22:07
41,Bruno Portela,https://play-lh.googleusercontent.com/a-/AOh14GiMaXLFowx2taUaOlktGrfywIb2NJLhEtVvm8oT,bom para melhorar vocabulario,5,0,1.1.7,2019-08-09 02:11:50
