,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Tia beuchamp,https://play-lh.googleusercontent.com/a-/AOh14GhVcYznqFlPb-G-b5X64-vzBM0lTSGIVUNxrzGN,O jogo e super legal mais tem quer pagar esse eo problema só 2 lugares da casa que estão gratuitos mais o jogo e legal recomendo mais só tem esse erro mesmo por isso vou dar 4 estrelas,4,68,1.0.98,2020-11-05 20:02:14
1,camila souza silva,https://play-lh.googleusercontent.com/-tSqgOavs2gE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclqr75EulL4L7xopJ_IjzAll5wexw/photo.jpg,Metido gostei eu posso fazer tudo eu gostei não abaixei ainda todos os comentários disse que é ruim mas eu vou ver se é bom ou ruim para mim jogar para sempre Tchau e falam que eles são jogos legais e não ruins tchau acabei de abaixar é bom gostei ao máximo se meu amor dos sonhos gigante também disse que viu o verdadeiro almoço e eu amei Gostei do jogo vou jogar esse jogo para sempre eu vou abaixar até marca deles então dá comentário e abaixa jogo de novo Viu aí não tem nada para comprar Ouviu O,5,58,1.0.98,2020-11-04 21:43:46
2,eloane ofc,https://play-lh.googleusercontent.com/a-/AOh14Givi4bO3pLBgb6CEAzzVLdvwOfm0CmCHumLmdE,Amei so que tem um problema devetia ser anurcio pra desbloquear os outros comodos da casa,4,45,1.0.98,2020-11-06 08:44:45
3,Edilson José Gomes,https://play-lh.googleusercontent.com/a-/AOh14GhtYv8-8bniTpProXPB-M7GfGSKx7mZTgX1SI8O,"Eu amei mesmo sendo feio. É muito bem elaborado! Mas, temos que comprar para ficar com o outros andares. Fazer o que? ¯\_ (ツ) _/¯",4,54,1.0.97,2020-11-03 09:32:46
4,VIH Diniz,https://play-lh.googleusercontent.com/-p2R2uen8R0Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnNWoLOLBbzZP0-gMr02RIYSPPkWg/photo.jpg,Olha eu gostei mais tinha que ter um quarto banheiro aff tem que melhorar um pouco né so por causa de uma não tor 5 por causa disso,4,0,1.0.98,2020-11-08 01:32:33
5,Aryela gamer Borba,https://play-lh.googleusercontent.com/a-/AOh14GhQYa8oMiD5IZaabK4yQ8_YKWmDr6HFqjg2tFPUIQ,Nunca mais jogo esse jogo na vida só vou joga quando não tive que paga vai pra baixa da égua tudo tem que paga não joga esse jogo gente pela amor de deus mi arrependi,1,40,1.0.97,2020-11-02 12:26:33
6,Taiane Araujo,https://play-lh.googleusercontent.com/-_7OXcnzaUYY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmA6ecbiiwWxajYsCCBVRAxvxHV-w/photo.jpg,Eu gosto do jogo mais o fato dele que ele gosta muito de dinheiro ja gastei 350 reais para esse jo poriço do 2 estrela,2,3,1.0.97,2020-11-02 14:43:53
7,Ruth Pereira,https://play-lh.googleusercontent.com/-dq7xrv-EJJU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucldDqpfnodiPxynIcR4SxG1_MIDpA/photo.jpg,Ruim n tem como desbloquear o resto dos comodos da casa so se pagar completamente horrível,1,30,1.0.97,2020-11-01 18:08:04
8,•Teteh Gamer•,https://play-lh.googleusercontent.com/a-/AOh14GheARimfbS1kBj3tYL5Zd6K7eBJi3ZGqB9QTTFPC9k,Amei muito legal mas tem que pagar:(mas e legal ate mas eu vou da⭐⭐⭐ pq so da pra usa 2 lugader o resto tem que paga mas tudp bem e foi isso,3,0,1.0.98,2020-11-07 02:21:45
9,Thamyris ester,https://play-lh.googleusercontent.com/-bcR4scHdwVI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmmMI0MfC0x_lsOuNzS_WS63M3upA/photo.jpg,"Adorei mas sempre que vejo vcs tao falando "" se vc estiver no brasil..."" TODO O MUNDO JOGA ISSO obg pela atençao",5,0,1.0.97,2020-10-29 21:53:20
10,Nati Alegria,https://play-lh.googleusercontent.com/a-/AOh14GhLHT8tuKQFoYtHfdU1GWwZI4gtDyIZvb4S431b,o jogo meio legal mas pfv ne podia ser grátis pelo menos o quarto do bebê e dos pais pelo menos e o quintal PQ AONDE O BEBE VAI DORMI EM? AONDE OS PAIS VAO DORMI EM? E AONDE ELES VAO SER DIRVERTI EM mas não adianta tem um monte de jemte que já reclamou muito desse jogo e os criadores ja fizeram alguma coisa pra melhora? NAO FIZERAM NADA ELES OLHAM E AINDA NAO FAZEM NADA😡😡😡 e a jemte que é menor os pais não podem pagar não importa o menor do preso,1,1,1.0.97,2020-11-03 11:59:52
