,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Anderson Silva,https://play-lh.googleusercontent.com/-UtFJ3tKGdV8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmNi8kQbF7MTwXTbNgdbqQPZevfgA/photo.jpg,"O jogo é excelente, curti muito e gosto das cores, porém, a quantidade imensa de programada e comerciais são absurdamente grande. Se vc for responder uma mensagem e quando volta a pintar, já vem propaganda, se for atender uma ligação e voltar a pintar, lá vem propaganda, terminou uma pintura, lá vem propaganda. O jogo é excelente, o que estraga são as quantidades de propagandas e comerciais. Só vou desinstalar por causa disso, mas de resto, um ótimo passa tempo.",4,733,2.8.11,2020-10-17 11:50:51
1,Cleidiane Flor,https://play-lh.googleusercontent.com/-iiHNSkUK31o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmZM1esicFR9YPrdfJTmK3c0_XAIQ/photo.jpg,"Perfeito.... um dos melhores que já vi os desenhos são lindos tem os desafios diários. Sem contar a terapia que é pra mente, baixei e meu namorado pediu pra colorir e logo baixou também rsrs agora somos dois amadores desse jogo, então é sim merecedor de 5 e muito mais estrelas parabéns aos desenvolvedores esse é o melhor da categoria colorir 😍🖌😍",5,17,2.8.11,2020-11-07 21:08:47
2,Priscila M. de Almeida,https://play-lh.googleusercontent.com/a-/AOh14GikIrQzSMFDYFsyIjFm6NmsCi3mfzmPkead9Kij,"As cores são muito lindas, os números ficam escondidinhos no final e o desafio é bem estimulante. Ás vezes faltam um ou dois números e é bastante instigante a busca. Como sugestão eu colocaria uma ""grade"" (linhas horizontais e verticais) como guia apenas, poderia ser cinza claro, apenas para as pessoas não se perderem na busca pelos números minúsculos finais.",5,721,2.8.11,2020-10-13 21:09:32
3,Ana Paula Massoli,https://play-lh.googleusercontent.com/a-/AOh14Gilt0kWyjlYTKpMrDOlPfOxB-SWKRiIpdkyyoWwNQ,"Um jogo muito legal. As cores são lindas, os desenhos criativos e é totalmente diferente dos outros jogos de pintura. Me ajuda muito contra o estresse. O que irrita são as propagandas o tempo todo. É muito fora do comum. Melhorem essa questão. Está ficando chato de jogar. Se melhorarem mudo minha avaliação!",2,1187,2.8.11,2020-10-20 01:37:23
4,Mirela Vitória,https://play-lh.googleusercontent.com/-4QxVG4zmeF0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck5DLPWWyzy-ugde4x_6y3e1IopHw/photo.jpg,"Eu amo esse jogo, tenho ele faz bastante tempo. Mas uma dúvida que até hoje não descobri como faz, é como fazer meu próprio desenho lá. Alguém sabe? Nas minhas tarefas para serem concluídas aparece para pintar algo da minha criação, mas não sei como desenha lá, se alguém souber me fala. Obrigada!",5,76,2.8.11,2020-10-30 01:29:08
5,Patricia Valente,https://play-lh.googleusercontent.com/a-/AOh14GhR_y9AyxOqpJVyPuowMuaepPXvP52NsGVE2Wvfhg,"Gosto muito, todos os dias tem imagens novas para colorir, uma boa forma de passar o tempo. Ultimamente a parte dos anúncios está um exagero. Ok eu compreendo que vocês precisam de fazer publicidade para poder manter o jogo, mas um anúncio no início e no fim de cada imagem é saturante, porque ainda por cima é sempre a mesma coisa, chateia, é aborrecido. Tentem meter um pouco menos anúncios por favor.",5,924,2.8.10,2020-09-17 08:45:51
6,Erica Luiza Andrade Laurentino Bezerra,https://play-lh.googleusercontent.com/-C8IMoA41CKI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclCGK6jqcFM9_mvEFTWHViXM9sCNg/photo.jpg,Nessa época de quarentena esse jogo de colorir foi um achado!!! Amoooo demais!!! Me distrai e fico encantada com o resultado! Sem dizer que consigo salvar os desenhos que colori e compartilhar com a família. Parabéns a todos que desenvolveram esse app! 1000 estrelas!!!,5,84,2.8.11,2020-10-29 13:15:43
7,Ana Lucia Pena,https://play-lh.googleusercontent.com/-HxF5eZiBhpE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckpqeDpVUKXBb8q2NFRW80KivgirQ/photo.jpg,Muito bom. Adoro. Fico horas brincando. Muito bom mesmo. Gosto demais deste site. Não estou conseguindo baixar este jogo. Tem algum problema? Muito bom fico horas brincando. Jogo muito gostoso. Fico muito feliz brincando horas. Muito bom. É uma delícia ficar fazendo. Fico horas fazendo. Este jogo é muito bom. Jogo muito bom. Muito bom.,5,402,2.8.11,2020-11-08 20:59:12
8,Ella,https://play-lh.googleusercontent.com/a-/AOh14GicOuEfp6IVcPmxW7JDnvIp5-ltWnJYktNBstkOrA,"Ele é muito bom, ótimo para passar o tempo, recordações da infância, ter boas lembranças, se sentir bem e feliz ao ver e pintar uma imagem, dando cor a ela, assim como temos que dar cored em nossa vida. Enfim, eu gosto muito desse app, meus irmãos todos baixaram, recomendo.",5,30,2.8.11,2020-10-31 11:19:10
9,Carmine Perrotta,https://play-lh.googleusercontent.com/-c94iaYs3BkE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmQn0tSeAU46_W0JdhuYwN4UiYuFg/photo.jpg,"Tem mandalas que não devem ser consideradas como mandala e sim imagens diante de um espelho ou imagens repetitivas, o que considero mandalas são imagens vistas de um caleidoscópio com fragmentos de objetos sem forma, no qual forma um desenho geométrico",3,1,2.8.11,2020-11-07 17:38:43
