,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,SAMUCA '-',https://play-lh.googleusercontent.com/a-/AOh14GjZ-1sx-pCSw59GJJf2irUmuSQoJTyAEut15gm6pQ,"Eu gostei muito do jogo gráficos ok, e como se fosse um Minecraft de fps, porém tem um pequeno bug mais que atrapalha MT a jogatina, que é: quando raramente aparece um anúncio ou assistimos para pegar resconpensas depois de passar o anúncio a tela ou fica congela ou fica preta! E acabamos que temos que sair do jogo e voltar, isso é muito chato e pesso que arrumem, não sei se é meu celular. Ele tem 4Gb de RAM e é a quantidade de alguns notebooks, talvez tbm seja a memória mas acho que é um bug...",4,423,18.2.3,2020-10-31 01:58:55
1,Juan Aguiar,https://play-lh.googleusercontent.com/a-/AOh14Gha94ItLphB3D1XlSa8UAVET1kGzQ911GteFo5L6A,"Ótimo jogo, porém tem muitas coisas que são praticamente inúteis, mas que pesam bastante, como as armas que tem que juntar peça pra montar. É quase impossível montar, sem contar que ultimamente vem travando e bugando bastante. O joga está muito pesado, recomendo remover alguns recursos ""inúteis"".",4,74,18.2.2,2020-11-06 13:32:45
2,Just D4n,https://play-lh.googleusercontent.com/a-/AOh14Gg_B1ZalnFuK8NdERxsqIKtCByr8UhfkCltMnaFJg,"Jogo incrível porém desbalanceado comparado a sua época de ouro Tirando isso tá perfeito mas vocês estão apelando um pouco demais para o p2w,as armas novas na maioria das vezes são míticas(armas de evento)e as de raridade menor são de battle pass que custa 2,400 créditos que leva muito tempo pra pegar em batalhas(menos no mercado negro onde se paga 2,4k por 425 de ouro/190 gemas ou 4800 pratas mais ou menos) Seria bom se botarem as armas antigas do arsenal de volta,teríamos mais opções de armas",5,367,18.2.2,2020-10-25 10:46:54
3,Pedrinho Neto,https://play-lh.googleusercontent.com/-pYc45pzx3wM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnuY3Ll_LzwtlDkzPfZNldqn111AA/photo.jpg,esse jogo e muito bom o único problema e que quando você assiste um anúncio o para ganhar um prêmio demora para ganhar a recompensa aí você acaba cagando pra ela aí você perde ela mas o jogo e ótimo maravilho só queria também que o jogo a magia com munição infinita e também queria que o jogo não precisasse de sinal ou wilfi espero que vejão minha resenha 😁😁,5,0,19.0.0,2020-11-07 23:44:16
4,Marcello Rovaris,https://play-lh.googleusercontent.com/a-/AOh14Gg38uJJRwjfh_BtYw524hj9PR4yLyI5cWnDWIZiyw,"Eu sou nivel 65 mas jogo a muito tempo mas anteriormente estou decepcionado com as partidas tenho 14 miticas mas mesmo assim perco as partidas toda hora por causa do famoso 3catspam pois não gosto de usar isso e mau da para jogar com esses jogadores porque eles te matam toda hora. Meu nome: bruno. Meu nivel 65 Sem clan ainda Skin o único e verdadeiro príncipe Esse são meu perfil para mostrar que esiste procure esse perfil nos ""amigos"" obrigado",4,71,18.2.3,2020-11-06 20:16:58
5,GU GAMEPLAY,https://play-lh.googleusercontent.com/a-/AOh14Gg7EYyzynQCLZn7KesegZ1TXPOZzTsZZcGf9L9GHA,Olha não é uma crítica mas tipo daria pra vocês tirarem o battale Royale ele faz o jogo travar e deixa o jogo muito pesado quem é das antigas entende pq eu sou das antigas quando o jogo n pesava nem 100 Mb era muito boa aquela época mas depois que colocaram o battale royale ficou muito sei lá chato sabe queria que vocês retirasem por favor .,3,8,18.2.3,2020-11-06 08:56:23
6,Júlia Flausino,https://play-lh.googleusercontent.com/a-/AOh14GgEnGDlfd2FIBoA-_DiOryB0H1Kr_XsT8biq60QDg,"O que eu posso dizer: É mais fácil vc vencer sem as armas do que com elas no Battle Royale, armas inúteis, jogabilidade péssima, dizem que alguns veículos são mais velozes que outros, mas não, são tudo a mesma coisa, nas lutas de equipes as pessoas vem com armas eficiência máxima contra vc que tem armas de eficiencia baixa e vc só consegue ganhar se jogar em tal mapa, tem mapas que é impossível ganhar, e outro, que para conseguir os passes, vc precisa de muitos créditos, impossíveis de ganhar..",3,188,18.2.3,2020-11-03 11:09:18
7,Flávia Maria Coelho,https://play-lh.googleusercontent.com/-DRMMKJIefBU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmez9Or6G3RcCS1Scc6Wkdf3sD_0w/photo.jpg,O jogo é muito bom mais tem um problema quando eu entro no jogo ele para no 79 e pede conexão é a minha internet e tá boa não sei porque é mais pode ser a memória do celular resolvam isso porque eu não sei o que fazer mais tirando isso o jogo é muito bom,4,0,19.0.0,2020-11-08 10:16:42
8,Kaick dos reis oliveira Reis,https://play-lh.googleusercontent.com/-rmIev3XKJyw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl0K0JoG_hEAM1ip6McClLpDoFiNA/photo.jpg,O jogo e ótimo mais oq não gosto e que leva muito tempo para pegar algumas armas quando eu instalei o jogo tava vindo umas vans do comerciante com armas muito boas e por moedas eu queria muito q vcs continuacem fazendo isso pf para as.pessoas que são.iniciantes também elas já posso ter umas armas boas mais o que eu quero dizer é que eu quero muito q venha mais vans do comerciante da quelas e o jogo e muito bom tá de parabéns!!!!,5,74,18.2.2,2020-10-28 23:01:59
9,Vinicius Vini o legal,https://play-lh.googleusercontent.com/a-/AOh14Gjg3zzh7zIuDEXWiu6Iin46_sit6H19kpsIaXLWeA,adorei mas assim a partir do momento que vc chega no no nível 26 e isso trava e demora muito pra vc upar de nivel quem jogava em 2018 era fácil de upar de nivel e eu sou uma pessoas dessas que jogou dez de 2018 jogo legal mas tem que ageitar se não pessoas vão parar de jogar e jogar outro jogo é isso é chato pro criadores ele tem que melhora tudo aí fica mais fácil pra pessoas que não tem dinheiro ser fácil de upar de nivel então quem é viciado começa a perder a graça. Obg Por ler isso,3,89,18.2.3,2020-11-05 01:35:49
